"","NOF007","NOF009","NLF013","NLM031","DLF014","NLF001","NOM002","NOM009","DOF008","NLM010"
"COG0001",25,35,63,149,100,75,164,72,74,111
"COG0002",233,211,212,209,247,223,208,208,166,238
"COG0003",52,24,41,16,61,12,43,0,6,57
"COG0004",229,186,290,251,371,244,350,403,298,302
"COG0005",78,95,93,74,79,108,107,124,107,131
"COG0006",618,643,679,680,487,613,543,594,485,524
"COG0007",32,24,32,36,99,75,225,103,71,82
"COG0008",592,484,666,657,686,578,623,760,749,560
"COG0009",312,310,263,269,301,286,263,245,278,276
"COG0010",35,91,70,44,33,123,62,68,112,143
"COG0011",0,0,1,0,63,4,13,2,40,2
"COG0012",250,231,266,255,238,166,192,301,299,241
"COG0013",483,563,607,568,553,523,476,506,550,572
"COG0014",190,184,171,186,208,263,264,269,218,254
"COG0015",182,203,262,211,258,290,335,407,323,307
"COG0016",238,245,275,274,236,290,226,166,218,219
"COG0017",357,314,284,366,175,374,282,450,405,284
"COG0018",419,417,447,403,480,423,442,442,442,374
"COG0019",371,468,495,463,506,507,551,541,493,456
"COG0020",167,182,218,173,245,167,213,171,207,172
"COG0021",153,228,214,216,310,151,187,130,80,201
"COG0022",15,74,8,54,21,114,14,9,10,111
"COG0023",69,74,41,45,8,70,20,14,4,25
"COG0024",376,349,372,312,332,311,389,374,342,315
"COG0025",17,48,175,56,252,33,77,129,208,53
"COG0026",7,8,9,2,134,13,21,8,91,6
"COG0027",125,160,121,94,104,90,53,50,71,94
"COG0028",333,305,421,402,459,491,691,692,789,539
"COG0029",278,355,245,279,284,229,302,268,184,253
"COG0030",416,229,308,280,468,302,322,317,508,286
"COG0031",287,248,310,366,334,349,219,308,344,336
"COG0033",2,3,4,1,188,3,5,0,51,4
"COG0034",391,499,457,474,395,409,365,457,370,516
"COG0035",251,180,200,201,211,197,155,197,204,160
"COG0036",133,126,200,169,323,199,266,234,258,172
"COG0037",498,429,496,675,387,461,680,600,586,544
"COG0038",432,476,340,393,626,357,384,374,502,427
"COG0039",404,342,293,345,437,431,388,271,364,299
"COG0040",200,190,172,185,162,106,89,123,78,97
"COG0041",130,143,162,153,164,126,142,168,133,130
"COG0042",436,454,468,370,378,390,407,405,421,428
"COG0043",19,41,12,31,42,45,49,20,83,23
"COG0044",314,372,320,365,426,309,418,396,413,361
"COG0045",18,37,13,8,98,38,30,6,53,38
"COG0046",556,571,569,567,743,576,615,613,637,588
"COG0047",552,459,506,561,706,533,466,583,529,529
"COG0048",81,60,107,85,111,73,121,147,132,75
"COG0049",133,118,168,156,174,164,137,156,160,150
"COG0050",325,353,337,291,374,332,313,347,306,294
"COG0051",96,81,116,101,114,111,109,100,113,89
"COG0052",164,124,223,191,172,139,137,188,169,163
"COG0053",192,208,277,230,224,212,268,301,251,206
"COG0054",101,90,97,88,54,102,79,104,76,96
"COG0055",291,238,382,375,377,312,573,553,452,439
"COG0056",298,302,452,415,420,429,599,640,482,476
"COG0057",213,213,227,221,274,150,133,165,163,134
"COG0058",720,507,821,736,845,625,771,937,770,757
"COG0059",211,225,210,226,450,217,260,226,261,229
"COG0060",488,531,654,707,589,419,665,755,650,568
"COG0061",183,158,168,189,211,159,183,204,209,188
"COG0062",213,190,261,200,218,157,260,287,211,210
"COG0063",157,141,173,154,207,174,225,287,243,229
"COG0064",92,34,164,120,275,99,184,210,290,179
"COG0065",209,226,323,287,453,303,347,397,294,323
"COG0066",148,146,149,129,172,127,151,107,119,160
"COG0067",428,463,644,490,660,550,724,755,540,723
"COG0068",35,47,37,11,130,83,137,115,96,55
"COG0069",446,424,597,558,697,584,696,691,561,763
"COG0070",382,434,548,469,610,450,624,720,541,640
"COG0071",163,135,187,159,242,190,177,231,186,190
"COG0072",323,309,451,384,505,378,424,415,452,372
"COG0073",715,610,845,843,865,818,850,894,950,676
"COG0074",31,49,20,14,94,42,37,12,44,35
"COG0075",230,200,51,192,48,163,158,118,107,74
"COG0076",108,206,47,101,17,158,53,14,16,132
"COG0077",177,167,170,200,249,170,211,220,204,190
"COG0078",272,231,284,297,404,254,338,366,313,255
"COG0079",720,515,618,575,564,426,584,582,446,519
"COG0080",142,107,140,109,128,123,134,163,131,115
"COG0081",170,158,190,157,242,195,214,251,185,164
"COG0082",148,181,192,257,228,167,191,191,199,229
"COG0083",25,17,21,32,169,33,38,38,135,56
"COG0084",303,278,285,264,309,284,245,258,300,285
"COG0085",859,865,1065,752,795,943,1008,1061,855,820
"COG0086",697,630,1005,765,853,689,730,894,842,840
"COG0087",172,126,184,167,226,149,129,152,132,133
"COG0088",223,153,208,173,207,183,188,215,192,141
"COG0089",95,79,110,97,112,113,96,114,97,107
"COG0090",133,125,251,187,225,184,228,255,245,183
"COG0091",126,90,154,103,129,133,135,149,118,127
"COG0092",159,138,180,152,141,133,166,198,216,145
"COG0093",69,65,133,122,113,93,106,130,127,81
"COG0094",182,152,174,149,182,126,103,108,101,80
"COG0095",13,65,21,44,78,103,34,15,76,61
"COG0096",68,73,138,99,173,128,126,166,137,107
"COG0097",123,99,211,154,118,108,171,205,165,147
"COG0098",143,151,172,126,174,96,117,126,108,97
"COG0099",136,98,131,119,138,106,107,122,122,87
"COG0100",108,92,122,88,137,81,89,136,129,103
"COG0101",211,192,268,263,321,205,327,313,310,231
"COG0102",122,99,119,122,149,118,136,109,131,91
"COG0103",112,94,142,111,136,144,119,125,131,124
"COG0104",325,252,394,353,318,332,338,432,353,411
"COG0105",31,24,29,11,11,41,22,18,12,32
"COG0106",157,142,177,191,197,153,159,175,112,165
"COG0107",171,116,180,216,195,154,260,231,149,166
"COG0108",240,228,202,331,139,293,255,189,122,243
"COG0109",1,0,0,0,0,0,1,1,9,1
"COG0110",822,919,582,829,424,971,560,420,445,674
"COG0111",216,238,217,318,575,455,463,367,456,307
"COG0112",324,251,286,256,116,278,316,246,257,257
"COG0113",28,41,40,48,79,38,74,55,59,88
"COG0114",8,26,17,26,105,8,17,31,44,25
"COG0115",335,328,287,260,379,321,320,281,281,322
"COG0116",172,154,289,187,130,141,246,276,283,197
"COG0117",210,178,216,208,118,214,214,195,124,180
"COG0118",142,117,140,141,167,119,101,146,106,152
"COG0119",473,560,668,571,550,562,681,543,425,677
"COG0120",24,27,23,22,89,21,10,15,67,34
"COG0121",0,2,0,0,8,0,4,8,15,3
"COG0122",58,24,54,71,81,52,81,91,75,54
"COG0123",5,10,4,2,0,9,1,1,2,8
"COG0124",311,278,266,278,338,289,230,280,280,321
"COG0125",36,21,58,57,156,47,74,51,134,62
"COG0126",206,224,271,278,266,214,229,285,298,248
"COG0127",193,135,214,174,178,137,158,179,199,161
"COG0128",243,217,236,239,289,212,297,269,219,235
"COG0129",397,412,392,342,601,422,607,427,397,386
"COG0130",152,140,214,176,252,107,174,181,220,148
"COG0131",122,106,130,130,119,137,162,137,88,164
"COG0132",84,97,70,74,57,86,104,42,53,67
"COG0133",115,129,147,117,198,188,207,213,210,202
"COG0134",141,124,165,141,252,152,163,146,165,123
"COG0135",61,58,108,74,98,94,101,86,132,108
"COG0136",221,176,233,210,250,145,197,251,287,160
"COG0137",296,273,261,255,328,289,293,318,282,353
"COG0138",338,377,301,349,349,435,313,330,293,359
"COG0139",194,173,167,177,178,201,186,164,122,153
"COG0140",179,166,156,139,122,157,145,111,85,122
"COG0141",225,237,201,230,281,223,219,273,197,258
"COG0142",319,298,312,315,284,356,212,274,279,283
"COG0143",392,315,448,403,455,392,466,476,619,372
"COG0144",402,274,460,399,375,201,296,310,323,238
"COG0145",44,21,9,12,5,29,86,8,14,17
"COG0146",2,2,1,3,0,7,11,6,1,3
"COG0147",366,465,265,295,414,355,285,265,257,339
"COG0148",301,302,395,319,345,375,337,383,310,348
"COG0149",185,135,203,170,248,149,195,168,190,171
"COG0150",235,221,267,237,240,205,290,255,260,239
"COG0151",229,204,279,235,312,212,256,259,310,268
"COG0152",194,185,203,176,247,202,164,233,231,190
"COG0153",167,156,163,205,171,246,260,286,299,293
"COG0154",117,54,203,128,467,138,215,236,277,145
"COG0155",7,16,9,15,127,11,68,26,62,9
"COG0156",446,618,308,395,84,362,203,147,105,417
"COG0157",162,203,176,185,197,182,166,162,106,187
"COG0158",9,19,11,1,0,8,2,4,8,16
"COG0159",127,126,148,133,159,152,149,175,123,133
"COG0160",15,8,62,45,268,49,70,31,96,61
"COG0161",169,283,89,151,85,156,159,71,73,120
"COG0162",245,213,316,238,261,186,174,194,214,174
"COG0163",17,16,8,31,19,49,24,10,48,7
"COG0164",144,123,164,185,157,146,117,137,168,126
"COG0165",273,272,362,262,299,280,354,306,249,331
"COG0166",335,293,356,288,448,300,368,393,338,341
"COG0167",330,412,359,375,410,316,256,213,330,284
"COG0168",706,692,633,708,565,649,678,714,711,649
"COG0169",187,169,205,202,267,182,305,329,249,184
"COG0170",0,0,2,0,0,0,0,2,0,0
"COG0171",276,193,355,358,464,315,377,348,304,320
"COG0172",246,235,355,263,361,290,334,421,460,300
"COG0173",327,329,519,374,517,363,450,389,351,383
"COG0174",199,132,198,260,441,219,289,259,413,189
"COG0175",229,280,205,218,147,175,163,157,71,191
"COG0176",136,151,115,120,184,179,178,152,181,116
"COG0177",165,163,171,166,193,165,159,176,171,181
"COG0178",758,845,896,828,820,824,761,849,804,900
"COG0179",78,62,58,65,109,107,49,69,94,92
"COG0180",255,258,301,257,321,233,250,289,348,245
"COG0181",30,35,51,57,92,54,69,62,72,74
"COG0182",50,42,28,45,65,31,57,23,5,37
"COG0183",104,74,104,93,190,94,149,149,198,106
"COG0184",94,77,58,66,77,88,62,76,90,60
"COG0185",94,82,100,79,101,90,84,90,96,92
"COG0186",71,56,92,52,69,86,74,86,111,78
"COG0187",751,715,902,807,954,753,923,1049,955,873
"COG0188",895,773,1015,989,992,853,931,1105,1180,872
"COG0189",25,19,21,42,14,13,24,16,16,33
"COG0190",175,221,214,210,224,213,203,192,211,164
"COG0191",257,284,276,255,447,271,377,426,530,240
"COG0192",332,317,363,285,293,245,410,367,363,344
"COG0193",115,105,162,134,154,123,161,162,192,143
"COG0194",241,194,251,199,206,191,330,290,284,171
"COG0195",265,286,283,275,291,282,257,285,248,300
"COG0196",134,129,212,180,226,206,160,220,232,179
"COG0197",110,92,81,89,79,163,139,141,114,143
"COG0198",100,78,81,89,134,86,122,116,105,98
"COG0199",75,49,66,64,45,70,33,59,46,46
"COG0200",138,121,130,125,177,177,121,137,126,117
"COG0201",296,243,386,314,325,329,298,372,384,330
"COG0202",240,199,289,225,306,239,260,271,264,236
"COG0203",131,107,115,127,91,126,110,145,129,121
"COG0204",459,498,336,297,384,499,303,340,346,511
"COG0205",890,833,861,871,467,867,853,943,683,880
"COG0206",179,192,200,162,224,270,300,301,292,288
"COG0207",174,247,223,177,208,168,105,134,121,147
"COG0208",79,141,53,45,151,108,61,52,172,71
"COG0209",311,491,272,293,323,367,133,106,245,336
"COG0210",966,658,949,756,1671,690,938,1030,1273,919
"COG0211",51,37,59,49,80,61,57,73,62,38
"COG0212",122,128,123,139,162,121,103,116,127,136
"COG0213",44,17,118,105,122,70,129,94,69,87
"COG0214",35,22,34,37,119,58,122,112,95,77
"COG0215",322,366,372,377,308,309,304,355,385,341
"COG0216",200,182,251,255,286,193,204,240,294,179
"COG0217",193,174,190,189,169,167,124,161,185,185
"COG0218",98,69,158,109,89,89,86,89,90,89
"COG0219",59,26,98,62,153,73,113,104,145,77
"COG0220",200,175,157,188,238,178,178,207,192,154
"COG0221",14,14,69,45,42,20,42,50,47,45
"COG0222",94,62,71,80,95,68,66,89,125,61
"COG0223",268,246,235,258,205,248,215,199,217,207
"COG0224",237,243,279,293,269,262,341,390,306,272
"COG0225",104,123,73,38,154,93,28,29,58,71
"COG0226",251,262,258,226,329,244,231,300,287,310
"COG0227",52,51,41,45,15,38,15,26,33,17
"COG0228",54,50,69,73,60,39,48,56,79,68
"COG0229",34,57,19,21,54,21,11,13,36,49
"COG0230",52,30,26,33,18,19,16,20,8,18
"COG0231",170,153,124,149,154,141,116,153,177,112
"COG0232",232,217,311,312,245,228,221,239,171,248
"COG0233",166,188,166,143,159,169,143,142,134,155
"COG0234",89,74,61,88,129,77,73,78,97,90
"COG0235",337,313,291,286,188,370,368,275,283,219
"COG0236",141,100,117,124,78,166,111,154,149,145
"COG0237",136,157,135,111,161,145,123,114,145,127
"COG0238",51,26,58,48,72,52,60,59,91,39
"COG0239",69,87,20,54,38,103,27,20,55,41
"COG0240",220,234,248,226,265,252,224,233,256,190
"COG0241",173,179,124,119,94,147,136,82,21,131
"COG0242",182,133,184,174,302,160,171,224,313,171
"COG0243",93,173,113,18,166,121,85,82,157,186
"COG0244",80,73,138,73,186,95,83,127,117,90
"COG0245",171,139,132,164,161,159,134,134,121,132
"COG0246",338,171,344,288,363,202,287,403,244,179
"COG0247",215,318,135,211,135,193,85,154,35,202
