"","NLF002","DOM013","DLM019","NOM028","DLM004","NOF012","NLM022","DOM019","DLM012","NOM008"
"COG0001",67,144,95,87,42,45,89,37,41,47
"COG0002",253,200,178,187,200,133,240,225,226,238
"COG0003",21,41,36,42,27,78,20,87,8,78
"COG0004",303,201,315,191,118,161,317,299,291,221
"COG0005",111,135,94,111,109,95,94,136,48,151
"COG0006",606,590,473,649,753,577,540,621,436,705
"COG0007",107,60,63,88,25,47,122,41,93,20
"COG0008",596,722,796,588,443,706,746,667,721,608
"COG0009",296,311,259,262,309,248,308,283,278,266
"COG0010",75,96,168,86,40,145,76,75,56,37
"COG0011",0,0,7,10,3,11,1,2,85,2
"COG0012",236,319,262,252,203,329,287,231,251,247
"COG0013",554,659,712,507,453,911,519,624,581,652
"COG0014",276,210,276,229,273,177,269,302,287,294
"COG0015",371,325,387,278,316,216,318,322,410,276
"COG0016",271,287,268,198,267,305,222,264,275,272
"COG0017",266,356,362,355,289,141,180,162,80,224
"COG0018",457,537,470,370,411,568,395,437,496,407
"COG0019",521,478,378,439,405,355,518,532,476,369
"COG0020",173,230,188,167,184,201,164,159,256,144
"COG0021",284,211,148,197,246,271,295,258,321,212
"COG0022",102,21,65,84,92,56,31,49,17,65
"COG0023",49,50,11,32,89,33,38,39,10,57
"COG0024",373,345,323,275,314,416,328,333,230,343
"COG0025",70,59,47,79,14,17,98,51,509,45
"COG0026",6,21,14,22,11,16,24,8,219,3
"COG0027",97,86,38,126,176,62,103,122,165,170
"COG0028",613,445,366,580,461,328,819,611,918,542
"COG0029",265,241,145,249,291,172,275,291,157,353
"COG0030",306,451,385,325,369,411,244,202,489,208
"COG0031",302,320,388,278,230,242,323,304,323,291
"COG0033",1,15,18,26,2,2,19,1,267,3
"COG0034",442,437,413,465,476,309,477,491,432,492
"COG0035",175,176,225,166,171,134,190,205,212,216
"COG0036",274,243,237,180,181,232,205,115,203,150
"COG0037",543,674,572,421,412,605,537,498,457,427
"COG0038",378,313,269,457,490,299,418,404,774,368
"COG0039",457,275,280,342,375,327,284,373,602,356
"COG0040",167,164,128,141,206,105,148,156,183,186
"COG0041",134,132,113,129,131,92,154,141,158,151
"COG0042",402,411,302,407,392,428,392,368,361,360
"COG0043",36,62,19,86,14,21,44,25,36,39
"COG0044",393,317,367,410,244,294,364,352,435,299
"COG0045",52,26,34,45,53,25,29,18,192,24
"COG0046",615,618,625,476,461,414,648,575,684,549
"COG0047",482,551,560,391,352,366,557,511,598,540
"COG0048",95,119,123,67,62,130,100,95,118,82
"COG0049",133,175,157,153,121,191,109,141,178,112
"COG0050",286,364,393,265,300,406,278,335,318,325
"COG0051",135,145,105,101,111,142,84,107,101,111
"COG0052",138,214,200,149,152,298,191,192,213,164
"COG0053",270,211,353,201,240,256,249,219,211,215
"COG0054",109,108,62,97,109,81,129,101,49,104
"COG0055",341,238,400,312,181,210,482,366,429,214
"COG0056",492,325,364,376,255,234,568,394,466,378
"COG0057",221,303,351,196,206,361,219,257,287,273
"COG0058",651,788,779,583,435,670,753,695,773,584
"COG0059",238,194,144,228,258,141,219,244,448,244
"COG0060",540,764,724,534,422,1012,578,668,631,537
"COG0061",186,192,207,186,175,138,195,168,222,150
"COG0062",213,250,174,188,149,117,227,191,235,186
"COG0063",224,237,242,244,173,149,284,232,305,149
"COG0064",149,220,178,97,51,197,93,42,191,23
"COG0065",318,230,226,396,210,184,355,263,341,277
"COG0066",180,148,82,135,181,102,145,119,229,130
"COG0067",532,454,360,446,260,259,678,541,672,533
"COG0068",99,75,48,36,42,32,37,102,37,17
"COG0069",276,231,176,233,157,306,646,512,679,497
"COG0070",520,377,326,465,263,255,625,469,652,438
"COG0071",186,215,176,174,177,192,187,137,151,169
"COG0072",443,597,591,278,239,589,402,405,512,338
"COG0073",928,942,1133,569,561,885,846,880,721,786
"COG0074",60,31,48,77,59,42,52,26,174,23
"COG0075",175,101,50,129,143,82,123,208,53,135
"COG0076",139,99,67,148,131,98,76,167,101,148
"COG0077",224,168,263,182,130,122,211,159,252,142
"COG0078",296,303,448,311,224,218,271,304,289,281
"COG0079",508,404,380,437,407,322,439,395,355,428
"COG0080",140,174,127,110,132,165,137,121,175,99
"COG0081",230,239,215,154,165,280,191,190,255,146
"COG0082",194,183,248,194,175,135,234,217,276,167
"COG0083",38,45,105,46,7,39,42,20,231,21
"COG0084",248,363,257,352,354,347,306,288,283,241
"COG0085",484,527,513,367,397,984,860,875,978,862
"COG0086",762,965,1082,653,585,1072,916,902,953,797
"COG0087",198,178,230,155,154,232,159,177,238,148
"COG0088",188,227,237,184,184,228,168,178,205,134
"COG0089",105,131,109,87,123,120,105,97,121,69
"COG0090",234,214,234,152,95,274,204,204,241,135
"COG0091",154,141,143,82,115,192,107,115,159,94
"COG0092",170,216,218,104,114,165,139,185,231,142
"COG0093",109,121,148,91,50,148,91,131,125,88
"COG0094",203,184,202,134,149,198,154,156,223,162
"COG0095",87,52,69,86,56,32,25,42,264,35
"COG0096",124,143,165,89,102,121,130,93,160,53
"COG0097",175,156,186,125,101,214,141,141,227,130
"COG0098",178,206,193,125,113,224,168,146,159,151
"COG0099",119,146,99,91,105,171,88,111,119,126
"COG0100",88,123,151,91,74,148,99,99,145,92
"COG0101",291,239,278,194,202,284,296,191,283,193
"COG0102",139,172,124,90,121,167,145,94,161,99
"COG0103",100,152,119,114,144,138,118,91,138,121
"COG0104",360,387,312,282,225,192,423,281,398,294
"COG0105",21,27,16,23,34,145,31,37,15,23
"COG0106",186,127,114,143,164,119,162,132,163,120
"COG0107",167,146,125,132,104,99,170,167,209,120
"COG0108",265,167,95,184,211,194,282,259,75,320
"COG0109",0,0,0,8,3,0,11,0,8,1
"COG0110",988,585,405,647,1202,793,596,776,594,758
"COG0111",450,442,540,403,317,323,397,439,612,423
"COG0112",348,311,292,197,215,159,235,283,248,200
"COG0113",44,45,47,75,26,31,73,21,38,30
"COG0114",2,12,66,21,12,29,36,38,63,33
"COG0115",281,368,301,296,344,214,322,339,316,315
"COG0116",189,174,233,206,154,55,173,99,36,83
"COG0117",171,198,83,150,188,143,224,197,153,237
"COG0118",141,126,81,110,121,89,141,134,156,122
"COG0119",579,411,486,436,434,378,701,640,586,619
"COG0120",30,83,13,51,45,73,17,18,160,27
"COG0121",2,0,0,10,0,2,13,0,6,1
"COG0122",79,142,158,58,25,109,83,40,28,41
"COG0123",2,8,4,1,10,1,6,7,4,5
"COG0124",318,403,344,258,293,436,243,339,337,282
"COG0125",70,120,167,51,25,115,41,65,159,41
"COG0126",226,333,333,225,186,353,273,245,276,210
"COG0127",171,190,203,165,154,155,178,145,221,113
"COG0128",241,259,332,181,249,161,268,243,282,222
"COG0129",396,361,259,393,385,230,465,389,456,406
"COG0130",200,233,218,164,128,285,213,185,289,129
"COG0131",140,144,100,132,133,139,154,189,160,195
"COG0132",55,80,35,132,97,58,103,83,34,98
"COG0133",205,145,195,194,161,132,221,164,286,146
"COG0134",172,88,116,133,129,104,168,141,253,124
"COG0135",93,64,61,103,57,57,109,75,174,57
"COG0136",219,216,280,185,149,253,235,231,351,204
"COG0137",353,259,343,268,242,181,330,309,266,334
"COG0138",395,358,280,387,388,264,388,328,300,350
"COG0139",185,144,86,137,173,129,176,131,132,130
"COG0140",118,139,67,100,171,108,122,134,91,172
"COG0141",226,204,168,206,233,151,250,224,276,194
"COG0142",331,299,253,294,333,296,316,346,328,362
"COG0143",458,503,582,342,276,499,425,466,517,438
"COG0144",392,394,454,363,324,347,409,341,224,277
"COG0145",11,15,21,102,8,31,9,33,190,26
"COG0146",0,0,2,0,5,2,1,7,0,3
"COG0147",356,312,201,355,439,236,320,322,310,368
"COG0148",325,340,255,380,207,404,374,355,304,315
"COG0149",191,198,251,143,123,239,200,171,236,184
"COG0150",202,204,208,206,198,136,267,253,241,237
"COG0151",232,224,223,198,182,171,313,255,298,226
"COG0152",185,197,210,175,166,149,176,253,191,227
"COG0153",304,249,300,241,284,197,274,276,297,245
"COG0154",187,242,199,101,42,432,153,108,292,52
"COG0155",12,17,4,53,16,12,27,12,48,6
"COG0156",332,512,304,471,1227,425,302,528,83,645
"COG0157",169,156,129,163,177,127,178,166,86,199
"COG0158",8,9,10,12,13,8,19,3,10,1
"COG0159",182,98,147,154,181,45,73,80,80,66
"COG0160",38,23,24,33,16,21,48,32,272,16
"COG0161",122,159,82,134,222,108,115,203,42,251
"COG0162",253,324,316,303,222,348,267,248,344,282
"COG0163",31,35,15,24,8,14,18,15,16,11
"COG0164",161,204,159,142,152,130,137,161,182,138
"COG0165",335,257,301,285,298,204,334,260,323,220
"COG0166",337,375,443,304,305,316,295,325,396,306
"COG0167",353,345,224,331,411,337,315,398,665,343
"COG0168",683,615,785,639,702,556,748,620,448,619
