"","DOM019","DLF004","NOM002","DOF003","NOM004","DLF007","NOF014","NOM029","NLF013","NLF015"
"COG0001",35,35,149,36,28,65,72,84,63,49
"COG0002",231,177,222,181,176,185,208,223,237,210
"COG0003",80,9,32,69,154,72,19,14,38,50
"COG0004",261,351,334,161,120,137,235,273,263,269
"COG0005",88,158,116,124,103,120,142,82,132,117
"COG0006",625,583,521,620,670,637,463,666,631,672
"COG0007",49,52,220,46,55,36,35,73,50,51
"COG0008",639,716,642,660,454,408,610,606,726,573
"COG0009",255,200,259,234,291,302,317,284,275,264
"COG0010",76,58,88,95,97,99,108,67,55,109
"COG0011",2,4,6,2,4,5,1,4,2,1
"COG0012",248,237,197,229,181,75,85,104,83,73
"COG0013",601,577,527,574,462,373,558,482,612,658
"COG0014",304,264,267,210,215,196,222,270,251,286
"COG0015",332,353,318,257,267,266,337,331,387,209
"COG0016",277,248,261,222,224,216,299,223,266,250
"COG0017",347,309,249,339,267,236,296,320,304,323
"COG0018",439,436,427,361,405,322,497,370,434,409
"COG0019",526,482,552,366,407,134,136,145,158,119
"COG0020",174,234,198,154,164,174,174,170,193,138
"COG0021",234,311,264,222,268,176,156,301,233,226
"COG0022",55,40,11,96,119,119,28,115,12,196
"COG0023",38,22,13,59,75,87,28,66,54,45
"COG0024",332,290,415,294,330,306,326,364,351,312
"COG0025",77,43,80,45,69,37,60,103,171,36
"COG0026",9,6,16,17,15,5,5,15,8,2
"COG0027",118,135,42,94,128,48,27,51,46,41
"COG0028",671,527,685,566,502,519,596,675,656,576
"COG0029",290,285,278,216,309,258,199,408,278,302
"COG0030",223,244,284,346,235,415,342,296,286,171
"COG0031",286,265,240,302,231,248,310,284,325,319
"COG0033",2,1,6,19,9,6,1,8,0,6
"COG0034",535,568,395,432,466,109,169,145,170,183
"COG0035",174,209,168,173,178,154,209,163,213,209
"COG0036",123,209,274,148,203,185,260,178,244,119
"COG0037",496,421,619,494,373,360,574,477,560,398
"COG0038",405,406,358,389,425,411,231,480,335,481
"COG0039",325,308,401,309,307,357,317,307,283,388
"COG0040",166,162,154,131,176,188,138,191,171,156
"COG0041",119,120,142,122,139,142,126,141,157,107
"COG0042",374,302,392,372,377,331,348,467,445,388
"COG0043",20,22,41,44,42,15,7,47,12,38
"COG0044",330,300,421,308,286,319,307,315,305,301
"COG0045",18,35,29,33,59,107,12,74,19,60
"COG0046",576,725,656,521,422,332,558,539,602,557
"COG0047",510,674,527,456,332,296,506,491,537,451
"COG0048",76,105,114,94,58,66,141,94,123,62
"COG0049",137,102,161,158,118,129,198,117,146,115
"COG0050",348,367,316,276,337,253,378,266,340,343
"COG0051",104,77,104,106,101,100,122,98,111,84
"COG0052",176,195,147,187,134,144,208,165,200,142
"COG0053",211,222,294,212,263,224,228,264,256,144
"COG0054",113,127,76,94,68,86,68,94,107,81
"COG0055",360,351,557,346,205,209,452,301,389,301
"COG0056",365,471,609,412,303,71,145,128,127,147
"COG0057",240,281,225,264,197,155,269,213,212,229
"COG0058",634,615,775,556,506,509,869,566,794,407
"COG0059",237,203,258,190,211,187,236,224,228,236
"COG0060",647,614,679,500,373,135,243,202,200,184
"COG0061",167,159,195,157,136,143,169,177,162,160
"COG0062",64,89,83,57,53,177,227,208,228,149
"COG0063",211,263,277,164,184,166,241,246,258,202
"COG0064",112,89,203,91,37,55,272,75,167,60
"COG0065",278,311,361,297,204,201,251,281,279,359
"COG0066",150,115,151,136,134,160,132,105,141,106
