"","NOM019","DOF012","DLM024","NLM010","DOM008","NOM017","DLM013","NLM001","NLM006","NOM009"
"COG0001",182,56,74,101,48,49,258,70,60,72
"COG0002",249,178,125,250,240,243,237,253,238,218
"COG0003",30,6,1,64,13,0,28,31,25,1
"COG0004",311,148,149,309,121,612,200,398,185,392
"COG0005",166,106,115,119,167,200,147,169,115,99
"COG0006",565,497,438,578,646,656,587,737,617,538
"COG0007",79,54,139,88,28,49,93,31,110,109
"COG0008",844,602,460,559,540,949,757,732,668,734
"COG0009",280,306,185,294,284,168,235,271,319,258
"COG0010",92,94,164,125,146,41,128,45,71,62
"COG0011",0,19,12,4,4,0,3,2,2,0
"COG0012",291,313,123,244,200,96,99,71,98,91
"COG0013",604,572,221,519,530,576,642,586,563,496
"COG0014",281,219,141,267,262,246,280,267,267,247
"COG0015",388,415,153,339,264,466,376,332,349,380
"COG0016",262,244,112,250,234,202,319,258,222,176
"COG0017",340,310,197,284,268,318,240,326,261,436
"COG0018",507,429,209,391,391,389,411,495,402,429
"COG0019",446,397,250,517,504,785,456,559,496,572
"COG0020",199,220,74,180,157,265,183,232,189,163
"COG0021",281,176,301,273,223,333,183,339,323,190
"COG0022",44,54,23,116,166,11,78,8,47,9
"COG0023",11,8,6,8,32,7,26,27,64,11
"COG0024",342,256,176,306,267,277,339,480,250,331
"COG0025",53,240,181,58,49,34,56,106,100,132
"COG0026",35,100,114,16,12,2,6,1,7,2
"COG0027",79,82,85,112,146,183,73,125,149,50
"COG0028",477,786,1014,576,663,521,527,449,452,664
"COG0029",231,173,189,260,259,177,333,266,322,255
"COG0030",288,826,244,311,256,367,287,283,486,309
"COG0031",330,236,235,343,242,233,265,270,262,285
"COG0033",7,84,117,0,14,4,18,11,5,0
"COG0034",497,346,172,485,416,639,479,505,429,472
"COG0035",214,192,129,161,173,277,181,202,218,201
"COG0036",76,99,88,59,40,222,232,243,265,197
"COG0037",548,405,298,509,434,450,504,471,386,678
"COG0038",130,189,93,145,165,348,335,329,418,346
"COG0039",340,547,191,291,353,320,319,314,381,293
"COG0040",231,150,87,159,181,224,166,128,174,169
"COG0041",131,128,81,143,109,133,123,122,128,140
"COG0042",368,361,362,440,382,284,392,345,363,432
"COG0043",37,93,216,30,22,28,75,32,43,26
"COG0044",393,423,397,339,317,424,408,310,300,412
"COG0045",42,46,92,31,58,17,41,15,76,4
"COG0046",766,409,325,601,538,938,743,793,569,654
"COG0047",725,330,325,516,421,801,606,688,517,599
"COG0048",119,160,75,88,72,114,96,121,71,124
"COG0049",156,191,120,135,116,95,164,171,152,144
"COG0050",397,388,341,262,278,371,341,413,212,340
"COG0051",120,130,79,96,96,54,104,67,137,105
"COG0052",212,207,141,143,155,209,136,246,198,193
"COG0053",282,182,239,223,162,273,255,265,225,320
"COG0054",98,105,82,86,119,172,67,120,117,106
"COG0055",381,339,247,501,210,381,277,380,227,593
"COG0056",426,335,268,476,297,514,319,489,285,623
"COG0057",297,268,303,199,203,325,327,333,193,252
"COG0058",778,457,583,698,456,720,552,846,552,903
"COG0059",183,197,201,251,225,246,273,234,225,239
"COG0060",697,533,337,560,530,760,694,626,480,792
"COG0061",64,101,43,77,64,211,208,204,194,178
"COG0062",288,181,175,222,208,405,274,275,242,284
"COG0063",330,279,158,247,208,383,302,300,229,295
"COG0064",149,213,41,139,38,98,233,111,67,230
"COG0065",320,207,171,353,335,124,121,75,74,140
"COG0066",150,106,104,162,135,104,164,114,151,136
"COG0067",486,257,300,702,372,572,482,579,464,684
"COG0068",56,115,86,81,57,80,107,45,105,112
"COG0069",511,283,278,690,383,628,565,528,419,717
"COG0070",478,279,245,733,354,539,467,504,376,711
"COG0071",219,243,211,171,129,229,175,258,222,236
"COG0072",473,391,212,396,341,448,484,455,474,410
"COG0073",984,728,471,711,657,923,963,1049,899,889
"COG0074",41,42,306,35,80,8,23,13,31,4
"COG0075",132,75,67,99,176,47,120,264,118,131
"COG0076",107,111,229,129,210,18,118,43,93,6
"COG0077",231,189,170,201,188,261,271,201,175,213
"COG0078",103,103,141,90,87,272,350,237,260,359
"COG0079",452,375,224,588,557,410,445,431,399,582
"COG0080",150,163,75,120,88,155,126,151,133,185
"COG0081",216,280,99,179,163,202,212,230,134,201
"COG0082",89,54,30,68,42,191,212,220,197,190
"COG0083",61,171,79,31,13,48,56,25,50,45
"COG0084",354,334,309,266,355,216,301,261,274,276
"COG0085",959,795,500,873,709,1053,912,1115,776,1046
"COG0086",1038,729,517,833,721,1004,937,1030,660,891
"COG0087",209,243,71,170,119,261,173,205,148,191
"COG0088",225,249,112,218,152,193,184,231,195,191
"COG0089",137,127,79,104,79,110,105,117,102,113
"COG0090",268,265,108,175,124,279,255,235,174,247
"COG0091",153,140,86,127,70,161,141,141,182,149
"COG0092",218,172,44,136,124,210,195,214,165,192
"COG0093",141,160,80,88,84,127,119,136,105,127
"COG0094",150,227,100,122,145,189,156,200,186,167
"COG0095",53,69,116,62,100,32,82,28,102,14
"COG0096",142,187,83,97,83,177,141,126,106,142
"COG0097",178,180,89,128,93,204,191,186,145,211
"COG0098",190,155,96,125,108,230,174,192,163,156
"COG0099",116,133,85,82,99,49,40,48,46,44
"COG0100",116,160,59,96,81,152,134,136,75,128
"COG0101",241,304,159,248,136,209,226,232,212,316
"COG0102",155,153,73,115,93,96,147,140,119,103
"COG0103",148,177,79,108,116,129,137,133,114,133
"COG0104",390,295,184,410,214,380,333,351,230,401
"COG0105",29,83,44,46,39,10,31,29,72,13
"COG0106",169,154,66,175,130,167,194,160,159,170
"COG0107",168,122,125,155,132,217,180,157,159,215
"COG0108",233,138,89,232,204,416,159,251,270,229
"COG0109",2,13,71,2,10,0,10,7,4,0
"COG0110",583,716,358,608,1190,242,466,516,838,405
"COG0111",476,332,572,310,382,392,765,371,488,358
"COG0112",305,188,90,222,196,366,298,250,289,251
"COG0113",60,55,106,99,18,49,65,52,66,62
"COG0114",71,157,103,20,59,13,49,17,17,38
"COG0115",366,305,236,307,283,514,386,369,269,318
"COG0116",235,208,197,177,123,244,222,290,209,243
"COG0117",193,145,56,189,180,357,117,204,228,181
"COG0118",136,118,62,153,94,177,130,114,123,162
"COG0119",221,89,117,224,189,671,572,578,561,517
"COG0120",18,166,60,32,69,3,29,11,14,13
"COG0121",1,5,53,0,8,0,13,3,8,5
"COG0122",100,31,71,53,26,55,155,51,34,102
"COG0123",14,48,0,12,5,0,26,6,12,0
"COG0124",339,321,146,303,291,377,368,340,283,306
"COG0125",116,148,55,73,29,48,115,48,53,52
"COG0126",316,250,180,248,224,309,321,245,233,245
"COG0127",177,240,128,155,135,195,161,198,163,203
"COG0128",304,184,132,222,196,261,299,279,222,263
"COG0129",428,310,416,379,480,514,634,385,357,438
"COG0130",208,236,99,186,106,253,231,198,164,200
"COG0131",181,100,111,169,165,180,177,131,140,134
"COG0132",85,99,142,80,113,34,66,28,106,39
"COG0133",200,191,167,190,173,276,149,223,201,205
"COG0134",175,169,82,123,130,181,107,130,148,149
"COG0135",93,121,96,89,76,133,79,68,106,86
"COG0136",232,279,215,192,171,276,261,251,257,246
"COG0137",330,201,179,313,181,354,298,263,267,316
"COG0138",410,281,140,427,397,467,382,359,401,333
"COG0139",147,118,51,153,161,132,167,163,126,170
"COG0140",132,80,64,111,154,120,116,137,150,99
"COG0141",90,65,46,68,78,274,253,265,211,243
"COG0142",324,433,174,291,368,521,313,461,423,278
"COG0143",514,361,186,378,298,504,545,617,431,431
"COG0144",369,420,296,364,283,288,356,363,316,496
"COG0145",30,90,135,15,25,12,17,19,19,13
"COG0146",5,0,12,2,0,0,4,1,2,0
"COG0147",304,274,240,334,404,255,267,430,304,254
"COG0148",286,426,338,341,385,231,259,269,259,360
"COG0149",196,242,161,162,151,39,74,41,49,53
"COG0150",286,212,136,232,207,251,302,231,220,239
"COG0151",290,211,162,267,210,297,262,314,217,283
"COG0152",252,190,94,178,206,164,248,224,173,224
"COG0153",291,226,135,266,196,277,248,294,227,337
"COG0154",227,291,46,139,59,33,74,47,24,78
"COG0155",20,97,149,7,33,7,48,7,32,23
"COG0156",334,200,194,431,545,219,280,275,398,144
"COG0157",169,91,128,169,167,177,148,165,187,168
"COG0158",18,9,68,16,8,1,7,8,10,7
"COG0159",140,134,126,133,165,167,115,138,121,149
"COG0160",38,30,104,56,23,21,49,44,53,26
"COG0161",124,121,117,127,263,39,132,60,189,68
"COG0162",280,377,170,275,226,309,326,365,273,298
"COG0163",18,64,59,14,10,22,29,12,14,12
"COG0164",177,221,74,144,138,167,160,179,125,160
"COG0165",364,254,207,334,265,441,338,357,356,314
"COG0166",129,110,87,105,75,327,351,386,373,364
"COG0167",337,375,236,302,331,157,316,230,312,223
"COG0168",753,493,387,656,594,631,649,560,521,691
"COG0169",241,198,248,207,176,234,322,220,259,319
"COG0170",0,0,0,0,0,1,0,1,0,6
"COG0171",404,292,124,299,268,435,419,400,350,345
"COG0172",344,367,157,286,216,338,351,284,333,398
"COG0173",480,408,191,377,299,370,642,522,313,377
"COG0174",267,417,304,173,187,121,301,166,149,250
"COG0175",143,55,192,227,222,40,103,127,163,157
"COG0176",105,260,379,100,167,72,140,79,101,180
"COG0177",169,171,108,173,133,156,183,156,136,167
"COG0178",1059,785,363,894,846,1187,891,984,858,835
"COG0179",123,91,97,79,107,207,107,142,138,68
"COG0180",302,305,146,251,219,319,249,272,272,285
"COG0181",50,78,116,72,24,24,45,50,58,41
"COG0182",77,60,27,45,28,16,89,39,23,29
"COG0183",156,228,488,80,60,15,51,39,16,43
"COG0184",48,116,55,71,84,79,98,114,98,79
"COG0185",85,130,58,83,85,62,106,111,112,86
"COG0186",95,111,64,77,40,126,97,87,107,91
"COG0187",984,871,560,921,571,331,321,282,279,344
"COG0188",1095,847,541,896,714,1088,1139,1084,912,1155
"COG0189",63,25,136,27,29,7,33,66,23,16
"COG0190",213,277,139,202,202,247,273,233,176,157
"COG0191",351,297,629,267,280,442,429,314,422,417
"COG0192",425,330,180,327,246,437,357,523,339,396
"COG0193",148,199,91,142,113,151,143,101,139,168
"COG0194",185,358,138,175,164,217,160,188,187,287
"COG0195",342,288,204,270,226,400,366,382,356,270
"COG0196",80,89,49,75,43,253,187,230,228,183
"COG0197",163,195,76,112,154,193,132,142,113,141
"COG0198",103,116,72,86,66,137,118,123,95,126
"COG0199",71,78,60,40,72,106,39,70,102,61
"COG0200",168,203,66,121,110,146,151,109,141,153
"COG0201",433,381,264,292,234,427,365,362,311,391
"COG0202",276,281,112,237,181,230,300,272,277,283
"COG0203",129,139,77,114,105,153,119,125,124,148
"COG0204",385,426,404,541,447,342,500,343,368,331
"COG0205",716,472,336,843,750,749,585,735,703,911
"COG0206",320,293,183,263,213,250,246,378,333,299
"COG0207",178,224,126,170,151,55,173,130,157,137
"COG0208",82,221,224,60,116,40,68,56,83,50
"COG0209",315,376,415,324,561,88,350,193,367,110
"COG0210",1021,894,805,973,692,1195,983,1062,1021,1000
"COG0211",63,118,54,38,40,60,55,79,61,59
"COG0212",138,180,98,135,127,138,166,134,135,116
"COG0213",137,106,124,100,18,57,167,64,54,83
"COG0214",75,40,14,86,10,198,33,105,40,112
"COG0215",372,352,135,330,262,428,426,446,293,354
"COG0216",302,273,127,220,197,319,256,244,264,239
