"","NLF013","NOM007","DLM016","NLM025","DOM015","DLF012","NLF007","DOM024","NOM025","DOF007"
"COG0001",601,657,386,690,1507,1991,732,547,436,206
"COG0002",2379,1610,2245,2197,2278,1601,1634,1487,1354,1183
"COG0003",397,99,211,45,172,34,123,70,1516,304
"COG0004",2607,2319,2394,3066,2226,3672,3604,3053,2552,1081
"COG0005",1367,1545,1226,1401,1457,434,1576,1292,1125,1593
"COG0006",6262,5867,6876,7715,6067,3624,5766,6507,6822,6171
"COG0007",524,394,331,452,581,2285,554,548,414,264
"COG0008",6997,7288,6579,9306,6560,6248,7490,5765,6278,4689
"COG0009",2785,2541,2757,2491,3319,2391,2780,3013,2651,2498
"COG0010",619,580,884,801,775,393,700,1657,816,851
"COG0011",23,30,14,49,238,30,26,20,12,29
"COG0012",2728,3170,2833,2609,2377,2654,2855,2274,2249,1845
"COG0013",6086,5553,6052,5707,5845,4513,6453,5502,5514,4222
"COG0014",2697,1783,2840,2144,3097,2103,2658,2682,2719,1902
"COG0015",3680,3322,2912,3675,3138,2985,3642,2777,2983,2856
"COG0016",2553,3038,2640,2557,2398,2223,2538,2452,2270,1975
"COG0017",2100,2513,2357,2079,1793,3456,3547,3068,3538,2730
"COG0018",4625,4528,4398,4607,4830,3546,4337,4156,4497,3256
"COG0019",4871,5682,4287,5984,3913,6267,4785,5096,4745,3760
"COG0020",1973,2071,1532,2476,1843,1160,1888,1792,1370,1649
"COG0021",2417,2734,2243,3296,2246,1177,2312,2078,2476,2634
"COG0022",96,114,332,81,612,46,408,967,489,1010
"COG0023",468,258,552,77,446,85,224,585,462,658
"COG0024",3799,4325,3507,3760,3107,2745,3335,3260,3192,2854
"COG0025",1741,584,658,331,187,495,746,369,646,291
"COG0026",99,47,162,77,49,173,30,45,266,84
"COG0027",818,774,849,1092,764,301,1061,1252,1126,1443
"COG0028",4038,2837,3507,4123,4741,7394,6151,5845,6936,5181
"COG0029",2527,2387,2927,3012,3260,2723,2564,2909,2912,2475
"COG0030",2747,3748,2405,4261,3436,3802,3839,2681,2201,1481
"COG0031",3112,2011,3022,3042,3338,2227,3020,2982,3021,2388
"COG0033",7,19,15,696,26,272,39,23,279,74
"COG0034",4589,5627,5030,5954,4925,5991,5563,4921,4201,3966
"COG0035",1934,2314,2031,2274,1934,1807,1989,2128,2070,1396
"COG0036",2051,1909,1598,2006,1456,2797,2132,1639,1727,1449
"COG0037",5076,6116,5279,4347,5180,5016,5208,5149,4538,3456
"COG0038",3368,3960,4466,3156,5123,2836,3749,4581,4340,4469
"COG0039",3014,3400,3548,3204,3784,3593,3258,3519,3109,2881
"COG0040",1786,1276,1640,2227,1979,871,991,1270,1192,1153
"COG0041",1449,1448,1377,1287,1382,1121,1450,1360,1453,924
"COG0042",3011,2503,2518,2297,2694,3282,4014,4148,4122,3183
"COG0043",112,184,730,121,314,188,187,324,227,378
"COG0044",2967,3015,3497,2949,3473,3949,3412,3238,3223,2455
"COG0045",149,63,237,548,185,201,102,85,515,1144
"COG0046",3942,4604,4259,4951,4209,7277,6071,5921,6044,3552
"COG0047",5244,6497,5689,7098,5526,6955,5859,5143,5090,3322
"COG0048",1255,1336,856,1365,760,1013,1117,810,654,643
"COG0049",1720,1999,1366,1597,1297,1092,1086,905,790,685
"COG0050",3337,3918,3265,4094,2887,2992,3588,2933,3361,2181
"COG0051",1183,1483,1083,636,1126,1041,1180,1140,944,846
"COG0052",1994,2382,1789,2310,1662,860,1294,925,941,1009
"COG0053",2576,2459,2308,2725,2445,2261,2721,2216,2798,2139
"COG0054",994,951,1105,1460,890,477,1192,1194,809,857
"COG0055",3814,3542,3314,3811,3598,2404,3204,2144,2428,1461
"COG0056",4576,3757,3906,4300,3999,4145,5531,3889,4630,2381
"COG0057",2299,2755,2591,3219,1917,2069,2856,2213,2368,1682
"COG0058",7848,8572,6321,6545,6586,9791,8466,5987,6583,5171
"COG0059",2209,1647,2331,2438,2319,2168,2446,2398,2325,2234
"COG0060",4297,5045,4218,3945,3676,6831,7630,5812,4728,5337
"COG0061",1144,1466,1201,1581,1318,1735,1835,1921,1589,1583
"COG0062",2615,2999,1716,3059,1985,2289,2560,2087,1740,1724
"COG0063",2672,3016,1900,3134,2341,2243,2736,2282,1968,1826
"COG0064",1664,1754,889,862,1242,2169,1620,1344,662,289
"COG0065",2903,1778,3067,2503,3182,5078,2874,2872,2321,2787
"COG0066",1401,1027,1336,1136,1270,1365,1287,1512,1187,1160
"COG0067",6459,3925,4801,5945,4733,4591,5625,5074,5509,3135
"COG0068",266,199,525,161,205,154,219,566,641,338
"COG0069",6188,3957,4751,5965,4852,4768,5893,4905,5593,3686
"COG0070",5726,3817,4324,5700,4145,4605,5236,4564,5107,3542
"COG0071",2136,2484,1508,2822,1561,2050,1742,1801,2279,1703
"COG0072",4620,5193,3902,5269,3562,4150,4957,3452,3046,3182
"COG0073",8676,9396,8220,10432,6715,9557,9461,7034,6720,5464
"COG0074",238,77,195,602,167,382,163,125,837,839
"COG0075",705,832,1835,1339,1533,281,754,1928,1470,1690
"COG0076",500,295,1559,148,1437,508,1078,1414,1664,2141
"COG0077",1771,1382,1552,2283,2091,2252,1840,1973,1656,1215
"COG0078",2891,1889,2968,2350,3071,3372,2587,2728,3046,1781
"COG0079",6380,5526,5186,4629,4289,3871,4973,6366,4343,3118
"COG0080",935,1220,707,1114,791,1306,1470,1299,1203,802
"COG0081",1965,2215,1826,1923,1640,2118,2272,1800,1639,1471
"COG0082",2099,1938,2025,1895,2332,2064,2259,1857,2004,1751
"COG0083",257,263,207,608,320,404,311,355,663,159
"COG0084",2760,2788,2619,3042,3132,1841,2713,3085,2602,3130
"COG0085",10815,8902,8285,9922,8403,9493,10553,8211,9306,7335
"COG0086",9478,9464,8725,11315,7593,7206,10078,7450,6085,6770
"COG0087",2048,2246,1474,1949,1599,1593,2020,1672,1637,1283
"COG0088",1956,2484,1735,2071,1691,1448,1891,1724,1557,1316
"COG0089",1222,1490,765,1091,886,588,1266,1022,888,932
"COG0090",2272,2578,1676,2417,1601,2013,2482,1685,1659,1150
