"","NOF002","NLM026","DLM012","DOM026","NOM004","NOM019","DLM021","DOM010","NOM022","DLM015"
"COG0001",583,330,263,658,206,1987,424,776,317,569
"COG0002",2011,2157,2303,2061,1735,2402,2448,2135,2056,2092
"COG0003",643,141,99,724,1623,223,147,725,180,93
"COG0004",2641,3201,2929,2985,1364,2887,2827,2116,3058,2611
"COG0005",1295,1386,438,1132,984,1763,1426,1034,1568,1078
"COG0006",4014,3732,3007,4193,4498,5878,6483,6836,7813,6483
"COG0007",896,321,738,1107,629,834,305,999,505,625
"COG0008",6225,7827,6907,5602,4553,8681,7052,6737,6809,6270
"COG0009",2284,2629,2628,3055,2936,3014,2923,2696,2693,2650
"COG0010",670,1308,511,521,983,947,959,1104,399,924
"COG0011",25,35,1030,20,49,25,26,20,26,11
"COG0012",2427,3034,2342,2035,1998,3070,2692,2925,2178,2132
"COG0013",5277,6524,5963,5114,4832,6148,6346,6648,5071,5526
"COG0014",2655,2386,2877,2571,2295,2897,3049,3076,2645,2731
"COG0015",2869,3394,3903,2905,2818,2669,2086,2136,2097,1810
"COG0016",2417,2692,2666,2047,2258,2629,2704,2666,2441,2530
"COG0017",3068,3764,1581,3137,2949,3198,3440,3146,3192,2977
"COG0018",3420,4655,4741,3894,3878,4896,4494,4455,4346,3969
"COG0019",4237,4728,4650,4806,4140,4564,4667,4269,5436,5121
"COG0020",1654,1944,2367,1750,1621,2085,1551,1579,2235,1542
"COG0021",1769,1520,3121,1686,2678,2799,2118,2297,3039,2304
"COG0022",1274,246,200,216,1050,369,947,326,137,1298
"COG0023",604,335,106,453,692,252,683,520,315,568
"COG0024",2998,3315,2506,3422,3393,3142,3431,3417,4207,3170
"COG0025",462,798,4807,234,682,482,187,1048,288,430
"COG0026",77,100,1900,17,118,291,184,218,43,43
"COG0027",872,754,1862,970,1427,935,1479,1499,1705,1222
"COG0028",7181,4496,8941,6083,5119,4593,5943,5423,4724,5576
"COG0029",2776,2402,1611,3160,3229,2410,2906,3050,2987,2806
"COG0030",2564,3619,4874,3912,2256,3051,2726,2414,2638,2537
"COG0031",3080,3330,2965,2774,2217,3135,2971,2740,2533,3029
"COG0033",130,39,2415,3,79,95,32,32,19,24
"COG0034",3453,5404,4245,5275,4585,4837,5147,5545,5557,5118
"COG0035",1867,1985,2167,1798,1780,2133,2089,1914,1910,1810
"COG0036",1791,2304,2115,2578,1888,2030,1296,1441,1665,1391
"COG0037",4759,5897,4413,4812,3667,5251,5804,4999,5177,5064
"COG0038",4284,3075,6980,4245,4163,3618,4695,4511,4102,4874
"COG0039",3237,2968,5369,3144,3199,3262,3579,3594,3280,3726
"COG0040",1591,1422,1891,1710,1681,1987,1906,1504,1567,1608
"COG0041",1090,1470,1402,1585,1324,1455,1286,1354,1503,1106
"COG0042",3436,3716,3836,4080,3734,3672,4048,3572,3441,4072
"COG0043",370,181,471,132,333,333,427,660,179,322
"COG0044",3271,3322,4118,3308,2930,3937,3522,3543,2994,3611
"COG0045",1008,124,1877,246,713,407,357,137,69,460
"COG0046",5089,7034,6776,6211,4157,8017,7967,7020,5658,6367
"COG0047",4581,6629,6183,4888,3410,7138,6936,6481,5415,5050
"COG0048",855,1369,1147,940,636,1252,743,983,1023,780
"COG0049",1275,1689,1678,1362,1138,1458,1169,1433,1380,1287
"COG0050",2678,3949,3317,2587,3301,3628,3000,4318,3375,2748
"COG0051",942,1192,1129,899,954,1185,968,997,697,995
"COG0052",1681,2239,2001,1511,1281,2118,1662,1836,2040,1577
"COG0053",2187,2836,2066,2783,2426,2914,2066,2337,2966,1892
"COG0054",935,789,401,689,722,1138,1127,1183,1348,897
"COG0055",3216,4030,4260,2477,2011,4063,3662,3633,2913,3011
"COG0056",3570,4827,4615,3158,2981,4353,4167,4172,3412,3838
"COG0057",1991,3232,2912,2010,1961,3108,2346,2676,2539,2072
"COG0058",6122,9221,7862,6872,4886,7603,6851,6747,6355,5610
"COG0059",2338,2177,4474,2176,1980,1997,2674,2277,2076,2325
"COG0060",5791,8084,6456,4822,3956,7282,6355,6990,6249,5650
"COG0061",1871,1869,2270,1612,1456,2056,2146,2042,2230,1838
"COG0062",1910,2094,2238,2007,1531,2598,2245,1992,2524,2156
"COG0063",1465,1499,2051,1414,1105,2971,2612,2000,2461,2405
"COG0064",1359,2018,3553,1587,359,1556,556,1240,540,1010
"COG0065",3123,2439,3314,2532,1758,3216,2853,2966,1800,2833
"COG0066",1214,1096,2035,1537,1386,1354,1487,1274,1109,1211
"COG0067",4084,6213,6645,4955,3403,4849,6574,4717,4201,6380
"COG0068",814,312,402,363,310,580,331,455,159,313
"COG0069",4273,6146,6369,5216,3429,5061,6155,5102,4123,6166
"COG0070",3872,5725,6245,4255,3228,4448,5572,4284,3855,5795
"COG0071",1534,1871,1440,2262,2190,2091,1328,1196,2316,1362
"COG0072",4754,5517,5151,3551,2867,4739,4186,4553,3764,3690
"COG0073",8816,9597,7388,8027,6120,6661,5216,6083,5871,4999
"COG0074",890,438,1536,213,715,377,335,209,117,458
"COG0075",1524,978,599,1066,1686,1603,1972,1965,1066,1781
"COG0076",1758,651,960,1028,1927,919,1540,1173,660,1695
"COG0077",1689,1702,2537,1770,1086,2276,2053,1430,1470,1958
"COG0078",2208,2735,3155,2919,2061,3319,2783,2426,2244,2615
"COG0079",4051,4633,3538,4366,5088,4474,5675,5465,4416,5002
"COG0080",1117,1592,1544,1294,1308,1458,1005,1077,1363,1126
"COG0081",1760,2248,2531,1800,1831,2241,1603,2014,1560,1627
"COG0082",2199,2268,2652,2028,1702,2641,2126,2151,1908,1940
"COG0083",263,641,2072,150,198,387,242,154,67,94
"COG0084",2471,2522,3118,2900,2979,2094,1823,1701,1707,1840
"COG0085",7349,11112,9870,8005,9581,9583,8966,9524,9863,7729
"COG0086",7871,10965,9353,5665,5272,10275,9264,9994,9564,7556
"COG0087",1588,2329,2465,1797,1671,2057,1422,1763,1477,1447
"COG0088",1531,2235,1981,1875,1731,2102,1529,1700,1955,1756
"COG0089",600,1183,1297,950,1050,1268,673,796,1125,790
"COG0090",1658,2809,2502,1524,1337,2586,1581,2079,1652,1551
"COG0091",1042,1529,1558,1353,1098,1321,936,1170,1141,1004
"COG0092",1317,2330,2514,1445,1226,2158,1561,1583,1461,1307
