"","DLF010","DOM016","DOM019","NLM009","DLM001","DLM020","NLM017","NOF008","NOM012","NOF002"
"COG0001",1286,597,430,376,822,343,201,540,899,869
"COG0002",1944,2077,2265,2473,2190,2006,1935,1933,2152,2047
"COG0003",365,762,826,75,127,476,894,472,85,658
"COG0004",2328,1919,2767,4245,2668,1940,2051,1807,3109,2678
"COG0005",1728,1150,1051,1980,1507,1438,1386,1415,1542,1289
"COG0006",5205,6832,6268,6986,6812,6048,5313,6548,5288,6031
"COG0007",554,1040,448,428,520,305,338,360,343,930
"COG0008",7960,6128,6469,10276,8006,5692,4768,7082,7817,6195
"COG0009",3041,3027,2557,1574,2678,2560,2648,2931,2119,2288
"COG0010",1418,762,740,210,901,836,409,856,665,694
"COG0011",30,13,18,10,70,9,15,35,13,24
"COG0012",3372,2545,2461,2675,2919,2254,2112,2872,2555,2440
"COG0013",6332,5891,6639,5818,6076,5113,4441,6507,5618,5275
"COG0014",2278,2954,3141,1732,3154,2670,2196,2657,1834,2567
"COG0015",3290,3229,3207,4485,3507,2440,2872,3095,3323,2847
"COG0016",2911,2573,2628,1940,2659,2250,2466,2891,2464,2481
"COG0017",3378,3181,3496,3330,3276,3098,3320,3241,2974,3059
"COG0018",4711,4327,4197,3652,4439,3719,3066,4671,4020,3357
"COG0019",3818,5273,5139,5924,4828,4370,3675,4124,4732,4254
"COG0020",2391,1851,1576,2722,1872,1600,1329,2000,2161,1645
"COG0021",1693,3315,2289,3696,2958,2431,1623,2070,2219,1756
"COG0022",722,919,461,30,1281,1280,519,416,190,861
"COG0023",214,489,422,122,418,593,584,514,199,589
"COG0024",3501,3540,3326,3246,3259,2870,2620,3429,2826,2973
"COG0025",511,710,570,143,479,194,456,535,486,446
"COG0026",125,74,105,39,316,48,35,230,75,69
"COG0027",545,1483,1296,1835,1801,1423,783,852,1161,853
"COG0028",2677,4069,4352,4831,4098,5610,8555,4870,4947,7170
"COG0029",1030,2068,1986,1868,2110,2846,2031,2593,2261,2802
"COG0030",3840,3600,2188,4340,2488,2644,2604,3708,4629,2559
"COG0031",3483,2688,3133,2199,2939,2855,2231,3476,2679,3070
"COG0033",51,76,9,18,223,48,19,1,53,139
"COG0034",4156,4680,5116,7166,5982,4741,5200,4725,5463,3421
"COG0035",2076,1980,1806,2732,1896,1613,1966,2030,2068,1914
"COG0036",2965,1560,1285,2257,1538,1377,2352,1905,2438,1797
"COG0037",6059,4799,4963,5158,4329,3934,3862,5519,5081,4838
"COG0038",2464,4452,4148,3583,5141,4777,3320,4148,2857,4324
"COG0039",2653,3820,3552,3258,3545,3575,3491,3392,2624,3166
"COG0040",1537,1653,1572,2402,1798,1119,777,1057,1014,1033
"COG0041",1197,1410,1275,1602,1308,1028,1000,1283,1106,1098
"COG0042",3720,4133,3801,3037,3512,3926,3584,3713,3331,3369
"COG0043",327,438,136,19,544,438,209,550,398,378
"COG0044",3224,3586,3448,3337,3562,2751,2756,3398,2905,3284
"COG0045",229,526,207,74,398,652,588,165,210,1037
"COG0046",5767,6362,5936,8531,8311,5693,5150,5965,5826,5063
"COG0047",5135,5625,5242,7375,7637,4478,4665,5342,5346,4575
"COG0048",1653,828,925,1799,922,624,833,1009,1358,856
"COG0049",1910,1298,1482,847,1303,1107,1376,1509,1517,1310
"COG0050",3685,3854,3109,4446,3443,2453,3104,3377,3402,2686
"COG0051",1303,1011,1103,918,790,792,1132,1175,1231,959
"COG0052",2447,1608,1955,2696,1807,1384,1564,1817,2090,1733
"COG0053",2649,2442,2163,2525,2354,1686,1789,2337,2488,2190
"COG0054",804,1039,1067,1652,930,934,700,1031,1171,944
"COG0055",2047,2457,2399,2207,2504,2693,3320,3088,3505,3242
"COG0056",3281,4416,3959,4017,4128,3387,4518,3624,4180,3565
"COG0057",3743,2210,2684,3296,2739,1801,1590,2794,2754,2037
"COG0058",7670,6351,6809,6635,6252,5711,6382,7418,7621,6129
"COG0059",1704,2296,2378,2474,2507,1585,1585,1276,1504,1582
"COG0060",8008,5667,6634,6399,6932,5165,5567,6869,6510,5798
"COG0061",1199,1223,1247,1238,1486,1714,1627,1991,1865,1867
"COG0062",1898,2382,2090,3484,2625,2176,1910,1887,2234,1926
"COG0063",2214,2441,2279,3554,2855,2305,1911,2078,2379,2202
"COG0064",2467,1005,975,595,911,511,1190,1435,1416,1358
"COG0065",2128,2661,2777,3120,3327,2807,2457,2571,2792,3172
"COG0066",1128,1567,1357,1163,1479,1168,1175,1231,1226,1220
"COG0067",4027,5364,5204,4826,6708,6286,4872,4239,4733,4073
"COG0068",522,813,954,158,618,378,114,267,371,812
"COG0069",4183,5189,5312,5021,6958,6445,4937,4459,5056,4263
"COG0070",3740,4515,4865,4672,6676,6024,4591,3976,4547,3817
"COG0071",2753,1535,1494,2289,1317,1166,1405,1548,2406,1555
"COG0072",5844,4118,4111,5121,5615,3761,3322,4700,4922,4802
"COG0073",10167,8173,8291,9295,10051,6204,8467,8649,8936,8902
"COG0074",297,661,233,96,569,622,565,406,182,913
"COG0075",813,2418,1970,3258,1129,1662,895,1050,1483,1543
"COG0076",462,1555,1656,104,1349,1914,1433,1262,513,1749
"COG0077",1937,1529,1699,1867,2079,1624,1497,1593,1955,1685
"COG0078",3315,2698,3083,2207,3016,2145,2305,2966,2899,2277
"COG0079",4345,4738,4105,3719,3502,4552,4595,3845,4565,4088
"COG0080",1776,1264,1160,2256,1019,822,1082,1443,1606,1098
"COG0081",2365,1983,1874,2771,1777,1372,1910,2034,2184,1765
"COG0082",1798,2059,2085,1778,2564,1950,1664,2216,1909,2168
"COG0083",430,251,176,175,513,192,93,298,329,288
"COG0084",2821,3164,2760,2107,2840,2994,2247,2830,2257,2497
"COG0085",10270,9683,9033,9909,9502,7021,7714,9587,8924,7334
"COG0086",10499,7947,9092,11325,11524,7439,7486,9047,9605,7839
"COG0087",2284,1782,1745,2300,1527,1197,1577,1868,2049,1537
"COG0088",2363,1866,1903,2334,1643,1241,1745,1921,1890,1550
"COG0089",1430,933,896,1285,732,645,877,1032,1210,636
"COG0090",2712,1768,1929,2899,1990,1442,1850,2088,2343,1618
"COG0091",1649,1110,1231,1823,904,770,1007,1346,1472,1029
"COG0092",2307,1754,1701,2286,1712,1213,1347,1650,1902,1301
"COG0093",1002,612,771,940,680,579,889,1121,1194,934
"COG0094",2116,1685,1544,2062,1356,1191,1610,1661,1703,1577
"COG0095",997,729,324,507,686,931,536,608,431,799
"COG0096",1866,975,976,1826,1022,693,905,1134,1479,1036
"COG0097",2286,1304,1461,3024,1371,986,1376,1520,2085,1626
"COG0098",1967,1565,1535,2149,1474,1133,1025,1661,1743,1431
"COG0099",1668,967,1097,1158,931,701,940,1194,1246,877
"COG0100",1500,888,938,1712,1072,635,679,1062,1288,868
"COG0101",3047,2202,2003,2177,2091,1627,1670,2441,2313,2150
"COG0102",1715,1124,1067,1180,1240,874,1303,1372,1481,1244
"COG0103",1538,1131,980,1827,1001,886,1021,1313,1367,934
"COG0104",3402,2803,3157,3887,3390,2406,2610,2827,3492,2319
"COG0105",259,637,324,441,319,475,443,348,1553,383
"COG0106",1230,1530,1503,1594,1473,1338,1631,1448,1523,1582
"COG0107",1544,1510,1641,1783,1697,1525,1303,1379,1627,1882
"COG0108",1549,3037,2554,3354,2609,2453,2334,2493,2036,2571
"COG0109",90,49,1,0,23,20,22,1,0,66
"COG0110",4717,7671,7890,8599,6208,7314,10240,7845,6497,8862
"COG0111",5239,3594,4406,2416,5039,3390,3683,4619,3935,4015
"COG0112",3085,2764,2725,3221,3025,2144,2014,2727,2799,2308
"COG0113",471,492,260,265,481,347,241,333,358,664
"COG0114",787,412,340,120,437,285,144,305,290,320
"COG0115",2953,3135,3195,3612,3249,2727,2790,3351,3362,2856
"COG0116",1959,2000,1999,2444,1942,1701,1728,1849,2297,2302
"COG0117",1198,1933,1849,2865,1984,1762,1294,1908,1678,1868
"COG0118",1219,1274,1249,1750,1240,995,891,1124,1419,896
"COG0119",4525,5556,6334,6206,6120,4771,5866,5240,5763,5917
"COG0120",432,407,194,56,302,554,438,166,107,763
"COG0121",63,41,4,25,18,22,18,4,3,45
"COG0122",1496,437,486,317,617,178,183,677,421,349
"COG0123",76,200,78,9,176,137,55,78,133,107
"COG0124",3805,3136,3101,3849,3171,2904,2602,3485,3336,2853
"COG0125",1482,411,558,353,732,207,557,852,772,452
"COG0126",3402,2346,2421,3138,2998,1956,1636,3010,2735,2065
"COG0127",1731,1677,1434,1911,1548,1218,1825,1783,1904,1224
"COG0128",2140,2648,2498,2285,2816,1922,1692,2760,2281,1915
"COG0129",2591,4972,3946,3582,4855,3625,3289,3525,3389,3603
"COG0130",2462,1650,1647,1931,2306,1248,1666,1950,2023,1470
"COG0131",1081,1558,1929,1198,1918,1606,1171,1494,1222,1557
"COG0132",482,977,883,146,841,948,782,611,346,883
"COG0133",1386,1925,1718,2170,2297,1695,1429,1647,1554,1742
"COG0134",938,1355,1374,1451,1443,1283,1182,1200,928,1260
"COG0135",716,704,718,1472,624,632,631,763,917,689
"COG0136",2800,2062,2336,3005,2498,1078,1312,1580,1627,1438
"COG0137",1499,1904,1922,2128,2022,2496,2057,2507,2627,2815
"COG0138",3246,3770,3468,5234,4422,4252,3808,3698,3924,3784
"COG0139",1301,1610,1406,1272,1343,1379,1034,1363,1461,1439
"COG0140",1144,1466,1310,1236,1211,1369,972,1244,1360,1325
"COG0141",1796,2196,2176,2533,2539,2222,1741,2058,2114,2193
"COG0142",1891,2567,2262,4037,2590,3338,2719,3172,3512,3192
"COG0143",5048,4292,4488,4821,5143,3065,4101,4941,4009,3815
"COG0144",3729,3431,3416,2826,3294,2510,2626,4467,3460,3583
"COG0145",145,478,203,120,227,155,239,240,181,250
"COG0146",86,88,47,14,8,0,56,51,30,53
"COG0147",2080,3640,3186,2766,3633,3581,2739,2964,2595,3257
"COG0148",3280,3210,3627,3680,3272,3360,3252,3436,3225,3660
"COG0149",2369,1660,1776,815,1963,1654,1821,2165,1771,1999
"COG0150",2290,2498,2360,2334,2663,1440,1326,1524,1625,1263
"COG0151",2207,2454,2531,2816,2940,2256,2223,2297,2336,2131
"COG0152",2015,2144,2365,2559,2164,1953,1779,2239,2346,1979
"COG0153",2821,2649,2783,3491,2447,2102,2622,2828,2851,2366
"COG0154",2611,1422,1037,658,908,495,861,1663,1371,1225
"COG0155",212,309,103,59,336,64,184,94,59,228
"COG0156",2323,5890,5418,3179,4443,4914,3359,4057,2549,3250
"COG0157",1255,1682,1807,1876,1881,1043,850,1123,996,1099
"COG0158",154,187,44,39,79,38,34,18,84,76
"COG0159",1087,1330,1372,1715,1453,815,954,774,722,965
"COG0160",580,270,309,218,399,144,28,709,235,257
"COG0161",623,2389,1944,253,2318,2526,1777,1551,619,2056
"COG0162",3627,2595,2382,3337,2961,2438,1911,3012,2851,1910
"COG0163",254,320,120,19,380,141,72,229,152,132
"COG0164",2032,1459,1656,1589,1679,1152,1442,1667,1670,1418
"COG0165",2772,3026,2576,4026,3254,2983,2645,2094,3291,2889
"COG0166",3908,3212,3262,2947,3485,2887,2530,3586,3163,2883
"COG0167",2438,3352,3792,1243,4119,3508,3142,3602,2339,3499
"COG0168",5472,6334,6214,4870,6749,6155,5713,6438,6399,5971
"COG0169",2395,2153,1939,2345,2029,1690,1468,2010,2309,1900
"COG0170",10,0,1,1,1,0,0,1,20,0
"COG0171",3583,2781,3490,4706,4078,2694,2904,3558,3891,2115
"COG0172",4263,2669,2634,3068,3018,2372,2008,3127,3544,2305
"COG0173",3806,2219,2730,2279,2965,3073,3245,5269,4465,4341
"COG0174",2394,1879,1841,791,1998,1963,1774,1992,1981,3076
"COG0175",1193,1734,1289,490,1625,2096,967,1682,1343,1861
"COG0176",1228,1354,1050,297,873,906,1144,769,665,1093
"COG0177",2040,1548,1604,1787,1573,1188,1526,1748,1788,1648
"COG0178",8932,9508,8752,12019,11247,8922,6022,9329,9334,6582
"COG0179",840,1069,1142,1608,1404,1140,814,1023,1061,1138
"COG0180",3420,2590,2327,3238,2718,2238,2216,2900,2700,2048
"COG0181",261,340,172,159,267,209,266,294,294,598
