"","NOM025","NLM016","DOM001","NOM012","DLF009","NOF005","NOF010","NLF002","NLM024","NLM032"
"COG0001",441,415,740,913,973,599,289,651,322,1245
"COG0002",2020,1942,2026,2145,1562,2139,2107,2421,2561,2061
"COG0003",1542,19,405,85,44,570,131,221,201,46
"COG0004",2571,3638,2420,3181,1356,2686,3098,3067,4760,3154
"COG0005",1114,2035,1469,1519,930,1196,1688,1067,1743,1046
"COG0006",6856,7245,5951,5286,3977,6585,6649,5737,6881,5859
"COG0007",421,67,658,320,1123,664,336,1018,347,972
"COG0008",6265,8550,7217,7869,6049,4222,4733,4267,5522,4828
"COG0009",2651,1885,2623,2138,2216,2998,2416,2882,1815,2736
"COG0010",815,1323,1081,641,918,617,635,736,428,652
"COG0011",15,4,32,14,173,51,13,9,0,23
"COG0012",2237,2730,2425,2558,2102,2370,2493,2459,3388,2708
"COG0013",5540,5890,5093,5596,4747,5675,5849,5523,7165,5718
"COG0014",2695,2725,2426,1802,1784,2527,2600,2812,2691,2573
"COG0015",2960,3466,3361,3351,2786,3081,3456,3469,3719,3228
"COG0016",2257,2552,2451,2487,1868,2590,2168,2724,2141,2314
"COG0017",3503,3414,3051,2979,2412,3840,3502,2701,3453,4172
"COG0018",4524,4775,4228,3957,3351,4478,3940,4459,5248,4587
"COG0019",4713,5078,4501,4734,3520,5016,4934,5599,4570,5006
"COG0020",1374,2587,1935,2113,1162,1724,1721,1733,2196,1999
"COG0021",2462,3238,2956,2198,3399,1892,3019,2952,4877,1344
"COG0022",315,27,499,208,429,627,593,996,265,227
"COG0023",297,45,328,119,281,510,440,473,265,241
"COG0024",3181,3976,2922,2841,2174,3616,2721,3787,2540,3530
"COG0025",647,108,395,486,1746,410,349,633,366,423
"COG0026",264,13,296,72,1020,60,207,57,151,205
"COG0027",1118,1829,1801,1146,1097,865,1702,893,2239,440
"COG0028",6978,4539,4576,4959,7909,5901,5656,6309,4904,6197
"COG0029",2850,3328,2380,2186,2017,2754,2450,2690,4483,2514
"COG0030",2183,2353,3385,4643,3027,3158,2196,3088,3318,4019
"COG0031",2992,1809,2555,2700,2709,3012,2932,3003,2381,3206
"COG0033",288,34,64,50,1053,24,57,10,98,159
"COG0034",4192,7183,4765,5437,2993,4596,6030,4202,7691,4453
"COG0035",2100,2342,2194,2069,1331,2259,1960,1791,2377,1852
"COG0036",1724,2477,1664,2391,2090,1845,1607,2706,2115,2710
"COG0037",4527,4140,5387,5044,3603,5427,4525,5521,3600,6122
"COG0038",4338,4118,3826,2840,4592,3935,4295,3712,4287,3953
"COG0039",3099,2658,2962,2618,3006,3146,3225,4505,3488,3076
"COG0040",1770,2162,1765,1500,1571,1667,1905,1628,2054,1667
"COG0041",1443,1378,1239,1092,986,1442,1303,1467,1531,1448
"COG0042",4100,2148,3587,3302,4126,3742,3084,4210,2964,4475
"COG0043",230,76,1080,402,1099,318,292,432,264,532
"COG0044",3234,2465,3277,2913,3308,3318,3309,3903,3027,3870
"COG0045",353,38,165,144,799,246,281,517,156,79
"COG0046",6030,9429,6234,5837,4653,4035,4440,4140,6912,4259
"COG0047",5048,8887,5109,5303,3688,5228,5946,5084,9068,5658
"COG0048",419,841,640,904,663,783,836,1004,922,1128
"COG0049",1147,1175,1399,1540,1366,1584,1076,1489,653,1662
"COG0050",3347,4057,3230,3391,3379,3440,3295,3164,5070,3128
"COG0051",957,460,1187,1217,1079,1244,812,1220,668,1103
"COG0052",1403,2853,1816,2055,1685,1613,1857,1403,2526,1924
"COG0053",2774,2515,2507,2511,2412,2757,2139,2660,2628,2692
"COG0054",794,1624,1187,1180,1023,1089,1225,1048,1434,839
"COG0055",3672,3527,2913,3507,2635,3519,3434,3771,3395,3735
"COG0056",4621,4321,3424,4147,2683,4228,3950,4673,5216,4097
"COG0057",2375,3241,2769,2708,3434,2485,2515,2184,3405,2462
"COG0058",4449,3588,3968,5058,4459,7181,5923,6413,6002,8612
"COG0059",1545,1506,1395,1522,1421,2347,2255,2446,2335,2513
"COG0060",4764,6488,5660,6503,4849,5636,7090,5209,6946,6139
"COG0061",1592,2502,1693,1855,1779,1816,1846,1954,1829,2004
"COG0062",1742,3081,2097,2231,1908,1905,2652,2085,3290,2061
"COG0063",1956,3087,2214,2401,2034,2063,2780,2185,3250,2277
"COG0064",668,344,851,1415,1268,1122,705,1598,496,2258
"COG0065",2299,2421,2792,2798,2132,2649,3151,3179,2817,2916
"COG0066",1169,1593,1374,1245,1382,1432,1328,1593,1521,1281
"COG0067",5487,7534,4459,4747,3238,5647,5028,5445,6694,5606
"COG0068",642,36,484,370,1758,490,397,963,525,773
"COG0069",5600,8000,4806,5038,3188,3856,3443,3844,4528,3637
"COG0070",5138,7759,4338,4510,2919,5319,4588,4928,6422,5149
"COG0071",2307,3496,1592,2341,1633,2194,1824,1828,2078,1948
"COG0072",3048,4944,4366,4963,3368,3571,3552,4492,5103,4896
"COG0073",6771,10584,7946,8872,5475,7909,7538,8530,9440,8764
"COG0074",833,77,387,198,1696,264,363,599,331,123
"COG0075",1461,637,1212,1488,919,1157,2167,1680,2539,1562
"COG0076",1674,118,1307,525,2500,1199,1241,1257,727,429
"COG0077",1094,1134,1179,1276,1117,1683,1769,2099,2065,2046
"COG0078",3071,2325,3013,2889,3613,3021,2572,2921,2906,2955
"COG0079",4336,2447,4442,4638,3521,4580,5486,4970,2824,4636
"COG0080",1197,1414,1379,1613,1114,1421,1181,1418,1210,1487
"COG0081",1646,1904,1967,2178,1714,2146,1842,2034,2527,2069
"COG0082",2012,1452,2080,1858,1753,2029,2025,2008,1985,2096
"COG0083",676,51,468,320,913,345,369,360,178,592
"COG0084",1739,1495,1873,1518,2333,2641,2534,2825,1946,2765
"COG0085",9227,11658,8295,8923,6676,9850,8906,9920,10588,8728
"COG0086",6162,12888,8199,9622,7140,4645,5383,4560,6848,5567
"COG0087",1618,1674,1708,2062,1365,2009,1710,1936,2000,2002
"COG0088",1571,1698,1847,1892,1656,1804,1667,1885,1859,2003
"COG0089",884,870,1050,1229,862,1193,818,1138,943,1084
"COG0090",1663,2489,1833,2366,1558,1919,1900,2130,2616,2018
"COG0091",1114,1234,1293,1469,1116,1295,1064,1433,1276,1472
"COG0092",1250,1960,1516,1928,1024,1525,1484,1646,1961,1850
"COG0093",788,1165,1006,1186,1057,1046,940,1008,1160,1179
"COG0094",1533,1884,1558,1748,1384,1796,1488,1927,1656,1816
"COG0095",376,108,648,452,1151,410,298,847,257,225
"COG0096",839,1337,1387,1531,1175,1203,1039,1263,1210,1259
"COG0097",1292,2024,1600,2104,1592,1423,1559,1757,1728,1645
"COG0098",1489,2120,1477,1699,1230,1597,1455,1771,2002,1694
"COG0099",899,1225,1130,1221,976,1223,968,1145,1078,1302
"COG0100",753,1498,1036,1306,1134,841,900,929,1112,1187
"COG0101",2155,1360,2160,2299,1708,2443,2096,2909,2001,2777
"COG0102",832,1421,1182,1470,1218,1166,984,1160,744,1320
"COG0103",998,1498,1138,1388,1167,1218,1119,1174,1307,1315
"COG0104",2910,3524,3076,3479,2553,3417,3310,3604,3373,3353
"COG0105",515,55,419,1555,613,385,412,513,447,228
"COG0106",1538,1418,1532,1528,1239,1752,1671,1872,1371,1728
"COG0107",1644,1909,1415,1615,1256,1855,1647,1632,1550,1965
"COG0108",2328,3585,2588,2064,1531,2627,2555,2503,3439,1653
