"","NLM006","NLM001","DLM009","DOM024","NLM024","NOF007","DLM012","NLM029","DLM011","NLM025"
"COG0001",666,631,1474,533,339,259,405,1013,257,673
"COG0002",2265,2217,2574,2227,2527,2339,2363,2011,2401,2212
"COG0003",211,353,116,71,204,580,103,174,772,50
"COG0004",1741,3839,3934,3095,4702,2197,2914,3020,2078,3114
"COG0005",1105,1616,525,1343,1697,1151,462,1343,1372,1457
"COG0006",6543,7164,5647,6500,6854,6187,4484,5224,6731,7658
"COG0007",974,415,973,560,360,558,752,936,256,483
"COG0008",6665,7369,6538,5673,8415,5851,6868,7164,6192,9320
"COG0009",955,886,862,1016,641,3046,2653,2782,3254,2522
"COG0010",725,419,524,1653,422,441,500,724,591,767
"COG0011",9,19,5,20,0,24,1030,56,31,51
"COG0012",2407,2508,2909,2248,3380,2418,2358,3100,2495,2622
"COG0013",5495,6059,5267,5496,7151,4991,6014,6974,5272,5719
"COG0014",2597,2365,2431,2645,2676,2824,2927,2616,2911,2143
"COG0015",3532,3461,3134,2808,3799,3300,3896,3287,3101,3721
"COG0016",2199,2757,2691,2452,2175,2551,2620,2701,2350,2596
"COG0017",909,1076,813,1026,1091,3600,1531,2729,3436,3123
"COG0018",3922,4835,4050,4187,5206,1463,1552,1539,1478,1521
"COG0019",5113,5448,4801,5140,4487,4017,4544,4724,4133,5983
"COG0020",1814,2162,2043,1793,2189,1704,2448,1815,1734,2508
"COG0021",3484,3317,3181,2048,4868,1507,3169,2853,2545,3309
"COG0022",545,104,65,1011,259,244,207,336,236,113
"COG0023",644,243,88,582,271,707,116,281,784,79
"COG0024",2947,4409,2843,3209,2534,3632,2517,3980,3571,3758
"COG0025",997,901,703,366,366,175,4801,1033,546,355
"COG0026",135,97,1886,50,161,77,1905,71,76,72
"COG0027",1605,1235,209,1251,2176,1188,1828,530,1685,1608
"COG0028",4283,4477,5244,5800,4947,5231,8905,5337,4446,6172
"COG0029",3200,2750,2978,2881,4464,3110,1604,2304,3091,2999
"COG0030",5113,3033,3938,2649,3362,3910,4868,3888,2702,4202
"COG0031",2453,2773,3329,2976,2372,2694,2971,3416,2750,3068
"COG0033",68,77,284,22,99,10,2459,11,98,688
"COG0034",4639,5024,3623,4970,7636,1313,1497,1529,1679,1903
"COG0035",2173,2029,1750,2122,2391,2380,2091,1768,2127,2262
"COG0036",2337,2413,2916,1633,2111,1471,2084,2280,1593,2050
"COG0037",3926,4546,5593,5099,3600,5031,4376,5865,4805,4333
"COG0038",4012,3265,3275,4625,4220,4022,6942,3305,4725,3155
"COG0039",3607,3141,3849,3552,3476,3874,5309,2918,3225,3165
"COG0040",1808,1318,1472,1899,2066,1953,1907,1319,1979,2210
"COG0041",1374,1300,1537,1367,1523,1383,1393,1302,1564,1328
"COG0042",3634,3566,4402,4079,3062,4321,3813,3933,4097,3442
"COG0043",547,297,437,332,279,266,453,585,381,111
"COG0044",3053,3009,4476,3244,3034,3151,4038,3156,3135,2970
"COG0045",606,147,416,83,149,191,1849,100,219,586
"COG0046",5832,7845,5401,5935,10461,5942,6710,6922,5433,7538
"COG0047",5363,7322,3994,5112,9109,5330,6134,6421,5041,7054
"COG0048",825,1150,1399,815,940,790,1168,1293,637,1387
"COG0049",1524,1746,1876,1374,626,1387,1680,1719,1142,1588
"COG0050",2059,4169,3864,2960,5049,3088,3264,3382,2905,4056
"COG0051",1360,893,1197,1122,700,1130,1142,1247,1122,626
"COG0052",1976,2399,1932,1421,2526,1492,2055,2144,1639,2277
"COG0053",2363,2564,2584,2217,2630,2210,2009,2770,2460,2759
"COG0054",1222,1255,783,1205,1406,1132,384,1219,1445,1468
"COG0055",2304,3833,4688,3250,3384,2967,4257,5055,2905,3744
"COG0056",2840,4826,4293,3879,5228,3405,4674,5433,3543,4316
"COG0057",1962,3079,2852,2224,3356,1974,2912,2667,2382,3304
"COG0058",5493,8295,8158,5994,6019,6889,7795,7977,5620,6558
"COG0059",2213,2280,1726,2404,2342,2283,4515,2100,2448,2376
"COG0060",4705,6384,6888,5745,6969,5007,6530,7457,5146,5927
"COG0061",1849,1889,2154,1933,1828,1752,2296,1920,1817,2380
