"","NLM016","NOM018","DOM024","NOM014","NLM007","DLF007","DLM017","NLM006","DLM023","NOF005"
"COG0001",412,883,560,389,656,654,886,662,630,625
"COG0002",1957,2256,2228,2391,2453,1695,2640,2235,2420,2071
"COG0003",21,143,69,720,229,816,32,233,457,544
"COG0004",3681,2255,3119,2108,1128,1262,3702,1717,3131,2714
"COG0005",2029,1283,1331,1100,1013,1207,1370,1084,931,1176
"COG0006",7296,6296,6515,7044,6436,6485,6369,6565,5992,6595
"COG0007",62,879,563,595,685,347,727,1030,622,677
"COG0008",8506,6803,5763,5837,6716,4152,8127,6664,7749,6309
"COG0009",1892,3073,3017,3357,3207,3084,2251,2903,2643,2989
"COG0010",1323,345,1639,576,991,795,568,740,1356,612
"COG0011",4,108,22,23,28,63,18,12,67,58
"COG0012",2801,2548,2248,2604,2978,1670,3201,2413,2744,2385
"COG0013",5851,5689,5524,5667,5990,3855,6739,5459,6067,5560
"COG0014",2686,2595,2687,3117,3232,1843,3082,2636,2834,2534
"COG0015",3466,3503,2778,3025,3467,2655,3591,3524,3289,3139
"COG0016",2571,2389,2478,2622,2572,2051,2403,2198,2250,2543
"COG0017",3429,3520,3071,3193,3602,2607,3711,2792,4566,3786
"COG0018",4804,4449,4098,4283,5233,3172,4665,3915,4261,4523
"COG0019",5084,4779,5203,4714,4753,3798,4712,5121,5209,4943
"COG0020",2611,1837,1810,1798,1845,1731,1929,1804,1639,1679
"COG0021",3282,2647,2050,2811,2168,2010,3251,3455,1552,1923
"COG0022",43,97,963,330,331,1245,301,530,363,615
"COG0023",77,422,573,736,464,798,346,671,272,511
"COG0024",3997,4006,3261,4297,3765,3015,3196,2902,3077,3749
"COG0025",109,1325,361,358,513,323,392,962,278,402
"COG0026",14,169,51,98,90,58,102,140,105,60
"COG0027",1839,1192,1217,1579,1210,1278,1368,1572,713,803
"COG0028",4546,6879,5744,4990,5859,5019,5496,4419,6286,5901
"COG0029",1073,1012,921,1089,1003,2453,2977,3186,1889,2691
"COG0030",2352,3667,2711,2599,2831,4113,3448,4934,3408,3241
"COG0031",1882,2965,2987,2928,3220,2358,2942,2482,3315,2990
"COG0033",37,47,27,48,30,44,7,61,22,24
"COG0034",7251,4658,4962,4952,4475,3761,6115,4686,4426,4569
"COG0035",2314,1929,2107,2015,2292,1652,2404,2087,2297,2227
"COG0036",2491,2175,1649,1389,1461,1930,2266,2363,1822,1836
"COG0037",4077,5591,5044,4935,5062,1217,1598,1321,1657,1794
"COG0038",4127,3979,4586,4573,4692,4070,3924,3901,3999,3916
"COG0039",2687,3145,3568,4045,3254,3293,3215,3624,3105,3221
"COG0040",2160,1592,1881,1864,1461,1804,1970,1795,2299,1723
"COG0041",483,525,452,516,476,1179,1429,1381,1251,1474
"COG0042",2134,4403,4095,3963,4779,3134,4078,3549,4323,3831
"COG0043",86,183,336,350,154,257,246,506,585,316
"COG0044",2471,3389,3265,3561,3455,998,1208,1051,1131,1108
"COG0045",52,260,83,127,264,965,278,601,225,228
"COG0046",9489,7178,5919,5644,6843,3340,7892,5768,7058,6055
"COG0047",8902,6506,5061,4808,5523,2816,6962,5293,6240,5310
"COG0048",1268,1032,822,731,731,646,1140,784,659,808
"COG0049",395,477,497,422,440,1312,1197,1450,1252,1563
"COG0050",4043,3659,2910,3185,3947,2594,3630,2047,2691,3440
"COG0051",477,1022,1124,1066,980,1076,982,1326,1039,1219
"COG0052",2867,1874,1435,1618,1533,1350,2187,1904,1334,1580
"COG0053",2509,2583,2222,2306,2501,2249,2457,2374,2656,2733
"COG0054",1651,1198,1169,1197,970,781,1405,1206,935,1061
"COG0055",1239,1535,1085,973,1373,2012,3774,2239,4799,3487
"COG0056",4331,5324,3904,3609,4861,2484,4392,2835,5947,4193
"COG0057",3244,2197,2225,1969,2409,1616,2933,1928,2229,2480
"COG0058",5347,7605,5940,5783,5601,4834,6631,5432,7924,7128
"COG0059",2263,2550,2431,2543,2546,1918,2554,2182,1957,2417
"COG0060",6561,6670,5727,5740,5369,3998,6542,4775,6060,5626
"COG0061",2486,2087,1925,2100,1764,1332,1976,1860,2074,1787
"COG0062",3089,2424,2065,2371,1952,1533,2990,2305,1501,1944
"COG0063",3056,2482,2285,2478,2340,1547,3141,2346,2059,2035
"COG0064",339,1527,1340,765,730,657,1227,682,805,1102
"COG0065",2434,3108,2876,3331,3190,1974,2904,2254,2967,2658
"COG0066",1593,1437,1528,1921,1773,1480,1359,1594,1375,1452
"COG0067",7591,6132,5134,4468,2918,906,1934,1505,1901,1943
"COG0068",12,206,191,82,139,264,712,1164,306,479
"COG0069",8055,6178,4912,4443,3497,3057,6261,4355,6162,5911
"COG0070",2612,1902,1585,1358,810,2831,5606,3925,5927,5178
"COG0071",3521,1901,1802,1622,1620,3443,1819,2047,1631,2237
"COG0072",4903,4372,3469,2795,3260,2887,4593,4332,4041,3516
"COG0073",10499,8629,7034,6142,6298,5378,9465,8797,8110,7908
"COG0074",72,339,131,223,208,821,305,757,235,263
"COG0075",649,1922,1923,2308,1385,1137,1073,1248,877,1153
"COG0076",116,630,1366,1673,1316,1609,999,1009,807,1216
"COG0077",1664,1800,1976,1696,2063,1117,1970,1912,2361,1608
"COG0078",2301,2854,2752,3032,3297,1678,2992,2659,3864,3005
"COG0079",2451,4851,6432,6053,4482,4470,4247,3998,6358,4699
"COG0080",1396,1404,1312,1206,1242,1134,1321,1315,1113,1408
"COG0081",1875,2099,1748,1623,1721,1726,2382,1466,1478,2193
"COG0082",1442,1907,1878,2002,2242,1573,2168,1864,2519,2032
"COG0083",47,304,350,171,666,82,285,395,886,323
"COG0084",2152,2880,3070,3250,2726,1321,850,973,810,902
"COG0085",11637,10352,8247,7361,10376,7319,9342,7765,8545,9812
"COG0086",12937,9584,7433,6458,7562,4941,10310,6582,7874,6997
"COG0087",1676,1711,1658,1579,1663,1422,2008,1314,1608,2049
"COG0088",1722,1814,1696,1786,1768,1644,2012,1985,1483,1791
"COG0089",885,1065,1034,816,1019,1007,1032,1100,945,1233
"COG0090",2497,2036,1695,1339,1750,1250,2299,1504,1838,1950
"COG0091",1265,1355,1189,1075,1187,1087,1377,1549,1155,1343
"COG0092",1948,1896,1405,1492,1816,1263,1953,1529,1532,1543
"COG0093",1154,1018,921,743,798,801,1289,999,773,1038
"COG0094",1868,1858,1667,1637,1735,1794,1714,1800,1350,1779
"COG0095",104,112,627,287,216,978,338,941,379,406
"COG0096",1328,1169,928,802,962,1098,1332,1081,786,1194
"COG0097",2035,1680,1339,1050,1338,1275,1911,1346,1237,1411
"COG0098",2123,1741,1628,1490,1772,1303,1795,1335,1723,1574
"COG0099",1220,1150,1205,1047,1086,954,1144,1162,867,1197
"COG0100",1478,1186,956,919,1222,726,1200,754,942,868
"COG0101",1341,2685,2252,2313,2457,1997,2162,1951,2363,2439
"COG0102",1418,1301,1086,1140,1007,375,346,368,407,392
"COG0103",1494,1054,1106,1245,1231,1063,1291,1098,925,1200
"COG0104",3458,3587,3484,2351,3743,1955,3542,2408,4342,3389
"COG0105",57,418,286,482,439,722,294,798,255,376
"COG0106",1427,1560,1565,1586,1272,1482,1636,1409,1745,1773
"COG0107",1929,2038,1406,1308,1066,372,537,493,620,584
"COG0108",3582,2589,2144,2440,2400,2429,3049,2748,1676,2681
"COG0109",18,17,0,11,11,31,3,69,21,11
"COG0110",4076,5577,8794,9261,6980,11741,6395,8413,5900,7216
"COG0111",2056,4236,3611,3814,3711,3322,3951,5242,4391,3913
"COG0112",3224,2627,2272,2439,2135,1993,3041,2789,2546,2456
"COG0113",125,461,475,408,471,395,514,541,434,350
"COG0114",171,290,149,454,398,261,100,182,296,202
"COG0115",3069,3616,3094,3594,3354,2672,3504,2612,3215,3057
"COG0116",1423,2960,1733,1637,1928,1363,1808,2235,1973,2077
