"","DOM008","DLF004","NLF013","NOM026","NLM027","NOM017","NOM028","DLF001","NOM007","NOM029","DLM022","DLM024"
"COG0001",60,40,60,124,74,49,71,47,65,74,103,93
"COG0002",228,195,219,177,154,222,203,167,161,223,151,122
"COG0003",10,12,36,8,3,1,27,98,6,15,30,0
"COG0004",138,317,260,251,255,579,216,102,207,255,166,156
"COG0005",143,141,149,79,121,194,124,114,181,98,123,113
"COG0006",676,592,623,503,571,638,635,634,547,678,520,442
"COG0007",32,40,37,182,99,73,102,37,38,67,85,122
"COG0008",541,709,697,588,560,927,593,384,705,640,727,500
"COG0009",206,133,197,191,133,104,248,248,284,299,259,174
"COG0010",163,47,64,117,101,63,82,82,55,88,94,157
"COG0011",6,3,0,4,8,3,5,0,5,14,2,13
"COG0012",188,270,263,237,330,273,217,153,291,246,332,110
"COG0013",490,580,600,429,583,559,485,381,538,434,668,270
"COG0014",284,236,250,220,263,229,258,183,169,268,148,140
"COG0015",270,364,379,300,324,435,271,197,349,292,307,181
"COG0016",212,245,263,202,215,177,220,190,290,187,319,95
"COG0017",233,284,305,284,335,357,421,236,390,331,403,194
"COG0018",245,299,283,262,306,270,358,300,449,353,475,207
"COG0019",489,441,498,430,540,772,444,337,560,436,311,272
"COG0020",156,224,191,212,233,240,157,163,215,175,197,73
"COG0021",171,196,155,135,208,206,175,228,261,273,223,348
"COG0022",166,36,18,43,110,11,106,145,10,98,85,23
"COG0023",75,21,44,40,5,5,40,72,38,69,19,36
"COG0024",301,266,373,362,214,278,263,335,440,352,330,183
"COG0025",47,40,168,206,293,23,87,22,67,105,55,202
"COG0026",5,4,7,48,172,4,18,1,3,23,10,100
"COG0027",143,142,126,62,25,178,119,135,130,140,29,91
"COG0028",667,497,608,653,990,527,661,522,431,643,445,961
"COG0029",271,285,252,224,110,180,260,236,250,375,162,147
"COG0030",264,235,272,300,446,360,334,170,396,312,386,243
"COG0031",270,266,329,306,370,254,284,185,182,293,301,219
