"","DLM012","NLM004","NOF002","DLF006","DLF008","DLM005","NOF011","NOF012","DLM001","NLM031","DLM015","NOF007"
"COG0001",42,53,89,118,49,89,65,46,90,157,58,31
"COG0002",231,205,221,180,143,194,178,139,212,214,206,238
"COG0003",6,8,67,33,95,59,58,79,15,15,11,50
"COG0004",286,355,260,178,111,240,206,146,237,239,268,195
"COG0005",54,158,122,124,136,135,110,69,105,88,73,87
"COG0006",466,641,619,527,602,591,636,519,674,668,652,597
"COG0007",54,66,100,69,91,54,25,37,56,44,62,43
"COG0008",654,725,614,637,398,719,653,688,796,680,636,573
"COG0009",255,205,239,249,241,307,270,276,247,305,221,268
"COG0010",55,30,74,120,113,77,94,177,97,39,100,30
"COG0011",118,6,1,2,11,19,1,8,4,0,2,3
"COG0012",219,318,257,221,156,267,249,322,268,268,217,247
"COG0013",618,486,528,474,395,535,582,934,626,573,563,465
"COG0014",292,320,247,213,172,199,230,185,330,293,302,304
"COG0015",413,319,269,289,279,364,285,221,371,360,261,283
"COG0016",166,133,174,152,125,155,246,326,264,273,275,298
"COG0017",178,342,306,313,266,296,333,300,311,364,327,351
"COG0018",496,450,351,385,309,437,408,558,442,372,413,416
"COG0019",472,465,423,375,335,467,405,376,523,445,477,399
"COG0020",243,222,166,185,138,188,175,169,198,160,152,179
"COG0021",286,225,159,223,175,292,208,247,309,203,257,124
"COG0022",23,10,119,68,110,59,127,44,120,67,135,32
"COG0023",12,2,48,54,66,57,72,42,36,56,41,64
"COG0024",243,341,320,315,214,283,202,231,218,204,210,227
"COG0025",517,45,45,44,60,57,28,20,41,55,37,20
"COG0026",191,18,5,33,11,28,14,15,26,5,3,11
"COG0027",195,120,93,91,78,127,114,63,184,84,115,120
"COG0028",584,357,471,324,340,278,552,330,636,576,582,544
"COG0029",158,312,291,207,231,228,246,188,306,285,295,309
"COG0030",525,365,243,329,127,544,328,449,244,278,251,384
"COG0031",291,248,275,285,211,229,326,209,292,384,313,272
"COG0033",253,5,13,19,4,48,4,2,29,0,1,0
"COG0034",456,473,367,463,357,468,437,304,573,451,511,407
"COG0035",214,220,190,221,114,216,134,98,125,116,105,188
"COG0036",230,180,190,194,172,185,176,203,129,171,127,149
"COG0037",436,456,464,431,335,441,439,555,462,671,511,455
"COG0038",721,335,456,345,370,385,449,266,496,420,448,424
"COG0039",536,249,315,330,231,304,323,328,346,361,384,394
"COG0040",202,167,150,168,143,179,181,121,184,188,166,194
"COG0041",131,129,120,138,83,142,99,100,152,132,114,137
"COG0042",378,310,295,317,326,312,329,430,335,384,380,433
"COG0043",20,20,20,55,59,30,33,22,69,49,31,27
"COG0044",412,343,326,339,368,308,308,312,332,374,335,322
"COG0045",178,9,115,32,73,35,67,17,44,19,48,15
"COG0046",671,718,524,492,408,643,356,288,580,367,394,414
"COG0047",588,703,463,414,304,538,474,316,764,528,502,515
"COG0048",104,89,90,124,64,89,77,125,84,110,72,67
"COG0049",166,175,121,181,123,163,152,167,135,132,145,124
"COG0050",343,351,249,341,205,341,263,441,338,248,290,335
"COG0051",122,74,93,153,80,133,114,143,75,95,83,110
"COG0052",192,212,162,200,131,186,145,224,194,182,174,149
"COG0053",187,248,198,258,199,251,220,285,223,238,196,217
"COG0054",50,104,84,113,94,132,93,91,93,124,78,115
"COG0055",432,424,326,302,172,257,311,209,358,402,293,299
"COG0056",445,452,326,302,211,339,363,240,417,373,376,337
"COG0057",267,270,195,298,155,295,213,349,270,246,213,190
"COG0058",842,656,557,497,388,639,368,409,437,446,358,449
"COG0059",483,202,233,201,154,222,203,136,253,229,217,209
"COG0060",626,640,570,499,443,478,604,973,687,707,546,470
"COG0061",216,254,183,209,133,188,210,109,213,215,196,172
"COG0062",235,313,185,165,152,194,132,131,268,236,196,237
"COG0063",310,335,187,167,140,213,187,137,291,230,229,228
"COG0064",381,127,131,125,75,115,95,432,86,112,83,94
"COG0065",341,259,328,265,194,204,263,183,333,300,296,210
"COG0066",224,101,124,139,88,157,92,69,94,85,73,112
"COG0067",669,647,386,340,319,438,432,277,634,481,642,428
"COG0068",45,39,88,60,15,85,24,39,72,10,41,31
"COG0069",635,580,423,363,365,414,489,264,687,525,639,395
"COG0070",646,596,392,302,294,417,433,254,644,495,612,416
"COG0071",148,259,162,199,131,237,158,178,119,163,133,160
"COG0072",495,388,498,392,273,398,444,663,519,379,383,312
"COG0073",685,777,874,846,494,850,861,871,1038,857,760,707
"COG0074",156,6,87,70,95,57,49,39,59,14,38,21
"COG0075",51,180,136,128,156,102,136,80,114,196,174,226
"COG0076",98,6,159,146,139,106,141,97,151,92,171,100
"COG0077",232,197,180,155,127,173,161,111,191,187,196,169
"COG0078",288,280,227,312,195,317,248,222,313,278,278,254
"COG0079",339,369,400,457,371,390,393,334,360,567,509,753
"COG0080",139,148,114,160,72,166,101,168,117,117,117,121
"COG0081",252,149,180,229,141,226,166,264,173,154,171,168
"COG0082",279,221,229,215,134,155,169,139,270,230,197,146
"COG0083",216,30,32,48,41,66,15,27,31,19,10,14
"COG0084",335,237,246,286,305,302,270,352,287,307,277,308
