"","NOM026","NOF009","DLM017","DLM004","DLM012","NLM029","NLM024","NOM025","NLM031","NLM007","DLF013","DOF003"
"COG0001",112,38,103,30,35,101,40,52,139,55,143,44
"COG0002",202,200,282,196,245,176,278,201,223,221,210,197
"COG0003",4,22,5,31,12,27,23,138,15,23,58,94
"COG0004",229,193,394,111,275,308,494,242,232,117,282,166
"COG0005",97,147,156,95,27,160,196,104,131,120,132,115
"COG0006",460,654,654,719,442,467,740,659,652,645,543,636
"COG0007",132,36,59,31,84,99,33,40,55,60,78,37
"COG0008",594,556,840,462,656,713,810,637,719,659,739,633
"COG0009",312,293,225,312,290,304,170,262,303,326,295,233
"COG0010",115,123,52,41,52,77,45,85,53,105,72,99
"COG0011",7,3,2,1,107,7,0,0,2,3,11,5
"COG0012",239,233,332,213,242,286,350,217,254,254,251,228
"COG0013",389,536,681,471,621,697,710,566,587,556,574,543
"COG0014",247,320,318,263,269,249,266,238,283,339,261,248
"COG0015",296,293,347,307,383,313,356,297,288,347,352,296
"COG0016",200,279,211,246,267,240,229,197,264,240,251,209
"COG0017",250,270,371,305,155,264,311,326,343,342,273,311
"COG0018",125,145,142,152,164,166,522,457,380,505,424,361
"COG0019",389,451,470,398,488,452,463,477,452,423,476,396
"COG0020",237,147,210,193,253,198,219,133,160,169,177,151
"COG0021",207,245,311,231,307,254,491,254,213,228,165,272
"COG0022",31,85,29,83,18,36,27,53,71,39,80,109
"COG0023",29,87,37,113,6,26,26,53,64,45,57,63
"COG0024",360,391,346,309,274,379,250,321,270,369,366,297
"COG0025",171,59,32,17,495,88,48,69,59,39,59,28
"COG0026",37,6,11,9,191,4,16,28,1,4,21,15
"COG0027",66,175,152,153,184,45,245,117,80,119,109,84
"COG0028",642,470,552,442,874,504,494,717,568,616,554,531
"COG0029",226,332,295,327,165,198,481,272,298,299,267,202
"COG0030",283,243,360,350,469,371,313,224,304,245,407,287
"COG0031",321,255,273,291,308,333,233,316,374,309,274,293
"COG0033",10,5,1,8,267,2,8,33,1,0,13,19
"COG0034",339,508,667,489,420,430,715,397,439,438,589,399
"COG0035",197,199,236,176,200,153,251,232,223,199,194,175
"COG0036",210,159,212,183,231,233,213,167,179,128,185,127
"COG0037",538,497,486,378,420,599,325,433,607,529,532,500
"COG0038",435,468,365,474,647,336,402,419,387,452,445,400
"COG0039",303,389,305,358,545,294,354,309,351,311,343,337
"COG0040",137,189,179,196,182,145,215,158,167,159,209,137
"COG0041",166,130,160,126,144,128,165,129,145,138,133,117
"COG0042",454,429,420,379,384,425,301,409,320,481,338,357
"COG0043",72,53,29,12,39,61,30,18,45,16,42,30
"COG0044",313,356,333,236,427,321,313,337,375,340,353,315
"COG0045",57,60,24,54,180,14,12,55,14,31,33,41
"COG0046",467,583,802,478,715,732,998,664,557,644,713,524
"COG0047",376,500,724,429,621,625,862,523,541,560,581,448
"COG0048",145,70,108,53,104,127,94,69,106,64,108,85
"COG0049",152,132,96,126,168,183,70,114,148,160,147,121
"COG0050",393,367,347,267,335,339,478,302,263,390,279,282
