"","NLM009","NOM020","DOM015","DLF010","NLM025","DOF006","DLM001","NLF007","NOF009","NLM031","DLM013","DLM017","DLM016","NLM006","NOM008","DOM003","NLM004","NLM022","DLM015","NOM029"
"COG0001",8,7,29,20,16,2,21,12,6,34,51,19,4,14,12,12,18,24,13,15
"COG0002",51,55,43,37,61,29,44,58,40,34,37,45,57,47,37,32,45,51,43,45
"COG0003",0,1,3,13,0,39,5,4,3,2,7,1,2,5,7,0,1,4,5,4
"COG0004",82,66,55,56,68,27,49,80,40,62,39,67,49,31,45,92,82,45,48,54
"COG0005",42,40,21,27,29,19,36,27,29,28,26,27,26,22,27,35,35,31,11,17
"COG0006",105,97,89,70,109,110,80,83,88,88,109,103,131,126,114,107,127,120,128,135
"COG0007",12,9,12,14,8,8,13,9,6,14,18,11,6,23,4,18,8,22,8,22
"COG0008",206,164,119,162,198,97,172,154,116,115,148,163,131,135,109,146,154,152,129,135
"COG0009",30,39,67,50,61,47,51,61,60,55,66,39,54,66,55,46,44,64,43,54
"COG0010",5,10,15,33,12,25,24,12,20,7,25,6,21,22,9,18,7,13,18,20
"COG0011",0,0,4,0,0,1,1,0,0,0,4,0,0,0,1,3,0,1,0,3
"COG0012",67,66,60,64,64,32,60,56,45,46,43,55,49,35,24,36,40,39,21,39
"COG0013",111,133,115,141,128,104,120,116,113,124,123,137,126,103,133,93,90,88,128,90
"COG0014",34,55,67,47,36,52,69,72,59,59,30,35,36,29,30,23,46,28,31,42
"COG0015",94,59,68,69,86,67,75,75,46,65,83,62,51,72,60,67,80,64,51,72
"COG0016",34,47,49,65,42,34,57,53,45,50,48,50,43,47,55,53,23,44,66,41
"COG0017",52,65,66,71,70,60,68,73,76,69,45,72,63,57,59,41,74,62,48,59
"COG0018",65,76,96,90,87,77,83,91,83,72,94,106,86,86,84,95,74,75,71,61
"COG0019",128,87,83,84,116,67,92,85,86,72,94,93,95,108,90,84,99,109,94,82
"COG0020",53,37,35,59,55,41,33,35,31,42,43,41,38,42,33,26,53,27,31,29
"COG0021",88,76,56,37,54,51,47,49,30,44,35,60,44,53,50,71,28,52,62,49
"COG0022",0,1,18,18,4,23,31,5,15,16,17,13,21,10,12,3,3,11,17,23
"COG0023",4,5,13,2,1,12,8,4,16,13,7,8,11,12,11,4,0,4,15,13
"COG0024",50,51,67,60,82,64,66,74,69,59,36,49,38,36,43,38,48,48,39,41
"COG0025",2,14,3,8,7,11,15,10,15,7,10,11,19,20,7,25,7,14,10,15
"COG0026",1,1,1,4,1,0,9,1,0,0,2,1,2,4,1,12,5,5,2,3
"COG0027",45,26,19,10,33,21,29,21,29,16,9,33,24,31,38,30,25,15,33,21
"COG0028",154,120,135,78,109,97,133,112,89,109,86,115,108,78,126,110,115,173,107,134
"COG0029",53,65,68,35,57,62,70,58,54,73,60,62,76,56,64,62,73,69,53,65
"COG0030",81,54,62,69,91,56,44,80,49,63,64,73,44,106,37,63,63,53,44,55
"COG0031",33,38,65,82,65,56,56,69,41,63,37,36,42,21,35,28,36,54,39,36
"COG0033",0,9,0,1,12,3,9,0,2,0,2,0,0,4,0,19,0,4,0,5
"COG0034",137,121,98,74,117,78,120,141,89,101,97,133,96,102,95,123,100,101,89,84
"COG0035",51,35,35,36,49,31,38,42,42,35,25,31,28,33,37,36,22,27,20,25
"COG0036",51,39,29,61,29,29,34,30,28,22,42,53,31,47,26,43,36,46,35,48
"COG0037",110,93,92,115,92,84,103,95,92,130,89,108,130,68,82,65,90,103,113,91
"COG0038",82,68,92,49,47,83,81,78,94,64,36,55,46,64,51,53,45,45,49,73
"COG0039",63,61,68,53,58,77,66,51,69,66,63,72,79,76,62,84,69,66,78,59
"COG0040",53,49,33,30,44,28,31,34,37,41,30,26,37,33,30,33,29,34,40,36
"COG0041",25,34,28,26,26,23,26,29,24,29,16,19,15,18,16,13,13,23,10,16
"COG0042",51,73,69,79,71,71,77,72,83,56,64,79,81,71,77,47,83,82,79,86
"COG0043",1,4,7,8,1,4,14,3,9,11,14,3,12,3,9,18,8,2,5,12
"COG0044",62,78,64,54,70,72,77,58,79,81,59,61,58,43,38,32,48,48,53,39
"COG0045",1,10,2,3,9,10,11,3,9,0,4,6,2,14,2,23,1,6,16,16
"COG0046",180,175,139,99,137,96,179,129,112,104,105,99,78,84,76,104,95,97,74,76
"COG0047",142,171,98,89,125,86,155,115,113,114,106,129,106,99,112,124,131,118,97,77
"COG0048",27,15,3,18,17,4,12,17,10,11,17,22,17,9,15,28,25,16,24,18
"COG0049",20,22,22,36,27,16,32,27,20,23,29,23,28,25,29,41,53,24,29,29
"COG0050",79,94,60,75,67,64,63,73,79,58,71,55,67,35,81,95,66,78,62,63
"COG0051",20,4,22,31,14,13,22,27,21,27,27,13,25,29,14,14,13,18,23,24
"COG0052",65,48,30,46,43,24,37,35,24,32,25,43,34,52,38,43,54,46,34,22
"COG0053",43,40,50,49,65,46,43,67,49,40,58,52,52,48,39,39,38,48,33,41
"COG0054",34,41,15,20,33,12,18,26,21,25,16,35,16,24,24,32,18,21,19,18
"COG0055",68,96,77,54,62,42,74,95,43,70,46,64,85,50,40,85,67,97,59,57
"COG0056",79,92,81,50,92,62,79,134,77,85,68,80,96,40,59,99,89,117,88,63
"COG0057",64,48,36,75,77,26,41,47,45,44,61,45,48,42,56,74,53,35,46,47
"COG0058",120,108,127,156,130,83,130,160,97,136,118,115,105,100,111,150,131,169,113,116
"COG0059",39,47,48,31,54,30,53,47,44,40,43,50,44,62,54,46,35,49,40,41
"COG0060",135,123,108,171,121,91,128,159,107,135,150,133,133,82,122,99,124,159,105,113
"COG0061",35,44,43,38,43,28,48,45,37,37,49,42,31,35,29,41,47,33,51,42
"COG0062",73,60,33,36,73,43,72,45,41,45,58,58,30,48,39,46,63,57,55,73
"COG0063",79,76,39,43,67,37,55,53,40,44,66,61,29,44,23,85,72,50,48,52
"COG0064",7,9,26,59,21,5,17,34,4,19,50,24,15,16,3,21,26,27,17,15
"COG0065",65,50,67,46,56,34,61,59,38,59,54,32,37,29,39,26,34,44,46,40
"COG0066",16,26,26,15,20,18,21,17,18,17,18,24,18,35,32,27,31,16,27,22
"COG0067",86,138,93,71,120,75,140,123,92,93,108,107,85,96,83,90,128,146,130,99
"COG0068",6,4,5,9,4,3,16,2,8,5,20,15,11,23,3,26,11,3,7,8
"COG0069",111,155,95,97,110,94,133,133,81,130,111,136,86,94,91,108,111,141,123,104
"COG0070",99,141,79,56,101,44,135,99,83,112,97,94,89,78,102,141,103,128,104,99
"COG0071",57,58,22,57,45,25,31,32,26,27,33,33,36,33,30,62,56,42,26,38
"COG0072",89,100,65,123,102,56,131,104,78,72,121,81,75,78,76,73,74,64,86,88
"COG0073",188,170,143,180,221,109,221,170,93,175,178,164,158,174,123,178,149,176,144,132
"COG0074",0,4,2,4,9,13,9,1,3,2,6,8,6,12,7,29,3,11,9,7
"COG0075",40,7,21,11,20,35,19,5,21,28,22,21,33,27,27,26,42,25,27,53
"COG0076",0,12,23,8,3,39,38,28,34,21,8,24,21,14,34,26,4,23,41,26
"COG0077",38,39,51,44,54,11,38,28,24,37,50,39,33,32,42,45,57,39,34,42
"COG0078",45,43,54,77,41,50,48,52,53,61,62,56,58,44,54,72,62,62,51,53
"COG0079",85,67,87,67,90,77,67,100,104,118,105,72,95,81,97,79,54,77,95,97
"COG0080",45,27,24,36,32,14,16,31,24,23,23,19,23,24,19,38,39,28,18,33
"COG0081",58,41,28,41,28,37,34,41,33,34,50,52,29,21,37,37,37,35,46,40
"COG0082",36,40,52,41,47,38,61,53,38,42,37,39,39,44,44,45,36,53,32,23
"COG0083",3,6,7,7,14,0,11,8,2,9,17,3,3,7,7,22,11,5,4,2
"COG0084",42,48,58,55,66,47,45,51,66,44,58,56,57,52,46,60,43,51,48,77
"COG0085",206,181,154,219,164,166,187,210,186,129,205,164,158,130,161,207,197,180,174,180
"COG0086",244,220,173,223,230,103,246,221,148,168,191,228,182,128,168,197,231,165,161,161
"COG0087",44,38,32,41,37,26,24,38,26,26,43,39,34,25,28,37,40,31,30,31
"COG0088",48,36,32,47,40,25,31,35,34,34,39,38,28,43,20,39,33,39,27,36
