"","Sample.1.to.10","Sample.11.to.20","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0012",-1.5,NA,3850.07551167673,0.0298502058993058,"3","1"
"COG0031",NA,-1.5,4192.8277311567,0.0178467059787082,"3","1"
"COG0037",-1.5,NA,7184.77700670472,0.0217822201345484,"3","1"
"COG0041",NA,-1.5,1935.25121229434,0.0290557660092679,"3","1"
"COG0051",NA,-1.5,1496.40174287001,0.0283402604935207,"2","1"
"COG0058",-1.5,NA,9934.94436742584,0.0318824946156904,"3","1"
"COG0072",-1.5,NA,6345.02403175459,0.048766305217776,"3","1"
"COG0084",-1.5,NA,4103.22142481627,0.0202529715867466,"3","1"
"COG0090",-1.5,NA,2983.92459682939,0.063102184797062,"3","1"
"COG0093",NA,-1.5,1557.7027281484,0.0460110002792936,"2","1"
"COG0101",-1.5,NA,3384.71007762566,0.0233370494501127,"3","1"
"COG0120",-1.5,NA,534.683231537132,0.520606216142425,"2","2"
"COG0131",-1.5,NA,2225.33971440589,0.0427384351874688,"3","1"
"COG0134",-1.5,NA,2028.39057474905,0.0566524700698836,"3","1"
"COG0144",NA,-1.5,5084.15806387425,0.0237860453533983,"3","1"
"COG0152",-1.5,NA,3045.30752808988,0.0318597210441025,"3","1"
"COG0153",NA,-1.5,3970.39083907451,0.0358887534308553,"3","1"
"COG0180",-1.5,NA,3964.27747200193,0.0265158490165587,"3","1"
"COG0192",-1.5,NA,5150.17567931473,0.0427337420207448,"3","1"
"COG0202",-1.5,NA,3591.66197789573,0.0460823251079483,"3","1"
"COG0231",NA,-1.5,2380.2556438883,0.044714219603779,"3","1"
"COG0236",NA,-1.5,1698.64311047911,0.0644458833934343,"3","1"
"COG0239",NA,-1.5,731.640794248134,0.241846126212257,"2","1"
"COG0257",NA,-1.5,111.271276764089,0.420477104475633,"1","2"
"COG0262",NA,-1.5,2138.96877975428,0.0516049612969291,"3","1"
"COG0266",NA,-1.5,637.817781525153,0.328307488581034,"2","2"
"COG0274",NA,-1.5,2831.96076208591,0.076198507341623,"3","1"
"COG0276",NA,-1.5,120.683863279864,0.94931215147203,"1","2"
"COG0288",NA,-1.5,1009.61460981115,0.191098045175523,"2","1"
"COG0296",NA,-1.5,7767.89397521997,0.034896186121609,"3","1"
"COG0349",NA,-1.5,162.798730271928,1.52162713524437,"2","3"
"COG0357",NA,-1.5,2514.31845185234,0.0437999758453418,"3","1"
"COG0363",-1.5,NA,6607.8264650973,0.111313069534516,"3","1"
"COG0385",-1.5,NA,1721.78331155341,0.343571831172795,"3","2"
"COG0392",NA,-1.5,1245.27952143871,0.436065207139059,"2","2"
"COG0409",NA,-1.5,447.251406220936,0.43746283652121,"2","2"
"COG0419",NA,-1.5,6274.62845159672,0.103728114677762,"3","1"
"COG0423",-1.5,NA,4706.5404852586,0.0772207182509647,"3","1"
"COG0432",-1.5,NA,812.492707619856,0.184288394594655,"2","1"
"COG0446",-1.5,NA,7840.49443736699,0.0736781707858829,"3","1"
"COG0451",NA,-1.5,17300.0226566758,0.0932733441501996,"3","1"
"COG0456",NA,-1.5,1391.71376776719,0.154873239042469,"2","1"
"COG0482",NA,-1.5,5723.43827211339,0.0597237163215184,"3","1"
"COG0505",NA,-1.5,3418.78277853134,0.0355006464083297,"3","1"
"COG0507",-1.5,NA,17630.6499467672,0.0798885693014657,"3","1"
"COG0509",-1.5,NA,875.30323448897,0.253865698506624,"2","1"
"COG0518",-1.5,NA,5706.02318408256,0.030816798076343,"3","1"
"COG0527",-1.5,NA,8880.23096644785,0.0557593937853434,"3","1"
"COG0539",NA,-1.5,5885.08025764335,0.0398802155519576,"3","1"
