"","DLF007","DOM022","NOF010","DOM008","DOF006","NLM017","DLF004","NLM022","NOF005","DLF012","DLM028","NLM016","NOM022","NOM007","NLM023","NLM026","NOM028","NLF015","DOF007","DLM020"
"COG0001",656,795,292,468,294,214,409,843,598,1987,837,414,337,662,659,536,730,515,196,347
"COG0002",1668,1791,2068,2242,1787,1966,2039,2364,2154,2395,1879,1917,2054,1546,1844,2125,1900,1938,1799,2019
"COG0003",813,464,118,108,1661,948,102,215,523,32,78,20,175,107,362,162,364,445,319,464
"COG0004",1272,1684,3095,1365,1471,2017,3523,2855,2671,3597,2603,3641,3073,2292,1615,3209,2296,2394,1063,1991
"COG0005",1219,1717,1647,1481,1112,1379,1603,1153,1202,439,1290,1999,1549,1548,1058,1430,1149,1072,1603,1426
"COG0006",6463,6628,6592,6755,7378,5347,5777,5395,6559,3653,5492,7335,7629,5861,6078,5575,6212,6582,6162,6113
"COG0007",350,663,329,368,463,321,505,1171,645,2393,833,59,491,413,563,335,1011,515,271,299
"COG0008",4175,6834,7044,5305,5034,4779,6926,7394,6359,6286,6732,8571,6951,7288,5158,7761,5569,5611,4730,5740
"COG0009",3084,2486,2415,2841,2719,2642,2053,2958,3015,2356,2548,1857,2668,2590,2415,2680,2609,2289,2461,2551
"COG0010",811,649,605,1409,1030,394,616,687,605,400,1327,1323,399,581,1614,1311,877,1289,832,800
"COG0011",58,38,11,87,22,15,31,18,48,25,29,3,28,32,32,38,81,7,32,9
"COG0012",1676,3057,2519,2020,1983,2115,2758,2769,2398,2659,2344,2789,2205,3171,2294,3129,2218,2039,1848,2268
"COG0013",3863,6413,5933,4992,5182,4423,5792,5287,5719,4616,5754,5877,4979,5618,4888,6484,4845,6246,4137,5166
"COG0014",1872,2334,2597,2554,2683,2190,2567,2742,2504,2093,2391,2755,2641,1785,2395,2438,2351,2860,1895,2668
"COG0015",2695,3209,3501,2630,2867,2795,3393,3345,3041,2894,2894,3443,3101,3334,2604,3426,2690,2253,2826,2433
"COG0016",2039,2581,2221,2299,2344,2492,2293,2279,2575,2157,2201,2586,2473,3023,2538,2777,1994,2438,1989,2203
"COG0017",2652,3030,3456,2602,3218,3363,3018,3330,3842,3489,3280,3380,3158,3717,3418,3754,3730,3200,2703,3091
"COG0018",3155,4219,3873,3680,4238,3053,4185,4013,4452,3599,3924,4788,4411,4509,3585,4622,3909,4046,3229,3735
"COG0019",3745,4927,4953,4852,3483,3734,4486,4852,4944,6274,4221,5066,5489,5636,4257,4690,4425,3343,3686,4304
"COG0020",1755,1745,1692,1602,1636,1306,2078,1741,1730,1200,1533,2507,2235,2055,1482,1905,1582,1321,1641,1595
"COG0021",2019,3634,2969,2469,2623,1579,3103,2796,1931,1136,2485,3264,3083,2728,1795,1469,1998,2293,2628,2373
"COG0022",1181,705,572,1666,873,784,386,287,627,65,1009,40,153,151,1660,236,991,1868,992,1914
"COG0023",789,361,451,692,642,612,271,356,512,67,227,50,230,162,437,256,259,373,433,406
"COG0024",1957,2288,1830,1871,2101,1742,1749,2336,2478,1812,3021,3982,4272,4382,3349,3233,2661,3147,2880,2919
"COG0025",337,183,344,473,575,417,421,1106,406,460,790,104,274,586,377,802,820,281,294,205
"COG0026",58,279,220,89,73,34,43,223,65,165,401,19,46,48,187,86,205,37,85,48
"COG0027",1244,1400,1641,1611,1335,719,1416,918,845,267,886,1869,1755,1130,1012,743,1147,1247,1471,1448
"COG0028",5024,5214,5613,6585,5539,8530,5220,7645,5860,7455,6363,4535,4702,4247,5243,4661,6250,5797,5275,5659
"COG0029",2469,3256,2456,2572,3733,2078,2987,2844,2731,2644,2074,3341,3028,2391,2591,2459,2700,2969,2451,2815
