"","Sample.1.to.30","Sample.31.to.60","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0004",NA,-3,3934.02122616001,0.122313815003235,"3","1"
"COG0005",NA,-3,1965.97338231317,0.0896376832015732,"3","1"
"COG0013",NA,-3,8351.8494242059,0.031875523296228,"3","1"
"COG0021",NA,-3,3869.48093164533,0.119832664689565,"3","1"
"COG0038",-3,NA,6041.37794795551,0.046624351614864,"3","1"
"COG0057",NA,-3,3726.23665517464,0.0436070578144394,"3","1"
"COG0082",NA,-3,2957.58123869608,0.0222637501050805,"3","1"
"COG0094",-3,NA,2456.12460293869,0.0338947884632695,"3","1"
"COG0108",-3,NA,3463.80250387492,0.107915323755038,"3","1"
"COG0127",-3,NA,2477.82217946829,0.0348759713767358,"3","1"
"COG0131",NA,-3,2225.33971440589,0.0427384351874688,"3","1"
"COG0140",NA,-3,1852.27280283317,0.0545509911756038,"3","1"
"COG0141",-3,NA,3249.75843501587,0.0377481763944174,"3","1"
"COG0144",-3,NA,5084.15806387425,0.0237860453533983,"3","1"
"COG0157",NA,-3,2570.04884863802,0.0486742611439773,"3","1"
"COG0176",NA,-3,1960.8512700053,0.133048140084885,"3","1"
"COG0177",-3,NA,2419.4533528702,0.0192232932075302,"3","1"
"COG0180",NA,-3,3964.27747200193,0.0265158490165587,"3","1"
"COG0188",NA,-3,14622.8449400402,0.029593562783333,"3","1"
"COG0194",-3,NA,3110.49599456542,0.036725939461977,"3","1"
"COG0207",-3,NA,2480.04613525054,0.0913941266259236,"3","1"
"COG0224",-3,NA,3755.43854747315,0.0407113698089014,"3","1"
"COG0233",NA,-3,2377.71551440887,0.0290806092042458,"3","1"
"COG0238",NA,-3,878.531494667464,0.10972749706199,"2","1"
"COG0241",NA,-3,2343.27637225949,0.266032336968082,"3","2"
"COG0250",NA,-3,2784.45694970892,0.0404843373015697,"3","1"
"COG0266",NA,-3,637.817781525153,0.328307488581034,"2","2"
"COG0277",NA,-3,2333.40105944919,0.250720386920131,"3","1"
"COG0281",-3,NA,5071.27074697378,0.0667575611298465,"3","1"
"COG0282",-3,NA,4028.23122961119,0.0559235537892439,"3","1"
"COG0288",-3,NA,1009.61460981115,0.191098045175523,"2","1"
"COG0319",NA,-3,2001.128152886,0.0344076014161145,"3","1"
"COG0324",-3,NA,4558.41369787948,0.0548175358143394,"3","1"
"COG0328",NA,-3,815.767270009735,0.453384927323109,"2","2"
"COG0330",NA,-3,4166.08439311769,0.0771262217767753,"3","1"
"COG0338",-3,NA,1971.04385637705,0.23003231479456,"3","1"
"COG0371",NA,-3,1700.79815500974,0.188509480815049,"3","1"
"COG0400",NA,-3,109.827120663163,1.64339007898822,"1","3"
"COG0410",NA,-3,1308.85328663393,0.173426917651857,"2","1"
"COG0417",-3,NA,117.684012423693,1.90815861552816,"1","3"
"COG0427",NA,-3,3849.22279541275,0.16628887883028,"3","1"
"COG0432",NA,-3,812.492707619856,0.184288394594655,"2","1"
"COG0448",-3,NA,4748.99038703996,0.204748689112701,"3","1"
