"","NOF010","NOM014","DOF009","DLM002","NLM032","NLM021","DLM014","NOM022","NOM018","NLM016","DOM018","NOF009","NOM004","DLF007","DLM008","NOF008","NOM010","DOM022","DOM013","NOM017"
"COG0001",0,2,1,2,1,2,2,0,1,1,1,0,0,0,1,0,0,1,0,0
"COG0002",2,2,10,7,3,2,4,1,1,3,11,4,3,5,3,4,3,4,8,3
"COG0003",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,1,1,0
"COG0004",2,7,3,9,9,5,2,5,3,4,7,3,1,3,5,2,4,2,4,10
"COG0005",3,1,2,1,2,0,4,2,4,5,3,1,2,1,2,4,1,4,0,5
"COG0006",14,14,15,17,16,17,19,16,17,21,6,10,17,8,10,14,28,16,17,11
"COG0007",0,0,0,1,1,0,0,0,2,0,3,1,2,1,0,0,2,1,1,1
"COG0008",6,1,6,6,3,3,7,2,6,9,14,12,16,12,10,10,11,14,11,20
"COG0009",5,4,9,4,9,9,4,4,5,4,6,3,7,12,7,4,6,8,1,1
"COG0010",1,0,2,1,0,1,0,1,1,1,1,2,3,3,2,4,2,1,3,1
"COG0011",0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"COG0012",6,4,6,7,3,9,4,3,5,2,6,4,2,3,7,5,5,6,8,4
"COG0013",9,10,9,8,11,7,16,5,11,11,13,6,12,10,8,12,15,15,12,14
"COG0014",3,7,5,3,7,5,9,4,5,6,8,4,3,6,4,6,6,2,3,4
"COG0015",4,5,5,3,10,7,5,8,5,6,8,2,6,6,5,4,5,3,8,12
"COG0016",3,8,7,3,4,6,9,5,2,9,4,5,4,6,4,4,3,7,7,5
"COG0017",7,7,11,7,4,10,7,12,11,4,2,6,8,4,6,6,4,6,8,3
"COG0018",6,12,5,9,14,7,8,10,8,11,9,12,6,3,9,7,10,8,12,9
"COG0019",10,9,8,16,13,7,11,15,17,14,12,7,7,7,12,7,10,11,7,14
"COG0020",5,4,1,2,3,4,10,4,8,1,4,2,1,3,0,2,1,4,5,5
