"","NOF006","DOF003","NOM014","NLM007","NLM022","NOM027","NOF010","DLF004","DOM010","NLF005","DOF009","NOM028","NLF010","NLF015","NLF012","NLF002","DLM004","NLM028","NOM015","NLM001"
"COG0001",601,454,399,643,874,2006,292,393,806,480,552,742,490,518,846,654,346,391,539,637
"COG0002",1796,1904,2384,2459,2297,3120,2104,2055,2180,1971,1943,1905,2176,1948,2320,2403,2105,2333,2211,2192
"COG0003",735,766,738,233,224,42,127,100,751,168,403,370,1303,456,476,216,242,168,531,360
"COG0004",2047,1796,2115,1123,2855,3299,3078,3498,2081,2919,1997,2308,1549,2446,2822,3088,1172,2190,2998,3839
"COG0005",1304,1316,1120,1038,1121,1048,1642,1623,1055,1565,1273,1164,856,1105,1449,1074,1164,1004,1250,1621
"COG0006",3944,4096,4706,4267,3606,2384,4352,3912,4585,3646,6351,6245,7357,6585,6426,5757,7093,5916,7048,7162
"COG0007",232,443,584,715,1214,2492,320,500,1028,672,293,984,504,505,571,1031,319,895,290,419
"COG0008",4978,6124,5825,6632,7340,8037,7003,6877,6736,6707,6914,5599,4797,5648,6285,6369,4573,6444,6749,7357
"COG0009",2634,2574,3361,3213,3016,2584,2372,1998,2708,2602,2878,2621,3428,2267,2755,2885,3239,3093,2863,2615
"COG0010",856,960,579,1004,668,960,596,615,1100,992,974,880,614,1301,810,711,375,799,876,400
"COG0011",15,28,24,26,21,446,9,34,27,24,146,82,9,9,18,8,13,39,11,22
"COG0012",1804,2196,2592,2971,2724,2747,2450,2752,2922,3088,2566,2206,1800,2093,2597,2454,2029,2569,2347,2521
"COG0013",4690,5269,5644,6096,5363,6214,5829,5782,6786,6040,5485,4877,4913,6246,6077,5537,4894,5046,6613,6060
"COG0014",2440,2197,3144,3248,2674,3010,2560,2619,2971,2214,2127,2362,2556,2800,2995,2779,2569,2895,3068,2400
"COG0015",2410,2806,3031,3464,3355,3699,3380,3349,3221,3487,3642,2702,2538,2288,3168,3451,2824,3418,2987,3480
"COG0016",2142,2379,2624,2621,2311,2698,2147,2278,2629,2886,2347,2029,2440,2450,2506,2725,2298,2492,2568,2754
"COG0017",2786,3336,3177,3599,3422,1289,3532,3010,3152,3456,3112,3689,2812,3258,3235,2673,2923,3679,3552,3166
"COG0018",3530,3666,4297,5169,3969,4969,3858,4215,4441,4615,4090,3961,4644,4040,4376,4509,3995,4657,4886,4822
"COG0019",4529,3953,4733,4686,4904,6944,4993,4489,4150,5410,4547,4370,5367,3400,5005,5619,4006,5336,4511,5428
"COG0020",1508,1483,1813,1855,1723,2046,1675,2120,1594,1747,1860,1601,1888,1324,1691,1725,1692,1709,1561,2132
"COG0021",1972,2443,2794,2152,2745,6184,3037,3123,2313,2410,2630,2019,2743,2330,2202,2972,2461,2169,2207,3358
"COG0022",1640,1058,318,323,311,85,558,385,331,313,381,1016,864,1883,684,1009,955,626,819,105
"COG0023",780,500,756,491,351,26,432,281,534,325,635,402,872,570,483,476,910,352,609,244
"COG0024",2017,2075,2818,2458,2323,1906,1842,1813,2285,2697,3461,2634,3417,3202,3597,3796,3354,3409,3537,4359
"COG0025",204,395,357,505,1075,2283,341,412,1070,1015,1598,812,224,294,357,645,192,747,243,887
"COG0026",64,165,96,83,209,958,198,42,218,55,354,207,43,42,132,58,96,40,177,85
"COG0027",944,635,1026,800,592,630,1124,914,977,700,1450,1156,1512,1203,1175,909,1624,833,1146,1217
"COG0028",5623,5499,4976,5890,7697,6845,5621,5206,5389,5091,4729,6245,4201,5764,5754,6309,4450,8346,5751,4479
"COG0029",2647,2254,3218,3049,2835,2408,2474,2965,2912,2567,2647,2696,3101,2934,3113,2702,2767,2778,3036,2782
"COG0030",2028,3233,2588,2831,2447,3620,2247,2373,2440,3022,2324,3230,4123,1705,2540,3033,3525,2887,2371,3064
