"","Sample.1.to.10","Sample.11.to.20","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0006",NA,-3,8617.74802304628,0.0368935199030999,"3","1"
"COG0009",-3,NA,3710.60680105775,0.0184866514694055,"3","1"
"COG0016",-3,NA,3408.17052042789,0.0198703027414118,"3","1"
"COG0040",-3,NA,2360.85937732529,0.0496790872671743,"3","1"
"COG0047",-3,NA,7757.46929806925,0.0679577403671999,"3","1"
"COG0053",NA,-3,3337.82620221881,0.0179835418489087,"3","1"
"COG0061",NA,-3,2663.68159976697,0.0230073253997884,"3","1"
"COG0063",-3,NA,3384.14481152974,0.0588111689815026,"3","1"
"COG0075",-3,NA,2019.94192192876,0.199603734171239,"3","1"
"COG0078",NA,-3,3833.56091314702,0.026252592445751,"3","1"
"COG0083",-3,NA,588.649331292968,0.390533268819377,"2","2"
"COG0101",-3,NA,3171.14893478011,0.0222105870984869,"3","1"
"COG0110",NA,-3,10118.7537758949,0.118329953723375,"3","1"
"COG0119",NA,-3,7657.52148290115,0.0392284477113147,"3","1"
"COG0122",-3,NA,855.89393697138,0.217332221625655,"2","1"
"COG0136",-3,NA,3154.82507043451,0.0390332304209155,"3","1"
"COG0163",NA,-3,306.322637925266,0.340428723825698,"2","2"
"COG0182",NA,-3,497.030004177069,0.277474118270277,"2","2"
"COG0187",-3,NA,11635.9758735915,0.0237762062574498,"3","1"
"COG0199",NA,-3,924.213789528157,0.0997530203487346,"2","1"
"COG0206",NA,-3,4226.24856980638,0.0506674020346355,"3","1"
"COG0230",-3,NA,365.543144852925,0.192319531009968,"2","1"
"COG0232",-3,NA,3660.10080606817,0.0733085089170787,"3","1"
"COG0246",NA,-3,5092.22537017628,0.15052428815553,"3","1"
"COG0252",NA,-3,4486.7231278898,0.0673031156523877,"3","1"
"COG0264",NA,-3,3317.19449608736,0.0207775722291179,"3","1"
"COG0279",NA,-3,737.400034166842,0.364985672966365,"2","2"
"COG0283",-3,NA,2214.41262579904,0.0567076472188286,"3","1"
"COG0284",NA,-3,2834.26968374682,0.0269877761048049,"3","1"
"COG0286",-3,NA,9184.37628338249,0.125505302925743,"3","1"
"COG0299",NA,-3,1886.63962400117,0.0734220953594764,"3","1"
"COG0305",NA,-3,6136.08057587846,0.0333999841514229,"3","1"
"COG0318",-3,NA,6276.04154000475,0.0805798436572816,"3","1"
"COG0334",-3,NA,6073.27508331945,0.0367487287468622,"3","1"
"COG0344",-3,NA,1256.37130753727,0.19818096042598,"2","1"
"COG0346",NA,-3,3385.22365780707,0.100094303499748,"3","1"
"COG0351",-3,NA,3062.98303738698,0.10753115089082,"3","1"
"COG0359",NA,-3,1841.4823909633,0.0237970036679391,"3","1"
"COG0366",NA,-3,19166.6783512144,0.130420269103031,"3","1"
"COG0375",NA,-3,366.956602387454,0.261274949216532,"2","2"
"COG0378",-3,NA,788.743903841173,0.255589316160695,"2","2"
"COG0380",NA,-3,902.215396398561,0.498357069036829,"2","2"
"COG0385",NA,-3,1577.65457551746,0.308173541440401,"3","2"
"COG0390",NA,-3,684.069617408584,0.363520870979049,"2","2"
"COG0425",NA,-3,2379.84431065147,0.353097018301508,"3","2"
"COG0432",NA,-3,795.977193630647,0.180721723787166,"2","1"
"COG0437",-3,NA,877.18907232404,0.522123854446349,"2","2"
"COG0445",-3,NA,6739.19720377278,0.0304374227760371,"3","1"
"COG0448",NA,-3,4351.880108534,0.188305049899618,"3","1"
"COG0474",NA,-3,11795.829777043,0.0542864082444824,"3","1"
"COG0476",-3,NA,2032.12954337541,0.112524828095204,"3","1"
"COG0480",NA,-3,20864.4586304459,0.048959703554174,"3","1"
"COG0491",NA,-3,3864.21116235653,0.03478269734335,"3","1"
"COG0509",NA,-3,874.156466551961,0.236753730227931,"2","1"
"COG0515",-3,NA,8247.92698735995,0.216631249387992,"3","1"
"COG0520",-3,NA,4484.72524418917,0.0301665383078277,"3","1"
"COG0526",NA,-3,14927.4130118349,0.120557962356873,"3","1"
"COG0552",NA,-3,2528.64294296887,0.0340836601145652,"3","1"
"COG0553",-3,NA,9773.37850736779,0.150714439377895,"3","1"
"COG0558",NA,-3,1977.38691493514,0.0833831187559603,"3","1"
"COG0568",-3,NA,4523.72688423062,0.193085419655338,"3","1"
"COG0583",-3,NA,18096.0215930019,0.107681253670406,"3","1"
"COG0600",NA,-3,2046.68835295354,0.127407005162498,"3","1"
"COG0609",NA,-3,4871.9562490688,0.0408773959278845,"3","1"
"COG0613",NA,-3,1578.59050500331,0.144273626008667,"3","1"
"COG0631",-3,NA,2701.38429386901,0.201070029008639,"3","1"
"COG0641",-3,NA,8336.00052872289,0.113406245776684,"3","1"
"COG0662",NA,-3,1651.26151229193,0.236413145973715,"3","1"
"COG0676",NA,-3,118.775303147114,1.88266167446013,"1","3"
"COG0679",-3,NA,3605.07156283843,0.154457899315123,"3","1"
"COG0681",-3,NA,6586.38934904631,0.0368009535571673,"3","1"
"COG0689",-3,NA,300.161961381779,0.611158236249063,"2","2"
"COG0733",-3,NA,7413.90862723707,0.0918824135172056,"3","1"
"COG0747",NA,-3,5434.23844927471,0.246456453133645,"3","2"
"COG0765",NA,-3,5716.92221526831,0.195164930829884,"3","1"
"COG0766",-3,NA,5101.96238600169,0.0380424461161077,"3","1"
"COG0769",NA,-3,5793.77032905779,0.044040948891806,"3","1"
"COG0774",-3,NA,2330.09641053553,0.223727470219811,"3","1"
"COG0784",-3,NA,17790.9766655708,0.0774605283681507,"3","1"
"COG0791",NA,-3,5859.13025929949,0.113828751015641,"3","1"
"COG0792",-3,NA,1477.70661305411,0.041476717450018,"2","1"
"COG0793",NA,-3,17607.4346263225,0.208787856516196,"3","1"
"COG0794",-3,NA,1971.5913539582,0.16858025927322,"3","1"
"COG0820",-3,NA,3804.85611285826,0.0517669510452045,"3","1"
"COG0823",-3,NA,2171.46738255058,0.377618007448476,"3","2"
"COG0827",NA,-3,10519.3067268484,0.164155154178409,"3","1"
"COG0843",-3,NA,103.817128674898,2.17511513115423,"1","3"
"COG0851",-3,NA,247.023479257199,0.355905093393002,"2","2"
