"","DLM023","NOM026","DOM010","DOF004","DOM018","NLF012","NLF001","DLM018","DLF012","NLM023","DOM023","NOM005","DOM003","NOM019","DLM014","NOM009","NOF012","NOF008","DLM019","DOF009","DLF003","NOM025","DOF003","DLM027","DOF007","NLM021","DLF010","DLF008","NLM031","DLM009","NLM022","NOM002","DLM022","NOM010","DLF007","DLF005","DOM015","NOM022","NOM027","NLM007","NOF007","NOM008","NLF002","NOF010","NOF009","DLM020","NOF014","NLM010","DLM021","DLM005","NLM032","NLM026","NOM018","NOF006","NOF013","NLM008","DOF011","DOM026","NOM012","NLF013"
"COG0001",626,1087,793,1082,1514,846,688,701,2025,681,407,1115,721,1983,501,725,458,564,1079,529,546,439,437,550,200,1081,1300,525,1421,1517,873,1732,1066,696,661,704,1465,301,1940,671,256,456,652,283,426,343,734,1032,434,913,1222,510,811,600,420,329,796,1054,896,600
"COG0002",2406,1980,2097,2440,2562,2315,2090,2535,2334,1880,2477,1851,1875,2373,2233,2257,1477,1951,1787,1982,2246,2044,1844,1899,1778,2201,1957,1473,2155,2495,2351,2289,1505,2115,1663,2138,2279,2083,3056,2430,2357,2241,2431,2043,2077,2032,2044,2184,2459,2013,2103,2143,2278,1802,1906,2224,2395,2133,2180,2309
"COG0003",310,22,466,201,140,313,63,317,30,250,72,31,3,145,171,0,445,341,248,273,36,985,506,441,210,110,248,675,93,85,213,318,332,506,813,8,182,195,38,228,564,677,224,118,207,462,161,562,151,524,49,152,137,728,860,46,414,717,93,376
"COG0004",3151,2444,2067,2122,3644,2795,2574,3106,3719,1576,3491,2528,3784,2896,1895,3847,1549,1743,2812,1998,3420,2577,1766,4000,1071,2602,2328,1293,2465,3916,2883,3498,1778,2760,1237,3147,2186,3114,3380,1119,2199,2157,3068,3092,1869,1955,2725,3101,2851,2359,3109,3227,2189,2044,2706,2587,4736,3022,3154,2564
"COG0005",965,813,1126,1246,1370,1424,1023,1085,471,1021,1751,931,1372,1737,1520,1068,881,1434,988,1297,1894,1114,1340,1348,1632,1398,1704,1311,1309,521,1131,1096,1144,1193,1214,1218,1464,1581,1036,1011,1142,1366,1079,1639,1397,1441,1572,1162,1401,1308,1092,1391,1349,1318,1423,1341,1697,1103,1529,1403
"COG0006",5965,5198,6800,6448,5535,6436,6030,6233,3639,5993,7174,4976,6226,5857,6703,5775,5500,6637,4666,6391,5859,6826,6131,5531,6255,6428,5261,6011,6579,5650,5391,5186,5029,7197,6409,5837,6081,7720,3512,6505,6154,7022,5767,6574,6685,6066,4764,5395,6450,5921,5773,5524,6307,5977,5933,6162,7355,6409,5311,6447
"COG0007",601,1634,1041,931,795,572,795,905,2317,594,436,1342,825,836,434,1059,401,359,570,314,288,421,444,766,258,654,555,773,429,956,1183,2313,820,450,362,905,583,476,2601,678,543,232,1029,326,399,292,328,912,301,533,986,310,890,228,274,867,736,1126,340,529
"COG0008",7941,5676,6765,6422,7526,6234,5551,8194,6300,5199,7961,6353,7858,8714,6768,7504,6977,7056,8264,6876,8900,6281,6246,8225,4709,6993,8104,4203,6771,6658,7123,6517,7652,6679,4160,7038,6537,7016,7868,6727,5864,6186,6412,6882,5334,5725,6454,5857,7090,7184,7444,7799,6765,4995,5825,6481,6890,5560,7918,6951
"COG0009",2605,2754,2629,3011,2862,2794,2790,2718,2359,2397,2477,2411,2021,2993,3006,2610,2536,2940,2581,2900,2340,2657,2606,2685,2451,2744,3029,2279,2846,2837,2949,2746,2746,2850,3066,2573,3263,2699,2603,3231,3055,2526,2890,2439,3031,2576,2834,2801,2898,2809,2746,2619,3073,2632,2465,2748,2636,3059,2111,2797
"COG0010",1375,1236,1108,766,909,793,1239,486,407,1667,470,1028,560,977,721,645,1726,829,1724,955,463,837,996,692,852,981,1424,1432,488,555,694,769,900,534,799,725,767,406,1040,998,457,402,732,628,1079,822,1154,1249,974,785,633,1303,338,853,779,373,429,507,654,652
"COG0011",64,61,26,62,36,15,21,203,35,21,5,28,150,23,33,25,76,34,65,144,20,15,24,231,28,11,20,96,9,6,21,85,40,77,62,20,246,25,457,24,26,25,9,10,23,9,15,32,23,194,24,40,104,16,71,22,11,17,10,23
"COG0012",2675,2428,2998,2447,2851,2591,2191,3005,2648,2309,2804,2300,2317,3062,2759,2935,3260,2811,3028,2570,3025,2267,2147,3165,1897,2715,3348,1566,2495,2998,2713,2160,3386,2323,1682,2819,2375,2151,2693,2967,2425,2602,2465,2468,2250,2309,2829,2336,2701,2503,2782,3103,2592,1823,2275,2531,2051,2030,2563,2743
"COG0013",6000,4029,6648,5424,6409,6081,5304,6390,4565,4884,5920,4407,5304,6183,6398,4909,9224,6446,7076,5502,6395,5502,5422,6950,4126,6285,6334,3826,5935,5358,5297,5265,6456,6015,3850,5889,5881,4894,6214,6067,4926,6207,5515,5905,5218,5148,5629,5451,6360,5437,5614,6522,5694,4680,4884,4753,5067,5025,5530,6088
