"","DOM003","DOM024","DLM013","DLF014","NOM008","NLM016"
"COG0001",16,11,51,18,15,7
"COG0002",28,51,41,53,47,29
"COG0003",0,2,3,10,14,0
"COG0004",79,61,36,83,37,73
"COG0005",29,23,41,28,28,42
"COG0006",85,84,67,111,148,147
"COG0007",24,11,20,28,2,1
"COG0008",157,125,153,123,146,169
"COG0009",33,66,45,59,45,37
"COG0010",10,26,24,5,7,26
"COG0011",1,1,1,11,0,0
"COG0012",35,35,50,43,46,48
"COG0013",106,105,127,121,128,128
"COG0014",34,36,61,59,55,45
"COG0015",58,52,81,97,45,69
"COG0016",47,50,56,39,55,47
"COG0017",46,49,48,38,66,67
"COG0018",74,85,68,79,98,95
"COG0019",88,115,92,94,94,91
"COG0020",38,32,44,46,25,47
"COG0021",60,51,26,61,41,55
"COG0022",0,23,13,4,21,3
"COG0023",5,11,3,3,15,2
"COG0024",50,72,70,71,74,90
"COG0025",29,7,14,56,13,2
"COG0026",14,1,7,18,2,0
"COG0027",25,24,16,20,25,37
"COG0028",121,108,103,143,120,104
"COG0029",50,55,48,54,67,70
"COG0030",57,43,57,94,49,41
"COG0031",35,65,50,64,68,37
"COG0033",13,0,3,39,2,2
"COG0034",108,92,91,86,105,152
"COG0035",51,43,47,42,62,50
"COG0036",55,34,46,54,26,42
"COG0037",42,60,74,91,72,81
"COG0038",92,87,62,126,71,99
"COG0039",77,62,55,96,83,56
"COG0040",35,35,45,42,29,36
"COG0041",23,32,27,37,26,31
"COG0042",61,85,87,77,60,50
"COG0043",14,8,16,6,8,1
"COG0044",70,59,92,107,66,44
"COG0045",18,2,8,20,1,2
"COG0046",125,129,127,147,111,192
"COG0047",136,108,113,137,104,182
"COG0048",18,17,20,21,13,28
"COG0049",27,40,26,38,22,20
"COG0050",71,54,85,77,70,78
"COG0051",27,23,17,16,16,14
"COG0052",46,33,25,29,31,67
"COG0053",33,48,60,42,44,52
"COG0054",22,20,19,13,30,39
"COG0055",78,65,51,78,44,79
"COG0056",55,51,41,93,88,81
"COG0057",87,59,71,62,54,61
"COG0058",131,90,106,158,121,112
"COG0059",48,42,64,79,56,51
"COG0060",104,103,131,114,108,133
"COG0061",56,43,58,40,40,41
"COG0062",65,36,63,38,42,54
"COG0063",59,50,62,66,40,69
"COG0064",23,29,39,63,8,8
"COG0065",57,67,90,97,46,51
"COG0066",24,32,36,50,28,32
"COG0067",109,102,126,146,99,157
"COG0068",35,8,21,24,3,1
"COG0069",102,80,117,146,89,165
"COG0070",79,97,101,118,100,161
"COG0071",70,38,25,25,16,54
"COG0072",92,67,98,89,55,100
"COG0073",183,143,199,163,164,201
"COG0074",26,3,12,17,7,0
"COG0075",19,38,32,9,32,12
"COG0076",22,22,28,4,26,2
"COG0077",29,38,55,47,36,37
"COG0078",63,52,55,88,57,59
"COG0079",78,141,84,114,77,56
"COG0080",16,19,23,22,18,32
"COG0081",26,28,56,52,24,23
"COG0082",30,35,38,43,38,23
"COG0083",19,8,16,33,6,0
"COG0084",51,73,63,60,30,38
"COG0085",201,162,177,166,197,249
"COG0086",177,141,192,189,142,264
"COG0087",47,36,44,33,30,45
"COG0088",34,22,42,50,44,37
"COG0089",14,20,28,25,16,17
"COG0090",42,28,54,35,36,31
"COG0091",28,22,31,25,25,15
"COG0092",43,29,32,32,23,27
"COG0093",19,19,29,21,18,21
"COG0094",38,33,37,38,26,36
"COG0095",9,6,19,14,6,2
"COG0096",26,12,21,31,15,29
"COG0097",33,20,40,26,23,42
"COG0098",35,30,36,40,18,39
"COG0099",23,25,27,35,26,27
"COG0100",33,10,26,30,32,35
"COG0101",35,31,36,53,34,30
"COG0102",31,25,25,39,23,30
"COG0103",29,29,22,16,12,26
"COG0104",76,60,78,58,57,67
"COG0105",9,5,7,6,8,0
"COG0106",31,35,31,24,15,23
"COG0107",45,26,39,43,22,29
"COG0108",47,35,34,21,57,83
"COG0109",3,0,0,0,0,0
"COG0110",71,172,103,99,165,86
"COG0111",87,55,151,172,88,49
"COG0112",40,35,40,20,37,61
"COG0113",6,7,11,15,6,2
"COG0114",8,3,12,17,3,0
"COG0115",59,54,68,64,72,61
"COG0116",34,41,43,20,26,20
"COG0117",40,44,25,22,44,50
"COG0118",31,19,23,30,15,28
"COG0119",91,124,103,104,136,136
"COG0120",7,3,5,16,12,0
"COG0121",2,0,1,3,0,1
"COG0122",4,9,31,18,5,6
"COG0123",0,0,3,0,3,0
"COG0124",68,72,73,62,63,46
"COG0125",20,10,13,27,7,5
"COG0126",55,53,47,45,35,49
"COG0127",44,25,19,21,17,26
"COG0128",44,46,46,41,26,24
"COG0129",99,75,110,132,76,69
"COG0130",38,38,38,59,25,35
"COG0131",22,40,35,36,32,32
"COG0132",10,21,16,10,14,4
"COG0133",49,39,30,49,33,52
"COG0134",34,24,20,54,21,31
"COG0135",20,13,14,27,9,15
"COG0136",56,41,47,45,40,75
"COG0137",47,56,49,48,54,40
"COG0138",81,99,87,65,83,119
"COG0139",21,35,24,29,27,23
"COG0140",25,39,16,35,35,30
"COG0141",59,49,43,54,37,49
"COG0142",102,70,51,49,72,82
"COG0143",93,74,130,77,88,129
"COG0144",71,60,55,52,36,46
"COG0145",5,2,7,0,10,0
"COG0146",0,0,1,0,2,0
"COG0147",70,70,61,84,83,64
"COG0148",44,78,62,75,67,45
"COG0149",26,45,38,51,33,6
"COG0150",33,41,51,50,42,43
"COG0151",45,51,52,43,48,60
"COG0152",29,37,45,44,40,48
"COG0153",43,62,48,50,47,52
"COG0154",26,23,44,78,15,7
"COG0155",15,1,6,17,2,0
"COG0156",59,104,44,14,135,70
"COG0157",42,48,39,40,50,48
"COG0158",7,2,4,0,1,0
"COG0159",39,30,27,29,16,40
"COG0160",12,7,9,51,4,1
"COG0161",25,40,21,27,58,2
"COG0162",80,49,68,63,62,83
"COG0163",5,0,7,4,4,1
"COG0164",37,38,35,25,39,34
"COG0165",61,56,76,68,52,90
"COG0166",66,48,75,80,59,72
"COG0167",45,69,72,83,69,36
"COG0168",96,143,128,102,116,79
"COG0169",64,43,57,50,21,31
"COG0170",0,0,0,0,0,0
"COG0171",60,68,92,49,49,31
"COG0172",61,57,70,63,66,57
"COG0173",66,71,138,90,53,91
"COG0174",31,20,53,95,35,15
"COG0175",20,57,17,29,26,7
"COG0176",42,27,33,39,32,7
"COG0177",35,25,26,47,29,31
"COG0178",172,168,169,178,143,234
"COG0179",44,13,20,24,14,23
"COG0180",57,46,48,68,42,62
"COG0181",8,8,7,17,6,0
"COG0182",1,7,27,11,7,3
"COG0183",35,24,25,36,18,5
"COG0184",17,13,21,15,20,15
"COG0185",14,19,16,20,14,9
"COG0186",27,12,24,15,14,29
"COG0187",187,160,161,168,159,167
"COG0188",176,189,227,185,186,248
"COG0189",9,7,7,6,7,6
"COG0190",45,33,54,48,47,48
"COG0191",107,58,77,92,51,67
"COG0192",78,78,69,80,77,98
"COG0193",25,33,24,30,19,22
"COG0194",17,39,22,39,29,37
"COG0195",77,59,66,59,49,74
"COG0196",49,42,41,46,33,51
"COG0197",40,32,16,28,34,33
"COG0198",28,16,23,27,20,21
"COG0199",16,13,5,5,15,15
"COG0200",32,23,22,36,20,26
"COG0201",90,77,56,66,50,72
"COG0202",58,47,50,41,28,34
"COG0203",31,18,27,20,25,22
"COG0204",66,77,97,69,61,81
"COG0205",107,178,115,82,186,120
"COG0206",65,50,49,72,58,104
"COG0207",15,29,22,39,55,11
"COG0208",20,17,7,23,10,1
"COG0209",47,72,70,85,80,18
"COG0210",231,162,205,328,142,140
"COG0211",8,11,6,27,10,11
"COG0212",30,29,34,33,22,28
"COG0213",11,5,29,20,6,3
"COG0214",25,3,2,26,2,39
"COG0215",50,66,81,79,59,79
"COG0216",47,39,46,53,31,57
"COG0217",32,49,43,53,46,30
"COG0218",26,16,34,14,18,30
"COG0219",12,6,18,18,10,4
"COG0220",28,39,30,43,34,21
"COG0221",7,6,6,9,4,4
"COG0222",16,11,18,28,12,18
"COG0223",61,48,52,33,51,45
"COG0224",56,56,54,58,55,50
"COG0225",27,22,16,24,23,12
"COG0226",89,70,45,56,50,56
"COG0227",18,14,2,7,6,15
"COG0228",10,15,11,11,6,14
"COG0229",2,12,7,17,12,0
"COG0230",0,6,7,4,10,0
"COG0231",44,24,34,22,37,48
"COG0232",35,45,49,51,55,58
"COG0233",38,25,42,20,36,42
"COG0234",12,15,12,19,12,15
"COG0235",72,57,89,39,85,88
"COG0236",19,25,15,11,13,28
"COG0237",17,20,21,38,28,19
"COG0238",8,10,15,14,4,12
"COG0239",7,12,10,3,12,4
"COG0240",37,41,33,58,53,52
"COG0241",26,28,28,26,51,35
"COG0242",38,32,40,77,29,34
"COG0243",167,16,42,54,31,20
"COG0244",16,33,21,28,16,2
"COG0245",27,33,31,30,25,40
"COG0246",176,52,58,58,83,172
"COG0247",53,37,32,28,43,37
"COG0248",64,25,37,118,27,13
"COG0249",94,160,114,78,129,116
"COG0250",54,28,46,59,31,49
"COG0251",53,44,43,40,51,80
"COG0252",53,76,80,27,90,39
"COG0253",42,32,48,42,39,48
"COG0254",2,7,9,12,5,5
"COG0255",7,7,6,18,2,1
"COG0256",21,27,37,32,25,34
"COG0257",1,0,3,3,1,1
"COG0258",134,88,106,113,85,141
"COG0259",2,9,8,0,13,0
"COG0260",9,4,16,7,2,0
"COG0261",32,19,22,20,21,22
"COG0262",27,28,22,35,37,24
"COG0263",18,36,42,52,32,6
"COG0264",35,52,52,47,53,49
"COG0265",85,82,89,64,59,59
"COG0266",20,3,15,7,8,0
"COG0267",5,7,3,7,5,4
"COG0268",9,1,8,13,1,3
"COG0269",9,0,1,0,0,1
"COG0270",124,103,116,89,145,113
"COG0271",6,0,0,0,0,1
"COG0272",101,84,97,56,50,56
"COG0274",37,41,42,16,35,38
"COG0275",50,42,45,40,34,32
"COG0276",5,1,0,1,1,0
"COG0277",54,32,93,108,41,12
"COG0278",3,0,1,0,0,1
"COG0279",16,4,12,25,10,10
"COG0280",96,119,87,69,161,116
"COG0281",53,85,68,41,82,65
"COG0282",62,56,64,56,54,57
"COG0283",25,24,16,52,23,30
"COG0284",38,45,44,55,36,35
"COG0285",62,57,50,62,40,58
"COG0286",155,100,169,83,95,205
"COG0287",24,31,43,36,14,12
"COG0288",16,6,14,30,13,13
"COG0289",34,47,37,42,41,37
"COG0290",31,28,37,24,35,36
"COG0291",4,9,6,3,4,6
"COG0292",21,15,22,22,10,19
"COG0293",2,1,2,0,1,0
"COG0294",38,38,29,43,27,31
"COG0295",25,22,18,15,12,25
"COG0296",62,105,108,103,93,54
"COG0297",58,64,67,43,60,49
"COG0298",5,2,3,2,0,1
"COG0299",13,43,30,25,20,6
"COG0300",20,21,14,26,44,24
"COG0301",21,21,32,19,17,5
"COG0302",26,31,30,30,29,35
"COG0303",27,16,15,45,8,1
"COG0304",87,78,71,160,73,116
"COG0305",86,86,107,77,110,62
"COG0306",33,10,17,47,7,0
"COG0307",23,26,10,11,30,32
"COG0308",23,11,10,41,11,1
"COG0309",13,20,11,30,2,0
"COG0310",2,3,2,5,1,0
"COG0311",13,4,1,18,1,17
"COG0312",14,46,30,7,33,26
"COG0313",55,57,39,49,54,50
"COG0314",2,0,0,0,0,0
"COG0315",6,5,7,18,3,0
"COG0316",8,0,2,0,0,4
"COG0317",141,116,136,123,146,194
"COG0318",67,87,88,36,127,57
"COG0319",25,32,35,40,18,24
"COG0320",8,25,7,9,27,0
"COG0321",3,18,5,2,14,4
"COG0322",115,73,86,76,61,69
"COG0323",62,74,63,39,66,97
"COG0324",73,55,53,39,86,66
"COG0325",27,32,36,55,28,39
"COG0326",74,116,108,55,80,83
"COG0327",31,33,26,47,25,17
"COG0328",10,16,14,29,3,4
"COG0329",77,98,82,105,89,65
"COG0330",73,36,70,39,38,42
"COG0331",62,43,32,132,36,33
"COG0332",62,68,64,28,86,52
"COG0333",4,4,4,2,3,4
"COG0334",44,100,125,95,99,93
"COG0335",17,15,38,21,13,25
"COG0336",34,29,41,47,27,37
"COG0337",52,54,57,67,57,44
"COG0338",42,21,35,25,11,58
"COG0339",113,122,49,23,84,176
"COG0340",36,39,61,49,32,37
"COG0341",27,23,33,34,13,11
"COG0342",109,83,56,41,86,184
"COG0343",47,59,51,66,54,48
"COG0344",12,17,18,31,8,5
"COG0345",25,39,49,18,23,16
"COG0346",31,49,29,61,66,23
"COG0347",31,55,27,76,36,20
"COG0348",37,21,30,35,63,10
"COG0349",15,2,7,20,0,0
"COG0350",23,22,23,28,33,25
"COG0351",62,33,49,41,37,80
"COG0352",36,34,33,49,16,31
"COG0353",26,26,26,49,31,22
"COG0354",5,0,0,0,0,0
"COG0355",20,19,11,16,8,5
"COG0356",69,62,33,48,45,60
"COG0357",18,29,41,47,33,27
"COG0358",104,143,161,109,140,244
"COG0359",16,18,10,23,15,22
"COG0360",21,23,20,29,14,27
"COG0361",16,26,17,24,24,19
"COG0362",14,40,19,52,31,0
"COG0363",98,93,61,81,115,178
"COG0364",19,29,21,29,41,4
"COG0365",46,45,29,6,52,53
"COG0366",515,225,216,433,220,433
"COG0367",56,50,72,35,74,67
"COG0368",10,16,17,14,14,3
"COG0369",6,0,1,0,0,1
"COG0370",99,123,207,125,89,89
"COG0371",37,24,28,58,8,6
"COG0372",66,69,104,92,64,64
"COG0373",11,12,8,29,0,2
"COG0374",25,5,3,0,6,2
"COG0375",12,3,20,3,6,0
"COG0376",7,0,0,0,4,1
"COG0377",28,7,9,0,14,42
"COG0378",20,13,23,4,4,4
"COG0379",55,49,43,45,18,46
"COG0380",6,21,8,1,24,2
"COG0381",41,69,75,17,49,44
"COG0382",33,3,0,0,9,47
"COG0383",36,51,176,57,73,13
"COG0384",3,0,4,3,3,1
"COG0385",54,15,27,48,18,62
"COG0386",12,10,6,15,11,22
"COG0387",5,0,2,0,0,0
"COG0388",133,149,124,160,128,141
"COG0389",81,73,117,104,43,81
"COG0390",10,16,9,12,11,2
"COG0391",12,6,8,18,0,2
"COG0392",26,10,14,56,5,16
"COG0393",14,21,19,11,15,12
"COG0394",34,41,38,49,55,33
"COG0395",119,153,111,367,115,59
"COG0396",35,36,33,17,23,28
"COG0397",6,0,0,0,1,1
"COG0398",21,13,16,38,2,0
"COG0399",86,99,65,41,147,108
"COG0400",5,1,0,0,0,2
"COG0401",0,0,0,0,0,0
"COG0402",52,27,75,121,32,14
"COG0403",31,47,21,4,45,5
"COG0404",21,26,22,8,36,4
"COG0405",21,1,31,6,1,3
"COG0406",64,35,65,85,21,23
"COG0407",9,23,4,0,35,1
"COG0408",2,0,0,0,1,1
"COG0409",19,8,6,18,3,0
"COG0410",22,13,41,34,27,2
"COG0411",18,12,39,40,25,8
"COG0412",10,0,2,0,1,0
"COG0413",21,27,23,16,31,40
"COG0414",43,18,21,21,25,64
"COG0415",1,0,2,0,1,0
"COG0416",20,9,34,20,10,8
"COG0417",15,0,4,0,2,0
"COG0418",4,0,3,0,0,0
"COG0419",73,85,34,86,60,120
"COG0420",31,42,36,69,36,27
"COG0421",14,8,12,17,5,4
"COG0422",76,51,39,57,62,67
"COG0423",58,57,64,55,62,96
"COG0424",29,33,37,37,31,21
"COG0425",6,40,18,8,73,4
"COG0426",55,77,80,62,78,59
"COG0427",41,41,42,68,47,75
"COG0428",18,18,30,18,13,37
"COG0429",4,0,1,0,1,0
"COG0430",1,0,0,0,1,1
"COG0431",1,0,5,12,2,1
"COG0432",10,15,7,9,18,14
"COG0433",20,8,3,1,51,30
"COG0434",0,1,10,1,1,1
"COG0435",6,1,2,7,1,0
"COG0436",240,297,217,335,266,234
"COG0437",33,8,5,4,12,3
"COG0438",350,740,368,423,750,604
"COG0439",26,58,39,34,70,10
"COG0440",18,39,21,46,27,8
"COG0441",138,127,107,133,111,166
"COG0442",64,58,67,45,27,43
"COG0443",99,73,142,103,90,75
"COG0444",56,39,84,107,55,13
"COG0445",98,98,83,70,91,77
"COG0446",105,126,165,82,100,24
"COG0447",24,16,11,3,26,35
"COG0448",46,62,78,110,42,14
"COG0449",115,79,101,107,78,75
"COG0450",14,17,15,22,24,0
"COG0451",205,231,221,210,326,275
"COG0452",52,41,46,32,44,63
"COG0454",100,138,134,117,128,49
"COG0455",0,4,2,1,0,2
"COG0456",24,19,13,32,8,7
"COG0457",228,356,186,120,416,326
"COG0458",155,161,205,165,183,315
"COG0459",90,55,71,48,73,75
"COG0460",93,70,68,75,80,104
"COG0461",42,34,24,23,22,26
"COG0462",65,39,61,87,46,39
"COG0463",617,686,495,539,779,785
"COG0464",27,26,19,53,27,69
"COG0465",134,98,141,149,78,89
"COG0466",56,61,63,60,57,106
"COG0468",60,47,97,61,44,52
"COG0469",66,71,71,89,69,46
"COG0470",8,0,6,24,4,1
"COG0471",127,135,102,75,95,64
"COG0472",87,66,76,102,104,95
