"","NLM017","DLM009","NOM015","DOM024","NLF009","NLF010"
"COG0001",4,35,8,16,5,9
"COG0002",31,50,32,51,42,41
"COG0003",19,3,17,0,9,25
"COG0004",38,84,70,60,38,37
"COG0005",29,6,12,23,23,17
"COG0006",99,94,158,140,127,182
"COG0007",6,17,5,5,9,7
"COG0008",82,130,122,112,131,77
"COG0009",54,57,53,80,56,74
"COG0010",9,9,21,37,24,15
"COG0011",0,0,0,2,0,0
"COG0012",52,57,55,42,49,39
"COG0013",79,95,125,104,99,86
"COG0014",49,57,76,16,16,23
"COG0015",61,66,56,61,56,53
"COG0016",12,20,17,47,45,44
"COG0017",74,55,63,47,88,56
"COG0018",52,96,110,96,62,78
"COG0019",75,92,90,95,84,121
"COG0020",23,39,31,34,40,40
"COG0021",28,57,36,48,33,52
"COG0022",13,2,12,21,19,23
"COG0023",13,0,13,10,15,22
"COG0024",48,58,75,74,81,62
"COG0025",9,9,5,9,7,4
"COG0026",0,42,4,2,3,1
"COG0027",20,5,25,26,25,38
"COG0028",164,94,109,103,119,92
"COG0029",38,51,67,21,17,23
"COG0030",40,87,39,59,62,87
"COG0031",43,66,66,57,59,63
"COG0033",2,6,2,0,1,0
"COG0034",92,74,117,101,85,112
"COG0035",40,32,41,39,50,34
"COG0036",55,67,43,27,38,38
"COG0037",70,112,108,107,101,78
"COG0038",80,57,98,23,19,31
"COG0039",77,85,75,80,60,71
"COG0040",15,27,33,35,42,52
"COG0041",22,43,29,30,28,38
"COG0042",74,88,80,99,70,90
"COG0043",3,3,8,7,2,9
"COG0044",44,82,55,62,67,69
"COG0045",12,10,5,3,9,7
"COG0046",29,36,34,106,105,127
"COG0047",110,74,110,106,84,102
"COG0048",19,23,9,18,15,10
"COG0049",20,27,28,25,42,28
"COG0050",63,67,93,68,38,54
"COG0051",7,3,10,20,19,16
"COG0052",33,37,24,25,29,26
"COG0053",44,45,46,37,44,48
"COG0054",7,6,5,16,26,24
"COG0055",71,103,71,61,73,53
"COG0056",87,77,86,68,97,59
"COG0057",40,69,58,48,44,30
"COG0058",127,168,116,109,122,110
"COG0059",47,41,52,54,47,51
"COG0060",107,136,96,115,96,84
"COG0061",29,40,41,51,27,40
"COG0062",32,40,39,43,31,21
"COG0063",47,59,35,45,44,28
"COG0064",21,68,17,30,18,12
"COG0065",55,64,60,66,62,26
"COG0066",20,33,37,33,31,19
"COG0067",103,173,128,120,96,40
"COG0068",1,7,4,12,5,17
"COG0069",73,153,123,104,93,73
"COG0070",84,160,108,92,101,44
