"","DLM005","NOF009","DOF003","NLF009","DOF012","NLF010"
"COG0001",900,424,441,565,645,494
"COG0002",2029,2091,1879,2056,1741,2169
"COG0003",512,202,752,533,37,1315
"COG0004",2366,1870,1813,1956,1789,1549
"COG0005",1334,1430,1347,1192,922,853
"COG0006",5870,6698,6170,5931,5271,7363
"COG0007",516,403,456,316,496,503
"COG0008",7160,5357,6172,5789,6296,4777
"COG0009",2799,3036,2596,2819,3013,3407
"COG0010",795,1093,940,1119,728,598
"COG0011",201,26,28,10,191,8
"COG0012",2472,2265,2148,2155,3004,1817
"COG0013",5550,5292,5272,4851,5651,4912
"COG0014",1353,1978,1490,2298,2118,2566
"COG0015",3654,2898,2831,2766,3970,2561
"COG0016",2406,2680,2378,2386,2727,2469
"COG0017",3000,3031,3241,3615,3093,2820
"COG0018",4258,4343,3697,3816,4274,4682
"COG0019",4285,4423,3915,4121,4013,5367
"COG0020",1969,1711,1512,1672,2188,1879
"COG0021",2987,2435,2446,1243,1133,1776
"COG0022",535,981,1058,1013,570,864
"COG0023",488,690,493,582,142,879
"COG0024",3084,3550,3165,3182,2726,3453
"COG0025",562,466,382,436,2448,228
"COG0026",371,84,179,138,972,46
"COG0027",1190,1667,915,934,907,1515
"COG0028",3099,3289,3687,4964,7878,4234
"COG0029",2389,3422,2262,2294,1644,3030
"COG0030",5844,2339,3255,3583,8153,4170
"COG0031",2713,2555,3025,2818,2268,2809
"COG0033",427,39,157,9,695,10
"COG0034",4822,4874,4136,4282,3375,4593
"COG0035",2061,2028,1751,2071,1956,2337
"COG0036",1906,1382,1389,1671,3014,1957
"COG0037",4393,4467,4876,4596,4196,4080
"COG0038",3805,4717,4183,3826,5949,4471
"COG0039",2223,2446,2220,3220,5420,4638
"COG0040",1637,1819,1338,1556,1535,2113
"COG0041",1402,1284,1155,1281,1412,1468
"COG0042",3065,4094,3576,3827,4040,3861
"COG0043",573,393,404,242,1046,323
"COG0044",3235,3501,3077,2964,4057,3050
"COG0045",315,478,425,346,460,300
"COG0046",6350,5815,5177,5514,4020,5534
"COG0047",5693,4947,4746,4570,3491,4693
"COG0048",1081,594,952,717,1600,564
"COG0049",1707,1131,1394,1345,2055,1251
"COG0050",2381,2461,1787,2575,3788,2882
"COG0051",1344,907,1071,1167,1389,1202
"COG0052",1957,1367,1706,1398,2151,1106
"COG0053",2537,2155,2107,2261,1720,2512
"COG0054",1208,1002,1015,761,628,644
"COG0055",2758,2162,3294,3207,3021,2100
"COG0056",3347,3252,3754,3900,3585,2813
"COG0057",3023,2121,2457,1476,1774,1157
"COG0058",6507,4682,5646,6671,4415,5351
"COG0059",2456,2185,1974,2219,2074,2028
"COG0060",4798,5520,5255,4924,5057,3646
"COG0061",1807,1755,1564,1737,2614,1499
"COG0062",1961,2055,1626,1640,1687,1642
"COG0063",2038,2219,1751,1724,2852,1759
"COG0064",1135,514,1053,827,2436,619
"COG0065",2068,2211,2881,2632,1954,1659
"COG0066",1368,1361,1293,1403,1053,1539
"COG0067",4210,4595,4583,4576,2382,2930
"COG0068",861,377,318,198,1303,758
"COG0069",4291,4419,4659,4677,2845,3465
"COG0070",3974,4213,4243,4302,3068,2487
"COG0071",2148,1281,1375,1900,2393,2283
"COG0072",4213,2976,4154,3677,4068,2714
"COG0073",8102,5999,7480,7179,7139,6124
"COG0074",561,416,452,293,499,394
"COG0075",1047,1953,1445,1060,819,2574
"COG0076",1101,1947,1382,1355,1095,1490
"COG0077",1760,1513,1684,1733,1738,1469
"COG0078",3118,2313,2489,2682,3280,2345
"COG0079",4100,5360,4230,5613,3995,4594
"COG0080",1553,1080,1110,1260,1700,1568
"COG0081",2375,1757,1788,1729,2582,1828
"COG0082",1754,1771,2055,1980,1588,1614
"COG0083",395,114,141,282,1528,254
"COG0084",2827,3343,2729,1866,2264,2149
"COG0085",8139,8812,7392,7799,7327,8711
"COG0086",8249,6844,7856,7044,7277,4799
"COG0087",2073,1322,1597,1782,2331,1906
"COG0088",2102,1567,1593,1622,2375,1831
"COG0089",1358,801,888,1047,1380,1084
"COG0090",2053,1271,1895,1732,2434,1126
"COG0091",1572,1025,1161,1145,1268,1378
"COG0092",1814,1365,1271,1285,1571,1240
"COG0093",1269,703,970,845,1507,712
"COG0094",1868,1529,1174,1563,2175,1942
"COG0095",764,556,621,615,640,727
"COG0096",1584,697,977,981,1862,832
"COG0097",1650,934,1353,1369,1812,855
"COG0098",1101,913,926,1463,1784,1535
"COG0099",1234,1003,993,1031,1597,1271
"COG0100",1188,871,837,833,1622,643
"COG0101",2080,2020,2056,2168,3086,2153
"COG0102",1595,892,1061,1155,1682,843
"COG0103",827,711,683,1094,1528,1199
"COG0104",3194,2577,2703,2957,3197,2615
"COG0105",477,518,441,363,673,642
"COG0106",1491,1422,1406,1562,1354,1709
"COG0107",927,666,879,1433,1260,1108
"COG0108",2479,2383,2372,2744,1235,2717
"COG0109",81,17,7,4,114,6
"COG0110",7422,8874,9006,8852,7148,13964
"COG0111",4575,3313,3994,3360,3364,3538
"COG0112",2548,2421,2353,2361,1813,2527
"COG0113",504,385,342,257,487,334
"COG0114",417,316,342,123,1463,60
"COG0115",3502,3142,3072,2991,3216,3121
"COG0116",1536,1381,1624,1864,2028,1093
"COG0117",1824,1825,1970,1744,1501,1793
"COG0118",1372,1218,966,1157,1146,1365
