"","NOM010","DOF004","NLF012","NOF007","DLM023","NLM022"
"COG0001",719,1102,862,257,642,847
"COG0002",2102,2396,2329,2340,2424,2363
"COG0003",481,289,456,567,453,223
"COG0004",2641,2135,2791,735,1049,966
"COG0005",1194,1278,1455,1132,986,1177
"COG0006",7136,6473,6463,6198,6056,5455
"COG0007",466,937,579,555,622,1165
"COG0008",6546,6409,6208,5886,7919,7312
"COG0009",963,981,923,3011,2657,3029
"COG0010",533,766,827,441,1333,663
"COG0011",68,51,11,24,57,24
"COG0012",2340,2426,2596,2431,2745,2747
"COG0013",6029,5435,5984,4955,6078,5269
"COG0014",2975,2830,3035,2847,2814,2658
"COG0015",3104,2975,3041,3241,3269,3343
"COG0016",2542,2598,2523,2505,2184,2289
"COG0017",2958,2779,3242,3623,4518,3344
"COG0018",4288,4145,4377,4343,4170,3961
"COG0019",4693,5597,5121,4043,5299,4840
"COG0020",1849,1672,1671,1703,1679,1738
"COG0021",2617,3235,2200,1529,1597,2788
"COG0022",715,672,675,245,382,293
"COG0023",521,533,483,711,275,338
"COG0024",3442,2986,3581,3617,3048,3421
"COG0025",483,867,369,163,302,1074
"COG0026",118,204,130,79,106,197
"COG0027",1019,1228,1195,1205,690,907
"COG0028",5604,5617,5706,5303,6242,7705
"COG0029",2733,2892,3135,3084,1853,2928
"COG0030",3028,3826,2526,3927,3477,2444
"COG0031",3389,3307,3220,2687,3311,3353
"COG0033",6,135,12,9,24,163
"COG0034",4942,4522,5300,4034,4503,4664
"COG0035",2044,1881,2154,2356,2261,1993
"COG0036",1593,1531,1628,1500,1833,2178
"COG0037",5204,5322,5098,5094,4993,5502
"COG0038",3948,4811,4689,4026,3991,4211
"COG0039",3508,3526,3448,3888,3155,2800
"COG0040",1641,1800,1707,1985,2272,1653
"COG0041",1322,1381,1391,1386,1188,1418
"COG0042",3846,4236,3788,4324,4277,4297
"COG0043",206,613,398,256,568,383
"COG0044",1086,1196,1273,3117,3494,3399
"COG0045",153,257,99,175,247,283
"COG0046",6718,6363,6883,5930,6999,6385
"COG0047",6097,5544,6169,5314,6204,5721
"COG0048",946,854,759,787,681,948
"COG0049",1554,1328,1279,1358,1220,1237
"COG0050",1132,958,1050,3121,2734,2973
"COG0051",1144,1032,882,1105,1007,931
"COG0052",1676,1661,1681,526,452,586
"COG0053",810,694,742,2201,2693,2528
"COG0054",1099,1303,963,1123,942,1273
"COG0055",3733,3560,3968,2991,4721,5092
"COG0056",4123,3977,4549,1113,1926,1827
"COG0057",2096,2139,2242,1970,2277,2299
"COG0058",2370,2560,2435,6956,8022,7745
"COG0059",2181,2302,2492,2248,1985,2280
"COG0060",5968,6515,6318,4978,6117,6066
"COG0061",1669,1929,1910,1734,2058,2087
"COG0062",2154,2433,2287,2221,1483,2658
"COG0063",2303,2492,2364,2313,2077,2823
"COG0064",1284,1046,1342,266,248,563
"COG0065",2671,3078,3150,2084,2977,3456
"COG0066",1413,1564,1266,1497,1411,1378
"COG0067",2042,1688,1687,4311,5975,6579
"COG0068",193,494,395,294,306,439
"COG0069",5811,5148,5381,4145,6220,6686
"COG0070",5512,4654,5030,3910,5767,6321
"COG0071",1686,1635,1569,1657,1637,2010
"COG0072",4328,3693,3919,3042,4046,4104
"COG0073",9084,7284,7761,6673,8132,8669
"COG0074",231,368,111,260,243,507
"COG0075",1329,1460,1480,2448,864,1150
"COG0076",1277,1318,1431,1140,821,766
"COG0077",1706,1727,1850,1658,2272,2063
"COG0078",2449,2578,2894,2568,3817,2963
"COG0079",4622,5726,4652,7500,6361,4112
"COG0080",1196,1135,1089,1292,1098,1273
"COG0081",661,592,562,1806,1491,1738
"COG0082",2082,2134,2108,1624,2461,2236
"COG0083",253,441,462,202,901,485
"COG0084",2894,2766,2556,3007,2481,2941
"COG0085",8615,7403,8782,8804,8629,8547
"COG0086",7968,8285,8702,7102,7934,8850
"COG0087",1815,1610,1718,1641,1572,1651
"COG0088",1724,1712,1495,1876,1550,1636
"COG0089",924,773,816,1024,957,1030
"COG0090",602,560,649,1281,1842,1943
"COG0091",1096,1108,1052,1233,1185,1059
"COG0092",1485,1545,1522,1749,1538,1572
"COG0093",1075,896,914,874,782,1043
