"","Sample.1.to.50","Sample.51.to.100","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0005",NA,-3,1851.37140006398,0.0810715646718519,"3","1"
"COG0007",NA,-3,967.488112946973,0.298363911918112,"2","2"
"COG0025",NA,-3,974.296712111196,0.467847352547457,"2","2"
"COG0027",-3,NA,1668.48321111621,0.203812440055669,"3","1"
"COG0031",-3,NA,3965.93059435833,0.0167425307335414,"3","1"
"COG0043",-3,NA,600.740319194117,0.366821711636465,"2","2"
"COG0071",-3,NA,2667.66179063713,0.0706933563629463,"3","1"
"COG0077",-3,NA,2516.39182181906,0.0315760644623943,"3","1"
"COG0101",-3,NA,3171.14893478011,0.0222105870984869,"3","1"
"COG0133",NA,-3,2659.55662199134,0.0643478369020893,"3","1"
"COG0151",-3,NA,3402.0879581275,0.0352055329442722,"3","1"
"COG0156",NA,-3,5726.71494321437,0.256858549468646,"3","2"
"COG0170",-3,NA,2.87124420881625,9.05676645662968,"1","3"
"COG0175",-3,NA,2567.6454143297,0.149881793087815,"3","1"
"COG0179",NA,-3,1587.15454306921,0.119674707346105,"3","1"
"COG0190",NA,-3,3012.37518691513,0.0274096052614008,"3","1"
"COG0194",-3,NA,2907.21261706896,0.0350279220314644,"3","1"
"COG0197",-3,NA,1948.17690911403,0.0356262109888828,"3","1"
"COG0225",NA,-3,1246.98405754808,0.209073054298885,"2","1"
"COG0262",NA,-3,2061.93554792951,0.0514456626299135,"3","1"
"COG0267",-3,NA,441.806727778408,0.0939075584480475,"2","1"
"COG0287",NA,-3,1755.74373085986,0.0920074988855104,"3","1"
"COG0319",NA,-3,1889.16363933394,0.0302406094615137,"3","1"
"COG0357",-3,NA,2354.24955218977,0.0399081393741685,"3","1"
"COG0370",-3,NA,8660.74961024876,0.0469044106162687,"3","1"
"COG0394",NA,-3,3019.01742208842,0.05425590367433,"3","1"
"COG0400",NA,-3,104.1001186021,1.65328549573946,"1","3"
"COG0418",NA,-3,73.9881134590213,2.04650469257632,"1","3"
"COG0419",-3,NA,5940.41915300023,0.102032532896014,"3","1"
"COG0434",-3,NA,155.607740029067,0.717383166716595,"2","2"
"COG0454",NA,-3,9562.67465841473,0.045275744776484,"3","1"
"COG0460",NA,-3,5323.62543276142,0.0395657786496054,"3","1"
"COG0472",-3,NA,6006.76566775864,0.0455545357249385,"3","1"
"COG0486",-3,NA,4228.62693610039,0.0174014277535678,"3","1"
"COG0496",NA,-3,1654.46648383743,0.180456310693431,"3","1"
"COG0507",NA,-3,16389.1337844685,0.0710733425030236,"3","1"
"COG0532",NA,-3,5353.79854228765,0.0674581049152895,"3","1"
"COG0535",NA,-3,6091.4305801805,0.117342640265931,"3","1"
"COG0572",-3,NA,5214.69538735095,0.0853851642738523,"3","1"
"COG0574",-3,NA,10066.5826702526,0.0986873659097589,"3","1"
"COG0577",NA,-3,22434.3474303961,0.0385525685792917,"3","1"
"COG0593",-3,NA,1638.49053084959,0.173362264380704,"3","1"
"COG0594",NA,-3,840.846792298676,0.195041772420896,"2","1"
"COG0595",-3,NA,2880.94522899412,0.272779645916798,"3","2"
"COG0597",NA,-3,1059.43200124028,0.1871394874509,"2","1"
"COG0612",NA,-3,12761.9256645051,0.178184730559008,"3","1"
"COG0616",NA,-3,2897.22305843511,0.251346348993184,"3","2"
"COG0633",NA,-3,144.854399462406,1.34151881700218,"1","3"
