"","DOM022","NOF014","DLM024","DLF006","NOM014","DOF006","DLM020","DLF008","DOF011","NLF007"
"COG0001",7,5,7,6,5,10,3,8,13,17
"COG0002",15,11,13,19,13,33,48,44,51,63
"COG0003",7,1,0,7,9,40,8,18,14,3
"COG0004",36,71,29,31,38,26,32,25,90,80
"COG0005",24,38,21,22,21,22,27,27,32,32
"COG0006",145,99,89,109,132,122,127,101,143,104
"COG0007",8,7,20,13,19,11,5,13,19,10
"COG0008",120,142,100,134,104,105,119,102,146,167
"COG0009",50,62,30,47,59,44,52,49,50,56
"COG0010",14,28,28,28,12,17,11,30,4,12
"COG0011",0,0,5,0,2,1,0,0,0,1
"COG0012",62,60,25,61,52,44,41,28,41,47
"COG0013",136,96,47,86,114,92,90,78,107,115
"COG0014",50,44,14,39,63,56,58,45,64,65
"COG0015",54,61,29,68,65,54,46,56,59,91
"COG0016",44,65,27,61,59,48,48,35,61,55
"COG0017",55,60,47,55,71,76,62,46,53,67
"COG0018",80,101,30,84,97,94,60,60,88,83
"COG0019",93,83,53,77,97,85,88,74,137,108
"COG0020",34,29,11,36,32,32,27,26,48,34
"COG0021",59,32,76,44,60,52,55,36,90,42
"COG0022",8,2,2,1,2,22,29,29,2,12
"COG0023",4,4,6,11,12,11,16,11,6,5
"COG0024",58,80,27,64,85,21,17,16,29,26
"COG0025",3,14,34,10,3,9,1,15,2,21
"COG0026",6,0,22,5,2,1,2,1,0,0
"COG0027",19,10,18,15,27,33,32,15,34,19
"COG0028",101,129,186,101,98,108,120,122,72,125
"COG0029",58,32,39,34,64,64,49,42,62,48
"COG0030",53,69,50,56,53,45,37,21,51,81
"COG0031",46,58,42,73,50,55,65,29,50,54
"COG0033",2,0,20,2,3,1,1,3,0,0
"COG0034",104,89,40,93,90,97,110,66,99,122
"COG0035",31,49,19,31,44,42,19,26,33,35
"COG0036",41,35,54,48,26,21,25,30,62,52
"COG0037",80,113,64,88,100,73,70,64,58,100
"COG0038",71,45,54,75,86,89,105,77,79,77
"COG0039",69,58,40,69,90,78,77,52,85,65
"COG0040",14,30,15,24,36,31,27,23,46,30
"COG0041",23,24,13,37,33,30,24,19,27,28
"COG0042",77,74,73,73,85,97,80,63,69,96
"COG0043",3,1,16,4,6,5,9,23,5,5
"COG0044",84,53,81,69,82,73,51,53,74,75
"COG0045",4,1,20,6,3,17,8,9,5,2
"COG0046",125,118,70,94,111,120,111,71,145,122
"COG0047",120,93,63,97,108,91,82,64,137,110
"COG0048",23,27,11,24,11,7,4,15,16,22
"COG0049",27,30,21,38,29,18,24,16,23,28
"COG0050",64,76,59,71,66,72,53,47,64,69
"COG0051",18,16,13,29,30,22,14,15,16,26
"COG0052",39,49,31,24,30,11,9,8,9,18
"COG0053",44,56,40,50,47,48,25,36,41,55
"COG0054",13,19,19,24,30,10,15,18,32,23
"COG0055",73,71,43,45,75,46,57,46,67,93
"COG0056",79,79,46,66,70,72,61,38,102,109
"COG0057",44,52,55,78,51,42,43,34,55,53
"COG0058",121,161,134,98,133,72,110,79,132,149
"COG0059",36,42,30,42,43,37,42,35,51,44
"COG0060",135,163,59,101,97,86,93,92,93,166
"COG0061",44,34,28,40,41,33,38,31,51,42
"COG0062",36,44,40,30,41,41,40,28,48,44
"COG0063",44,41,31,34,59,39,35,35,59,54
"COG0064",15,49,9,21,15,1,12,16,15,27
"COG0065",53,53,41,54,74,39,64,40,29,51
"COG0066",14,36,17,31,40,25,23,26,32,19
"COG0067",76,108,50,66,94,48,123,64,84,137
"COG0068",24,5,21,6,4,7,7,3,33,4
"COG0069",82,115,51,82,84,97,136,84,108,116
"COG0070",50,101,40,66,102,49,130,68,69,107
"COG0071",29,30,39,46,30,25,24,19,65,38
"COG0072",92,90,35,84,63,53,77,49,102,102
"COG0073",161,193,69,154,120,122,118,112,160,192
"COG0074",13,0,65,14,4,16,10,16,4,3
"COG0075",47,30,15,25,41,40,30,32,42,11
"COG0076",10,20,32,21,29,47,38,22,14,17
"COG0077",21,31,34,35,30,20,39,35,40,36
"COG0078",37,53,88,66,57,47,51,35,51,52
"COG0079",79,97,47,85,126,67,108,65,67,107
"COG0080",26,19,9,34,18,18,20,19,31,31
"COG0081",39,45,19,37,36,40,35,38,34,48
"COG0082",41,23,15,48,42,32,43,26,36,49
"COG0083",8,14,16,7,5,0,1,9,11,3
"COG0084",40,57,54,59,65,50,67,67,58,48
"COG0085",177,198,105,140,151,172,135,125,220,197
"COG0086",171,192,96,144,137,119,137,101,173,190
"COG0087",43,34,12,47,33,33,27,26,31,44
"COG0088",23,44,24,50,35,27,23,20,33,45
"COG0089",25,23,14,21,23,17,18,12,18,29
"COG0090",52,60,15,38,23,26,23,18,44,48
"COG0091",22,22,16,37,23,8,12,10,27,28
"COG0092",44,36,11,42,28,21,31,26,29,33
"COG0093",3,15,6,6,2,13,12,17,16,24
"COG0094",40,38,16,41,27,24,19,25,16,41
"COG0095",15,3,18,15,6,10,19,8,12,12
"COG0096",27,36,11,35,18,14,15,19,26,29
"COG0097",30,47,19,29,24,19,18,29,21,40
"COG0098",26,33,23,38,33,28,26,21,40,21
"COG0099",13,25,15,36,20,22,11,7,26,16
"COG0100",22,30,13,26,14,12,9,8,29,26
"COG0101",45,51,31,47,40,11,12,12,8,16
"COG0102",38,32,10,33,26,12,20,20,39,32
"COG0103",13,22,12,33,25,22,13,20,29,25
"COG0104",59,62,40,54,54,53,51,41,82,86
"COG0105",24,1,11,11,8,18,15,7,6,10
"COG0106",22,32,16,27,35,28,26,32,39,33
"COG0107",29,35,13,22,23,18,27,11,25,36
"COG0108",49,22,23,58,48,41,48,40,75,48
"COG0109",0,0,21,4,0,0,1,2,0,0
"COG0110",147,127,67,182,205,244,147,178,145,133
"COG0111",84,75,114,96,67,56,77,77,76,104
"COG0112",56,57,20,58,47,33,39,46,66,53
"COG0113",11,8,23,8,8,6,12,15,12,8
"COG0114",6,10,17,5,14,3,8,4,1,4
"COG0115",59,63,45,52,73,60,71,52,79,80
"COG0116",47,41,42,37,27,19,35,30,35,54
"COG0117",33,23,21,25,56,31,25,33,40,33
"COG0118",19,21,14,14,20,26,23,24,32,29
"COG0119",95,130,90,104,129,84,96,77,108,120
"COG0120",9,3,20,5,4,6,13,16,0,3
"COG0121",0,0,14,0,0,1,0,2,0,0
"COG0122",10,18,12,25,10,2,5,13,2,16
"COG0123",1,0,0,1,1,1,5,4,0,0
"COG0124",62,70,36,52,59,53,51,40,69,58
"COG0125",11,14,8,17,3,2,0,2,0,7
"COG0126",51,48,36,44,39,39,49,33,57,61
"COG0127",25,46,20,29,27,30,25,19,32,33
"COG0128",32,36,30,47,48,42,46,35,64,52
"COG0129",67,64,72,70,95,97,87,74,103,82
"COG0130",40,35,22,42,25,28,19,27,42,43
"COG0131",25,28,18,31,31,24,46,24,33,30
"COG0132",14,7,29,19,25,8,32,17,13,14
"COG0133",32,34,35,25,36,37,33,37,88,36
"COG0134",17,17,14,18,40,33,23,21,50,20
"COG0135",11,12,13,13,15,13,18,16,23,12
"COG0136",34,54,28,38,43,26,30,26,40,54
"COG0137",45,41,33,48,56,74,47,27,65,68
"COG0138",75,64,27,66,76,86,86,67,83,71
"COG0139",18,38,13,28,34,12,18,18,27,33
"COG0140",27,25,16,31,32,13,30,18,12,34
"COG0141",38,36,28,30,50,42,57,28,55,47
"COG0142",76,48,36,75,61,44,80,45,118,77
"COG0143",90,92,52,79,70,67,55,39,99,110
"COG0144",71,72,68,64,65,43,54,43,46,88
"COG0145",11,2,40,11,3,10,3,17,1,5
"COG0146",2,2,5,0,0,0,0,0,0,4
"COG0147",56,54,58,55,94,35,25,19,32,19
"COG0148",51,70,65,63,65,50,67,27,45,68
"COG0149",25,57,32,42,43,26,40,39,28,37
"COG0150",50,48,37,33,51,52,46,30,31,65
"COG0151",51,55,34,36,57,35,58,43,51,54
"COG0152",33,29,20,37,41,29,39,26,44,49
"COG0153",46,52,29,47,50,45,31,38,60,63
