"","DOM026","NLM024","DLF010","DOM019","NOF012","NLM001","NLM004","NOF013","NLM007","DOM013"
"COG0001",210,78,260,84,101,131,117,90,109,248
"COG0002",412,534,408,440,285,435,380,370,479,456
"COG0003",148,45,83,141,133,68,20,153,51,95
"COG0004",387,624,299,376,203,774,766,556,235,399
"COG0005",148,237,238,143,129,312,322,281,217,281
"COG0006",1253,1426,1105,1288,1082,1391,1322,1160,1295,1165
"COG0007",212,61,99,90,90,73,121,58,159,136
"COG0008",1129,1689,1583,1259,1433,1431,1480,1151,1353,1469
"COG0009",627,375,649,533,506,505,389,508,647,642
"COG0010",95,81,267,161,332,82,50,165,197,153
"COG0011",3,0,3,5,10,4,7,13,4,11
"COG0012",399,670,661,510,673,493,610,461,617,686
"COG0013",1010,1367,1240,1386,1819,1194,1041,902,1219,1268
"COG0014",520,547,481,635,339,477,573,511,614,432
"COG0015",574,686,682,610,426,479,442,348,443,389
"COG0016",400,402,599,500,616,545,434,381,533,577
"COG0017",615,667,671,697,642,670,662,571,694,676
"COG0018",781,1080,939,862,1086,936,778,754,994,1108
"COG0019",948,970,748,1031,687,1125,937,894,941,894
"COG0020",322,466,485,348,401,398,472,357,344,458
"COG0021",326,965,367,447,539,451,290,259,304,308
"COG0022",44,50,135,84,98,20,24,255,50,36
"COG0023",87,39,42,90,98,40,5,97,95,96
"COG0024",645,559,682,676,776,562,470,408,529,481
"COG0025",52,69,100,112,47,165,103,26,120,109
"COG0026",2,28,25,16,42,23,23,3,16,32
"COG0027",191,468,105,216,141,238,232,165,241,202
"COG0028",1214,998,735,1297,635,889,1005,1143,1168,863
"COG0029",579,887,317,530,338,559,597,538,613,475
"COG0030",756,670,817,450,923,639,764,571,555,818
"COG0031",550,477,711,652,467,525,491,619,654,571
"COG0033",1,13,10,2,3,14,16,0,4,26
"COG0034",1033,1574,837,1049,627,1079,970,917,938,879
"COG0035",352,480,419,369,271,443,449,325,435,338
"COG0036",534,465,594,265,507,461,398,304,305,507
"COG0037",937,725,1240,970,1179,887,954,898,986,1286
"COG0038",858,819,535,866,557,629,621,895,967,634
"COG0039",638,719,526,728,663,555,482,571,672,532
"COG0040",340,376,303,324,245,252,338,330,287,297
"COG0041",311,336,228,253,161,286,233,216,311,292
"COG0042",812,593,786,766,891,715,703,727,935,844
"COG0043",34,58,95,54,51,59,30,42,31,124
"COG0044",643,649,629,650,609,607,671,521,684,593
"COG0045",39,29,48,40,52,37,9,79,47,61
"COG0046",1212,2101,1188,1245,857,1519,1381,1178,1368,1271
"COG0047",1002,1841,1080,1098,683,1456,1325,876,1101,1135
"COG0048",183,196,341,197,263,146,141,79,93,154
"COG0049",286,145,352,319,372,364,326,220,313,350
"COG0050",502,1009,803,637,859,858,659,485,792,703
"COG0051",177,114,255,220,267,131,100,119,137,163
"COG0052",302,522,488,375,501,491,402,214,299,417
"COG0053",559,558,504,414,577,523,487,411,496,444
"COG0054",149,280,135,211,145,236,213,160,184,186
"COG0055",481,670,614,685,368,767,787,617,816,519
"COG0056",674,1038,624,788,465,961,946,630,945,631
"COG0057",421,680,752,493,751,628,544,416,462,633
"COG0058",1333,1159,1521,1321,1235,1622,1357,1037,1078,1510
"COG0059",436,464,315,444,283,449,394,488,510,425
"COG0060",960,1395,1610,1310,1935,1315,1295,1042,1032,1480
"COG0061",318,349,360,351,292,374,466,369,341,370
"COG0062",380,651,398,412,246,558,620,379,413,444
"COG0063",452,644,457,453,268,535,617,425,479,485
"COG0064",310,97,484,189,830,253,270,180,150,485
"COG0065",480,544,420,578,396,475,469,589,671,418
"COG0066",321,315,223,292,221,234,224,232,382,250
"COG0067",1031,1257,795,1002,555,1113,1245,1230,622,896
"COG0068",75,122,124,183,61,78,88,29,89,180
"COG0069",1042,1356,848,1076,556,1097,1204,1125,651,959
"COG0070",906,1241,731,960,523,1040,1128,993,511,788
"COG0071",471,394,485,301,346,508,514,288,328,413
"COG0072",699,994,1227,809,1309,646,515,544,429,753
"COG0073",1598,1874,2053,1649,1794,1970,1523,1436,1261,1942
"COG0074",33,62,61,39,73,55,28,76,45,53
"COG0075",131,365,115,265,113,538,321,186,306,256
"COG0076",217,139,82,313,209,73,18,254,265,148
"COG0077",368,421,385,332,216,446,334,397,411,362
"COG0078",559,594,661,643,429,522,553,452,627,551
"COG0079",900,560,871,827,633,861,695,868,841,895
"COG0080",264,204,363,221,357,277,278,208,243,320
"COG0081",345,494,446,403,551,366,317,266,333,459
"COG0082",403,405,383,440,273,406,404,382,444,399
"COG0083",31,35,73,26,57,53,77,82,154,82
"COG0084",556,395,579,554,636,526,473,573,522,730
"COG0085",1585,2131,2072,1846,1957,1509,1464,992,1341,1421
"COG0086",1122,1955,2113,1849,2146,2141,2270,1472,1512,1871
"COG0087",346,381,464,320,430,378,338,259,333,418
"COG0088",373,372,434,397,456,461,360,261,361,437
"COG0089",188,188,272,166,220,211,210,160,213,245
"COG0090",298,531,534,402,559,479,456,278,392,506
"COG0091",253,236,296,241,388,164,172,125,146,196
"COG0092",312,393,428,347,328,348,313,260,338,404
"COG0093",209,239,328,218,304,245,220,118,153,267
"COG0094",249,237,286,217,259,418,336,225,324,369
"COG0095",56,48,181,66,67,74,28,141,39,99
"COG0096",228,198,354,207,241,277,253,174,196,319
"COG0097",176,209,303,198,312,406,388,261,280,340
"COG0098",244,413,385,303,398,398,316,240,351,409
"COG0099",201,212,338,220,331,286,214,171,225,264
"COG0100",167,236,346,198,269,150,197,102,167,170
"COG0101",295,222,396,272,427,444,439,395,468,462
"COG0102",214,172,332,191,314,329,283,135,214,280
"COG0103",231,313,293,203,248,308,296,180,227,326
"COG0104",592,695,683,646,398,776,620,624,755,792
"COG0105",88,94,53,63,274,76,14,92,92,70
"COG0106",334,270,224,315,240,315,328,270,263,286
"COG0107",362,283,313,341,221,385,350,325,219,299
"COG0108",404,720,299,526,317,471,487,428,456,383
"COG0109",0,9,22,1,0,12,0,3,2,3
"COG0110",1786,816,960,1527,1546,1079,778,1776,1335,1232
"COG0111",668,523,1078,882,646,710,569,701,760,975
"COG0112",492,747,591,572,366,540,543,412,443,558
"COG0113",105,56,99,50,58,115,81,28,95,97
"COG0114",22,36,157,76,64,41,43,19,83,54
"COG0115",528,544,583,624,418,726,731,521,628,706
"COG0116",394,352,407,410,209,574,605,426,355,357
"COG0117",219,582,240,377,260,448,466,318,408,330
"COG0118",253,276,222,224,161,240,298,232,186,265
"COG0119",981,1151,878,1229,777,1118,1330,1173,959,903
"COG0120",51,27,83,37,165,33,19,135,33,107
"COG0121",1,10,7,1,2,6,6,2,7,0
"COG0122",202,31,303,98,186,102,88,125,191,286
"COG0123",0,13,13,14,8,20,15,12,19,15
"COG0124",645,668,757,580,948,650,533,489,608,775
"COG0125",188,38,289,108,211,106,101,77,83,215
"COG0126",402,603,703,508,693,520,445,419,519,674
"COG0127",324,359,366,296,295,386,449,317,313,367
"COG0128",531,449,430,471,364,543,569,376,582,518
"COG0129",809,1154,530,774,545,810,707,762,971,686
"COG0130",300,426,488,311,589,375,343,324,347,472
"COG0131",298,320,215,399,211,265,220,278,271,261
"COG0132",143,100,76,171,125,63,31,117,156,120
"COG0133",371,603,276,350,226,330,291,223,236,205
"COG0134",403,320,194,278,196,276,304,184,265,214
"COG0135",239,228,147,142,114,157,302,141,132,128
"COG0136",312,597,562,505,465,569,387,349,450,391
"COG0137",614,672,479,546,364,544,518,479,792,457
