"","NOM022","NOM026","DOF007","DLM013","DLF001","NLF013","NLM024","NLM001","NOM001","DLM002"
"COG0001",36,112,25,240,43,66,38,77,245,96
"COG0002",209,175,194,258,164,239,277,219,238,208
"COG0003",20,3,40,30,77,24,11,30,21,12
"COG0004",341,250,94,209,107,256,467,382,518,325
"COG0005",136,86,149,173,150,148,161,157,165,146
"COG0006",789,502,599,560,654,610,670,732,645,525
"COG0007",31,96,11,56,20,52,25,37,413,65
"COG0008",720,554,476,758,383,706,839,751,880,747
"COG0009",282,297,249,273,275,252,191,283,174,234
"COG0010",40,110,86,128,66,60,40,44,41,79
"COG0011",1,7,1,25,0,2,0,2,6,0
"COG0012",209,266,178,281,173,221,320,215,296,244
"COG0013",540,407,423,635,340,599,717,582,631,535
"COG0014",262,218,208,312,181,302,271,200,362,217
"COG0015",321,319,260,384,216,394,379,326,419,341
"COG0016",278,226,184,271,180,287,217,279,204,252
"COG0017",343,282,293,237,275,340,343,313,330,297
"COG0018",468,428,356,397,316,427,515,487,398,390
"COG0019",528,413,355,499,346,505,481,589,538,573
"COG0020",230,235,161,201,147,203,239,207,245,202
"COG0021",337,220,290,161,204,268,477,356,335,279
"COG0022",9,36,116,74,138,14,27,6,8,48
"COG0023",30,41,56,34,81,47,27,26,4,33
"COG0024",423,399,256,342,314,239,155,261,175,216
"COG0025",29,194,36,56,38,181,33,85,35,56
"COG0026",7,33,9,16,2,14,17,8,7,6
"COG0027",187,57,147,92,152,118,226,135,140,92
"COG0028",495,621,495,520,515,600,469,477,545,520
"COG0029",215,155,184,190,150,291,465,287,302,245
"COG0030",276,290,147,294,171,280,323,295,280,360
"COG0031",238,296,266,303,186,297,242,278,284,307
"COG0033",0,3,3,8,4,1,18,5,4,1
"COG0034",527,378,407,479,357,422,728,538,665,443
"COG0035",174,194,146,182,167,185,228,176,273,209
"COG0036",167,244,142,238,146,202,219,226,244,239
"COG0037",524,547,363,495,380,507,363,491,515,564
"COG0038",415,422,408,320,412,357,392,308,362,345
"COG0039",323,289,283,303,292,338,371,313,343,323
"COG0040",165,129,179,139,173,167,206,134,215,172
"COG0041",137,147,79,128,78,144,157,105,138,117
"COG0042",329,474,317,388,314,296,217,275,154,225
"COG0043",20,99,40,75,43,11,27,29,25,49
"COG0044",310,306,216,464,226,311,315,252,302,361
"COG0045",6,53,117,27,94,15,9,10,19,26
"COG0046",606,515,328,744,378,577,1020,795,941,686
"COG0047",518,415,334,629,346,322,620,488,509,359
"COG0048",94,120,68,99,61,139,89,105,132,127
"COG0049",124,175,115,154,117,153,63,181,89,152
"COG0050",347,414,230,396,220,341,475,378,474,339
"COG0051",81,111,104,113,94,108,69,71,61,123
"COG0052",210,146,146,163,119,182,205,242,228,186
"COG0053",304,284,206,263,226,240,256,289,242,256
"COG0054",144,99,90,74,63,91,137,118,163,125
"COG0055",295,420,214,266,155,376,316,357,458,394
"COG0056",208,308,150,220,133,429,552,450,523,461
"COG0057",251,247,155,326,177,236,305,292,324,257
"COG0058",612,793,514,542,670,770,573,818,659,764
"COG0059",215,231,237,258,200,225,231,207,229,234
"COG0060",596,545,526,689,423,649,672,684,680,663
"COG0061",233,188,153,239,136,182,170,187,202,186
"COG0062",224,156,176,289,168,260,312,269,388,253
"COG0063",261,179,179,318,157,244,332,259,357,243
"COG0064",57,115,29,216,39,105,39,80,55,104
"COG0065",187,307,292,394,199,283,265,213,372,288
"COG0066",114,154,109,148,117,137,173,114,138,153
"COG0067",429,355,321,505,253,626,662,539,632,553
"COG0068",15,112,30,108,28,27,54,48,44,76
"COG0069",380,348,402,567,335,633,672,582,588,552
"COG0070",363,330,347,465,304,563,632,508,578,471
"COG0071",224,238,162,195,228,209,195,254,250,238
"COG0072",405,365,323,502,334,444,513,506,538,468
"COG0073",856,698,549,910,611,855,927,1020,973,867
"COG0074",9,35,73,47,83,22,43,23,24,40
"COG0075",89,166,189,129,160,69,265,271,288,139
"COG0076",55,65,224,125,177,58,100,53,8,52
"COG0077",145,157,135,228,117,202,211,217,180,147
"COG0078",238,292,199,329,161,301,307,266,251,277
"COG0079",431,488,276,418,650,622,289,445,346,458
"COG0080",148,176,95,139,111,131,113,137,157,131
"COG0081",147,173,154,217,171,181,265,204,234,201
"COG0082",211,175,171,245,133,151,131,139,107,142
"COG0083",9,60,14,68,14,20,18,21,29,45
"COG0084",260,326,285,301,298,172,122,197,128,147
"COG0085",947,802,756,913,620,1025,1097,1164,922,858
"COG0086",909,740,671,980,506,946,1024,1041,1064,893
"COG0087",145,215,131,201,153,221,192,200,221,186
"COG0088",193,193,123,203,132,220,171,219,183,174
"COG0089",105,141,103,118,105,135,83,120,98,124
"COG0090",177,210,110,236,139,218,248,271,277,243
"COG0091",100,151,65,116,78,134,142,149,132,136
"COG0092",147,218,81,183,83,201,196,179,221,205
"COG0093",87,119,67,133,72,124,114,126,144,132
"COG0094",180,215,130,142,107,216,160,205,171,169
"COG0095",31,57,76,75,77,18,23,30,24,86
"COG0096",138,153,81,155,68,133,139,148,160,170
"COG0097",151,182,111,196,121,203,168,160,210,213
"COG0098",164,206,114,169,106,186,200,191,191,178
"COG0099",135,134,72,159,73,119,109,175,91,127
"COG0100",124,119,52,151,46,121,112,136,133,102
"COG0101",203,325,173,251,171,242,191,220,250,269
"COG0102",183,164,108,174,88,137,74,153,92,143
"COG0103",150,139,96,155,86,116,129,170,134,150
"COG0104",330,338,204,357,227,380,328,376,426,335
"COG0105",36,59,82,31,61,55,38,34,11,40
"COG0106",80,105,84,107,94,173,141,129,164,144
"COG0107",148,141,110,177,98,184,148,198,193,190
"COG0108",241,197,234,145,212,224,351,216,297,227
