"","NOM012","DLM008","DLM013","DLM004","DOF008","DOF011","NOM019","DLM005","NOM004","DLF006"
"COG0001",888,1192,2462,345,790,788,1971,892,322,1207
"COG0002",2135,2290,2301,2132,1863,1575,1556,1313,1155,1403
"COG0003",93,51,293,230,85,415,222,524,1604,363
"COG0004",3141,2584,1945,1170,2849,4759,2908,2325,1393,1649
"COG0005",1013,1009,1107,766,702,1753,1751,1315,1001,1177
"COG0006",5251,6195,5459,7095,5172,7366,5872,5948,6821,5648
"COG0007",331,515,793,327,683,739,829,526,617,631
"COG0008",7838,6372,7733,4564,7226,6866,8708,7216,4546,6174
"COG0009",2129,2922,2702,3233,2957,2602,3035,2802,3007,2585
"COG0010",653,617,1255,373,936,429,976,789,963,1094
"COG0011",15,93,184,14,290,8,24,198,44,43
"COG0012",2569,2634,2968,2022,2951,2052,3054,2511,1974,2275
"COG0013",5593,5474,6104,4903,5382,5073,6172,5447,4842,4653
"COG0014",1803,2743,3010,2539,2021,3068,2879,2007,2282,2219
"COG0015",3336,3135,3757,2812,3370,3254,4020,3636,2841,3073
"COG0016",2501,2870,2825,2332,2323,2649,2644,2414,2258,2514
"COG0017",2945,3389,2409,2900,3808,2841,3225,3029,2978,2978
"COG0018",2665,2625,2644,2626,2988,4629,4856,4251,3892,3905
"COG0019",4717,4782,4754,3990,4919,6358,4572,4248,4130,3617
"COG0020",2152,1894,2033,1710,1991,2479,2080,1988,1639,1722
"COG0021",2218,1529,1637,2486,1385,4548,2786,2934,2682,2188
"COG0022",301,1082,764,925,94,41,365,544,1025,621
"COG0023",199,477,253,888,75,242,259,503,695,562
"COG0024",2828,3537,3248,3330,3075,4303,3142,3116,3367,3201
"COG0025",468,483,576,197,2140,169,487,566,702,519
"COG0026",76,81,171,92,767,23,290,359,117,322
"COG0027",1153,1076,753,1620,639,1449,951,1165,1414,883
"COG0028",4904,5227,5106,4433,7624,4207,4627,4580,5205,4945
"COG0029",2190,2422,2817,2768,1837,3026,2452,2403,3241,2093
"COG0030",4642,3487,3159,3513,4793,2917,3029,5802,2247,3457
"COG0031",2692,3214,3080,2597,3109,2560,3134,2734,2200,2803
"COG0033",53,26,180,42,658,4,89,421,84,149
"COG0034",5383,4960,4817,4858,3755,5239,4871,4796,4536,4116
"COG0035",2048,2242,1827,1877,2098,1374,1389,1361,1227,1363
"COG0036",2426,1641,2381,1786,2502,3614,2027,1917,1833,2088
