"","NOM017","NLM006","NOM007","DLM005","NOM028","NOM020","DLF013","NOM008","DLM024","NLF010"
"COG0001",523,676,645,909,730,319,1279,475,855,505
"COG0002",2279,2213,1548,2026,1897,2512,2189,2203,1243,2182
"COG0003",12,243,99,523,364,34,280,211,0,423
"COG0004",5788,1797,2310,2330,2267,3248,2654,2208,1558,1544
"COG0005",2051,1102,1570,1333,1156,1606,1329,1434,1234,869
"COG0006",6380,6522,5897,5899,6259,6182,5654,7131,4507,7326
"COG0007",648,969,402,528,997,131,226,74,422,172
"COG0008",9394,6550,7334,7213,5633,8481,7476,6121,4605,4739
"COG0009",1614,2874,2560,2814,2619,2078,2961,2566,1803,3376
"COG0010",522,707,551,788,871,650,693,389,1601,621
"COG0011",46,9,30,190,78,8,129,28,144,8
"COG0012",2737,2416,3185,2500,2209,2997,2711,2527,1349,1785
"COG0013",5574,5511,5652,5489,4881,6171,5837,6155,2550,4922
"COG0014",2294,2575,1774,1991,2332,2314,2541,2927,1295,2530
"COG0015",4538,3550,3308,3635,2677,3507,3460,2733,1657,2550
"COG0016",2051,2156,3073,2415,2034,2031,2550,2761,1085,2462
"COG0017",3354,2749,3745,3005,3717,3415,2975,3461,2124,2800
"COG0018",4129,3910,4512,4258,3853,3921,4249,4248,2042,4646
"COG0019",7911,5108,5688,4281,4424,4668,4712,3896,2599,5335
"COG0020",2550,1812,2045,2001,1598,2034,1705,1511,698,1858
"COG0021",3449,3471,2708,2974,2027,4686,1610,2256,3124,2717
"COG0022",83,523,148,528,983,208,841,596,208,881
"COG0023",41,637,278,505,411,275,450,662,305,872
"COG0024",2774,2893,4364,3049,2667,2788,3529,3472,1659,3425
"COG0025",277,944,592,562,812,498,523,469,1877,232
"COG0026",53,137,45,366,210,173,243,39,949,46
"COG0027",1647,1596,1186,1182,1141,2073,1100,1559,839,1492
"COG0028",5354,4334,4219,4588,6208,6317,5453,5383,10162,4220
"COG0029",1845,3221,2413,2403,2700,1142,916,1179,540,1057
"COG0030",3647,5044,3736,5826,3292,2796,3834,2280,2370,4167
"COG0031",2260,2432,2002,2712,2685,2460,2807,3075,2232,2849
"COG0033",25,52,18,415,235,447,155,32,1081,12
"COG0034",6718,4672,5596,4819,4927,6425,5741,4685,1873,4609
"COG0035",2671,2080,2366,2015,1659,2135,1885,2261,1019,2342
"COG0036",2257,2328,1906,1912,1778,2021,1772,1377,2396,1948
"COG0037",4643,3935,6150,4408,4086,4249,5045,4152,3263,4058
"COG0038",3557,3906,3894,3806,4588,3492,4740,3816,2650,4413
"COG0039",3275,3666,3400,3253,3380,3187,3443,3663,2005,4702
"COG0040",2188,1763,1237,1607,1568,698,643,560,283,730
"COG0041",1322,1351,1452,1380,1268,1417,1345,1339,675,1453
"COG0042",2626,3562,3769,3015,4284,3728,3659,3614,3872,3900
"COG0043",330,519,169,564,774,290,471,360,2370,318
"COG0044",3936,3010,3001,3209,3995,3351,3537,2944,4260,3043
"COG0045",248,606,63,316,434,398,344,279,969,301
"COG0046",9447,5826,6941,6320,5001,9124,6892,5684,3229,5587
"COG0047",7615,5345,6510,5648,3925,2663,2071,1783,1083,1514
"COG0048",1175,814,1351,1049,860,989,1021,690,782,570
"COG0049",1039,1486,2002,1744,1285,992,1572,1161,1027,1261
"COG0050",3773,2027,3894,3458,2501,1461,947,1191,1029,979
"COG0051",664,1346,1472,1381,948,568,1037,1024,839,1185
"COG0052",2243,1990,2412,1945,1352,2263,1835,1764,1274,1105
"COG0053",2505,2368,2511,2588,2185,2337,2592,2048,2463,2501
"COG0054",487,371,311,398,312,1305,1043,1285,946,962
"COG0055",4208,2308,3550,2764,3343,3759,3388,2414,2498,2090
"COG0056",5130,2750,3726,3300,3574,4722,3529,3601,2549,2856
"COG0057",3177,1928,2777,3056,2042,3004,2995,2559,2879,1753
"COG0058",6730,5445,8552,6489,5797,5980,7879,5712,6326,5399
"COG0059",2402,2258,1665,2418,2222,2573,2586,2422,1773,2051
"COG0060",7151,4742,7522,4747,5222,6981,6694,5442,3206,3660
"COG0061",2012,1826,2243,1815,1767,1815,2004,1792,1388,1496
"COG0062",3835,2267,2942,1964,2001,3214,1938,1725,1638,1627
"COG0063",3937,2278,2979,2048,2214,3183,2180,1519,1636,1764
"COG0064",908,662,1690,1142,1065,441,1382,453,422,610
"COG0065",3650,2205,1770,2072,3647,2996,2846,2600,1746,1631
"COG0066",1035,1559,1007,1367,1386,1357,1473,1511,1110,1525
