"","NLM026","DOM026","DOF004","NLM029","NLM010","NOM022","NLF007","DOF009","DOM001","NLM006","NOF013","NOM028"
"COG0001",50,89,114,98,82,33,78,55,58,64,47,74
"COG0002",211,199,244,192,202,191,247,196,206,231,177,179
"COG0003",13,53,25,12,40,18,11,32,41,31,80,27
"COG0004",315,265,213,335,301,313,362,217,251,179,275,226
"COG0005",89,100,95,93,71,119,138,124,137,110,149,108
"COG0006",342,430,440,307,353,499,552,642,601,680,592,616
"COG0007",34,111,84,85,82,62,55,24,59,85,28,102
"COG0008",750,552,656,725,584,693,771,668,676,623,593,512
"COG0009",281,314,308,262,290,292,269,327,239,302,238,268
"COG0010",125,39,69,67,120,38,45,56,67,44,47,50
"COG0011",7,2,6,8,1,3,1,13,1,1,7,15
"COG0012",306,209,232,318,250,223,299,267,240,248,237,251
"COG0013",676,506,558,684,573,508,620,522,530,551,480,482
"COG0014",258,242,258,272,261,265,265,227,227,257,236,237
"COG0015",358,306,312,360,308,311,388,381,338,342,270,258
"COG0016",258,198,243,239,237,234,245,239,207,204,166,208
"COG0017",386,306,257,277,264,310,348,284,326,271,294,357
"COG0018",470,368,436,463,358,439,437,389,406,386,340,392
"COG0019",484,522,568,469,508,549,447,476,463,508,428,436
"COG0020",215,177,175,178,190,227,190,156,215,207,165,168
"COG0021",141,170,343,282,274,321,241,250,301,367,197,185
"COG0022",20,22,72,37,105,11,44,35,88,53,132,108
"COG0023",36,49,50,24,37,37,19,80,31,72,47,33
"COG0024",369,338,296,369,329,469,329,394,296,287,314,258
"COG0025",91,16,85,113,63,23,71,149,37,113,17,84
"COG0026",11,3,15,6,13,2,2,24,32,13,2,23
"COG0027",44,66,93,31,57,122,118,148,188,160,74,124
"COG0028",416,637,573,508,577,436,619,480,455,470,546,624
"COG0029",265,291,297,226,264,276,170,197,190,212,168,188
"COG0030",349,376,389,362,315,249,394,249,353,504,289,308
"COG0031",304,271,316,308,306,224,306,286,289,240,311,291
"COG0033",5,0,20,0,3,2,4,32,8,7,1,19
"COG0034",549,482,449,461,494,592,537,486,502,479,410,479
"COG0035",129,118,133,115,119,130,189,224,228,214,172,166
"COG0036",245,251,165,222,186,170,210,170,173,245,156,173
"COG0037",374,333,363,425,340,346,564,408,556,377,466,397
"COG0038",314,459,476,315,369,420,396,513,373,386,428,475
"COG0039",178,203,253,197,189,206,325,264,290,337,290,334
"COG0040",154,179,173,126,150,136,131,190,178,161,185,166
"COG0041",150,155,140,131,122,143,127,151,126,137,111,149
"COG0042",394,409,452,415,456,338,363,418,376,353,393,419
"COG0043",17,10,52,67,29,17,18,26,82,56,23,90
"COG0044",328,340,354,338,380,310,320,339,344,290,264,397
"COG0045",14,26,38,2,29,9,8,43,23,60,40,35
"COG0046",701,602,566,678,608,622,591,623,661,535,608,526
"COG0047",662,531,562,635,520,566,597,506,498,561,446,384
"COG0048",149,102,66,116,84,92,113,107,112,79,50,85
"COG0049",175,132,131,163,134,149,156,138,138,143,107,129
"COG0050",398,234,255,324,297,322,361,307,328,226,236,255
"COG0051",119,89,105,130,100,82,105,114,111,159,79,112
"COG0052",202,147,165,208,146,193,199,206,175,197,132,159
"COG0053",291,262,214,263,216,287,284,264,216,252,186,223
"COG0054",73,82,116,111,100,134,126,121,115,112,72,81
"COG0055",419,221,348,501,424,293,488,283,282,238,296,334
"COG0056",486,335,385,553,474,317,557,332,339,295,342,404
"COG0057",334,212,191,278,212,234,287,262,269,211,193,187
"COG0058",927,708,784,801,723,606,856,659,585,535,533,622
"COG0059",197,237,229,197,204,220,242,268,188,230,227,209
"COG0060",557,309,424,445,373,407,769,667,582,493,483,520
"COG0061",200,171,213,180,194,227,122,130,124,117,112,124
"COG0062",240,212,215,217,202,255,253,193,222,221,184,196
"COG0063",239,220,244,211,220,247,253,238,253,252,210,222
"COG0064",186,168,114,217,144,60,144,76,86,78,81,107
"COG0065",241,267,311,319,306,188,307,273,268,210,268,367
"COG0066",116,148,162,115,143,102,132,130,136,144,116,130
"COG0067",614,487,498,634,733,416,398,320,307,298,373,316
"COG0068",27,40,40,33,59,24,23,43,42,102,13,48
"COG0069",591,518,523,637,729,401,602,498,470,440,555,548
"COG0070",589,407,503,578,616,388,528,472,406,415,505,412
"COG0071",160,240,178,201,183,228,161,172,147,194,142,153
"COG0072",529,355,338,562,410,386,484,423,440,426,393,313
"COG0073",997,843,745,993,690,855,955,812,779,848,708,584
"COG0074",49,22,32,5,47,10,11,38,38,69,50,60
"COG0075",91,98,153,102,92,110,82,118,100,121,86,125
"COG0076",69,96,117,61,109,67,123,102,124,97,116,143
"COG0077",172,189,151,197,173,127,191,160,184,176,191,164
"COG0078",263,254,279,246,274,222,246,318,300,278,229,311
"COG0079",457,454,583,454,548,402,495,507,461,393,449,448
"COG0080",150,132,112,135,125,119,128,156,119,146,93,100
"COG0081",214,156,153,217,146,170,207,195,215,121,117,179
"COG0082",237,192,208,240,246,204,231,204,217,199,194,210
"COG0083",66,12,65,36,53,11,35,48,50,38,27,33
"COG0084",251,284,297,274,280,240,256,297,276,310,296,308
"COG0085",1069,800,738,1006,834,984,1052,773,809,828,758,790
"COG0086",1059,549,784,1000,801,987,979,932,795,667,740,621
"COG0087",227,204,134,217,178,155,193,192,182,147,125,147
"COG0088",210,175,159,224,170,199,186,164,179,217,122,158
"COG0089",113,101,80,112,97,114,142,100,111,95,74,89
"COG0090",308,155,153,288,173,168,252,192,177,146,146,178
"COG0091",137,129,103,157,105,116,146,112,109,155,112,109
"COG0092",259,149,132,173,146,164,194,173,162,148,137,120
"COG0093",140,89,107,151,101,89,128,116,94,101,76,83
"COG0094",142,111,77,121,102,121,189,190,136,178,115,140
"COG0095",35,22,44,37,67,43,71,47,68,100,54,81
"COG0096",132,113,95,147,97,127,133,124,136,141,84,96
"COG0097",214,136,121,210,124,144,198,172,170,144,133,112
"COG0098",173,131,140,172,141,177,159,153,151,138,131,92
"COG0099",125,117,112,111,101,116,107,105,95,107,81,102
"COG0100",169,90,75,132,83,139,138,125,95,70,89,74
"COG0101",222,227,272,312,248,201,235,254,218,210,184,220
"COG0102",139,98,137,134,137,163,141,117,109,93,78,108
"COG0103",131,126,106,106,121,142,123,124,112,109,92,111
"COG0104",310,303,260,424,383,295,420,360,321,252,262,262
"COG0105",38,41,40,36,58,30,38,65,43,66,54,49
"COG0106",137,181,173,158,178,99,156,140,145,126,147,164
"COG0107",168,193,132,168,174,141,180,142,135,143,186,135
"COG0108",182,194,260,279,206,220,161,163,166,200,101,147
"COG0109",1,0,6,0,1,0,0,1,3,6,2,4
"COG0110",528,850,732,605,657,503,772,890,780,876,867,636
"COG0111",477,330,367,350,308,323,429,539,463,547,373,387
"COG0112",277,218,220,285,246,229,279,268,269,276,209,171
"COG0113",26,68,90,75,78,51,60,37,56,52,13,58
"COG0114",42,9,29,16,18,8,19,30,43,18,4,35
"COG0115",343,294,334,334,320,327,335,400,335,273,262,294
"COG0116",248,208,208,235,198,254,261,171,182,203,196,204
"COG0117",126,108,213,207,216,225,109,149,134,161,96,115
"COG0118",112,111,149,121,138,113,126,158,142,136,123,118
"COG0119",598,469,638,807,638,377,640,548,463,523,586,442
"COG0120",19,29,35,19,21,12,12,25,36,26,60,39
"COG0121",2,0,11,0,2,1,1,5,1,7,0,13
"COG0122",115,112,64,78,48,13,44,35,98,51,63,63
"COG0123",5,0,14,12,9,4,5,1,22,7,6,1
"COG0124",307,338,294,324,299,292,278,272,343,283,227,253
"COG0125",152,88,38,108,69,28,80,55,75,43,31,50
"COG0126",363,229,258,328,237,228,294,256,249,234,237,215
"COG0127",181,143,190,143,183,179,196,143,160,203,140,160
"COG0128",253,272,246,249,235,268,275,291,289,242,209,163
"COG0129",389,404,426,305,403,414,360,344,407,343,396,373
"COG0130",130,111,100,126,98,122,213,161,177,179,147,160
"COG0131",109,140,218,152,144,127,146,138,137,156,152,133
"COG0132",49,82,91,49,74,67,60,77,77,86,60,115
"COG0133",147,176,214,154,203,119,163,187,196,203,140,190
"COG0134",120,177,132,118,133,74,111,136,149,164,109,141
"COG0135",72,114,69,78,96,59,80,80,81,135,78,99
"COG0136",270,150,213,276,186,212,241,241,183,235,165,186
"COG0137",289,312,271,264,309,245,321,245,267,249,229,225
"COG0138",335,347,362,328,418,333,326,396,399,392,388,405
"COG0139",141,179,168,150,152,159,155,152,137,152,132,134
"COG0140",118,152,109,83,111,136,129,111,121,113,123,127
"COG0141",195,218,266,210,249,213,222,199,242,227,216,229
"COG0142",321,299,320,263,267,540,326,377,361,428,301,337
"COG0143",543,443,355,498,382,472,329,306,318,314,256,216
"COG0144",413,408,376,488,351,321,375,255,320,313,285,340
"COG0145",43,10,23,19,18,37,19,4,37,16,8,105
"COG0146",4,1,3,3,4,5,7,1,6,5,0,0
"COG0147",211,401,355,249,329,247,277,318,284,328,327,343
"COG0148",419,333,298,421,316,229,243,234,193,174,214,221
"COG0149",220,160,189,205,183,127,195,188,187,130,180,137
"COG0150",255,211,236,268,238,206,266,281,246,222,193,182
"COG0151",282,230,255,266,253,241,272,272,206,212,262,226
