"","NOM016","NOM025","DLF003","NLM024","DLM004","NLM023","DLF014","DLM014","DOM008","DOM001","NOM001","NOF014"
"COG0001",39,37,58,32,30,89,109,43,37,68,225,55
"COG0002",228,196,223,274,215,188,296,220,229,200,247,215
"COG0003",23,139,7,18,22,41,70,22,10,42,22,14
"COG0004",257,246,323,459,116,178,401,203,122,240,504,273
"COG0005",52,44,58,69,36,36,105,154,148,154,182,163
"COG0006",730,647,579,651,712,598,446,642,655,598,612,504
"COG0007",45,39,26,31,28,50,140,40,28,74,407,30
"COG0008",214,211,278,271,152,196,653,677,502,801,836,676
"COG0009",300,270,258,179,319,228,279,308,263,218,163,302
"COG0010",78,84,49,38,49,173,40,85,142,106,32,118
"COG0011",0,1,4,0,2,3,66,1,10,3,4,0
"COG0012",260,215,332,320,215,246,253,273,203,245,347,298
"COG0013",621,517,641,700,498,487,597,666,456,499,643,587
"COG0014",291,258,218,256,237,275,285,264,279,224,334,205
"COG0015",323,309,383,393,293,264,370,318,272,343,391,324
"COG0016",261,222,266,225,211,247,213,283,232,230,200,288
"COG0017",329,347,302,328,286,361,200,343,245,335,346,307
"COG0018",414,446,460,509,384,353,489,388,381,429,419,478
"COG0019",509,473,480,453,372,443,500,536,494,477,542,461
"COG0020",203,129,245,218,154,160,227,169,162,189,235,166
"COG0021",216,275,243,512,245,195,344,382,261,289,373,176
"COG0022",117,57,10,24,78,162,32,65,173,56,7,32
"COG0023",53,56,8,19,110,81,4,65,78,45,5,33
"COG0024",306,314,414,256,346,321,325,333,271,258,247,329
"COG0025",54,72,64,31,27,43,220,48,43,36,31,72
"COG0026",5,39,5,13,8,19,96,28,9,32,1,3
"COG0027",116,100,104,230,157,104,90,167,156,181,133,68
"COG0028",529,679,467,515,442,501,715,561,645,490,557,613
"COG0029",281,303,287,447,275,264,294,333,267,216,322,205
"COG0030",375,224,324,315,365,300,470,236,239,299,266,328
"COG0031",305,277,350,261,238,287,327,265,273,237,282,289
"COG0033",0,29,0,9,5,8,197,3,15,7,5,1
"COG0034",529,423,607,776,495,438,415,579,421,466,654,490
"COG0035",240,196,240,215,187,183,182,197,178,254,264,213
"COG0036",142,178,252,237,184,159,319,149,120,170,216,265
"COG0037",476,435,585,365,381,430,439,501,464,549,466,585
"COG0038",448,419,314,443,511,415,596,516,496,389,342,247
"COG0039",302,337,297,349,378,324,419,320,387,283,357,299
"COG0040",160,194,167,214,195,129,185,177,206,180,199,140
"COG0041",132,153,120,167,129,110,152,126,104,143,106,128
"COG0042",411,398,331,296,427,353,360,379,430,344,216,350
"COG0043",28,22,3,27,12,31,34,31,29,101,26,17
"COG0044",274,286,301,271,272,292,412,333,342,319,292,306
"COG0045",13,47,14,19,47,62,111,22,83,23,22,12
"COG0046",639,617,665,1036,465,475,770,628,535,632,887,608
"COG0047",627,441,636,914,432,386,737,618,411,491,809,528
"COG0048",78,65,147,87,64,83,120,84,65,103,139,132
"COG0049",153,130,191,69,117,155,156,138,111,127,78,152
"COG0050",258,366,428,493,298,304,377,362,238,313,501,360
"COG0051",118,83,108,61,113,116,116,107,100,107,55,152
"COG0052",162,120,233,250,121,176,140,175,147,200,237,218
"COG0053",242,275,243,274,235,202,223,243,191,239,248,251
"COG0054",112,89,159,141,95,105,76,143,111,138,150,67
"COG0055",332,361,384,327,174,237,362,348,224,283,429,394
"COG0056",422,448,418,487,214,297,461,418,301,354,527,454
"COG0057",169,246,326,357,189,223,295,245,189,294,315,282
"COG0058",599,696,715,627,501,534,842,609,442,583,613,789
"COG0059",220,224,222,224,232,187,417,243,269,180,252,197
"COG0060",183,145,301,224,155,183,616,701,558,580,738,754
"COG0061",172,168,205,176,154,154,224,202,191,178,227,189
"COG0062",216,143,316,312,175,128,176,235,205,216,361,229
"COG0063",246,220,334,360,134,167,291,238,255,217,365,221
"COG0064",102,62,193,50,51,70,309,75,32,92,103,220
"COG0065",262,233,275,268,226,309,453,299,314,254,343,235
"COG0066",130,118,126,162,151,114,211,131,146,120,131,122
"COG0067",609,565,617,660,233,361,689,493,337,488,628,524
"COG0068",27,62,23,51,38,47,141,26,73,57,40,31
"COG0069",592,578,558,653,298,340,619,526,349,496,603,497
"COG0070",608,522,476,626,271,356,624,463,353,441,611,476
"COG0071",177,237,293,199,162,167,248,133,124,150,245,163
"COG0072",465,314,564,477,285,417,517,407,321,447,558,537
"COG0073",922,705,985,944,525,733,791,812,659,790,954,942
"COG0074",11,81,23,37,50,49,94,20,98,38,19,11
"COG0075",113,159,68,264,165,153,45,137,193,100,284,101
"COG0076",126,169,22,61,161,181,22,143,203,120,9,83
"COG0077",178,175,177,224,115,157,253,160,185,182,211,174
"COG0078",269,312,268,275,244,220,379,245,252,306,226,261
"COG0079",561,408,408,308,389,326,548,453,556,454,352,504
"COG0080",97,117,162,136,133,146,123,106,100,121,152,160
"COG0081",163,176,273,256,151,178,221,182,145,184,236,183
"COG0082",221,196,225,210,157,179,233,231,159,212,196,181
"COG0083",23,72,29,20,4,26,152,35,15,52,36,35
"COG0084",307,250,295,195,355,308,296,299,357,294,182,260
"COG0085",770,943,1154,1071,785,783,279,314,217,276,341,336
"COG0086",836,596,1157,1024,582,800,825,958,668,771,1004,934
"COG0087",126,158,207,193,138,154,203,158,127,170,230,235
"COG0088",186,148,244,166,184,159,198,180,144,178,167,211
"COG0089",94,83,174,78,100,103,91,91,71,112,97,132
"COG0090",171,176,292,288,87,162,82,64,38,70,88,82
"COG0091",38,36,58,47,29,35,138,107,78,131,124,153
"COG0092",125,120,259,198,109,113,166,152,108,151,204,209
"COG0093",88,68,157,117,77,102,114,82,81,108,143,137
"COG0094",159,153,222,186,160,146,165,146,150,161,163,221
"COG0095",54,34,43,42,51,82,86,62,90,54,25,31
"COG0096",68,80,193,145,78,93,147,92,76,135,139,171
"COG0097",114,116,234,171,89,155,142,144,84,151,197,182
"COG0098",124,133,215,187,112,138,145,151,126,146,180,162
"COG0099",110,108,137,111,91,116,159,93,83,113,86,126
"COG0100",88,72,167,98,56,77,118,100,67,87,131,130
"COG0101",211,203,298,197,206,177,295,204,169,222,244,274
"COG0102",115,84,187,78,115,132,170,125,100,111,91,170
"COG0103",97,103,201,117,147,100,120,96,124,117,146,148
"COG0104",310,305,404,356,222,269,354,315,247,276,403,347
