"","Sample.1.to.5","Sample.6.to.10","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0024",NA,-1.5,4628.15347316543,0.0305781277822543,"3","1"
"COG0033",-1.5,NA,230.56348800827,1.81998227879734,"2","3"
"COG0052",NA,-1.5,2508.3206278224,0.0503580498475519,"3","1"
"COG0066",NA,-1.5,1894.99518686408,0.0344703661022091,"3","1"
"COG0069",NA,-1.5,7218.80873013968,0.0679842607125661,"3","1"
"COG0072",NA,-1.5,5902.15485361565,0.0462069488301333,"3","1"
"COG0095",-1.5,NA,850.611147845087,0.319936973829836,"2","2"
"COG0099",-1.5,NA,1544.04468518697,0.0296723740733555,"3","1"
"COG0104",-1.5,NA,4448.40688955485,0.0375312208712371,"3","1"
"COG0125",-1.5,NA,872.17086657452,0.256945588598473,"2","2"
"COG0130",-1.5,NA,2483.57142821698,0.0442849408749037,"3","1"
"COG0131",-1.5,NA,2115.67346779837,0.0386273560558989,"3","1"
"COG0133",-1.5,NA,2659.55662199134,0.0643478369020893,"3","1"
"COG0144",NA,-1.5,4748.18142735081,0.0227384297439546,"3","1"
"COG0147",-1.5,NA,4592.79352561474,0.0491884055194402,"3","1"
"COG0149",NA,-1.5,2416.46491148311,0.0441254235120477,"3","1"
"COG0159",-1.5,NA,1981.91162664573,0.053467936763578,"3","1"
"COG0164",-1.5,NA,2156.13534778681,0.0291849303454353,"3","1"
"COG0189",-1.5,NA,484.108556234867,0.484994180838933,"2","2"
"COG0201",-1.5,NA,4738.69806444915,0.0409268215147727,"3","1"
"COG0207",-1.5,NA,2379.21107310729,0.086951660766202,"3","1"
"COG0211",-1.5,NA,877.906258034585,0.0713323395215109,"2","1"
"COG0215",-1.5,NA,4736.66297514892,0.0269444937668587,"3","1"
"COG0229",NA,-1.5,716.942092757375,0.363635403570045,"2","2"
"COG0235",NA,-1.5,4232.68649398902,0.0605946966542238,"3","1"
"COG0236",-1.5,NA,1629.82851941925,0.0609473381581299,"3","1"
"COG0239",-1.5,NA,723.997203765592,0.230298807580487,"2","1"
"COG0249",NA,-1.5,9352.69208526066,0.0404083541940986,"3","1"
"COG0250",NA,-1.5,2635.17487062493,0.0364426490335391,"3","1"
"COG0263",NA,-1.5,2556.31002877756,0.0640114038731128,"3","1"
"COG0266",NA,-1.5,617.816060724687,0.309952191704592,"2","2"
"COG0272",NA,-1.5,6014.26650799809,0.0441008776597114,"3","1"
"COG0286",-1.5,NA,9184.37628338249,0.125505302925743,"3","1"
"COG0287",NA,-1.5,1755.74373085986,0.0920074988855104,"3","1"
"COG0306",-1.5,NA,1057.17959640272,0.34790439651688,"2","2"
"COG0334",NA,-1.5,6073.27508331945,0.0367487287468622,"3","1"
"COG0336",-1.5,NA,2349.25171558701,0.0380809427822595,"3","1"
"COG0356",NA,-1.5,3401.99015765614,0.033740263322566,"3","1"
"COG0357",NA,-1.5,2354.24955218977,0.0399081393741685,"3","1"
"COG0359",-1.5,NA,1841.4823909633,0.0237970036679391,"3","1"
"COG0364",NA,-1.5,1636.26275374656,0.346224348615993,"3","2"
"COG0366",-1.5,NA,19166.6783512144,0.130420269103031,"3","1"
"COG0369",NA,-1.5,94.9561549339792,1.91256788683917,"1","3"
"COG0370",-1.5,NA,8660.74961024876,0.0469044106162687,"3","1"
"COG0374",NA,-1.5,587.448461770591,0.697223484400255,"2","2"
"COG0385",NA,-1.5,1577.65457551746,0.308173541440401,"3","2"
"COG0394",-1.5,NA,3019.01742208842,0.05425590367433,"3","1"
"COG0413",NA,-1.5,1678.7756220959,0.143700725884582,"3","1"
"COG0414",NA,-1.5,2085.65183470624,0.100103764520274,"3","1"
"COG0423",-1.5,NA,4407.16503657078,0.0723983702861928,"3","1"
"COG0426",NA,-1.5,4377.46424624463,0.0211794594674984,"3","1"
"COG0433",-1.5,NA,1794.6103643169,0.497179998962794,"3","2"
"COG0441",-1.5,NA,9225.98091011693,0.0352998639298629,"3","1"
"COG0452",-1.5,NA,3266.59671217267,0.0312174471851604,"3","1"
"COG0462",-1.5,NA,4006.70842984156,0.0509842002751641,"3","1"
"COG0468",-1.5,NA,3874.60043316731,0.079546707813983,"3","1"
"COG0480",NA,-1.5,20864.4586304459,0.048959703554174,"3","1"
"COG0523",-1.5,NA,2284.69943772111,0.0816385751778235,"3","1"
"COG0546",NA,-1.5,5444.3896044412,0.0283460317259641,"3","1"
"COG0551",-1.5,NA,2921.09859406906,0.17480596667111,"3","1"
"COG0566",-1.5,NA,7279.31149805328,0.0140301890875663,"3","1"
"COG0587",-1.5,NA,10874.8487008722,0.0644340497702246,"3","1"
"COG0596",-1.5,NA,3440.26669750235,0.18871954446394,"3","1"
"COG0601",-1.5,NA,4183.27075654438,0.184636753543072,"3","1"
"COG0603",-1.5,NA,1599.43508643434,0.128430956617142,"3","1"
"COG0620",NA,-1.5,2596.46126633396,0.222169060102999,"3","1"
"COG0629",-1.5,NA,3323.65135050246,0.0793075603384164,"3","1"
"COG0631",NA,-1.5,2701.38429386901,0.201070029008639,"3","1"
"COG0645",-1.5,NA,12.4350592718649,11.353231518692,"1","3"
"COG0648",-1.5,NA,2079.89385275048,0.0879544169765551,"3","1"
"COG0651",-1.5,NA,942.805492114948,0.500784795592483,"2","2"
