"","X65_DCM_0d2.3","X34_SUR_0d2.1d6","X102_SUR_0d2.3","X76_SUR_0.0d2","X138_MES_0d2.3","X149_SUR_0d2.3","X109_MES_0d2.3","X146_SUR_0d2.3","X145_MES_0d2.3","X30_DCM_0d2.1d6","X124_DCM_0d2.0d45","X9_DCM_0d2.1d6","X102_MES_0d2.3","X70_SUR_0d2.0d45","X84_SUR_0d2.3","X72_DCM_0d2.3","X66_DCM_0d2.3","X23_DCM_0d2.1d6","X132_SUR_0d2.3","X124_SUR_0d2.3"
"COG0001",7077,5925,7645,5374,8761,6536,9152,7666,11836,6776,10940,6861,11759,7340,7844,6818,7258,7037,7133,8085
"COG0002",4584,5488,4661,3439,4357,4936,5367,5514,5522,5902,6175,5253,6563,5219,5032,4995,5093,4694,6372,4845
"COG0003",257,385,220,229,355,346,172,244,154,48,197,319,138,326,38,188,199,182,99,312
"COG0004",18323,18140,16242,6928,12375,17221,14719,17228,11154,17377,17187,17046,15051,18475,9625,16347,17544,23132,16961,14938
"COG0005",4842,4700,3896,2741,6078,4641,5370,5114,6160,4145,5282,3985,5902,4622,2432,4700,4035,3559,5316,4808
"COG0006",23919,25069,23586,9834,26129,25016,30180,25133,30082,20564,23704,23998,31100,25587,20544,23929,25926,21258,18994,20748
"COG0007",1361,1343,1146,2798,3869,1157,4247,1590,3457,1415,1932,1613,4131,632,1432,1529,1090,1706,2048,1853
"COG0008",15071,14465,15725,9479,14852,15983,15476,16116,16928,14472,16223,14828,16929,15783,14703,14456,15956,13570,13592,14531
"COG0009",6039,6066,6034,2992,4443,5927,5463,6061,5381,5915,6205,5918,6136,6585,6193,5997,6246,4570,5831,5468
"COG0010",9094,9444,8411,2312,8008,9255,9287,8848,9093,6625,8856,8518,9446,8055,9459,8564,9245,7144,8452,8187
"COG0011",101,174,209,224,289,74,77,57,79,68,67,155,60,14,11,97,57,193,52,475
"COG0012",9162,9143,9074,3704,7786,9815,9625,9875,10887,9192,11327,9244,12419,10149,7125,9116,9854,9349,9975,8826
"COG0013",19707,19099,20019,9435,14558,20451,15566,19728,17839,20418,20746,19730,18341,21455,16005,20658,20809,19881,21143,19086
"COG0014",7430,8258,7560,4478,4541,7234,5179,7523,4914,8808,7443,7419,4901,8455,5011,8388,7656,8704,9064,7559
"COG0015",10506,10403,10588,5100,7978,10672,8742,10500,8986,11133,11683,10618,9286,11499,8747,10648,10962,10405,11187,10652
"COG0016",8272,8143,8242,3808,6562,9064,6739,9006,7828,8234,9686,8533,8162,9063,7180,8136,8819,7940,8540,8045
