"","X70_MES_0d2.3","X25_SUR_0.0d2","X34_SUR_0d2.1d6","X132_MES_0d2.3","X68_DCM_0d45.0d8","X122_MES_0d2.3","X34_SUR_0d1.0d2","X72_MES_0.0d2","X142_DCM_0d2.3","X67_SUR_0d2.3","X94_SUR_0d2.3","X124_DCM_0d2.0d45","X25_DCM_0.0d2","X93_DCM_0d2.3","X93_SUR_0d2.3","X9_DCM_0d2.1d6","X67_SUR_0d45.0d8","X102_DCM_0d2.3","X137_DCM_0d2.3","X7_SUR_0d2.1d6"
"COG0001",8340,2051,5889,11225,7945,10706,2280,2520,6370,5786,7150,10921,2685,7130,6698,7124,6054,6667,8326,6515
"COG0002",4482,3315,5655,5403,5070,5632,1730,2637,4917,4738,5881,6192,2756,4650,5777,5092,4365,4672,5014,4288
"COG0003",169,76,437,193,285,272,664,364,296,247,55,176,230,150,44,304,195,215,280,97
"COG0004",9944,5550,18492,10630,14691,12154,8131,6858,15383,15646,18237,16912,11998,14472,14443,17097,12788,15574,16479,22037
"COG0005",1142,628,1579,1968,1545,1851,483,730,1690,992,3833,5381,1929,2210,2703,4089,2639,3852,6384,3544
"COG0006",20670,11042,25264,30968,20868,26932,7419,8109,22331,23043,21566,23645,8919,20076,21546,23806,20887,24140,31005,21200
"COG0007",5021,3481,1364,3379,2811,3175,422,3604,1307,2735,1700,1934,4204,2023,1751,1541,2422,1500,5312,1600
"COG0008",4835,3244,4871,5400,4889,5439,2157,2853,5137,4824,14778,16544,10087,16205,15264,15247,16347,14402,14401,15310
"COG0009",4250,2184,6013,5629,5457,5609,2058,2412,6236,5573,6445,6191,2350,6344,6425,5980,5800,5790,4942,4709
"COG0010",8328,4812,9375,9503,8948,8888,2876,1969,8112,9070,7947,8669,2106,8596,8487,8754,7514,9000,9456,7499
"COG0011",32,4,145,75,226,169,22,63,113,52,86,62,4,58,120,182,59,148,248,39
"COG0012",7534,2558,9174,9988,9170,10626,3387,3088,9550,7542,8895,11421,3021,6982,7766,9209,7790,8817,7639,9298
"COG0013",12489,6254,19065,16648,21525,17606,7021,7204,20210,15104,20109,20901,7063,15420,17511,19890,15994,20233,15492,19839
"COG0014",4316,3362,8224,5076,7209,5072,2421,4054,7539,5762,8743,7596,4167,6450,8125,7550,4689,7363,5857,7831
"COG0015",6375,4924,10547,9033,10784,9126,3740,4083,10892,8985,10020,11463,4415,8308,9724,10681,9687,10793,8806,10460
"COG0016",5201,2427,8237,6987,8203,7581,3157,2995,8582,6665,7988,9681,2948,6873,7883,8500,7176,7883,6711,8569
"COG0017",4778,829,3251,5751,4524,6477,1998,641,4490,3400,1978,5738,1386,3412,2665,4014,4656,3187,3611,2252
"COG0018",8033,4552,13119,10531,13863,11151,4842,4869,13692,11782,13717,14060,4663,10742,13054,13607,12523,12879,10282,11758
"COG0019",8220,5952,12223,9465,10454,9487,4570,8311,12345,10433,14022,11477,7642,11818,14414,12235,8973,11608,10705,11751
"COG0020",3697,1609,5533,4869,5297,5226,1873,2137,5708,4770,4913,5455,2030,3829,4595,5538,5628,5540,4322,4383
"COG0021",9242,4822,13630,10665,12884,10815,4115,5739,13365,9838,13596,14104,5386,9981,11116,13391,8137,13115,14402,13640
"COG0022",4741,5976,8952,8504,11325,8575,10193,4900,12095,11166,7701,9143,4238,9739,7639,9815,14786,10703,8128,9264
"COG0023",1040,129,523,843,1146,892,255,35,616,581,368,671,300,689,507,661,731,616,512,354
"COG0024",4676,2736,6071,5316,6489,5901,2231,3354,6524,5195,5932,6746,3707,4916,4901,6208,4967,5883,5186,7049
"COG0025",4269,3321,2059,2809,3148,3692,1042,5506,2382,2084,2177,900,5049,3364,2917,1527,2072,1754,3260,1755
"COG0026",3105,2399,5609,2797,5313,3472,1682,2760,5448,5131,6449,5714,2683,5819,6853,5129,5395,4900,1559,5711
"COG0027",854,120,1137,317,2784,748,684,704,1496,982,1562,457,780,1107,1227,785,1230,1376,316,985
"COG0028",26526,18951,27032,38379,25754,32900,27874,14081,25763,23803,31080,34211,14416,23047,23746,29011,19823,27602,30628,32674
"COG0029",3185,2514,2959,1642,5677,2133,1020,2665,3390,3101,3187,1539,3593,2790,2697,3204,2797,3053,3054,3025
"COG0030",3951,2037,5729,5627,5965,5618,1767,1946,6189,4875,1968,1945,673,1382,1798,1835,1954,1886,1637,1376
"COG0031",8196,6592,8617,10133,10778,10759,5604,7028,9535,7695,10223,11062,7368,8374,8590,9647,8590,9196,10002,9165
"COG0033",2406,292,1210,353,3341,508,338,969,1601,302,1430,98,569,1277,1320,817,229,1371,694,664
"COG0034",7447,3627,10259,10138,12327,10566,3679,3710,11607,10118,12246,11792,3865,9539,10395,10882,10728,11155,10129,12844
"COG0035",1365,864,1725,1377,1955,1425,550,774,1378,1562,1386,964,537,1249,1208,1358,1509,1513,1340,1192
"COG0036",3832,1425,5653,5173,6142,5378,1812,1748,5977,4902,5675,6829,1650,4787,5180,5974,4793,5527,5122,5421
"COG0037",9140,4669,10239,10354,11172,10694,4068,4998,11545,9866,10853,12635,4989,9486,9992,10374,10807,10525,10134,8728
"COG0038",4451,3665,3010,3524,4721,3662,755,2097,2730,2656,2437,1132,3476,2584,2538,2376,2307,2655,3107,2225
"COG0039",4331,2536,7450,6640,6476,6811,2246,2741,7618,6436,7888,8988,2922,6456,6346,7705,6140,7364,6341,9126
"COG0040",3034,1650,3678,3376,3618,3753,1229,1819,3436,3558,4258,5082,1865,3525,4484,3899,3452,3332,3787,3826
"COG0041",2625,1240,3511,3079,3866,3317,1133,1290,3606,3286,3807,3871,1245,3358,3502,3720,3157,3524,3032,3909
"COG0042",7258,4751,7951,6138,10143,6042,2674,5019,8311,8291,2924,2596,1907,2962,2907,2656,2626,2715,2292,2793
"COG0043",6303,2318,3255,7344,5462,7322,856,807,4235,1771,538,8616,2643,2420,1635,4048,1666,2307,6741,1517
"COG0044",9375,7712,14012,13789,12791,13903,4654,7518,13907,11447,14571,14522,6598,11760,13092,14516,12302,14091,14076,15361
"COG0045",7111,3296,9915,10402,8706,10143,3199,3591,10358,9573,12224,12235,3370,8863,9388,10714,9191,11143,8182,11362
"COG0046",13849,5510,16362,16646,19250,16710,5691,6601,18459,15911,19109,17784,7242,15559,16004,18233,17276,17299,17770,19107
"COG0047",8884,2214,7248,8441,8386,7854,2771,3160,8303,8256,3185,2733,1353,3139,2850,2932,3304,2626,2413,3102
"COG0048",1951,912,2663,2634,3156,2943,1107,1125,2994,2789,2806,2994,1062,2410,2187,2868,2480,2839,2405,3292
"COG0049",2562,1106,3413,3615,3689,3735,1381,1255,3627,3314,3329,4009,1276,2782,2983,3640,3378,3480,3016,3567
"COG0050",6613,4728,8763,8111,8536,7704,2960,5119,8733,10043,9343,8626,5699,9272,7657,8803,8902,9365,10408,12307
"COG0051",1539,932,2307,1967,2440,2029,799,887,2381,2306,2197,2507,966,1939,1971,2341,2263,2364,1803,2649
"COG0052",3970,2197,5842,5407,6030,5554,2117,2302,6015,5877,6112,6386,2373,4857,5519,6019,5926,5718,5300,6387
"COG0053",2192,1336,1565,2913,713,2794,619,1673,1049,1407,340,713,2020,849,813,1404,1399,931,4105,609
"COG0054",2092,1122,2812,2358,3133,2424,953,1204,2926,2836,3066,2988,1226,2495,2553,2899,2934,2861,2065,2921
"COG0055",5568,3347,11087,7858,10311,8178,3452,3685,11243,10898,12379,10643,4077,10132,9802,11115,9529,11853,9510,15215
"COG0056",6275,4222,12148,8489,11828,8829,3792,4249,12333,12303,13609,11868,4393,11078,11050,11744,10796,13044,10353,16769
"COG0057",8954,4697,10796,7828,10546,8672,3687,5077,10750,11765,9799,9695,6675,11378,10528,10364,12299,10249,8322,11830
"COG0058",3516,253,5179,2053,5576,2130,21455,2052,2978,788,1952,621,1942,2088,2023,1883,489,3051,2468,1666
"COG0059",5733,2590,7116,6147,6634,6357,2351,2790,7007,6283,7694,7932,3030,6835,7384,7470,6469,7218,5458,9367
"COG0060",14682,7230,22565,19345,22507,20576,8188,7366,23066,19773,22799,24072,7952,19026,20429,22833,20872,23224,18919,22500
"COG0061",4868,2036,6211,6217,7911,7190,1976,2138,6730,5462,2295,2636,711,1584,1956,2138,2157,2126,1731,1872
"COG0062",1734,894,1070,2115,1472,2010,314,909,1344,393,2331,3683,3207,1928,1549,3398,1186,2594,7619,1957
"COG0063",5707,3183,3868,7219,5109,6897,1230,3142,4953,1948,3123,5046,3489,2138,2038,4149,2001,3205,8003,3080
"COG0064",5246,2555,9563,7784,9096,8566,2947,3970,8818,7860,10257,10186,3668,6307,8518,9090,7392,9837,7469,10496
"COG0065",2429,1080,4149,3250,3868,3358,1195,1465,3846,3366,12000,14498,3675,9655,10179,12480,8966,11442,8824,14093
"COG0066",3156,1296,5896,4574,5802,4503,1733,1901,5806,4580,5109,6062,1594,4116,5111,5703,4582,5029,3994,4400
"COG0067",13889,7358,25913,15864,21932,15423,8511,12050,22305,19258,27658,22142,10632,20666,22593,21861,18424,21194,19523,29778
"COG0068",1946,1607,37,492,78,204,86,1563,63,89,197,95,2211,68,326,46,42,148,385,112
"COG0069",20015,13122,33361,24327,28355,23633,10604,16949,30018,27674,37829,29291,16138,29878,32529,31234,25088,30845,28058,41203
"COG0070",12128,6785,23610,12837,20963,13065,7842,11664,21627,17763,24956,20500,10520,18581,20249,20920,17040,18727,17563,29275
"COG0071",2966,19721,6326,3503,2917,4309,80417,20992,3803,5095,4606,4693,16489,3870,4872,4246,4720,9168,4737,4744
"COG0072",9681,5034,17061,12267,16663,13339,5965,5882,17414,13842,17379,17960,5817,14332,16956,16815,14645,16206,12994,16394
"COG0073",11330,4570,14319,10576,14436,10919,4694,7050,14317,14241,12923,13880,6530,14538,15896,14481,15512,13539,12469,15266
"COG0074",6215,2219,7420,9251,6428,8721,2525,2632,7590,6937,8717,9596,2355,6652,6370,7914,6328,7995,6729,9170
"COG0075",7727,3089,6123,9456,8311,8703,1424,2292,5676,5609,5897,6693,2328,4037,4139,5432,4659,5165,6311,6026
"COG0076",3744,4076,2795,4112,4604,4120,862,3833,3531,3283,2115,1699,4711,3881,2825,2804,3320,2723,4398,1569
"COG0077",4763,2392,6309,5184,6032,5280,2105,2401,6022,5521,7097,6975,2557,6222,7356,6594,5544,6173,4830,6775
"COG0078",4678,2128,5919,6318,5673,6415,1781,3199,5714,4846,5732,6757,2659,4572,5441,6066,4273,4953,5835,5280
"COG0079",10667,6041,9539,10578,11240,11177,11739,7157,10216,8935,10395,11695,6371,8136,10078,10098,8436,9210,12118,8057
"COG0080",2241,1091,3044,2879,3159,2992,1080,1090,3031,2781,2968,3290,1086,2502,2442,3111,2789,2999,2700,3284
"COG0081",3683,1942,5162,4932,5407,5115,1907,2106,5299,4864,5038,5611,2134,4066,4660,5422,4838,5076,4516,5823
"COG0082",4683,2738,8734,6175,8461,6576,2676,2652,8667,6739,8758,9285,2831,6681,6922,8432,6442,8656,5931,8839
"COG0083",2187,299,1076,2430,2267,2416,413,378,1434,871,1147,2314,122,1663,1661,1238,1338,1171,1052,1186
"COG0084",5333,2206,4975,5274,5407,5165,2043,2552,5219,5366,6133,6063,2360,6095,5986,5545,5883,5439,5070,5292
"COG0085",18255,10963,27671,24540,27784,25559,11952,11001,28734,36738,30645,30995,11377,24842,27005,28697,33457,32806,24504,36436
"COG0086",17066,10527,31604,22683,34643,23877,15644,11097,33166,36833,33083,30224,11868,26739,28697,31757,32964,35910,25267,38151
"COG0087",3757,1945,5223,4677,5599,5302,2088,1950,5724,4794,5244,5713,1982,4091,4522,5678,4553,5130,4399,5399
"COG0088",3085,1228,4751,4094,4693,4384,1828,1528,4994,4071,4421,5133,1521,3632,4174,4878,4350,4525,3579,4218
"COG0089",498,146,701,617,655,636,241,146,671,648,1843,2053,579,1651,1797,2015,2044,1865,1675,1856
"COG0090",3762,1838,6505,5366,6493,5846,2294,1996,6615,5864,6517,7005,2028,4953,4597,6214,5236,6283,5077,7361
"COG0091",1805,834,2851,2451,2883,2608,1044,769,2922,2493,2725,3013,904,2190,2641,2936,2507,2806,2209,2971
"COG0092",3077,1731,5327,4345,5606,4773,2112,1816,5632,5038,5154,5707,1860,3981,4472,5517,5008,5596,4261,6009
"COG0093",1740,674,2567,2398,2891,2415,1012,808,2792,2641,2658,2895,834,2239,2242,2730,2332,2671,2083,3328
"COG0094",2852,1201,4311,3882,4386,3993,1605,1417,4373,4278,4344,4688,1369,3388,3834,4213,3861,4214,3626,4276
"COG0095",748,775,879,1183,1358,1538,117,399,801,277,730,241,623,184,441,580,381,594,2267,256
"COG0096",1961,930,2980,2599,3143,2826,1098,839,3132,2839,2936,3156,966,2357,2353,2886,2713,3062,2636,2909
"COG0097",2586,1237,4243,3223,4140,3479,1620,1386,4311,3914,3898,4277,1404,3243,3566,4125,3815,4170,3342,4396
"COG0098",2446,1298,3777,3330,4099,3719,1485,1508,4118,3450,4126,4295,1460,3419,3292,4152,3331,3947,3305,4839
"COG0099",2061,986,2950,2919,3180,3162,1150,1056,3166,2923,2900,3392,1167,2376,2494,3122,3022,2878,2505,3216
"COG0100",2154,978,2871,2685,3067,2981,1114,905,3054,2771,3017,3222,1027,2524,2466,2991,2555,2997,2527,3335
"COG0101",2913,1806,6366,3845,6157,3878,1968,2027,5957,5479,6107,5163,1966,5249,6151,6275,5917,5963,4187,5050
"COG0102",2408,1188,3681,3037,3676,3329,1300,1238,3653,3311,3545,3800,1273,2952,3193,3643,3431,3567,2853,3461
"COG0103",1717,1140,3039,2523,3106,2783,1199,1218,3182,2841,3245,3249,1177,2528,2813,3081,2816,2977,2611,3052
"COG0104",6270,3710,10003,8337,9888,8876,5699,5587,10734,8658,10261,10710,4338,8468,8778,10495,8396,10441,8441,10945
"COG0105",2203,1129,2960,2722,3786,2914,1064,1017,3200,2693,2801,3268,1218,2286,2899,3156,2951,3045,3085,2859
"COG0106",2904,1816,3663,3361,3738,3308,1105,1991,3909,3340,4496,4759,1900,3474,3950,3853,3052,3235,3618,3984
"COG0107",3383,1672,4803,4059,5033,4537,1538,2182,5004,3858,5628,6328,1694,4564,5007,5020,3452,4586,5147,6469
"COG0108",4152,2869,7902,5115,8125,5829,3543,3127,7986,6206,7932,8143,3866,6268,7281,7362,6385,7460,5272,7810
"COG0109",5535,2227,7551,7045,7823,7441,2533,2238,7765,6200,7751,9134,2256,6677,6582,7743,6420,7464,5962,7352
"COG0110",3868,3275,2154,3546,2450,3896,2816,2492,2633,2910,2684,4422,2903,3460,3291,2483,3356,2418,2981,3274
"COG0111",14332,11113,18449,19737,16884,17862,8629,10025,18047,17185,16894,19742,11879,17717,18332,17584,17130,16185,22402,17626
"COG0112",7000,4896,10209,9272,9689,9436,4432,4011,10073,9134,10295,11221,4389,8561,8461,10210,9178,10152,8228,11610
"COG0113",4074,2577,6231,4663,6552,5085,2069,2627,5749,5614,7798,7121,2653,6433,6568,5952,5271,6792,4364,7616
"COG0114",4957,3654,9608,6225,10307,6813,3143,3903,10629,7139,10388,9617,3825,7837,8783,9939,7371,10208,6413,9751
"COG0115",11065,8413,14635,14966,15364,14676,4638,7195,14840,15711,16040,16048,8277,13020,13723,15748,15900,14960,12828,14831
"COG0116",3417,1133,1356,1116,3152,1177,629,1140,1863,2254,2091,525,2526,3546,2768,1241,3038,2049,943,1486
"COG0117",3184,1364,6639,3641,5864,3800,2205,1600,6641,5441,6378,5725,1876,5585,5989,6156,6090,6283,4678,5478
"COG0118",2729,1560,4081,3142,3711,3469,1272,1583,4045,3323,4623,5044,1551,3605,4312,4002,3047,3444,4348,4393
"COG0119",14888,9970,20068,17717,17075,17983,10896,9542,19201,17199,6952,7183,3482,6054,6497,6975,5593,6743,6351,7828
"COG0120",2410,817,2188,2408,2968,2399,553,1164,2038,2163,1660,2041,1472,1918,1864,2082,2304,1899,1037,1877
"COG0121",1062,386,190,382,216,373,137,307,216,209,147,115,353,548,378,136,160,110,515,163
"COG0122",4380,1303,4055,5383,3852,5071,1255,2361,4333,3307,4074,6159,1862,3869,4509,4677,3411,3883,3753,3457
"COG0123",5006,4244,8713,5007,5029,4986,3084,3043,6250,6363,8341,6361,3322,8060,8389,6926,5162,7332,5350,7383
"COG0124",6418,2778,10133,8886,10256,8992,3654,3778,10882,8434,10377,11551,3336,8212,9541,10364,9075,9625,8518,9269
"COG0125",3123,1288,4495,3954,4540,4267,1691,1445,5613,2667,3628,4545,1505,2219,2899,4580,2497,3816,3948,2860
"COG0126",5885,3020,9335,7970,10049,8461,3010,3280,9571,7703,9953,10048,3429,7998,8739,9210,8647,9018,7446,8466
"COG0127",1005,485,1745,1382,2009,1380,518,507,1812,1199,5334,5239,1680,3413,4581,5200,4206,5050,4085,4090
"COG0128",6372,2982,9248,7759,9300,8242,3128,3294,9734,8090,10188,10561,3288,7863,8942,9400,8366,9042,7195,8811
"COG0129",12491,10047,16760,12999,13552,13353,5387,9562,13689,15747,16507,15303,11024,15420,14294,14958,14604,14476,12935,20139
"COG0130",3981,2111,4304,4590,5351,4922,1745,2565,4574,4640,4202,5109,2495,3921,3907,4719,5353,4200,3240,4019
"COG0131",2841,1602,3391,3322,3402,3421,1102,1756,3425,3680,3740,3981,1861,3658,4000,3619,3529,3207,3066,4816
"COG0132",1844,154,896,1386,1521,1747,197,473,815,833,660,1253,676,777,756,751,774,640,758,555
"COG0133",5222,3056,6895,6315,7671,6483,2162,3356,7239,6012,8503,8489,3196,6634,7063,7495,5457,7145,6148,9209
"COG0134",3980,1726,4668,4377,4988,4636,1472,1825,4686,3663,5262,5177,1923,4520,5624,4538,3884,4406,4006,4431
"COG0135",2880,1506,3713,2764,3433,2642,1105,1448,3274,3351,4402,3213,1582,3549,4239,3298,3580,3464,2752,3164
"COG0136",6305,3212,8410,7125,8097,7158,2776,3287,8105,7201,8759,8928,3259,7506,8347,8097,7285,8126,6364,8635
"COG0137",5593,2976,7009,6559,7358,7100,2195,3374,6628,6153,7691,8033,3451,6322,7838,7137,5309,7020,7068,8127
"COG0138",5934,3652,11354,8767,12291,8685,3622,4316,12505,10215,12664,11366,5413,10025,12164,12146,10810,12232,9930,11016
"COG0139",1956,1263,2480,2304,2626,2425,806,874,2611,2236,3250,2996,1158,2437,2861,2484,1926,2304,2342,3182
"COG0140",1183,756,1470,1009,1769,1007,448,774,1588,1512,1815,1357,694,1648,1903,1416,1708,1287,1067,1800
"COG0141",6249,2880,11565,9074,9424,8839,3258,4053,10102,11288,13780,11496,3505,10348,12021,10996,9683,10472,8478,13195
"COG0142",9560,4757,15353,13394,14901,13721,4539,5493,15608,13305,14965,16105,5672,12593,14191,14720,14368,14011,11639,14155
"COG0143",8601,4429,12314,11051,11873,11702,4462,4822,12386,10772,11577,12765,4916,9962,11145,11854,12008,11874,10319,11198
"COG0144",4464,4785,5261,3640,6538,4220,1273,5229,5213,5804,4144,2796,4923,5839,5071,4339,5709,3954,4254,3697
"COG0145",9832,5130,8236,16363,7742,12019,1161,4261,5814,9683,4868,8946,6343,5287,4294,6599,8826,4865,19203,5309
"COG0146",8399,5345,6434,13967,5727,10262,886,3618,4708,7042,3781,5881,5267,3711,3191,5178,6234,3638,15146,4096
"COG0147",10393,5980,14140,11237,16331,12078,4279,7387,14463,12621,15486,14468,6985,12769,15623,13708,12583,14043,12260,12774
"COG0148",6476,3234,9911,9122,9691,9692,3149,3668,9942,8002,10035,10980,3851,7642,8631,9927,8387,9625,8281,9644
"COG0149",3869,2022,5353,4181,5233,4502,1712,2145,5497,4978,5467,5634,2110,4610,5393,5301,5108,5175,4592,4265
"COG0150",5209,2706,6849,7010,8261,7348,3274,2933,7636,6914,7997,8010,8241,6519,7088,7899,6948,10082,6549,6110
"COG0151",6866,2848,9456,9139,9829,9281,2884,3315,10237,8410,10832,9786,3254,8366,8884,9589,8615,9492,8094,9371
"COG0152",4041,3190,5423,5626,6063,5825,4593,2459,6083,5506,5744,6379,3669,5412,5921,6010,5753,7195,5675,5968
"COG0153",1831,193,1683,1935,1608,1717,625,358,2007,1833,1839,1585,161,2018,2054,1984,2238,1735,2610,1620
"COG0154",22791,15729,24466,31372,20383,27169,7149,16007,22091,18371,25564,26524,14676,17797,17788,22678,16534,20961,21170,25351
"COG0155",5721,3021,2879,4771,5708,5477,632,4594,3045,3768,2051,2881,4663,2591,2881,2603,3311,2371,6544,2112
"COG0156",5921,6426,5868,5999,7414,7336,1998,4780,6402,8531,6498,5846,5096,7172,5855,5799,9532,6973,7288,6700
"COG0157",3428,1251,4096,3825,5151,4220,1358,1918,4918,3531,4087,4508,2612,3391,4118,4327,3190,3886,3437,3230
"COG0158",1172,188,282,257,222,252,95,278,223,452,661,723,676,1553,1192,663,1739,740,928,907
"COG0159",3416,1857,4743,3955,5002,4118,1464,2018,4760,4084,5601,5472,2007,4188,5232,4678,4008,4175,3814,4682
"COG0160",6486,7004,4514,8740,5155,8183,2642,4561,6220,5857,4341,5635,5926,6427,4774,6029,6860,5678,7631,3288
"COG0161",11441,11168,11632,14403,11215,13669,4435,6850,10433,12239,12272,12529,9160,11454,9970,11788,10760,11927,13854,13013
"COG0162",6075,3312,8979,8261,9128,8440,3279,3330,9126,7998,9773,10037,3454,7856,8795,9177,8867,8655,7703,8808
"COG0163",1923,1222,807,1663,1253,1649,240,309,855,459,183,1338,963,674,700,952,488,680,1847,380
"COG0164",3129,1446,4879,4212,4693,4549,1901,1456,4968,4805,4795,5304,1360,3968,4784,4798,4719,5136,4091,4186
"COG0165",6395,3182,8386,8689,9381,8403,2589,3502,7589,7247,9740,9040,3367,7584,9844,8630,6528,8130,8508,8155
"COG0166",6806,3596,9209,7737,9588,8290,2891,4136,9942,7750,9702,9585,3979,8348,9086,8714,8838,8750,7750,7305
"COG0167",1838,1326,2736,2484,2891,2669,817,1051,2812,2557,8711,8323,3949,7447,8446,8231,7755,7651,8698,6812
"COG0168",2407,2046,4216,3002,4076,3265,1323,2241,4464,3597,13701,12054,7092,11846,12090,12743,10336,12904,10309,11372
"COG0169",4341,3844,6463,5681,6576,6060,3093,2375,6397,5631,6906,7352,3698,5441,6357,6613,6199,6429,5219,6284
"COG0170",373,4,755,923,1936,947,168,0,881,256,547,467,0,151,275,766,195,713,1856,187
"COG0171",4834,4438,8785,6435,8785,7036,29973,5800,8615,6812,7915,8650,7939,5842,6207,8670,7021,9088,6506,7798
"COG0172",6412,3300,9426,8498,9435,9144,3693,3281,9841,8200,9567,10857,3538,7745,9579,10045,8841,9536,7872,9701
"COG0173",6560,4185,12174,8509,13464,8969,3861,4211,12201,11038,13597,11375,4748,11157,12128,12005,12014,13310,10590,13033
"COG0174",16229,9971,21934,24365,19041,22307,10149,8733,19404,19997,21987,23679,10744,19600,19583,22674,17031,22090,21999,26741
"COG0175",6085,6976,1794,3142,3422,3880,3275,10271,1670,2819,2888,2963,4932,3637,3144,2137,3046,2353,4733,2805
"COG0176",3951,5748,7535,3510,4991,4163,71201,4748,4876,3698,5394,5603,14216,4676,5084,5336,3648,8924,4031,4671
"COG0177",3494,2760,5387,4715,5412,5026,2265,2042,5444,4493,5808,6200,2241,4205,4930,5462,4540,5528,4094,5325
"COG0178",13589,7855,21919,18388,25032,19468,7837,8618,24722,21106,22976,24019,10044,21860,21771,24047,24209,24283,20087,24875
"COG0179",7459,6383,6888,9901,7033,9677,2329,5797,7547,8558,7353,8710,5620,8069,7313,7918,8696,6883,6525,8235
"COG0180",6050,3562,8159,7394,8660,7587,2952,3063,8652,7063,8401,9285,2993,6891,7961,8378,7204,8396,6826,8113
"COG0181",4189,2083,6814,4742,7049,5358,2148,2272,6266,6089,8097,7578,2453,6637,7658,6453,5906,7292,4236,7053
"COG0182",3290,601,3651,4477,2886,4361,936,497,3314,1708,2604,4791,780,2618,2884,2991,1100,2924,4603,2525
"COG0183",7596,5776,6704,7720,6165,8218,2262,7549,6455,7203,18245,23103,25443,18919,15143,21742,21155,19447,23585,20561
"COG0184",1859,861,2119,2238,2281,2414,799,841,2205,2060,1991,2520,741,1818,2005,2045,2321,2000,1931,2151
"COG0185",1350,586,2228,1854,2460,2029,831,563,2167,1987,686,807,225,527,587,704,572,686,592,759
"COG0186",1280,506,1657,1746,1835,1761,620,512,1755,1687,1664,2005,544,1370,1652,1731,1864,1649,1309,1802
