"","X123_DCM_0d2.0d45","X102_SUR_0d2.3","X124_SUR_0d45.0d8","X78_SUR_0d45.0d8","X70_MES_0d45.0d8","X32_SUR_0d2.1d6","X122_MES_0d45.0d8","X124_DCM_0d2.0d45","X125_DCM_0d2.3","X140_SUR_0d2.3","X142_DCM_0d2.3","X124_SUR_0d2.0d45","X7_DCM_0d2.1d6","X72_SUR_0d2.3","X122_DCM_0d2.0d45","X57_SUR_0d2.3","X152_DCM_0d2.3","X78_MES_0d2.3","X4_DCM_0d2.1d6","X70_SUR_0d2.0d45"
"COG0001",11,3,11,6,13,6,6,11,16,10,3,7,7,3,12,7,11,12,9,11
"COG0002",7,8,6,7,0,4,3,6,2,9,6,2,3,6,6,5,1,8,1,5
"COG0003",1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
"COG0004",17,18,14,10,9,16,13,15,11,14,18,12,22,9,12,18,15,17,12,18
"COG0005",8,5,4,2,7,3,4,3,6,3,6,3,1,4,3,7,8,13,3,2
"COG0006",18,32,14,11,22,24,21,21,18,20,17,18,21,33,19,20,22,41,25,31
"COG0007",4,1,0,4,3,4,6,1,3,3,0,0,0,0,0,1,3,1,0,0
"COG0008",18,18,13,13,12,10,14,14,17,13,15,19,11,9,19,16,20,9,11,18
"COG0009",6,5,3,5,2,3,3,6,3,4,2,7,5,12,8,5,14,6,5,5
"COG0010",7,8,8,15,8,9,10,2,7,8,8,11,10,10,12,9,9,10,9,10
"COG0011",0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"COG0012",12,10,10,9,5,7,8,16,11,12,7,4,8,8,8,10,14,16,11,8
"COG0013",15,24,14,29,11,33,9,16,15,22,17,26,17,20,24,17,11,25,28,20
"COG0014",4,6,8,5,7,7,5,7,4,13,8,7,5,4,11,16,6,9,8,11
"COG0015",12,12,13,17,7,10,4,14,6,6,18,9,5,6,8,11,14,7,14,14
"COG0016",4,4,10,9,4,10,6,8,10,13,6,5,7,9,9,8,6,9,4,6
"COG0017",4,0,2,0,5,1,2,7,6,0,7,4,0,1,2,1,5,9,1,3
"COG0018",14,13,9,6,7,16,6,10,20,17,15,15,14,13,15,12,16,7,17,19
"COG0019",14,9,15,10,8,16,14,8,10,19,18,12,7,8,16,13,6,8,16,18
"COG0020",7,6,6,4,3,6,5,4,6,3,3,9,2,3,7,4,4,6,6,8
"COG0021",9,12,14,17,11,13,15,16,11,20,13,15,12,10,11,20,9,6,11,14
"COG0022",10,6,15,12,4,9,5,7,7,10,15,9,7,12,10,9,11,4,10,4
"COG0023",0,1,0,0,1,3,0,3,0,0,3,0,0,1,0,3,0,0,0,0
"COG0024",6,9,6,8,3,4,4,6,7,7,1,5,2,1,0,1,2,4,2,2
"COG0025",3,5,11,6,6,2,3,0,1,1,2,0,1,0,0,1,1,2,0,2
"COG0026",2,4,8,8,3,10,0,2,7,5,3,2,3,9,2,4,4,3,8,5
"COG0027",1,4,7,7,0,7,4,1,0,0,2,1,2,4,0,2,0,1,1,0
"COG0028",18,6,2,7,2,11,4,4,12,9,16,21,29,24,27,22,28,44,32,42
"COG0029",0,1,2,3,1,3,2,1,1,0,5,1,2,4,0,5,4,4,5,2
"COG0030",4,7,5,4,3,11,6,14,5,7,1,5,3,11,6,2,5,7,1,12
"COG0031",8,5,16,13,3,12,7,10,9,12,7,9,7,11,13,7,9,14,16,10
"COG0033",1,0,5,5,0,6,1,0,1,3,0,0,3,0,1,4,3,0,1,0
"COG0034",2,5,3,2,4,7,0,4,3,6,9,17,11,11,11,7,15,9,12,15
"COG0035",0,0,2,4,1,2,1,2,1,3,1,1,0,0,0,1,0,0,1,0
"COG0036",4,5,9,6,5,6,6,11,7,10,10,2,4,8,5,8,7,7,8,5
"COG0037",13,9,10,13,9,11,11,20,15,2,5,6,3,3,5,2,4,3,2,2
"COG0038",1,7,9,2,3,5,8,1,4,0,3,0,0,1,0,0,1,2,1,0
"COG0039",9,5,6,5,4,2,5,11,4,9,8,9,6,4,8,10,10,1,10,10
"COG0040",6,2,7,3,2,3,1,7,4,5,4,1,5,8,2,2,4,2,1,4
"COG0041",2,0,1,3,3,4,4,5,2,3,6,3,7,4,2,1,5,6,5,6
"COG0042",7,11,12,6,10,8,11,7,7,10,5,7,3,5,6,10,9,10,9,8
"COG0043",2,0,1,0,1,0,1,1,2,1,5,0,2,3,4,0,5,12,8,2
"COG0044",10,10,7,10,6,8,8,10,15,16,22,17,14,7,12,12,11,18,18,16
"COG0045",7,17,6,9,4,6,4,11,5,11,9,9,9,8,11,9,5,8,15,16
"COG0046",13,14,13,17,9,10,14,11,10,12,18,21,23,8,17,20,26,21,21,21
"COG0047",13,7,6,6,9,5,7,8,7,6,4,8,11,3,7,6,9,8,10,8
"COG0048",3,5,3,1,3,4,4,6,1,2,2,2,2,1,1,4,3,4,3,2
"COG0049",2,2,2,3,2,4,3,1,6,4,5,9,3,3,4,3,3,1,7,3
"COG0050",12,7,8,10,8,13,5,6,10,12,10,12,19,7,15,8,7,9,7,12
"COG0051",2,0,3,3,0,2,1,8,2,2,1,1,1,0,0,1,2,0,1,0
"COG0052",7,5,5,5,5,7,3,6,5,5,6,9,4,10,6,8,6,6,5,2
"COG0053",1,0,1,0,3,1,3,0,1,2,2,1,0,0,0,1,1,7,0,1
"COG0054",1,1,3,4,4,3,3,1,2,2,5,2,3,2,4,4,4,1,2,5
"COG0055",5,15,9,9,7,13,10,9,5,11,15,10,17,12,13,17,6,5,10,13
"COG0056",8,16,10,14,4,13,13,10,11,20,15,10,20,6,20,15,9,7,9,5
"COG0057",12,12,6,19,5,16,10,5,11,11,15,9,10,15,5,13,12,8,17,11
"COG0058",2,3,11,9,1,9,4,1,1,4,3,0,3,6,2,3,0,1,5,0
"COG0059",2,3,4,2,4,2,1,1,0,3,3,4,6,9,9,5,13,6,11,12
"COG0060",23,27,24,23,10,24,6,22,16,21,23,25,15,13,22,29,18,27,23,31
"COG0061",8,7,3,8,4,7,3,11,9,10,5,10,5,5,4,8,5,8,10,6
"COG0062",7,0,2,6,6,4,3,5,2,5,7,0,4,4,4,3,0,1,3,2
"COG0063",1,1,0,2,0,1,3,1,1,0,1,4,2,3,5,13,5,8,7,7
"COG0064",14,10,8,12,5,13,10,12,6,12,2,3,0,1,2,6,5,3,3,3
"COG0065",8,8,8,9,14,9,3,9,12,10,9,13,16,12,5,14,12,9,14,13
"COG0066",12,9,5,3,1,1,3,8,8,7,6,3,5,5,2,4,8,5,7,5
"COG0067",4,6,8,9,6,7,4,7,3,5,20,29,22,20,23,25,17,22,22,27
