"","X85_SUR_0d2.3","X42_SUR_0d2.1d6","X76_MES_0d45.0d8","X67_SUR_0d2.0d45","X94_SUR_0d2.3","X78_MES_0d45.0d8","X25_SUR_0.0d2","X23_DCM_0d2.1d6","X78_SUR_0d2.3","X64_SUR_0d2.3","X145_MES_0d2.3","X72_MES_0d2.3","X100_DCM_0d2.3","X76_SUR_0.0d2","X25_DCM_0d2.1d6","X100_SUR_0d2.3","X68_DCM_0d45.0d8","X76_DCM_0d2.3","X123_DCM_0d45.0d8","X122_MES_0d1.0d2"
"COG0001",885,603,816,490,710,708,216,711,733,668,1133,845,747,565,796,850,830,743,416,412
"COG0002",695,627,422,574,575,390,343,467,640,579,582,541,482,361,619,468,507,410,302,328
"COG0003",1,22,42,8,2,11,5,12,51,16,12,19,16,23,25,15,23,57,11,49
"COG0004",1030,1850,905,1950,1816,718,536,2282,1528,1726,725,819,1026,471,1099,1067,951,833,635,623
"COG0005",380,557,402,255,403,281,177,367,496,569,616,435,423,285,443,416,465,431,53,119
"COG0006",2582,2111,2052,2666,2057,2025,1115,2081,2021,2204,3034,2160,2396,995,2039,2200,2084,1614,1249,919
"COG0007",102,115,268,78,100,281,242,123,159,116,356,299,211,267,269,135,293,291,569,444
"COG0008",1610,1356,1330,1406,1480,1249,950,1369,1318,1419,1711,1343,1363,1016,1299,1587,1479,1284,1066,904
"COG0009",857,603,413,719,599,399,197,428,581,607,545,512,608,276,483,659,532,424,329,322
"COG0010",644,888,593,842,847,518,480,723,952,930,870,829,871,250,713,825,918,564,194,261
"COG0011",0,16,20,1,13,6,1,21,6,17,11,16,33,15,58,39,27,18,2,9
"COG0012",826,1022,627,963,898,530,259,951,962,984,1071,998,814,379,773,911,940,778,324,338
"COG0013",1639,2126,1220,1922,2000,1020,578,1944,2020,2224,1770,1761,1999,900,1873,1957,2173,1678,796,644
"COG0014",646,918,475,988,927,393,343,822,880,864,471,611,759,448,855,643,650,587,479,276
"COG0015",557,745,395,821,704,365,329,691,716,734,932,849,951,524,1009,1086,1061,887,338,345
"COG0016",843,809,490,904,798,450,240,763,745,887,770,720,783,393,792,772,819,641,267,281
"COG0017",239,153,430,182,231,309,80,189,149,292,697,480,299,213,175,312,512,430,358,288
"COG0018",1209,1528,823,1458,1378,639,494,1252,1348,1485,1019,1248,1285,597,1217,1412,1340,1043,461,454
"COG0019",1295,1314,924,1510,1430,824,576,1161,1364,1275,901,988,1228,1023,1230,1058,1025,911,703,644
"COG0020",489,533,393,681,497,293,159,467,504,522,510,474,506,320,482,535,578,444,247,190
"COG0021",985,1395,862,1392,1388,791,493,1448,1415,1470,1055,1104,1281,726,1341,1316,1297,1211,876,531
"COG0022",833,836,715,903,792,544,598,814,803,1065,890,703,962,807,775,1190,1118,1077,303,347
"COG0023",85,70,61,28,30,70,13,33,61,73,114,79,65,6,77,53,125,82,87,85
"COG0024",503,610,425,600,575,375,299,696,565,652,578,599,600,401,512,614,575,546,326,295
"COG0025",233,218,534,48,209,514,367,193,321,311,295,329,310,691,297,226,325,369,595,498
"COG0026",586,713,300,621,688,305,221,471,719,669,327,509,531,396,557,551,525,430,315,267
"COG0027",112,205,77,34,152,72,21,119,218,236,22,150,144,161,266,167,299,162,143,147
"COG0028",1877,2679,2796,2751,3030,2753,1920,3331,2917,2722,3798,2795,2655,1639,3350,2666,2556,2853,1204,1266
"COG0029",397,394,315,197,292,314,235,390,434,417,136,348,355,407,503,272,577,400,435,288
"COG0030",498,624,379,582,587,356,203,413,634,610,553,539,526,249,496,616,616,471,262,225
"COG0031",793,955,866,654,1004,727,629,942,1022,1057,1078,964,896,947,1027,1056,1021,921,540,497
"COG0033",8,264,169,1,133,196,28,99,315,309,15,253,186,262,302,140,314,222,370,167
"COG0034",1149,1091,697,980,1162,667,354,1204,1065,1140,1136,1001,1066,556,1029,1210,1258,937,405,600
"COG0035",114,203,141,166,135,146,72,117,210,228,143,187,190,131,202,152,189,153,182,121
"COG0036",573,564,336,569,562,315,136,503,572,587,566,486,559,211,484,621,630,434,244,202
"COG0037",1367,1130,795,1334,1084,723,510,781,1126,1172,1021,967,1096,493,957,1122,1105,853,542,547
"COG0038",378,321,375,51,242,400,390,221,417,362,363,383,296,334,431,237,501,362,440,271
"COG0039",637,723,436,740,783,426,245,824,658,740,689,543,732,344,611,755,662,568,294,256
"COG0040",305,365,284,393,418,278,164,366,411,405,388,334,341,264,404,317,353,330,272,176
