"","X78_SUR_0d2.3","X122_MES_0d1.0d2","X38_OMZ_0d1.0d2","X34_SUR_0d1.0d2","X112_DCM_0d2.3","X4_SUR_0d2.1d6","X124_SUR_0d1.0d2","X72_MES_0d2.3","X72_MES_0.0d2","X62_SUR_0d2.3","X36_DCM_0d2.1d6","X98_SUR_0d2.3","X70_SUR_0d45.0d8","X123_SUR_0d45.0d8","X138_MES_0d2.3","X93_DCM_0d2.3","X110_DCM_0d2.3","X140_SUR_0d2.3","X78_MES_0d2.3","X122_DCM_0d45.0d8"
"COG0001",692,416,396,231,762,686,309,874,232,609,639,712,758,806,924,711,699,623,1279,770
"COG0002",600,300,286,160,518,642,181,523,259,611,585,626,457,339,460,461,396,559,604,482
"COG0003",22,19,20,22,10,2,22,4,10,7,33,8,41,78,35,13,45,21,12,42
"COG0004",1578,934,1037,842,1453,1887,694,1242,714,1733,1779,1553,1458,1184,1224,1382,1428,1759,1201,1125
"COG0005",493,107,160,149,552,386,122,480,212,554,370,497,427,343,606,238,405,425,578,392
"COG0006",1977,827,1023,809,2101,2131,598,2136,764,2241,2438,2174,2126,1880,2618,2011,2375,2151,3110,1455
"COG0007",221,464,536,48,183,155,158,312,365,143,132,164,193,158,384,202,149,169,327,447
"COG0008",1334,942,1121,663,1413,1406,556,1450,835,1430,1380,1419,1520,1598,1467,1528,1514,1455,1584,1288
"COG0009",174,97,138,83,206,208,84,171,86,210,673,611,555,547,456,629,493,557,597,467
"COG0010",934,277,221,320,683,756,213,906,191,955,954,667,874,682,790,900,957,806,995,520
"COG0011",14,8,0,4,33,3,2,14,5,17,8,3,28,32,32,9,15,21,16,69
"COG0012",971,361,383,330,923,868,222,1045,308,960,856,951,888,817,742,644,910,978,1148,700
"COG0013",2009,675,879,702,2196,1937,575,1849,703,2054,1839,2036,1948,1780,1469,1599,2044,1962,1906,1557
"COG0014",919,271,383,222,864,898,208,642,453,850,886,1004,625,546,440,621,631,869,528,609
"COG0015",1059,372,412,374,1173,1029,300,853,420,1085,1005,1279,975,994,833,813,1005,1090,899,832
"COG0016",788,295,391,296,851,821,226,719,295,896,816,917,820,750,602,699,802,791,844,597
"COG0017",166,296,199,205,299,184,125,467,57,244,205,170,465,491,461,339,517,190,654,307
"COG0018",1391,423,600,493,1441,1291,369,1165,464,1499,1305,1482,1330,1179,955,1060,1388,1421,1080,1047
"COG0019",1378,651,870,454,1384,1350,453,1005,843,1292,1360,1440,1048,922,780,1160,1079,1297,1040,843
"COG0020",152,65,97,65,177,167,60,189,63,185,496,589,488,530,399,379,538,555,515,467
"COG0021",1445,494,647,444,1485,1377,341,1022,578,1426,1366,1519,1104,1034,1353,988,1324,1390,1099,1261
"COG0022",810,352,385,1062,1049,773,742,815,507,995,686,738,1124,1475,763,894,1254,934,719,929
"COG0023",86,65,105,30,67,71,34,95,3,65,20,44,70,58,72,69,79,48,90,108
"COG0024",632,283,477,224,611,620,235,564,290,623,583,663,588,642,548,494,606,583,569,506
"COG0025",279,508,603,88,302,204,250,318,567,236,122,133,252,332,397,330,199,223,242,552
"COG0026",709,282,274,150,517,664,184,474,286,694,600,650,492,523,136,589,448,601,338,452
"COG0027",266,127,114,61,207,203,128,152,66,198,99,144,145,149,46,106,88,169,59,318
"COG0028",2961,1330,1165,2702,2682,3091,787,2673,1413,2589,2696,3055,2634,2203,2940,2404,2604,2573,4316,1870
"COG0029",421,287,412,100,379,473,153,354,229,391,276,458,409,243,341,269,363,362,162,582
"COG0030",582,216,266,164,603,576,190,540,189,585,506,728,560,565,501,413,519,591,619,525
"COG0031",1016,471,702,561,1080,972,526,943,728,962,781,1016,989,966,924,863,894,926,1069,1044
"COG0033",336,184,254,31,251,168,59,300,94,274,61,163,156,105,78,122,130,187,42,395
"COG0034",1069,634,600,373,1096,1168,330,1036,367,1141,1109,1291,1097,1151,948,975,1189,1065,1065,748
"COG0035",199,101,121,61,170,173,70,157,67,176,107,122,146,159,123,131,120,179,131,231
"COG0036",550,211,184,198,544,552,148,508,176,560,591,599,558,626,441,419,601,576,567,416
"COG0037",1126,576,587,383,1066,982,469,968,513,1100,382,365,335,364,342,319,302,341,366,305
"COG0038",370,273,280,75,311,258,131,373,209,319,220,212,322,296,300,273,242,237,310,455
"COG0039",663,231,195,187,695,705,167,550,272,731,766,792,699,691,576,652,793,686,667,395
"COG0040",387,199,200,119,400,414,98,344,176,376,363,476,350,300,349,364,298,380,425,309
"COG0041",405,180,179,124,392,419,109,301,126,382,337,416,355,321,270,357,353,314,393,288
"COG0042",980,581,813,271,793,923,355,796,513,867,801,805,888,887,640,910,891,862,622,949
"COG0043",108,351,335,92,332,105,195,404,74,154,173,75,445,414,810,252,370,136,739,628
"COG0044",1234,382,351,448,1383,1417,304,1111,799,1360,1345,1477,1306,1345,1345,1206,1415,1278,1473,905
"COG0045",965,337,322,330,984,1050,294,915,361,1044,1004,1231,1028,930,776,868,1150,1019,1107,489
"COG0046",1611,854,871,554,1721,1824,525,1593,710,1766,1706,2047,1852,1735,1706,1465,1943,1735,1662,1406
"COG0047",705,675,531,272,768,893,285,783,298,826,789,929,905,842,749,923,931,847,753,768
"COG0048",260,131,176,102,286,295,103,238,90,274,249,313,300,295,270,241,286,260,290,252
"COG0049",339,146,222,139,369,332,106,352,110,361,336,347,346,381,282,299,332,323,365,285
"COG0050",902,553,723,286,953,892,359,788,521,898,916,1020,818,896,997,916,884,1000,769,789
"COG0051",227,120,148,80,228,225,74,193,92,208,210,204,228,232,152,166,229,249,204,200
"COG0052",597,227,330,203,596,590,158,529,234,584,550,635,571,653,484,495,587,591,575,469
"COG0053",63,113,162,58,85,42,91,132,169,89,107,29,46,108,393,96,63,160,257,88
"COG0054",322,155,193,100,277,305,88,259,113,289,102,103,99,81,61,93,116,108,82,93
"COG0055",1223,384,473,351,1197,1185,343,947,386,1209,1179,1341,1034,1132,843,1012,1150,1186,805,858
"COG0056",1382,461,531,371,1272,1322,403,1084,407,1357,1159,1440,1123,1314,872,1160,1284,1294,957,893
"COG0057",1215,1002,811,357,1046,1152,525,985,497,1078,1042,1079,969,983,907,1188,993,1196,829,1108
"COG0058",462,440,246,2205,435,335,404,448,182,606,411,287,333,366,306,220,463,437,192,610
"COG0059",790,390,402,243,751,747,259,646,277,753,727,785,668,586,504,699,712,732,697,571
"COG0060",2182,769,1030,795,2289,2166,590,2045,727,2298,2159,2426,2211,2110,1800,1963,2228,2317,2172,1725
"COG0061",718,274,328,197,724,681,147,688,214,722,582,752,642,645,579,552,630,697,767,649
"COG0062",348,313,374,86,451,267,114,471,282,383,204,274,335,280,682,179,279,302,587,561
"COG0063",436,334,385,122,565,355,163,544,293,446,262,391,403,329,795,202,343,290,642,663
"COG0064",1021,298,330,298,1048,1087,203,907,355,1055,1022,1086,804,727,666,614,875,1000,1005,702
"COG0065",1197,380,393,343,1148,1160,323,985,434,1199,1192,1313,1117,972,734,974,1197,1153,1029,794
"COG0066",511,167,179,171,510,563,138,417,226,564,575,553,546,500,332,356,598,548,452,384
"COG0067",2581,949,904,885,2005,2611,690,1820,1175,2693,2741,2556,1996,1620,1362,1983,1968,2695,1812,1291
"COG0068",31,175,128,9,7,11,30,71,128,5,4,5,22,27,67,6,35,9,17,94
"COG0069",3542,1295,1205,1118,2958,3614,1028,2645,1742,3457,3514,3540,2723,2246,2146,3124,2834,3551,2438,2218
"COG0070",2410,901,791,799,1980,2527,691,1690,1112,2384,2410,2267,1858,1437,1192,1789,1799,2438,1393,1296
"COG0071",537,3273,2106,8121,489,555,4043,786,2227,781,998,347,378,433,415,382,741,818,462,318
"COG0072",1759,533,699,603,1763,1678,463,1449,620,1839,1748,1857,1618,1585,1199,1430,1590,1679,1394,1315
"COG0073",1317,758,795,493,1284,1437,536,1124,716,1385,1258,1170,1422,1503,1027,1438,1439,1489,1049,1037
"COG0074",658,259,281,257,799,714,211,646,301,716,739,867,704,715,663,612,805,717,970,396
"COG0075",734,401,254,141,684,644,173,767,244,635,554,588,721,562,772,403,554,545,962,810
"COG0076",336,258,161,85,288,232,176,387,387,319,188,158,331,422,402,362,316,271,338,520
"COG0077",660,292,347,232,625,741,206,529,245,651,674,792,588,507,423,576,596,673,521,467
"COG0078",526,277,313,154,623,578,210,551,317,616,191,205,171,126,189,147,179,189,232,196
"COG0079",1220,827,703,1137,1223,1117,704,1165,712,1172,1046,1225,894,802,1288,858,908,1039,1136,1117
"COG0080",307,158,221,111,332,290,102,318,115,332,304,335,300,294,321,262,307,293,312,221
"COG0081",537,217,337,201,564,502,153,476,221,525,494,574,474,489,466,413,520,518,509,440
"COG0082",318,91,78,108,306,243,70,212,86,331,852,927,800,783,526,662,841,888,665,547
"COG0083",156,111,93,34,160,166,61,215,39,133,78,91,145,180,141,178,107,128,260,249
"COG0084",541,444,474,217,597,556,223,519,241,552,472,551,507,527,498,607,522,556,541,586
"COG0085",3067,1196,1501,1234,2954,2862,1388,2522,1073,2873,1041,1057,936,930,771,807,1030,947,929,714
"COG0086",3435,1108,1486,1605,3435,3148,1399,2709,1136,3288,3193,3556,3162,3365,2198,2691,3284,3323,2535,2698
"COG0087",512,210,298,216,506,500,160,492,191,520,473,529,444,486,454,433,538,501,557,435
"COG0088",448,165,225,193,463,468,130,421,158,496,468,488,412,415,378,363,433,436,428,351
"COG0089",195,75,96,51,186,185,52,213,62,192,203,191,194,210,193,166,192,199,199,172
"COG0090",632,268,281,226,635,634,190,551,181,666,579,700,540,624,525,506,603,660,644,482
"COG0091",276,111,139,98,271,283,80,240,71,286,214,293,271,260,224,209,270,295,286,236
"COG0092",530,192,244,199,509,544,157,485,184,580,167,180,174,194,142,148,167,174,149,132
"COG0093",274,98,136,117,264,283,78,264,70,256,251,281,253,278,247,199,290,248,279,211
"COG0094",440,161,209,153,443,438,126,410,169,437,413,464,378,413,372,352,405,393,415,330
"COG0095",119,22,33,10,130,86,34,108,38,104,60,51,100,69,278,19,48,92,98,235
"COG0096",310,117,159,114,354,291,76,276,83,304,291,326,291,316,289,210,289,293,315,245
"COG0097",425,140,210,168,431,399,130,343,145,417,401,440,419,417,297,326,383,452,376,344
"COG0098",348,164,215,142,402,410,106,365,123,434,371,418,404,386,337,350,409,347,367,330
"COG0099",110,43,49,24,89,103,36,87,29,112,271,292,294,303,269,250,318,289,326,232
"COG0100",295,137,154,107,306,282,76,292,87,260,265,306,263,274,227,246,309,290,314,219
"COG0101",638,183,249,169,615,659,154,430,195,644,575,601,597,593,339,516,571,562,325,501
"COG0102",356,171,186,121,363,345,102,312,148,360,341,347,374,338,279,328,375,361,360,266
"COG0103",319,92,165,130,301,295,93,266,128,330,276,331,283,320,252,260,322,312,260,210
"COG0104",1034,439,449,625,1095,979,548,841,579,1078,961,1022,1001,937,772,909,1037,1100,866,732
"COG0105",301,134,195,115,307,333,88,305,104,331,284,316,316,305,303,238,310,301,289,280
"COG0106",125,61,50,41,121,124,41,115,56,137,412,485,341,300,250,333,323,450,404,330
"COG0107",533,242,170,150,592,572,172,473,207,597,541,551,430,394,421,455,455,501,499,416
"COG0108",812,314,391,348,695,824,256,610,279,842,771,820,772,693,433,656,734,850,571,558
"COG0109",772,431,364,231,765,808,234,716,212,847,717,815,736,691,573,673,791,751,788,597
"COG0110",240,334,285,294,269,236,272,334,266,234,244,285,282,299,377,334,269,249,363,299
"COG0111",1762,877,868,847,1780,1976,737,1536,966,1788,1924,2026,1713,1570,2017,1705,1581,1721,2019,1436
"COG0112",972,533,472,463,1024,975,596,1020,378,1020,1002,1026,1000,965,825,865,1041,1027,939,786
"COG0113",724,308,305,214,629,732,223,574,287,672,747,810,677,682,375,650,696,656,531,476
"COG0114",953,341,378,278,1168,949,313,704,377,1051,306,377,363,291,159,270,366,299,204,281
"COG0115",1505,638,746,451,1472,1570,461,1314,722,1455,1441,1540,1516,1374,1273,1360,1536,1453,1531,1287
"COG0116",298,313,409,58,216,222,156,244,104,219,110,138,258,291,93,338,208,209,97,453
"COG0117",624,207,251,221,587,588,185,459,186,692,676,640,625,666,380,585,603,627,423,516
"COG0118",454,159,173,140,455,490,118,356,173,432,427,510,320,380,288,338,324,404,371,366
"COG0119",1939,1022,923,1097,1858,1964,1026,1752,980,2021,670,657,561,537,575,542,605,669,632,469
"COG0120",199,152,185,59,210,220,113,246,124,219,205,202,249,191,114,188,226,219,247,280
"COG0121",9,148,121,7,12,3,74,54,23,11,13,4,25,26,70,58,23,18,29,78
"COG0122",348,246,184,128,369,408,148,459,238,395,413,438,370,388,380,400,409,365,584,271
"COG0123",714,431,530,303,517,731,313,573,314,786,868,775,664,787,503,792,687,749,519,423
"COG0124",1016,326,508,374,1049,1013,275,1009,403,1176,1053,1120,982,1001,814,787,1008,1094,1023,770
"COG0125",375,128,243,161,443,454,105,411,144,376,406,388,386,332,362,239,408,388,427,374
"COG0126",1059,339,380,333,999,999,272,828,320,991,945,1063,882,881,720,784,922,939,883,713
"COG0127",573,179,170,142,565,552,141,447,141,594,447,525,537,506,325,364,496,509,431,501
"COG0128",934,297,373,313,1008,928,265,733,349,966,849,1117,872,952,603,775,872,902,836,772
"COG0129",1659,1060,988,552,1473,1718,551,1298,964,1538,1618,1754,1490,1139,1094,1540,1383,1664,1365,1232
"COG0130",399,265,280,176,397,492,117,491,266,390,401,444,504,484,370,369,497,479,488,462
"COG0131",393,173,144,117,457,413,126,336,176,400,338,469,314,273,245,370,292,421,355,331
"COG0132",144,153,156,10,131,87,63,168,39,115,66,75,104,111,100,84,71,92,195,173
"COG0133",848,338,386,194,824,833,237,682,367,821,693,975,633,582,517,657,654,806,707,610
"COG0134",606,261,261,156,569,597,144,508,166,533,511,569,507,379,321,460,403,551,534,445
"COG0135",414,199,216,124,341,449,130,264,141,379,381,492,349,313,276,346,294,396,260,355
"COG0136",936,444,415,247,791,813,256,754,322,931,982,923,733,621,539,795,798,891,719,581
"COG0137",795,336,296,233,782,816,189,663,336,802,804,838,607,547,568,602,585,728,749,536
"COG0138",1138,428,416,346,1294,1228,358,893,391,1224,1172,1296,1218,1192,865,991,1377,1085,784,980
"COG0139",325,108,100,79,291,329,97,267,111,271,282,349,242,227,165,251,208,232,277,213
"COG0140",203,97,116,41,200,203,67,182,77,198,138,220,170,119,80,157,115,171,126,250
"COG0141",1252,393,330,321,1049,1286,255,847,390,1151,1336,1423,916,809,672,1010,881,1065,1029,658
"COG0142",1541,540,649,432,1474,1511,390,1269,509,1525,1484,1598,1465,1493,1129,1241,1416,1461,1352,1135
"COG0143",1178,478,548,449,1237,1154,359,1099,470,1106,1125,1238,1213,1214,1032,1011,1181,1247,1200,943
"COG0144",624,411,627,122,484,501,176,455,504,533,372,425,600,596,415,594,437,428,316,673
"COG0145",524,327,301,115,393,586,133,685,400,462,629,483,682,756,1796,562,400,573,1660,568
"COG0146",443,209,225,84,312,443,136,589,373,408,446,419,467,650,1386,341,333,473,1400,502
"COG0147",1645,689,682,480,1524,1716,475,1240,709,1522,1589,1776,1502,1209,1013,1270,1294,1389,1204,1286
"COG0148",944,371,455,296,1063,960,272,840,356,1024,880,1078,970,982,757,724,943,962,987,768
"COG0149",177,56,80,58,178,185,46,172,82,178,528,566,489,456,374,474,515,510,466,415
"COG0150",767,620,246,321,899,844,1136,709,281,931,756,884,777,709,638,674,1104,737,678,643
"COG0151",981,381,363,290,1042,976,275,811,333,983,1039,1135,953,941,779,835,940,890,968,794
"COG0152",592,423,308,465,632,591,218,555,258,616,561,631,602,563,495,591,716,547,597,552
"COG0153",105,106,102,56,177,164,58,161,39,171,146,148,191,275,273,184,266,131,130,171
"COG0154",2434,1029,1101,726,2270,2506,555,2438,1604,2289,2405,2625,2220,2050,2209,1770,2006,2311,3480,1612
"COG0155",490,514,630,65,569,305,241,607,450,380,263,433,340,322,452,254,193,343,570,949
"COG0156",548,538,627,183,635,648,308,587,475,607,588,536,696,894,729,749,770,642,550,766
"COG0157",452,259,185,149,504,417,173,473,193,467,411,442,441,331,342,337,424,373,474,396
"COG0158",81,190,191,25,71,70,81,161,69,54,63,42,106,202,116,157,123,55,64,166
"COG0159",532,192,220,143,503,552,147,421,201,523,527,613,473,390,324,468,418,510,466,367
"COG0160",314,467,626,254,482,316,245,498,445,402,397,292,574,722,880,618,663,451,617,538
"COG0161",1321,772,565,408,1147,1363,539,1175,679,1187,1204,1228,1175,993,1250,1213,1131,1028,1554,1010
"COG0162",942,323,441,324,913,952,294,863,360,1007,882,1074,852,799,723,781,874,933,818,676
"COG0163",35,151,117,26,85,29,57,96,38,42,58,17,94,87,197,72,86,61,202,196
"COG0164",497,166,251,213,505,481,160,430,151,467,527,522,440,453,362,375,482,483,447,382
"COG0165",1002,411,355,262,895,934,291,794,370,846,952,1131,735,604,711,759,688,885,1017,626
"COG0166",1025,470,548,284,902,1009,289,858,414,972,812,1021,978,930,711,832,865,875,885,787
"COG0167",863,313,366,233,830,869,650,765,324,838,832,886,801,816,770,724,728,800,824,692
"COG0168",1264,585,561,389,1379,1312,425,981,660,1302,1331,1480,1241,1226,830,1107,1283,1252,958,1041
"COG0169",690,250,285,324,651,640,207,494,238,708,590,723,583,638,438,523,601,715,643,545
"COG0170",101,1,15,16,149,74,20,87,0,102,49,44,80,93,212,17,74,98,80,181
"COG0171",948,551,705,2991,881,872,1279,793,577,1049,910,875,838,817,627,548,943,963,646,707
"COG0172",931,362,365,341,976,929,261,884,314,1016,887,1121,926,879,757,793,869,948,963,724
"COG0173",1413,413,492,371,1434,1310,343,1083,452,1376,1294,1466,1135,1184,882,1108,1146,1394,905,1032
"COG0174",2150,1151,945,1015,1817,2265,880,1764,882,2044,2368,2138,1826,1630,1945,1931,2065,2032,2611,1379
"COG0175",261,809,831,323,222,282,1068,369,1011,233,81,66,83,85,130,116,67,76,105,159
"COG0176",739,908,381,7008,758,679,2627,709,475,1002,918,480,477,513,371,499,841,857,474,646
"COG0177",557,192,308,229,533,543,340,487,222,583,518,615,519,551,388,413,527,533,490,427
"COG0178",2155,872,1014,819,2421,2369,685,1926,853,2388,2183,2447,2409,2504,1814,2241,2438,2389,1826,1847
"COG0179",678,504,400,225,723,707,277,731,585,688,282,268,249,234,245,280,234,208,372,197
"COG0180",836,395,413,301,849,844,260,731,337,827,831,933,821,738,639,694,835,803,844,702
"COG0181",801,266,321,221,712,861,209,582,243,711,758,938,781,812,361,676,734,748,609,472
"COG0182",292,124,180,93,349,226,108,296,52,300,371,328,261,250,424,261,266,295,513,148
"COG0183",1502,2157,1988,689,1733,1762,948,1803,2332,1754,1866,1785,2123,2012,2471,1895,2001,1720,2315,1637
"COG0184",207,102,121,72,227,222,53,206,86,190,190,217,226,185,164,198,221,214,285,194
"COG0185",204,83,115,76,238,200,62,205,72,204,195,209,218,237,163,147,215,215,204,182
"COG0186",150,91,111,51,163,169,53,153,50,133,45,58,60,72,36,40,62,49,57,64
"COG0187",2188,1175,1482,931,2274,2496,1369,1890,1243,2297,2351,2687,2375,2395,1706,2275,2339,2375,1719,1824
"COG0188",2885,1097,1494,999,2908,2883,1396,2384,1329,2872,2648,3054,2740,2762,1845,2508,2803,3066,1912,2534
"COG0189",794,1389,1644,1537,641,768,1912,892,1018,780,837,760,737,594,548,789,799,929,719,710
"COG0190",714,239,286,224,732,696,209,633,214,775,689,725,664,593,535,562,668,716,756,534
"COG0191",355,136,222,89,158,371,124,295,122,309,241,328,256,326,248,389,198,362,142,130
