"","X68_SUR_0d2.0d45","X70_MES_0d2.0d45","X110_MES_0d2.3","X112_DCM_0d2.3","X36_DCM_0d2.1d6","X72_MES_0.0d2","X30_DCM_0d2.1d6","X39_OMZ_0d2.1d6","X124_DCM_0d2.3","X96_SUR_0d2.3","X25_SUR_0d2.1d6","X65_DCM_0d2.3","X142_SUR_0d2.3","X37_OMZ_0d1.0d2","X149_SUR_0d2.3","X76_SUR_0d2.3","X149_MES_0d2.3","X58_DCM_0d2.3","X128_SUR_0d2.3","X133_MES_0d2.3"
"COG0001",682,1292,913,748,604,244,674,771,1146,675,622,720,652,622,637,693,1216,608,836,1151
"COG0002",566,535,534,555,584,279,652,421,510,629,599,435,489,395,490,608,581,556,462,554
"COG0003",15,126,27,14,25,41,8,16,29,4,6,23,34,10,36,25,18,14,45,20
"COG0004",1661,993,1617,1444,1812,701,1778,1455,1512,1435,1715,1779,1622,1076,1732,1490,1135,1751,1378,1203
"COG0005",536,537,550,561,432,218,422,640,539,435,329,482,525,454,513,448,635,510,440,629
"COG0006",2636,1934,2981,2122,2488,815,2094,2921,2207,2165,2154,2409,2252,1723,2500,1877,3174,2145,2189,2939
"COG0007",132,375,349,195,139,341,135,492,245,125,188,137,136,380,115,206,330,213,145,330
"COG0008",1522,1611,1558,1426,1386,837,1401,1542,1498,1386,471,499,484,468,485,423,560,444,562,559
"COG0009",660,554,608,582,615,254,627,470,545,638,598,613,592,458,567,551,617,581,622,547
"COG0010",899,972,998,649,995,209,689,850,800,639,835,935,853,676,853,826,1098,929,867,943
"COG0011",2,2,15,25,15,8,9,40,12,5,23,11,8,5,5,5,13,19,57,3
"COG0012",1072,1150,973,953,861,296,946,749,961,967,823,920,969,983,998,935,1140,949,922,1229
"COG0013",2152,1732,1816,2113,1835,747,2079,1651,1878,1929,1789,1996,2062,1490,2065,2024,1843,2236,2020,1853
"COG0014",848,497,590,805,849,399,877,595,702,898,913,805,783,263,717,830,482,888,692,437
"COG0015",1170,673,941,1110,1043,432,1100,871,1035,1235,957,1070,1080,693,1084,1097,864,1112,1185,891
"COG0016",931,782,828,831,786,304,807,665,824,894,753,851,857,710,913,811,826,838,798,798
"COG0017",378,964,581,289,216,66,203,423,527,132,113,386,395,768,541,227,701,183,412,765
"COG0018",1572,1059,1215,1460,1271,478,1306,1014,1306,1516,1250,1212,1306,992,1320,1350,1116,1435,1429,1150
"COG0019",1487,793,1018,1297,1313,834,1430,1019,993,1501,1528,1163,1273,823,1156,1239,944,1298,1122,727
"COG0020",654,457,527,555,465,220,567,492,503,522,510,532,581,436,568,507,499,543,558,549
"COG0021",1402,887,1278,1456,1401,580,1394,1679,1274,1488,1338,1443,1327,1173,1249,1323,1085,1575,1320,1059
"COG0022",984,608,888,1067,711,465,876,837,1081,720,628,1068,1174,663,1206,877,875,853,1224,711
"COG0023",71,113,70,74,33,3,47,51,56,34,34,50,60,136,50,52,105,85,62,107
"COG0024",602,670,611,625,559,344,591,554,644,634,540,651,676,580,679,580,562,568,652,575
"COG0025",122,335,207,303,139,521,143,344,153,156,158,220,240,444,164,282,274,227,252,278
"COG0026",659,419,421,515,648,287,608,104,452,665,727,523,536,209,503,695,304,659,560,306
