"","X122_DCM_0d2.3","X56_SUR_0d2.3","X100_SUR_0d2.3","X70_MES_0.0d2","X68_DCM_0d45.0d8","X31_SUR_0d2.1d6","X68_SUR_0d45.0d8","X124_SUR_0d1.0d2","X72_MES_0d2.3","X4_DCM_0d2.1d6","X111_DCM_0d2.3","X149_SUR_0d2.3","X78_DCM_0d2.3","X78_SUR_0d2.3","X132_DCM_0d2.3","X72_DCM_0d2.3","X34_SUR_0d1.0d2","X78_MES_0d2.3","X102_SUR_0d2.3","X125_SUR_0d2.3"
"COG0001",687,698,821,304,796,772,759,338,841,762,747,678,845,675,641,673,201,1301,775,719
"COG0002",458,616,486,357,553,544,515,147,529,494,556,478,601,646,441,500,193,640,512,458
"COG0003",43,31,11,129,22,25,19,69,17,14,7,12,9,12,7,6,18,9,5,6
"COG0004",1157,1902,1617,1093,1421,1892,1257,638,1235,1640,1660,1727,1602,1489,1357,1628,830,1147,1631,1592
"COG0005",495,602,424,271,463,520,451,117,494,430,513,486,508,536,440,479,148,631,403,505
"COG0006",2181,2075,2177,1182,2070,1952,1869,644,2022,2392,2479,2495,2221,2052,2373,2441,753,3238,2339,2354
"COG0007",221,235,141,660,282,272,280,162,290,185,173,119,249,236,177,141,43,321,116,91
"COG0008",1410,1415,1540,1327,1503,1310,1488,531,1448,1461,1414,1569,1481,1248,1512,1495,611,1620,1624,1466
"COG0009",595,579,664,358,511,559,499,215,550,570,601,585,577,609,582,625,228,619,602,617
"COG0010",813,982,814,423,867,1079,712,207,859,913,894,927,773,939,816,833,308,1055,846,946
"COG0011",25,23,28,0,27,20,37,5,18,15,56,7,18,7,24,6,2,11,30,26
"COG0012",769,1060,874,400,965,950,916,231,1014,956,900,1005,943,1006,928,884,342,1155,923,953
"COG0013",1928,2205,1998,916,2151,2049,2041,541,1896,2095,2148,2093,1950,1997,1967,2086,776,1887,2007,2064
"COG0014",709,873,705,491,684,819,687,206,643,770,771,724,796,912,623,802,221,584,748,810
"COG0015",987,1169,1039,613,1081,1056,1052,318,850,1054,1016,1075,1039,1112,1042,1130,388,903,1046,1105
"COG0016",739,910,828,361,880,797,841,224,719,875,824,880,843,779,832,871,319,799,770,851
"COG0017",295,210,309,27,477,182,439,117,485,337,282,555,390,143,526,321,208,666,308,319
"COG0018",1207,1507,1364,572,1368,1341,1301,368,1178,1453,1439,1390,1276,1333,1319,1385,447,1117,1319,1391
"COG0019",1162,1321,1047,1064,1024,1080,1024,436,991,1200,1364,1140,1164,1378,1005,1375,477,1010,1231,1327
"COG0020",516,513,569,251,558,464,519,192,489,561,549,546,545,523,598,547,196,509,544,590
"COG0021",1429,1460,1343,719,1345,1404,1213,334,1068,1343,1508,1266,1311,1382,1328,1463,435,1065,1423,1455
"COG0022",952,887,1111,447,1102,947,1182,750,769,1092,1061,1142,970,804,1347,1061,1025,659,1032,1113
"COG0023",58,82,48,17,116,77,137,37,97,65,56,70,69,73,89,45,31,86,58,44
"COG0024",609,595,612,256,619,576,688,257,602,621,657,661,555,615,602,590,213,569,617,699
"COG0025",287,276,220,607,294,410,376,251,324,168,214,168,238,295,250,158,113,224,160,172
"COG0026",370,779,555,339,510,729,536,188,488,499,533,500,566,775,367,478,188,341,575,516
"COG0027",108,240,179,165,268,337,368,127,148,119,64,23,49,67,29,35,20,19,53,44
"COG0028",3174,2694,2604,2030,2454,2867,2427,774,2826,2721,2990,2776,3191,3047,2468,3028,2693,4135,2906,2895
"COG0029",256,491,268,271,550,650,601,157,329,392,345,271,361,442,347,238,95,139,282,291
"COG0030",575,660,633,239,583,548,642,152,533,591,563,558,537,605,603,603,173,627,600,641
"COG0031",864,1080,1062,554,1040,1136,1110,524,1027,973,986,871,1021,1049,956,956,551,1028,951,959
"COG0033",142,374,143,83,320,515,358,70,262,144,65,26,48,124,40,23,10,16,22,26
"COG0034",974,1163,1204,558,1225,1060,1138,346,970,1183,1165,1124,1120,1120,1055,1058,361,1105,1159,1122
"COG0035",142,202,153,171,186,258,218,68,145,144,169,130,167,207,131,121,55,122,136,147
"COG0036",540,583,605,215,641,568,594,161,530,613,609,597,550,582,620,600,174,572,597,568
"COG0037",1078,1104,1171,724,1088,1034,1038,471,1019,1091,1161,1181,1130,1130,1102,1175,386,1077,1042,1156
"COG0038",253,373,232,436,481,522,499,152,334,233,299,190,281,412,277,183,76,291,199,242
"COG0039",738,654,746,288,654,561,594,182,624,805,786,854,726,658,654,816,222,726,781,869
"COG0040",438,420,328,221,330,402,350,120,348,355,354,399,408,388,287,412,123,407,382,324
"COG0041",331,374,357,183,383,369,359,106,333,355,364,364,344,370,374,339,93,370,356,372
"COG0042",855,990,895,822,1046,969,1029,380,794,877,829,864,821,909,808,740,262,594,884,833
"COG0043",543,167,64,259,563,230,476,188,411,321,333,541,664,123,559,287,85,771,119,275
"COG0044",1231,1272,1357,720,1267,1067,1243,302,1187,1367,1541,1575,1329,1334,1417,1488,485,1491,1432,1391
"COG0045",918,903,1093,436,880,813,732,268,818,1096,1100,1127,989,926,971,1102,325,1060,1276,1192
"COG0046",1645,1771,1749,1038,1957,1822,1693,560,1592,1928,1823,1934,1723,1646,1718,1736,534,1599,1867,1737
"COG0047",786,730,958,793,827,813,844,300,736,953,781,841,722,702,717,777,277,747,958,795
"COG0048",241,264,293,151,307,256,360,97,286,282,304,318,297,293,277,311,92,292,314,330
"COG0049",365,344,335,92,388,339,425,107,345,360,378,384,383,348,340,357,158,392,352,368
"COG0050",803,952,923,499,860,1016,922,363,834,875,1016,1003,881,982,848,929,301,739,991,979
"COG0051",217,233,237,138,239,213,288,66,193,226,227,247,221,228,210,227,83,236,266,252
"COG0052",574,621,603,296,622,612,663,187,510,613,635,673,566,606,571,589,210,550,610,615
"COG0053",80,75,29,260,70,77,82,95,152,111,79,116,62,63,86,103,55,264,49,113
"COG0054",281,305,282,211,344,355,334,94,272,262,298,295,319,297,267,265,99,247,287,272
"COG0055",1014,1214,1229,500,1054,1232,1125,337,956,1193,1284,1208,1047,1192,991,1158,349,776,1318,1350
"COG0056",1177,1383,1409,543,1194,1370,1246,363,1050,1235,1349,1320,1188,1322,1114,1312,362,892,1404,1377
"COG0057",1035,1127,1125,963,1020,1192,1003,511,996,1015,1054,1058,1023,1193,1025,995,390,860,1019,1069
"COG0058",271,608,263,143,580,711,634,411,415,259,325,178,323,415,315,354,2201,182,236,275
"COG0059",669,769,754,367,656,826,725,244,682,733,771,737,702,826,627,760,253,683,832,807
"COG0060",2152,2299,2362,1036,2294,1979,2272,609,2008,2328,2402,2302,2179,2192,2381,2276,820,2219,2304,2323
"COG0061",591,704,742,314,747,743,829,175,642,644,769,647,635,658,663,668,201,728,623,649
"COG0062",425,432,211,339,491,522,479,104,511,299,384,295,407,355,385,357,97,545,176,284
"COG0063",550,480,328,464,524,613,537,178,572,345,506,377,507,419,466,521,118,682,266,349
"COG0064",916,1138,999,477,896,1080,864,219,913,968,1015,872,986,1047,860,991,322,939,992,1041
"COG0065",1022,1227,1125,641,1078,1236,1063,337,1004,1148,1237,1246,1238,1157,1005,1171,361,1096,1221,1319
"COG0066",540,531,496,295,578,500,561,141,427,532,547,619,583,492,559,531,183,473,558,570
"COG0067",2159,2677,2275,1371,2289,2486,2241,719,1809,2427,2100,2214,2237,2654,1626,2084,846,1675,2458,2524
"COG0068",28,7,16,200,6,16,14,24,74,3,1,2,6,44,10,12,8,14,1,3
"COG0069",2945,3560,3151,2101,2790,3501,2658,1059,2603,3176,3194,2921,2977,3535,2301,3009,1076,2441,3443,3423
"COG0070",2060,2453,1968,1331,2090,2378,2179,715,1644,2094,1904,2100,2071,2465,1375,2005,770,1503,2164,2239
"COG0071",156,258,171,150,108,192,109,1330,259,149,472,369,400,541,888,698,8042,480,626,455
"COG0072",1580,1876,1659,884,1706,1590,1700,408,1470,1685,1855,1750,1549,1754,1598,1691,545,1341,1774,1829
"COG0073",1442,1400,1393,1210,1484,1292,1480,557,1166,1378,1308,1361,1277,1341,1338,1344,482,1035,1301,1644
"COG0074",742,685,758,317,659,662,539,200,670,816,925,876,764,638,706,815,257,945,875,919
"COG0075",458,738,694,463,900,892,794,193,752,601,625,476,671,742,503,439,164,914,608,497
"COG0076",269,365,256,167,452,478,591,166,372,234,274,267,285,336,302,247,90,377,202,235
"COG0077",624,645,691,289,624,645,607,153,557,683,224,220,208,221,184,213,58,194,241,230
"COG0078",663,599,473,290,610,574,521,194,562,569,608,588,599,532,582,575,181,701,517,540
"COG0079",955,1263,986,874,1085,1153,1165,702,1193,1012,1066,894,1169,1176,829,1017,1195,1172,929,950
"COG0080",298,340,293,166,302,283,325,98,288,306,317,345,336,330,323,321,110,348,279,293
"COG0081",534,538,522,259,542,572,543,152,444,532,542,523,516,552,542,536,188,540,490,569
"COG0082",606,921,914,343,897,917,837,220,632,874,875,888,841,862,742,869,245,675,924,984
"COG0083",150,190,146,13,224,247,281,61,233,138,161,116,176,169,121,119,43,286,148,115
"COG0084",570,564,640,433,502,449,571,262,535,570,580,487,526,498,534,577,198,582,540,570
"COG0085",2866,2817,3002,1382,2821,2712,2919,1287,2555,2937,3034,3186,2878,3049,3042,2893,1191,2610,3329,3158
"COG0086",2988,3299,3381,1454,3509,3194,3890,1377,2767,3482,3376,3596,3060,3411,3326,3136,1567,2369,3502,3436
"COG0087",525,516,534,209,539,588,581,157,479,527,552,559,546,524,578,567,217,619,430,541
"COG0088",473,483,418,161,488,520,462,111,416,459,490,507,468,490,483,508,189,480,435,486
"COG0089",176,190,207,73,227,170,232,62,199,198,219,202,212,200,202,212,75,231,182,195
"COG0090",561,662,630,258,638,801,668,196,602,688,676,701,656,639,642,595,236,617,679,678
"COG0091",284,276,304,104,306,282,287,77,223,275,290,316,309,298,251,298,93,292,280,283
"COG0092",466,532,542,240,536,549,593,165,480,566,554,613,549,557,576,556,238,502,579,606
"COG0093",271,282,261,125,297,239,250,64,227,300,283,294,275,287,270,296,88,301,253,306
"COG0094",421,416,421,167,458,389,446,137,405,466,466,475,450,448,465,424,149,418,396,468
"COG0095",80,136,61,51,155,193,172,12,111,81,98,48,85,148,79,60,12,110,49,59
"COG0096",305,310,299,99,301,290,339,89,265,309,324,341,300,315,299,304,92,270,317,325
"COG0097",428,458,381,149,409,389,434,129,385,415,432,445,423,369,424,424,175,375,390,439
"COG0098",399,383,414,202,397,429,419,103,344,452,434,459,415,371,437,367,159,381,389,445
"COG0099",301,336,304,131,295,298,336,79,266,310,318,333,317,308,299,277,110,303,290,318
"COG0100",264,253,294,132,290,279,293,74,271,289,311,313,303,314,267,276,111,289,300,316
"COG0101",588,565,587,272,587,544,609,142,453,644,597,617,541,575,591,595,218,366,582,577
"COG0102",386,360,381,160,383,330,386,113,302,356,392,392,321,334,362,353,125,349,325,372
"COG0103",322,340,309,174,283,256,342,94,250,314,345,352,298,332,311,312,140,281,306,329
"COG0104",940,1091,1050,424,1029,1053,1028,589,865,1027,1079,1048,917,1006,958,1133,533,847,1069,1136
"COG0105",346,315,348,154,345,317,353,83,304,351,356,288,301,328,330,329,124,303,328,326
"COG0106",412,457,369,218,369,432,371,125,345,332,398,381,403,454,312,389,116,379,366,432
"COG0107",194,181,177,83,182,188,144,68,150,168,617,559,551,547,467,540,139,499,496,561
"COG0108",592,917,844,396,791,852,832,264,637,793,752,806,768,861,703,685,332,587,807,807
"COG0109",673,806,817,295,750,844,763,240,739,802,795,786,761,775,743,773,229,777,799,789
"COG0110",280,206,348,549,229,211,232,274,335,248,247,284,277,208,268,252,297,384,276,318
"COG0111",1803,1857,1741,1292,1691,1798,1570,724,1537,1756,1667,1699,1982,1746,1550,1770,889,2019,1668,1681
"COG0112",866,1111,1093,447,935,1077,958,616,932,993,1076,1039,993,967,910,942,437,905,1098,1120
"COG0113",531,768,798,362,664,721,706,196,571,656,699,586,634,684,535,590,197,540,747,709
"COG0114",964,1082,1050,498,1019,996,1020,331,696,1028,400,341,266,331,379,360,82,205,398,369
"COG0115",1326,1562,1684,913,1511,1431,1410,430,1301,1684,1612,1458,1486,1471,1526,1452,473,1511,1535,1530
"COG0116",190,262,241,505,287,326,327,170,271,177,161,108,185,273,155,115,66,92,158,158
"COG0117",532,691,725,306,570,535,594,184,372,632,638,662,615,626,544,617,215,365,693,677
"COG0118",464,445,442,214,393,439,373,152,326,376,464,407,435,475,331,401,128,366,355,415
"COG0119",1993,2054,1889,1161,1698,1863,1573,936,1684,2036,2059,2023,2027,2032,1776,2115,1078,1907,2137,2083
"COG0120",179,230,222,247,291,253,296,96,258,239,194,198,181,215,218,139,55,239,208,172
"COG0121",44,4,5,119,22,15,20,83,54,16,9,27,20,18,11,13,10,31,17,19
"COG0122",395,420,442,319,368,304,357,136,396,425,426,469,412,364,362,423,115,600,415,469
"COG0123",579,705,804,605,478,606,462,289,545,620,561,689,598,691,460,586,296,504,762,798
"COG0124",912,1053,974,459,1043,1024,1015,292,1040,1067,1053,1013,1019,1052,995,1083,378,978,1041,1000
"COG0125",405,438,335,201,467,367,432,106,414,402,434,471,431,383,474,414,168,386,362,455
"COG0126",789,985,983,367,998,930,965,266,849,943,942,974,897,965,883,926,288,847,967,906
"COG0127",526,633,535,215,579,577,629,126,455,536,609,493,576,623,502,473,157,413,531,566
"COG0128",817,942,998,606,976,853,879,290,743,982,1006,1027,916,912,883,965,287,847,980,1017
"COG0129",1344,1603,1414,1648,1319,1755,1344,527,1392,1469,1549,1508,1521,1598,1194,1491,532,1333,1646,1311
"COG0130",404,403,460,318,518,436,530,125,495,475,387,396,474,421,457,380,180,466,460,452
"COG0131",371,450,319,247,317,459,335,130,333,360,416,387,385,435,335,353,121,364,317,332
"COG0132",90,166,96,126,162,194,196,60,175,76,97,62,103,153,87,68,18,151,71,74
"COG0133",658,873,811,429,709,927,704,258,665,737,821,762,775,793,597,742,208,704,768,782
"COG0134",446,596,500,250,478,570,560,156,516,433,485,465,511,610,366,460,148,519,499,460
"COG0135",341,390,408,184,321,358,381,117,317,361,349,263,392,413,326,348,103,262,369,350
"COG0136",730,944,785,489,816,947,701,296,785,860,793,872,802,946,716,837,285,783,858,875
"COG0137",657,808,630,442,722,776,651,207,647,671,777,678,746,773,547,778,203,802,740,726
"COG0138",1163,1240,1292,544,1227,1081,1218,353,897,1243,1294,1221,1149,1195,1345,1400,373,822,1183,1171
"COG0139",289,337,256,117,307,349,287,90,283,250,285,257,271,307,216,285,95,282,264,265
"COG0140",173,227,137,87,155,247,182,55,172,140,172,105,141,225,113,166,41,101,142,135
"COG0141",277,384,379,187,292,380,284,98,282,349,1129,1092,1036,1194,810,1063,343,1032,1201,1193
"COG0142",1377,1510,1652,706,1452,1571,1411,379,1270,1453,1510,1567,1578,1496,1430,1500,454,1377,1624,1554
"COG0143",1126,1181,1234,636,1249,1076,1220,374,1115,1238,1257,1230,1178,1103,1271,1226,456,1215,1250,1228
"COG0144",430,592,429,621,679,671,697,172,426,479,448,504,514,632,478,330,122,323,377,381
"COG0145",749,464,433,757,761,694,755,141,686,540,407,669,988,528,529,542,96,1657,489,474
"COG0146",654,374,327,460,579,619,587,136,587,416,327,539,841,442,343,425,78,1364,399,412
"COG0147",1210,1643,1576,776,1687,1431,1523,422,1284,1477,1452,1455,1491,1575,1226,1405,429,1203,1551,1426
"COG0148",892,1067,1050,475,954,923,941,281,789,989,1006,972,981,935,993,1013,322,940,1079,1079
"COG0149",498,510,539,245,538,488,498,149,488,528,587,534,502,566,512,528,198,454,537,562
"COG0150",731,889,850,346,857,783,799,1234,726,893,954,769,759,751,1430,1014,344,753,826,695
"COG0151",872,1030,1012,430,994,916,1035,278,839,959,953,1021,945,1064,911,973,302,1035,991,992
"COG0152",629,589,544,369,587,484,574,210,582,601,636,588,556,532,876,776,452,601,609,583
"COG0153",145,143,192,8,162,104,168,69,150,192,173,188,134,92,222,182,58,120,176,164
"COG0154",2300,2386,2308,2682,2017,2584,1888,580,2320,2180,2274,2256,2645,2387,1785,2314,707,3516,2371,2454
"COG0155",344,427,232,851,573,695,702,270,574,338,446,247,461,470,362,262,62,595,214,192
"COG0156",488,625,779,702,770,675,791,374,660,670,571,576,630,583,675,499,223,563,726,585
"COG0157",431,554,394,233,489,480,509,151,442,401,466,471,463,476,420,428,133,423,382,438
"COG0158",110,57,80,143,81,80,86,83,150,48,42,100,95,94,67,68,31,60,68,65
"COG0159",468,526,555,255,483,466,518,131,432,453,480,491,505,572,394,472,150,454,428,500
"COG0160",528,379,616,808,494,297,529,245,482,572,520,578,494,274,695,596,254,648,544,505
"COG0161",1043,1238,1214,1189,1150,1347,1089,524,1177,1180,1154,1112,1258,1349,985,1212,440,1484,1223,1128
"COG0162",827,950,996,385,971,868,939,265,815,917,295,319,327,308,272,299,107,313,344,302
