"","X148_MES_0d2.3","X122_DCM_0d2.3","X70_SUR_0d2.3","X123_DCM_0d45.0d8","X32_DCM_0.0d2","X52_DCM_0d2.1d6","X145_SUR_0d2.3","X38_DCM_0d2.1d6","X102_DCM_0d2.3","X100_DCM_0d2.3","X124_DCM_0d2.0d45","X123_DCM_0d1.0d2","X7_SUR_0d2.1d6","X122_MES_0d45.0d8","X64_MES_0d2.3","X78_SUR_0d2.3","X152_DCM_0d2.3","X76_SUR_0d45.0d8","X112_SUR_0d2.3","X65_DCM_0d2.3"
"COG0001",6174,3491,3985,2301,1876,3469,3839,3227,3377,3607,5350,1935,3352,3573,6180,3570,4080,3694,3633,3423
"COG0002",2422,2332,2168,1539,1791,2550,2598,2634,2342,2362,3192,986,2189,2002,2759,3083,2559,3133,3265,2269
"COG0003",136,166,350,41,151,67,194,91,116,77,112,243,43,87,73,217,62,131,53,117
"COG0004",5387,5796,7362,4697,7159,8820,8941,8267,7731,8209,8559,6309,11087,6213,5459,7789,8667,7467,7848,9121
"COG0005",2703,2455,2253,231,261,2453,2017,2249,1944,2219,2727,567,1716,1719,2983,2465,2177,2587,2647,2401
"COG0006",13249,10973,10427,6592,5977,11371,12383,11169,11828,11604,11660,3873,10581,11340,15206,10341,11781,8236,9395,11819
"COG0007",1267,1079,934,2723,2847,951,858,1021,737,995,949,853,802,1919,1713,1194,732,1470,918,662
"COG0008",7825,7149,7012,5354,6748,6940,7819,6953,7128,6695,8082,2996,7395,6372,8213,6601,8073,6183,6737,7610
"COG0009",2726,2824,2598,1834,1905,3059,2902,2793,2894,2796,2976,1143,2295,2260,2825,2961,2979,2709,2928,3053
"COG0010",5062,4049,4049,972,4013,4221,4593,4849,4369,4599,4217,1268,3615,2897,5022,4718,4565,4580,3771,4499
"COG0011",35,114,187,16,3,192,76,170,70,152,29,14,24,92,43,54,48,64,89,43
"COG0012",5258,3870,4532,1644,2153,4679,4905,4429,4304,4334,5678,1334,4642,3060,5680,4792,4729,4687,4834,4567
"COG0013",9215,9497,9675,3758,4705,11290,9837,9501,10124,9707,10449,2888,10000,6096,8853,9928,10132,9982,10690,9892
"COG0014",1747,2269,2294,1532,1600,2856,2314,2456,2477,2562,3838,1370,3969,2938,2346,4395,3643,3905,4536,3797
"COG0015",5237,4813,4948,1743,2808,5635,5092,5016,5368,4918,5901,1649,5157,3445,4544,5411,5410,5176,5896,5267
"COG0016",4158,3763,4044,1338,2007,4061,4396,3811,3892,3904,4766,1249,4349,2530,3884,4087,4356,3883,4283,4234
"COG0017",3672,1394,2491,1751,30,1183,2737,1230,1572,1401,2937,713,1171,1621,3488,883,2239,1095,1082,2145
"COG0018",6289,6195,6011,2218,2481,7260,6630,6506,6463,6131,7089,1958,5815,4092,5270,6899,7034,6754,7312,5984
"COG0019",4782,5755,5252,3347,2928,6267,5525,5875,5779,6161,5827,2722,5957,4048,4556,6957,5874,5622,6937,6233
"COG0020",2703,2753,2562,1119,1378,2879,2488,2436,2735,2580,2818,943,2163,1905,2525,2542,2743,2385,2692,2599
"COG0021",5465,7156,6222,4379,3850,7512,5938,6681,6585,6773,6905,2180,6862,5527,5433,6884,5827,6329,7555,7159
"COG0022",5673,4896,5205,1435,1663,4625,4885,4057,5293,4663,4414,3360,4675,3107,4400,4187,5398,4634,4309,5404
"COG0023",465,267,509,424,438,298,429,244,302,316,350,172,157,327,554,371,349,464,304,244
"COG0024",3258,2960,3288,1572,1499,3130,3201,2839,2946,2977,3338,1179,3554,2291,2847,2994,3309,2871,3290,3181
"COG0025",1032,1539,1401,3160,851,1007,947,1447,860,1332,307,999,597,1509,905,1002,547,1434,921,729
"COG0026",1538,1861,2561,1599,2237,2763,2451,3021,2474,2562,2817,941,2847,1640,1475,3663,2695,3844,3472,2467
"COG0027",179,521,1013,745,249,817,421,1011,676,832,205,436,507,857,113,1212,547,1816,1155,553
"COG0028",18490,15377,14045,6147,6257,13713,14918,13265,13741,13665,17278,6663,16392,13361,20380,14826,14561,12333,14698,15126
"COG0029",719,1345,2419,2053,3172,1808,1778,2108,1498,1739,522,517,1033,1028,396,1300,1183,1842,1613,987
"COG0030",2029,1829,1824,774,934,2060,1808,1809,1817,1768,2999,947,1990,2070,2874,3159,3063,3108,3050,2764
"COG0031",5217,4456,4864,2719,1762,5112,4553,4850,4584,4534,5562,3006,4591,4334,5355,5398,5190,5658,5629,4536
"COG0033",60,660,1171,1681,2534,1054,200,1358,688,991,56,432,359,948,162,1616,480,2448,1414,440
