"","X123_SUR_0d45.0d8","X33_SUR_0d2.1d6","X67_SUR_0d2.3","X65_DCM_0d2.3","X76_DCM_0.0d2","X68_DCM_0d2.3","X122_SUR_0d1.0d2","X45_SUR_0d2.1d6","X70_MES_0d45.0d8","X82_DCM_0d2.3","X78_DCM_0d2.0d45","X66_DCM_0.0d2","X9_DCM_0d2.1d6","X76_SUR_0d2.3","X138_MES_0d2.3","X4_DCM_0d2.1d6","X96_SUR_0d2.3","X148_MES_0d2.3","X42_DCM_0d2.1d6","X72_DCM_0d2.3","X149_MES_0d2.3","X100_MES_0d2.3","X76_DCM_0d2.0d45","X36_SUR_0d2.1d6","X102_MES_0d2.3","X78_SUR_0d2.3","X109_DCM_0d2.3","X52_DCM_0d2.1d6","X78_DCM_0d45.0d8","X98_SUR_0d2.3","X32_DCM_0d2.1d6","X142_MES_0d2.3","X124_DCM_0d2.3","X133_SUR_0d2.3","X123_DCM_0d2.3","X56_MES_0d2.3","X125_DCM_0d45.0d8","X123_DCM_0d1.0d2","X25_SUR_0.0d2","X122_DCM_0d1.0d2","X23_DCM_0d2.1d6","X76_SUR_0.0d2","X133_MES_0d2.3","X65_SUR_0d2.3","X122_MES_0d2.3","X122_DCM_0d2.0d45","X123_DCM_0d2.0d45","X41_DCM_0.0d2","X78_SUR_0d45.0d8","X149_SUR_0d2.3","X34_DCM_0d2.1d6","X110_SUR_0d2.3","X124_SUR_0d2.0d45","X70_SUR_0d45.0d8","X125_DCM_0d1.0d2","X125_DCM_0d2.3","X112_SUR_0d2.3","X125_SUR_0d1.0d2","X41_DCM_0d2.1d6","X142_SUR_0d2.3"
"COG0001",7869,6242,5745,6873,2564,7718,3389,7260,8370,9047,7962,3281,6896,7087,8902,7141,6933,12445,5965,6671,11859,8755,8707,6142,11407,7009,7484,7181,8358,6805,10674,10630,10584,7324,12082,9656,9286,3911,2066,3267,7063,5413,11426,6325,10755,7449,11987,2166,8242,6735,11490,7392,7778,8046,3158,12232,7470,4005,5586,6263
"COG0002",3827,5841,4732,4688,2924,5577,1681,6816,4165,4866,5799,2766,5171,5863,4438,5017,6647,4864,4250,5031,5790,5067,6046,5823,6703,6058,4494,5074,5275,6565,4818,5370,5216,5893,6000,5529,4804,2055,3319,2712,4538,3444,5714,5211,5612,5010,5751,1784,5799,4865,5360,4663,4298,4528,1471,5430,6523,1961,4041,5039
"COG0003",761,254,203,282,558,215,321,145,489,412,167,1838,326,307,309,160,47,288,227,178,161,170,236,175,130,392,284,166,392,58,436,294,285,243,354,151,413,505,73,405,175,240,189,232,273,157,325,23,241,356,352,292,152,548,249,312,107,771,431,325
"COG0004",11334,18750,15653,18179,7785,15476,6097,18470,9502,11798,18930,6865,16955,15186,12361,16524,15389,10885,15706,16412,11356,16603,21960,18022,15089,15724,17852,17561,13860,15277,14795,10880,15408,18541,13610,10695,13181,12458,5552,5827,23180,6956,12212,17398,12131,12581,11620,7769,14030,17365,12408,16866,14494,14214,14223,13157,15699,7235,15950,16402
"COG0005",3631,4686,2983,4770,2219,4506,1342,5587,3575,3395,4971,3380,4192,4784,6144,4116,3993,5497,5341,4731,6033,6022,5478,3773,5897,4787,4352,4979,4899,4540,4752,5341,5203,3051,5630,5442,5036,1162,1812,891,3587,2706,6215,4885,5655,4530,4705,896,4949,4781,5292,4155,4160,4202,1230,4897,5388,1534,5022,5288
"COG0006",18366,24805,23077,23512,8410,20358,5122,19351,21485,25499,24521,8750,23973,18470,26382,23759,21476,26452,24794,24089,31967,31292,23338,24044,30828,20596,23393,22784,19264,21405,22773,27467,22444,20567,24451,22458,15282,7941,11073,10457,21322,9917,29719,24607,26836,23522,20843,2635,16170,24963,26544,24237,23209,20941,5281,25431,18777,7379,24430,22690
"COG0007",1655,1671,2747,1358,3433,2979,1929,2718,4286,2278,1243,2338,1485,2004,3809,1694,1263,2534,1523,1489,3184,4481,1628,1167,4137,2382,1707,1883,2789,1530,2075,3747,2172,1601,2893,3116,3404,1832,3478,3800,1766,2834,3533,961,3128,964,3425,3477,3216,1155,2282,1362,658,1828,1303,2899,1922,1845,1300,1342
"COG0008",5272,4916,4924,4993,3337,4675,2081,4377,4674,5225,5342,2880,5092,4163,4992,4908,4828,5242,4716,4908,5432,5036,4675,4836,5628,4363,4999,4693,4902,4735,15638,16361,16216,14623,16004,14795,13688,6006,9461,7983,13593,9489,16656,15494,16081,15436,15972,7452,13726,16055,15869,15580,15869,15503,4377,14911,13469,6227,14409,15227
"COG0009",5454,6072,5476,6182,2919,5489,2328,5785,4557,5957,6359,2713,5963,5686,4328,5880,6281,5326,5556,5978,5675,5312,5866,6005,6058,5906,6054,6140,5250,6295,5123,5482,5368,6117,5302,5418,5240,2368,2155,3221,4585,3010,5636,6352,5513,6023,5175,2332,5162,5907,5659,6030,6327,5424,1837,4921,5937,2426,5426,6185
"COG0010",7065,9785,8955,8899,1906,9169,1790,10183,6668,11345,7835,3209,8421,8425,7912,9106,5987,9961,9172,8560,10574,9546,8253,9289,9379,9484,8709,8445,7532,6641,7076,8982,8078,8175,8987,8591,7892,2515,4804,2587,7182,2341,9788,8664,8974,7834,7313,1011,9599,9130,9309,9098,7767,8225,2674,9428,7540,2926,9549,8360
"COG0011",212,213,60,104,43,336,217,265,49,16,25,2,164,93,304,196,41,95,171,91,105,157,29,113,66,82,372,393,252,32,104,99,141,56,218,165,1285,34,4,13,175,241,82,71,158,45,258,14,134,68,88,267,78,230,13,109,160,40,117,128
"COG0012",8387,9428,7684,9225,3195,8941,2302,10324,6834,8002,10654,3203,9274,9293,7829,9332,9306,10725,8750,9234,11501,8514,11101,8249,12536,9596,8855,9376,9080,9818,8749,10426,9909,8807,9554,10363,8507,2713,2551,2866,9088,3652,11482,9836,10504,9121,8897,1944,9291,9699,9766,9068,9841,8734,2164,9162,9882,2773,8712,9473
