"","X98_DCM_0d2.3","X111_SUR_0d2.3","X124_DCM_0d45.0d8","X145_MES_0d2.3","X82_DCM_0d2.3","X123_SUR_0d2.0d45","X85_SUR_0d2.3","X151_SUR_0d2.3","X78_MES_0d2.3","X70_MES_0d2.0d45","X37_OMZ_0d1.0d2","X109_DCM_0d2.3","X76_DCM_0.0d2","X122_SUR_0d2.0d45","X52_DCM_0d2.1d6","X68_DCM_0d2.3","X76_MES_0d2.3","X66_DCM_0d2.3","X23_DCM_0d2.1d6","X72_DCM_0d2.3","X72_MES_0d2.3","X37_OMZ_0d2.1d6","X125_SUR_0d45.0d8","X39_OMZ_0d1.0d2","X70_SUR_0d45.0d8","X66_SUR_0d2.3","X39_DCM_0d2.1d6","X68_SUR_0d2.3","X76_MES_0d45.0d8","X124_DCM_0d1.0d2","X133_SUR_0d2.3","X110_MES_0d2.3","X34_SUR_0d2.1d6","X76_DCM_0d2.0d45","X68_DCM_0d2.0d45","X111_MES_0d2.3","X122_SUR_0d2.3","X67_SUR_0d45.0d8","X93_SUR_0d2.3","X64_MES_0d2.3","X128_DCM_0d2.3","X138_MES_0d2.3","X102_SUR_0d2.3","X82_SUR_0d2.3","X84_SUR_0d2.3","X122_MES_0d2.3","X36_DCM_0d2.1d6","X31_SUR_0.0d2","X72_SUR_0d2.3","X110_DCM_0d2.3","X122_SUR_0d45.0d8","X7_SUR_0d2.1d6","X125_DCM_0d2.3","X58_DCM_0d2.3","X99_SUR_0d2.3","X110_SUR_0d2.3","X70_MES_0.0d2","X7_DCM_0d2.1d6","X152_SUR_0d2.3","X76_SUR_0d45.0d8"
"COG0001",7721,8007,10479,12156,9009,6759,8791,6571,12674,13237,6435,7760,2546,7609,7242,7661,12409,7459,7014,6790,8308,7407,10541,4228,7973,7246,5696,7772,8164,3572,7259,9348,5953,8970,8738,10993,7972,6059,6635,12286,7838,8838,7646,8867,7721,10433,6488,3200,6598,7069,9973,6356,12268,6273,8024,7345,2979,5649,7861,7207
"COG0002",5892,4884,4146,5568,4905,4699,7004,4989,6194,5090,3724,4690,2906,4468,4999,5709,5580,5163,4527,4987,5355,3822,3994,2067,4355,5392,4587,5816,4104,2647,5850,5394,5544,6148,4427,5676,4607,4287,5819,5594,4373,4387,4842,4595,5119,5534,5753,2957,5705,3896,5476,4261,5540,5542,6380,4823,3441,3742,5129,6125
"COG0003",137,171,326,133,391,244,8,660,212,1211,108,280,566,266,167,215,361,200,178,159,168,130,278,403,572,195,309,185,331,677,243,276,410,273,216,162,407,193,30,153,454,345,203,204,25,280,253,1281,337,528,318,100,328,179,84,332,1299,368,166,264
"COG0004",15552,16686,10868,11140,11938,15221,10689,17915,11475,10042,10766,17886,7771,13423,17436,15339,10678,17461,23387,16308,12493,12695,8985,10769,13985,16177,16917,15694,9046,7685,18569,16203,18265,21800,23678,14121,15910,12869,14330,10604,14883,12228,16218,11760,9447,12263,18565,8299,15325,14708,16349,22134,13353,17890,15867,16703,11305,21402,17578,14662
"COG0005",5530,4671,4321,6052,3430,4690,3864,4714,5872,5413,4519,4389,2197,4501,5040,4522,5624,4034,3553,4833,4700,6825,3486,3833,4232,4136,4673,4549,3804,1999,2998,5326,4681,5450,4556,6120,4853,2718,2578,6110,4520,6349,3994,3036,2501,5674,4075,1984,4801,4191,5194,3457,4926,5287,4413,4277,2675,3443,3951,5163
"COG0006",22939,23190,17873,30131,25626,23953,25930,23162,31477,18569,18119,23312,8423,22832,22633,20676,26600,26160,21269,23981,20885,26087,19318,13984,20785,25824,20911,21012,20348,8844,20502,28868,25148,23407,22869,30815,21571,20988,21606,30963,20787,26369,23466,23861,20588,27286,24754,9544,18786,23719,15233,21238,25484,22136,19001,24270,11565,20785,23334,16475
"COG0007",1754,1506,3715,3530,2249,423,1647,1251,3422,3558,3881,1708,3409,681,1854,3004,3719,1102,1688,1515,3203,3202,3617,2994,1865,1022,2280,2691,4000,1941,1581,3452,1393,1608,1737,4068,1484,2404,1734,3375,1795,3641,1164,2441,1430,3168,1443,4682,2094,1564,3681,1604,2910,2003,1570,1367,6613,3191,1524,2906
"COG0008",4866,5001,5032,5515,5151,5519,5155,4990,5358,5493,4468,5057,3382,5059,4679,4789,5170,5363,4620,5038,4769,4983,5075,4230,5080,5354,4361,4969,4388,2204,14764,16212,14396,14390,14919,16746,14402,16678,15303,16396,14936,14781,15524,16173,14713,15935,14346,11398,12667,15110,13584,15097,15012,13670,14555,15392,12869,13337,16042,12628
"COG0009",6013,6103,4189,5370,5856,6562,8138,5877,5879,5784,4538,6034,2877,6510,6203,5515,5278,6135,4491,5886,5396,4278,4043,4205,5571,6671,5276,5467,4135,2454,6114,5955,6005,6026,5069,5850,6004,5902,6512,5592,5695,4448,6002,5893,6272,5464,6224,2848,5291,5597,5631,4728,4996,5887,6212,6039,3615,4332,5688,5122
"COG0010",7503,8912,5476,9271,11304,7767,6855,8638,10269,9663,6451,8808,1924,7666,8544,9109,8195,9055,7221,8402,8866,7786,5899,6112,8083,9241,9676,8926,5682,3685,8082,9650,9257,8076,9204,10268,8613,7564,8472,10009,8138,7766,8319,11038,9490,8804,9551,1894,8737,9347,7627,7280,9655,9553,6729,9111,3888,8075,9358,9152
