"","X96_SUR_0d2.3","X122_MES_0d2.3","X41_DCM_0d2.1d6","X133_SUR_0d2.3","X128_SUR_0d2.3","X70_MES_0d2.0d45","X148_MES_0d2.3","X68_DCM_0d2.0d45","X39_DCM_0d2.1d6","X52_SUR_0d2.1d6","X93_SUR_0d2.3","X125_SUR_0d2.3","X109_DCM_0d2.3","X124_DCM_0d2.3","X128_DCM_0d2.3","X110_DCM_0d2.3","X76_DCM_0d2.0d45","X32_DCM_0.0d2","X123_SUR_0d2.0d45","X39_OMZ_0d1.0d2","X66_SUR_0d2.3","X137_SUR_0d2.3","X30_SUR_0d2.1d6","X98_MES_0d2.3","X85_MES_0d2.3","X109_SUR_0d2.3","X4_SUR_0d2.1d6","X110_MES_0d2.3","X82_SUR_0d2.3","X18_DCM_0d2.1d6","X85_DCM_0d2.3","X102_DCM_0d2.3","X145_SUR_0d2.3","X70_MES_0d2.3","X31_SUR_0d2.1d6","X78_SUR_0d45.0d8","X151_SUR_0d2.3","X25_SUR_0d2.1d6","X25_DCM_0.0d2","X56_SUR_0d2.3","X124_DCM_0d1.0d2","X70_SUR_0d2.3","X78_MES_0d45.0d8","X99_SUR_0d2.3","X25_SUR_0.0d2","X68_MES_0d45.0d8","X7_SUR_0d2.1d6","X125_SUR_0d2.0d45","X76_SUR_0d2.0d45","X76_DCM_0d2.3","X137_DCM_0d2.3","X123_DCM_0d45.0d8","X146_SUR_0d2.3","X34_DCM_0d2.1d6","X152_SUR_0d2.3","X142_DCM_0d2.3","X150_DCM_0d2.3","X36_DCM_0d2.1d6","X68_DCM_0d2.3","X70_MES_0d45.0d8"
"COG0001",6865,10697,5706,7085,8283,12910,12499,8372,5576,8906,6604,7176,7574,10936,7864,6991,8806,3668,6605,4225,7231,7233,6416,13467,10771,7629,6717,9357,8950,7262,9866,6674,7659,8491,8149,8203,6643,6092,2670,6949,3573,7828,6701,8036,2053,11129,6531,12633,5932,7906,8209,4412,7827,11513,7957,6411,6352,6429,7764,8567
"COG0002",6630,5440,4143,5915,4526,5063,4882,4273,4674,5572,5743,4761,4550,5174,4250,3887,6061,3590,4659,2025,5484,4814,7064,5743,4984,4897,6291,5429,4764,5996,6705,4708,5121,4405,5997,5745,4870,6428,2754,6302,2662,4400,3747,6217,3321,4641,4260,7359,6923,4218,4900,3056,5371,5296,4927,4932,4927,5646,5784,4145
"COG0003",49,274,417,232,502,1248,285,209,271,151,32,258,297,286,495,541,279,272,227,392,226,268,2,161,145,310,145,290,205,208,62,208,352,181,276,244,678,33,226,212,687,756,218,85,72,282,73,128,78,527,320,105,270,329,152,277,490,268,241,474
"COG0004",15355,12316,15957,18539,14394,9992,10963,23838,16949,18515,14286,15850,18090,14983,14787,14456,21884,14247,15175,10791,16437,18713,18194,10937,9772,17985,17851,16055,11981,16538,9583,15535,18133,9774,18383,13869,18016,17073,12034,18214,7658,15051,7286,15665,5546,9223,22287,16126,19101,12725,16518,9800,17318,12373,17572,15571,17137,18552,15299,9384
"COG0005",3987,5751,4928,3086,4611,5519,5339,4590,4628,5109,2562,5004,4371,5114,4465,4057,5236,536,4629,3923,4051,4725,3693,6236,5539,4227,3677,5384,3020,4137,1435,1332,1372,1187,1855,1690,1538,1151,665,1831,667,1536,923,1440,622,1815,1119,1779,1556,1421,2193,139,1677,1736,1387,1688,1426,1345,1508,1136
"COG0006",21265,26623,24574,20345,21244,18760,26327,23017,21118,18558,21479,23726,23522,22351,20780,23670,22983,11994,24084,13911,25472,23329,20727,31214,29333,23024,20602,28974,23687,19308,26925,23714,25162,20326,20627,16111,22604,21165,9022,20791,8952,20648,21071,19353,11064,31506,21336,25474,23780,16193,30978,13255,25267,26570,23343,22294,21611,24619,20498,21347
"COG0007",1272,3090,1277,1641,1549,3605,2521,1811,2326,2700,1788,1231,1656,2108,1720,1498,1668,5665,435,3093,1046,1455,825,3117,3460,1509,1714,3544,2359,2120,783,455,589,1726,916,1018,428,578,1431,748,660,620,1453,542,1143,1052,498,789,338,896,1766,1852,517,778,528,489,687,467,1092,1445
"COG0008",14435,15887,14385,14973,15305,16868,15859,14890,12908,13960,15521,14540,14980,16014,14801,15151,14256,13592,16444,12750,15966,15316,12661,16789,16383,15851,14292,15978,15959,14293,15032,14414,15962,14494,12808,13490,14712,14373,10137,13565,6354,14085,12888,14670,9407,16038,15068,16282,13156,13064,14617,10596,16097,16037,16118,15431,14479,14308,14210,13566
"COG0009",6319,5579,5513,6101,6133,5961,5297,5020,5280,5950,6550,6257,6098,5523,5806,5410,6008,3766,6636,4253,6580,5732,7858,5568,5317,6005,6013,6016,5950,5762,7524,5742,5695,4441,5177,5043,5822,6530,2377,5880,2479,5261,3864,6167,2167,4957,4780,6506,6044,4515,4879,3581,6212,5491,5760,6067,5503,6114,5470,4425
"COG0010",6158,8926,9594,8093,8236,9569,9844,9045,9898,7509,8505,9525,8646,7976,8134,9410,8094,7827,7619,6117,9205,8667,6062,10001,8586,8357,7659,9537,11180,6677,6863,8849,9238,8452,10583,9604,8644,8110,2103,9533,3651,8291,5315,6907,4787,9015,7337,10795,6677,5891,9413,2005,8896,9145,9235,8144,8589,9552,9152,6618
"COG0011",38,170,129,70,443,25,72,15,256,860,128,287,357,142,394,117,34,3,1,52,44,395,17,52,106,317,55,145,29,59,20,145,156,30,206,164,39,173,6,227,192,381,46,302,3,101,45,32,22,176,274,33,44,95,91,127,72,127,344,61
"COG0012",9345,10786,8569,8770,9204,11738,10685,10387,7934,9354,7958,9638,8927,9865,8753,8815,11031,4252,10036,7846,9842,9659,8993,11841,8751,9140,8670,10117,7506,9046,8514,8672,9821,7531,9338,9146,9452,8515,3012,10209,3296,9146,5114,9628,2549,8636,9336,12023,10567,7300,7471,3372,9942,9604,9514,9549,8782,8638,8971,6928
"COG0013",20054,17613,19956,19062,20176,17241,18785,20926,18332,20374,17275,19947,20283,18981,19039,20747,21934,9349,21593,13935,20685,21381,18742,18243,14806,20011,19568,18482,16080,21405,15655,20168,19595,12412,20168,19914,20586,18221,7102,22009,7303,19243,10039,21810,6258,15381,19874,20862,22462,16085,15869,7861,20149,19444,20385,20153,20225,18363,20603,12187
"COG0014",9867,5201,6566,8308,6862,4903,5086,6272,7358,8214,8085,8203,7217,6836,6865,6179,8542,4861,8279,2711,7862,8200,6500,4723,4648,7445,9042,6036,5052,8326,5541,7358,6910,4412,8433,7454,8110,9349,4205,8901,3351,6808,4134,9231,3387,4851,7748,6709,10473,6031,5815,4562,7371,6093,6923,7507,7696,8737,7545,4712
"COG0015",12066,9024,10449,10445,11084,7115,10601,11029,9604,11989,9602,11193,10944,10834,10370,10221,11619,5522,12315,5609,11059,11492,11132,9058,8441,11008,10964,9673,8368,11289,9480,10574,10510,6454,10623,10579,10603,9705,4470,11371,4056,10062,5890,11674,4931,9444,10269,12250,12092,9166,8674,3500,10528,10758,10594,10915,10191,9854,9986,6278
"COG0016",8544,7622,7690,7658,8250,7507,8316,8359,7131,7912,7815,8538,7997,8499,7816,8097,9442,3941,8872,7682,8913,8809,7148,8020,6658,8330,7912,7813,6976,7998,7741,7795,8753,5293,7879,7520,8751,7729,2947,8861,3054,8390,4164,8762,2448,6719,8476,9873,8589,6615,6575,2703,9224,8412,8487,8668,7898,8193,7766,4928
"COG0017",1359,6439,5331,2200,4188,9451,7245,5142,2269,1768,2532,3151,2752,5170,3777,4967,3848,89,3283,6300,4166,2927,2050,7234,5192,2668,1677,5488,3697,2541,3001,3159,5582,4871,1755,2334,3972,1189,1412,1990,1101,5036,3330,1967,830,4863,2241,7347,1631,4199,3507,3570,4944,6217,4321,4481,3257,2062,3353,4301
"COG0018",14081,11174,12915,13398,14335,10430,12130,11749,12410,15058,13039,13920,13196,12801,13357,13106,12920,5156,15393,10453,14595,14064,13214,11196,10502,13460,13713,12291,11339,13994,12193,12999,13322,7987,12861,13027,13540,12265,4654,15009,4749,12061,6496,14642,4564,10470,11735,14958,16832,10317,10279,4543,13299,13065,13851,13657,13010,12911,13296,7950
"COG0019",14250,9550,11124,13512,11026,7591,9316,9999,10280,11865,14490,12835,11125,10246,11100,10323,13207,5902,14082,8629,13003,12395,14755,9220,7730,11608,13652,10078,9884,12385,10828,11600,11090,8374,10969,10211,12657,15105,7619,13144,5703,10322,8274,13993,5952,8816,11970,11979,16241,9520,10546,6863,12363,10350,11542,12319,12011,13535,11378,8814
"COG0020",5357,5186,5232,5054,5979,4738,5407,4669,4566,5683,4460,6111,5551,4946,5596,5389,5115,2640,7162,4006,5829,5683,5435,5286,4653,5632,5017,5157,4319,5489,5309,5425,5220,3724,4533,4743,5510,4902,2021,5311,2281,5140,3074,5519,1623,4784,4328,5991,6259,4521,4398,2288,5413,5601,5330,5707,5143,4736,5015,3684
"COG0021",15198,10837,12574,13587,13042,9079,11140,16914,12848,15400,11150,14688,14001,12587,12687,12213,16097,7504,15429,10879,13368,14568,16759,11091,11155,13740,13864,12437,8205,14465,9144,13127,11989,9342,14070,12074,12919,13640,5368,14708,5187,12263,7997,14449,4862,11691,13619,13150,16560,12665,14629,8756,12983,11831,12049,13158,12984,13704,12822,8900
"COG0022",7288,8610,12011,8502,12163,6146,11214,12031,8993,8898,7661,11306,10596,10768,11341,12657,10277,3360,12669,7439,9875,11079,10283,8624,8805,10430,7775,8901,13244,9464,9920,10842,9586,4731,9679,11064,12555,6164,4294,8846,5828,10302,5633,8584,5976,10264,9294,8550,6759,10803,8026,2862,10320,11678,11135,12222,10235,7412,8709,5789
"COG0023",131,324,243,187,201,441,326,217,202,271,162,146,164,207,204,260,166,305,100,424,180,171,142,333,247,198,207,271,251,273,740,580,840,1093,817,1195,720,316,308,721,281,999,727,625,129,769,338,713,446,812,546,828,657,819,657,659,786,299,1154,848
"COG0024",6525,5822,6186,6120,6451,6849,6388,7067,5469,6348,4802,6591,5959,6333,6196,6457,6723,3036,6619,8721,6056,6448,6970,5746,5283,6148,5933,5919,4943,6236,5198,5890,6643,4557,6081,5953,6521,5566,3706,6100,2673,6533,3564,6608,2743,4974,6855,7061,6252,5668,5200,3260,6532,6104,6468,6465,6330,5734,6436,4514
"COG0025",1352,3754,2397,1873,2673,3162,2033,1472,2834,3713,2957,1797,2078,1510,2497,2188,1243,1780,1161,3360,1015,2105,1170,2051,2707,2083,2116,2181,1775,2260,2440,1713,1796,4275,3901,4763,1995,1492,5059,2686,2702,2899,4801,2101,3329,2415,1709,1236,1498,3615,3268,6266,1830,1664,1754,2430,2270,1337,3692,4661
"COG0026",6658,3514,4480,6190,5456,4376,3067,4598,5646,6164,6961,5238,5241,4615,5249,4627,6036,4186,5551,1284,5730,5971,7241,2773,2706,5531,6450,4089,5032,5722,5202,4967,4852,3206,7210,7527,5736,6860,2690,7498,2820,5051,2927,7373,2400,2278,5730,4894,7295,4290,1628,3225,5052,3478,5678,5389,5392,5991,5773,2979
"COG0027",1270,778,711,1854,1854,396,381,330,1750,3183,1188,1174,1633,828,1677,940,866,524,184,254,647,1947,512,231,167,1726,2060,566,1296,2174,1595,1311,854,832,3148,4272,1233,1334,783,2657,1550,2018,581,2077,122,292,1012,326,1153,1616,317,1457,720,663,1342,1456,1322,1118,2816,716
"COG0028",32418,32996,26591,29433,23968,19998,36857,34143,27635,25237,23308,28448,28209,35431,24554,25839,39857,12131,26084,17054,28442,28773,26332,43184,36887,27782,30616,30314,22371,28861,19516,27821,29931,26562,28619,26121,29496,30836,14333,26498,11881,27877,26330,30033,18961,40910,32599,35210,28108,28445,30336,12217,30743,35935,29429,25789,27492,28148,26137,25548
"COG0029",4341,2029,2345,4279,3510,3279,1496,2730,4199,5088,2697,3164,3075,2405,3453,3369,1991,6114,1275,1536,2714,3151,3569,1166,2719,3175,4502,2626,2817,5486,4388,2966,3445,3231,5788,6373,3849,3364,3611,4760,2107,4678,3131,4806,2504,1953,3052,1028,3462,3857,3023,4085,2245,1744,3495,3215,4067,3027,5127,2729
"COG0030",6469,5515,5443,5457,6403,5370,5871,4315,4717,6011,5320,6054,5443,5197,5724,5384,5124,2955,6663,3089,6441,5553,6198,5909,4999,5718,5865,5561,4889,6135,4617,5523,5643,3980,5467,6129,5897,5650,1995,5998,2370,5532,3338,6421,2035,5253,4113,6789,7017,4543,5190,2473,5914,6002,5825,6079,5301,5391,5891,3979
"COG0031",10308,10710,9833,9313,9919,9928,10276,9614,9680,12150,8564,9386,10023,10298,9484,9230,10323,3364,8609,6371,8746,10277,10012,10796,9564,9666,9814,10210,7764,10826,7748,9307,9070,8031,11911,12466,8822,8879,7309,10667,7396,9820,7669,10817,6611,9701,9052,10888,8337,9179,10158,5308,10171,10112,10009,9630,9844,7919,11077,7770
