"","X110_DCM_0d2.3","X30_SUR_0d2.1d6","X78_SUR_0d2.0d45","X78_SUR_0d2.3","X18_SUR_0d2.1d6","X41_SUR_0d2.1d6","X68_SUR_0d45.0d8","X152_SUR_0d2.3","X110_MES_0d2.3","X67_SUR_0d2.3","X146_MES_0d2.3","X65_SUR_0d2.3","X9_SUR_0d2.1d6","X25_SUR_0.0d2","X76_SUR_0d2.3","X112_DCM_0d2.3","X72_SUR_0d2.3","X76_DCM_0d2.0d45","X78_DCM_0d45.0d8","X122_DCM_0d2.3","X78_DCM_0d2.0d45","X137_DCM_0d2.3","X48_SUR_0d2.1d6","X23_SUR_0d2.1d6","X25_DCM_0.0d2","X78_DCM_0d2.3","X31_SUR_0d2.1d6","X78_SUR_0d45.0d8","X38_OMZ_0d2.1d6","X18_SUR_0.0d2","X31_SUR_0.0d2","X124_SUR_0d2.0d45","X45_SUR_0d2.1d6","X125_SUR_0d45.0d8","X67_SUR_0d2.0d45","X125_DCM_0d45.0d8","X102_SUR_0d2.3","X42_SUR_0d2.1d6","X109_MES_0d2.3","X125_DCM_0d2.0d45","X100_MES_0d2.3","X76_DCM_0d2.3","X98_DCM_0d2.3","X72_MES_0.0d2","X98_MES_0d2.3","X137_MES_0d2.3","X148_SUR_0d2.3","X76_SUR_0d45.0d8","X70_MES_0d45.0d8","X70_MES_0d2.3","X58_DCM_0d2.3","X122_MES_0d2.0d45","X100_SUR_0d2.3","X122_MES_0d2.3","X150_SUR_0d2.3","X122_MES_0d45.0d8","X142_MES_0d2.3","X123_DCM_0d45.0d8","X99_SUR_0d2.3","X78_MES_0d2.3"
"COG0001",5,5,7,6,9,3,5,10,6,5,9,7,6,4,9,10,1,8,12,5,14,8,9,3,4,15,10,4,9,2,5,14,5,14,1,11,11,7,7,9,8,7,2,3,12,16,1,8,9,8,10,9,8,13,5,8,9,3,6,9
"COG0002",3,8,7,5,7,9,2,6,7,3,4,4,6,3,6,5,4,6,7,9,4,3,6,6,3,8,5,6,3,1,1,7,3,6,3,6,6,8,10,4,2,2,5,5,6,1,4,7,1,6,3,4,3,5,4,9,9,4,12,4
"COG0003",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"COG0004",14,25,17,14,11,22,9,21,22,13,12,22,16,9,19,17,12,13,11,16,18,13,17,35,13,13,14,17,25,7,10,11,18,10,21,12,12,17,16,16,16,16,16,8,11,4,20,13,9,8,22,19,13,10,25,20,16,7,6,8
"COG0005",5,5,2,4,2,8,5,5,11,2,11,3,7,2,4,3,4,2,4,2,7,10,7,8,4,4,2,3,6,2,2,2,6,3,3,6,1,4,4,6,5,5,6,1,3,6,4,4,5,5,5,1,3,5,6,1,2,0,6,8
"COG0006",17,21,33,20,23,23,18,32,43,19,35,22,15,15,20,24,20,18,20,22,28,31,20,16,3,20,17,14,26,11,3,25,26,16,32,23,31,18,29,23,29,22,17,17,30,33,16,17,26,23,18,24,26,20,32,20,28,13,24,38
"COG0007",2,0,0,3,4,2,3,1,3,2,4,0,3,4,2,0,7,0,0,4,2,5,3,2,5,2,4,0,4,7,6,1,4,3,0,1,0,0,3,0,4,3,0,3,3,6,0,1,4,9,1,1,2,3,1,5,2,6,1,2
"COG0008",12,19,12,11,15,16,10,20,16,11,15,19,27,6,11,13,7,16,17,7,17,19,9,8,14,11,8,13,15,12,11,20,14,18,15,14,18,11,19,19,20,9,12,6,13,14,17,17,14,13,7,19,14,19,21,18,11,9,10,20
"COG0009",9,4,9,7,3,7,5,2,6,5,5,2,2,2,6,1,7,6,4,8,8,7,10,8,0,3,2,5,4,2,3,5,8,4,10,7,6,6,5,8,8,8,9,2,9,7,6,6,4,4,3,6,5,7,11,9,5,5,2,3
"COG0010",8,6,8,10,8,11,8,4,8,8,6,13,8,6,6,6,7,8,6,9,8,12,9,6,4,10,12,5,7,4,3,10,9,3,10,10,7,11,9,5,9,4,4,1,10,5,5,7,7,6,10,13,7,9,6,5,5,0,6,13
