"","X68_MES_0d45.0d8","X25_SUR_0d2.1d6","X70_SUR_0d2.0d45","X18_DCM_0d2.1d6","X7_DCM_0d2.1d6","X109_DCM_0d2.3","X39_DCM_0d2.1d6","X78_SUR_0d2.0d45","X122_SUR_0d45.0d8","X72_MES_0d2.3","X58_DCM_0d2.3","X122_DCM_0d1.0d2","X36_SUR_0d2.1d6","X68_DCM_0d2.0d45","X142_SUR_0d2.3","X152_SUR_0d2.3","X122_SUR_0d2.3","X125_DCM_0d45.0d8","X140_SUR_0d2.3","X18_SUR_0d2.1d6","X109_SUR_0d2.3","X64_DCM_0d2.3","X150_SUR_0d2.3","X150_DCM_0d2.3","X82_DCM_0d2.3","X132_DCM_0d2.3","X109_MES_0d2.3","X82_SUR_0d2.3","X78_DCM_0d2.3","X45_SUR_0d2.1d6","X138_DCM_0d2.3","X32_SUR_0d2.1d6","X67_SUR_0d45.0d8","X132_MES_0d2.3","X39_OMZ_0d1.0d2","X123_DCM_0d2.0d45","X138_MES_0d2.3","X96_SUR_0d2.3","X78_DCM_0d2.0d45","X152_MES_0d2.3","X133_MES_0d2.3","X110_DCM_0d2.3","X9_DCM_0d2.1d6","X67_SUR_0d2.3","X25_DCM_0d2.1d6","X68_MES_0d2.3","X98_MES_0d2.3","X123_DCM_0d2.3","X41_DCM_0.0d2","X66_DCM_0d2.3","X34_SUR_0d1.0d2","X123_SUR_0d45.0d8","X133_DCM_0d2.3","X76_DCM_0d2.3","X112_DCM_0d2.3","X41_SUR_0d2.1d6","X102_DCM_0d2.3","X137_MES_0d2.3","X36_DCM_0d2.1d6","X93_SUR_0d2.3"
"COG0001",9,4,9,4,8,7,4,6,9,5,5,5,7,9,7,6,5,8,7,3,10,5,8,3,9,6,11,5,3,7,6,13,3,11,6,15,11,7,4,10,12,11,6,10,5,6,16,12,1,11,4,6,4,9,9,3,6,13,8,8
"COG0002",2,6,6,7,4,4,8,6,8,5,7,4,7,5,3,5,7,2,4,9,5,6,4,3,3,1,3,6,8,4,4,6,6,1,2,10,4,4,11,4,6,3,5,4,7,4,2,4,0,7,0,4,10,7,5,2,8,3,9,7
"COG0003",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"COG0004",9,14,14,14,17,20,15,21,16,9,17,6,12,22,12,13,12,18,14,9,15,19,21,20,13,17,14,14,21,16,11,12,15,12,15,8,11,20,12,8,11,10,22,15,20,6,15,19,10,22,6,11,14,15,13,15,16,5,18,18
"COG0005",4,3,0,6,3,9,3,6,3,1,6,2,5,5,3,4,7,3,7,3,4,7,6,3,1,3,8,4,4,0,6,3,5,6,4,6,10,3,6,7,7,5,3,3,4,5,6,5,0,8,0,2,2,3,5,7,9,2,3,3
"COG0006",22,12,12,11,9,17,8,10,9,14,8,9,11,13,19,7,9,10,8,13,9,10,16,8,13,12,15,9,11,12,27,22,19,41,10,20,28,15,18,29,27,24,22,19,25,30,23,20,1,17,10,19,17,19,22,31,34,20,23,23
"COG0007",8,4,0,1,3,2,2,0,0,3,1,3,1,0,1,2,2,4,2,3,3,2,1,1,1,2,4,1,1,3,0,2,3,2,6,3,0,1,0,5,2,2,2,5,4,3,6,3,4,0,0,2,0,3,5,2,2,5,0,0
"COG0008",14,17,9,20,16,25,12,16,7,12,20,9,19,23,10,21,14,17,5,10,17,13,12,20,11,13,12,15,16,14,15,21,12,10,15,17,12,12,14,17,15,23,19,10,10,21,10,15,10,13,8,21,15,18,17,14,14,16,13,21
"COG0009",6,5,9,6,4,6,5,6,9,5,3,6,8,0,5,7,3,4,7,4,6,5,9,9,6,6,7,2,3,6,3,4,7,2,3,9,5,6,6,5,2,3,11,5,9,9,6,4,3,6,1,8,8,6,5,10,5,7,8,5
"COG0010",8,8,2,5,2,5,7,5,9,6,13,2,10,11,9,10,10,14,9,9,6,12,7,10,9,15,8,11,12,14,16,8,7,9,9,7,12,6,7,10,7,13,10,8,9,11,9,8,0,8,8,6,9,4,7,9,8,12,9,12
