"","X109_DCM_0d2.3","X112_DCM_0d2.3","X18_SUR_0d2.1d6","X68_DCM_0d2.0d45","X140_SUR_0d2.3","X78_SUR_0d2.0d45","X70_MES_0.0d2","X152_DCM_0d2.3","X78_SUR_0d2.3","X76_SUR_0d2.3","X148_SUR_0d2.3","X96_SUR_0d2.3","X7_DCM_0d2.1d6","X110_MES_0d2.3","X122_SUR_0d1.0d2","X133_DCM_0d2.3","X133_MES_0d2.3","X149_SUR_0d2.3","X76_SUR_0.0d2","X151_SUR_0d2.3","X25_SUR_0.0d2","X122_SUR_0d45.0d8","X31_SUR_0d2.1d6","X152_SUR_0d2.3","X39_OMZ_0d2.1d6","X72_DCM_0d2.3","X84_SUR_0d2.3","X138_DCM_0d2.3","X125_SUR_0d2.0d45","X137_DCM_0d2.3","X48_SUR_0d2.1d6","X124_SUR_0d2.0d45","X122_DCM_0d2.0d45","X100_MES_0d2.3","X70_SUR_0d2.3","X149_MES_0d2.3","X34_SUR_0d1.0d2","X23_SUR_0d2.1d6","X68_DCM_0d2.3","X111_MES_0d2.3","X125_SUR_0d45.0d8","X68_MES_0d45.0d8","X123_DCM_0d2.0d45","X64_SUR_0d2.3","X137_MES_0d2.3","X98_MES_0d2.3","X30_SUR_0d2.1d6","X34_DCM_0d2.1d6","X76_DCM_0d45.0d8","X41_DCM_0d2.1d6","X132_MES_0d2.3","X151_DCM_0d2.3","X68_SUR_0d2.3","X99_SUR_0d2.3","X38_SUR_0d2.1d6","X56_SUR_0d2.3","X124_SUR_0d2.3","X100_SUR_0d2.3","X32_SUR_0d2.1d6","X109_SUR_0d2.3"
"COG0001",8,11,8,13,2,8,1,6,7,10,7,8,2,3,4,5,13,9,4,7,4,12,6,6,10,5,10,4,17,6,7,6,5,11,8,11,2,7,4,17,7,6,14,6,9,12,6,16,10,3,9,5,6,12,5,8,6,3,10,10
"COG0002",3,4,8,5,10,5,4,5,9,6,8,7,3,3,1,4,7,5,4,4,4,7,7,5,4,7,2,6,10,3,6,6,6,5,6,0,0,3,6,2,3,4,3,7,4,8,9,3,8,4,3,5,6,3,5,7,5,1,3,0
"COG0003",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"COG0004",18,10,14,21,13,20,12,25,13,12,25,16,23,14,3,13,12,19,8,24,8,12,12,21,20,13,7,21,14,16,16,16,17,21,10,17,8,25,14,13,6,4,10,15,11,11,16,14,15,25,14,18,20,7,11,8,16,12,18,13
"COG0005",7,2,6,4,5,3,0,8,4,4,5,3,1,4,1,2,6,5,3,12,1,5,3,5,5,6,0,8,5,8,6,2,1,4,4,4,0,12,5,4,4,4,5,3,7,5,5,6,2,5,4,2,3,4,4,6,6,3,11,0
"COG0006",12,25,13,29,21,18,10,24,26,16,25,21,19,22,2,17,38,30,8,25,12,23,20,28,27,35,19,16,29,26,15,19,13,21,19,25,5,24,17,35,15,41,22,19,38,27,19,22,27,21,33,23,24,17,12,17,18,14,27,17
"COG0007",4,1,2,0,1,1,5,1,0,0,3,0,4,2,3,1,4,1,3,3,2,2,1,1,4,1,2,2,1,7,5,0,0,0,4,3,1,3,2,5,2,4,3,0,8,3,0,3,2,0,7,1,2,0,1,2,3,1,2,4
"COG0008",3,5,7,6,4,3,1,2,4,4,6,4,2,6,3,3,5,6,6,1,3,6,6,10,5,2,2,10,2,7,11,21,14,10,16,10,7,19,9,14,12,17,13,13,15,11,8,20,21,11,15,11,14,18,18,10,9,11,12,14
"COG0009",13,2,11,6,14,9,2,2,4,7,10,8,3,5,4,5,3,4,4,5,3,6,4,4,5,2,4,10,6,4,2,3,3,1,0,3,0,2,0,3,2,3,1,3,0,0,4,2,2,1,2,2,2,0,3,3,2,5,1,1
"COG0010",8,6,8,8,10,12,1,12,8,10,15,4,10,5,0,8,10,8,2,12,7,9,11,10,7,7,9,10,11,7,7,6,9,8,7,11,2,7,12,9,9,10,8,7,10,8,6,11,3,15,6,10,9,7,7,9,6,11,5,4
"COG0011",2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"COG0012",8,6,6,9,9,13,3,4,10,10,10,9,13,12,3,8,16,6,3,12,2,4,15,15,9,12,7,8,10,5,14,16,13,6,7,14,3,12,7,10,4,10,7,9,9,9,8,11,10,18,8,12,11,7,7,5,13,6,10,13
"COG0013",25,16,19,24,16,29,14,28,25,11,21,14,17,21,5,18,24,17,7,28,3,19,17,25,20,17,18,34,22,17,22,21,26,20,17,17,6,16,20,21,17,16,20,27,16,17,18,15,22,13,14,25,16,22,25,27,14,17,24,30
"COG0014",2,4,2,0,0,4,0,2,2,2,3,5,5,2,0,0,0,7,2,1,2,3,0,4,0,2,2,2,3,3,7,14,13,4,9,2,0,9,1,3,6,5,7,5,2,7,8,6,11,7,5,4,9,9,7,4,10,7,10,11
"COG0015",11,18,9,9,10,8,4,12,11,13,11,9,5,12,1,7,5,14,4,9,7,9,12,12,6,13,2,9,9,15,11,4,6,9,9,10,3,15,8,12,4,6,12,7,7,10,10,10,10,10,6,13,11,9,9,14,11,14,11,11
"COG0016",8,5,6,7,12,9,6,7,13,10,5,7,9,10,2,5,6,9,5,7,1,10,5,9,6,11,5,7,14,8,11,12,3,8,12,5,1,9,9,7,7,9,14,8,5,9,7,8,10,9,8,5,11,10,10,2,8,3,7,11
"COG0017",1,2,3,14,5,1,0,10,1,2,8,2,2,6,1,2,5,6,2,5,0,1,1,6,3,4,6,4,15,7,1,3,3,2,7,5,2,1,4,5,6,2,7,7,6,12,1,1,0,7,6,1,2,2,3,6,2,6,0,2
"COG0018",16,15,18,6,16,11,5,16,18,19,23,9,5,11,4,14,22,9,8,12,3,14,14,15,10,10,4,9,14,12,18,16,12,15,13,11,3,16,18,9,8,8,9,17,8,9,15,21,17,11,14,14,17,15,16,15,10,13,12,16
"COG0019",13,10,7,8,7,8,10,10,10,9,9,17,9,11,5,11,12,5,9,11,9,11,15,6,5,18,12,7,11,9,6,10,11,13,8,10,4,9,11,6,8,8,10,15,15,11,5,9,5,8,13,8,8,11,11,15,9,11,17,11
"COG0020",2,0,4,1,3,5,1,1,2,1,1,0,2,3,1,1,1,4,2,2,1,0,1,0,2,2,3,1,4,0,6,5,5,9,6,10,2,3,7,5,7,7,4,5,7,10,6,10,3,5,2,3,6,7,5,7,5,6,6,4
