"","X41_DCM_0.0d2","X99_SUR_0d2.3","X122_SUR_0d2.3","X93_SUR_0d2.3","X48_SUR_0d1.0d2","X94_SUR_0d2.3","X138_MES_0d2.3","X23_SUR_0d2.1d6","X124_DCM_0d45.0d8","X124_SUR_0d2.3","X76_SUR_0.0d2","X82_DCM_0d2.3","X93_DCM_0d2.3","X96_SUR_0d2.3","X42_DCM_0d2.1d6","X23_DCM_0d2.1d6","X124_DCM_0d2.3","X98_MES_0d2.3","X152_SUR_0d2.3","X138_SUR_0d2.3","X132_DCM_0d2.3","X133_DCM_0d2.3","X25_SUR_0d2.1d6","X149_MES_0d2.3","X70_SUR_0d2.0d45","X78_SUR_0d45.0d8","X123_DCM_0d2.0d45","X150_SUR_0d2.3","X109_SUR_0d2.3","X109_MES_0d2.3","X138_DCM_0d2.3","X109_DCM_0d2.3","X42_SUR_0d2.1d6","X125_SUR_0d2.0d45","X65_MES_0d2.3","X70_MES_0.0d2","X41_DCM_0d2.1d6","X142_SUR_0d2.3","X76_DCM_0d2.3","X82_SUR_0d2.3","X151_DCM_0d2.3","X124_DCM_0d1.0d2","X142_MES_0d2.3","X39_DCM_0d2.1d6","X70_SUR_0d45.0d8","X137_MES_0d2.3","X122_MES_0d1.0d2","X123_DCM_0d1.0d2","X39_OMZ_0d1.0d2","X122_DCM_0d45.0d8","X37_OMZ_0d2.1d6","X70_MES_0d2.0d45","X31_SUR_0d2.1d6","X36_SUR_0d2.1d6","X141_SUR_0d2.3","X64_SUR_0d2.3","X149_SUR_0d2.3","X18_DCM_0d2.1d6","X38_OMZ_0d2.1d6","X72_DCM_0d2.3"
"COG0001",1,9,6,7,3,8,9,4,14,11,2,7,5,4,7,9,14,17,11,10,7,10,2,8,8,9,14,2,7,9,6,6,5,11,16,4,7,11,10,5,6,3,14,7,10,10,2,4,2,11,7,22,7,6,1,7,8,2,5,10
"COG0002",1,0,2,1,0,0,0,1,3,0,3,2,1,4,2,4,3,2,0,1,2,2,1,4,5,2,1,2,2,3,5,5,6,10,5,2,5,4,3,7,9,2,6,5,4,7,1,3,2,5,4,6,6,8,7,7,7,9,9,2
"COG0003",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,2,0,0,1,0,0
"COG0004",9,16,14,16,3,24,10,28,15,14,13,12,16,20,15,22,13,13,18,11,15,21,13,11,21,19,11,12,16,19,18,13,19,17,12,11,19,15,15,12,11,10,11,15,15,11,13,12,17,14,16,10,23,23,11,18,23,18,15,12
"COG0005",3,2,8,3,3,5,11,3,7,2,2,9,6,4,3,4,7,5,6,2,7,5,4,6,1,3,8,9,5,2,1,3,0,2,2,0,5,1,2,0,2,1,0,4,0,2,0,0,2,0,1,2,5,3,0,3,3,1,3,1
"COG0006",4,15,4,24,8,19,32,25,31,21,11,26,18,18,23,28,23,24,21,30,23,21,19,19,27,16,14,20,16,29,29,26,18,29,29,12,28,11,7,18,23,6,24,23,21,35,9,5,9,15,32,19,20,25,25,25,31,19,35,24
"COG0007",6,2,1,1,1,1,9,1,6,1,8,1,2,0,3,2,4,2,0,2,2,0,0,2,0,7,2,1,1,5,1,2,2,2,5,8,0,2,4,1,2,1,3,3,1,7,5,1,4,7,2,2,0,1,0,3,3,3,7,2
"COG0008",4,22,20,12,7,14,18,10,14,12,4,13,21,10,16,14,15,17,16,20,8,13,15,16,20,19,16,15,16,21,14,17,8,16,13,11,17,19,19,12,10,11,20,11,14,17,11,4,12,18,19,26,11,6,15,17,15,16,11,4
"COG0009",4,2,7,10,0,9,4,2,6,8,5,4,4,3,1,6,8,10,5,12,3,5,5,3,9,6,7,8,5,5,3,7,8,8,7,4,3,3,5,5,7,1,6,7,9,6,3,1,5,3,6,5,3,8,4,5,5,8,7,7
"COG0010",1,2,13,11,1,13,9,4,4,8,3,14,5,7,6,6,9,6,9,10,13,6,7,12,14,9,5,10,4,5,7,7,8,18,9,3,11,8,9,10,7,4,11,10,3,8,2,1,5,7,7,13,8,9,15,4,12,8,7,5
