"","Sample.1.to.30","Sample.31.to.60","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0005",NA,-1.5,25465.7891773298,0.129669419309416,"3","1"
"COG0018",-1.5,NA,68949.3695879998,0.103024448066386,"3","1"
"COG0019",NA,-1.5,63608.9455304754,0.0656238554371882,"3","1"
"COG0051",-1.5,NA,12305.8879139585,0.0706870505988457,"3","1"
"COG0055",-1.5,NA,58245.5141635042,0.123729392761234,"3","1"
"COG0074",-1.5,NA,40528.1377805702,0.122423620717602,"3","1"
"COG0086",NA,-1.5,170216.59975492,0.10347887247917,"3","1"
"COG0119",-1.5,NA,105675.032233573,0.0571618287870641,"3","1"
"COG0127",NA,-1.5,26529.5004792334,0.118045405098324,"3","1"
"COG0129",NA,-1.5,81667.5705170656,0.0494226143093396,"3","1"
"COG0137",-1.5,NA,38751.668244192,0.0754775611742374,"3","1"
"COG0143",NA,-1.5,62962.9064093049,0.0693020649834087,"3","1"
"COG0168",NA,-1.5,65008.6960610368,0.0765452003337173,"3","1"
"COG0172",NA,-1.5,50501.6264782939,0.0876705021131855,"3","1"
"COG0207",-1.5,NA,26039.3305807506,0.4659026479556,"3","2"
"COG0209",-1.5,NA,244133.46197611,0.536630335858989,"3","2"
"COG0215",NA,-1.5,57158.4016918205,0.0961922476934221,"3","1"
"COG0234",-1.5,NA,22831.0328350807,0.468604749648564,"3","2"
"COG0246",-1.5,NA,8663.58265091949,0.199784309917887,"3","1"
"COG0252",-1.5,NA,10387.6985296026,0.293356631666481,"3","1"
"COG0253",NA,-1.5,30387.1772894488,0.131620278148209,"3","1"
"COG0254",NA,-1.5,9207.32966616327,0.0972869392938259,"3","1"
"COG0256",NA,-1.5,13650.6747662295,0.0882506773259219,"3","1"
"COG0260",NA,-1.5,54282.436620711,0.0506601704685026,"3","1"
"COG0265",-1.5,NA,88433.0497332094,0.0355555980107391,"3","1"
"COG0282",NA,-1.5,2964.26859628291,0.91386281880533,"2","2"
"COG0290",-1.5,NA,20080.9585871702,0.0953318593208071,"3","1"
"COG0299",-1.5,NA,26495.3003570407,0.143419269768564,"3","1"
"COG0304",NA,-1.5,67493.862033572,0.0593005145786954,"3","1"
"COG0305",NA,-1.5,157251.755701082,0.819528473752814,"3","2"
"COG0316",-1.5,NA,32972.4041952906,0.105041807631926,"3","1"
"COG0358",-1.5,NA,87575.6620504243,0.194399486130532,"3","1"
"COG0378",NA,-1.5,6797.65109171119,0.363289471414518,"2","2"
"COG0387",NA,-1.5,2327.0297951826,0.566364335950591,"2","2"
"COG0398",NA,-1.5,19457.6079206789,0.0846517883807525,"3","1"
"COG0401",-1.5,NA,238.277452900182,1.92293817118593,"1","3"
"COG0405",-1.5,NA,71571.7627871777,0.0419259823203242,"3","1"
"COG0417",NA,-1.5,117487.666994801,0.979986252473543,"3","2"
"COG0422",NA,-1.5,16491.5097430868,0.164379654365517,"3","1"
"COG0436",NA,-1.5,133943.313781355,0.0624872468991457,"3","1"
"COG0457",NA,-1.5,237879.444864242,0.0483332664177773,"3","1"
"COG0461",-1.5,NA,29631.7692841312,0.165301681815468,"3","1"
"COG0465",-1.5,NA,96253.4925544156,0.152047192483795,"3","1"
"COG0470",NA,-1.5,79025.1572685341,0.392992526936146,"3","2"
"COG0472",NA,-1.5,58694.3951248455,0.0892876764469274,"3","1"
"COG0475",NA,-1.5,26721.5447900106,0.140753338269438,"3","1"
"COG0495",-1.5,NA,103704.569315841,0.099061392807403,"3","1"
"COG0503",-1.5,NA,20721.5465715332,0.0601087171111725,"3","1"
"COG0525",NA,-1.5,100668.433477196,0.0970653313439309,"3","1"
"COG0531",NA,-1.5,34060.4931284722,0.221429600940069,"3","1"
"COG0553",-1.5,NA,81130.8724681153,1.03016497208105,"3","2"
"COG0585",-1.5,NA,6791.08323624765,0.437247005446032,"2","2"
"COG0596",NA,-1.5,203409.954026681,0.0267516192360871,"3","1"
"COG0603",-1.5,NA,14942.9931586638,0.189371885120513,"3","1"
"COG0629",-1.5,NA,23632.1084189195,0.165956458938673,"3","1"
"COG0641",NA,-1.5,2660.30979892379,0.79689271620084,"2","2"
"COG0643",NA,-1.5,11825.0777860382,0.895852076374104,"3","2"
"COG0653",NA,-1.5,101554.568629357,0.0912670844109833,"3","1"
