"","X82_SUR_0d2.3","X112_DCM_0d2.3","X124_DCM_0d1.0d2","X52_DCM_0d2.1d6","X85_MES_0d2.3","X30_DCM_0d2.1d6"
"COG0001",8814,7334,3574,7022,10893,6856
"COG0002",4717,5444,2675,1674,1617,1977
"COG0003",209,261,665,153,156,48
"COG0004",11895,14340,7739,17573,9903,17344
"COG0005",2974,5339,2016,4931,5714,4210
"COG0006",7924,6875,2921,22781,29104,20766
"COG0007",2494,1940,1990,1770,3455,1368
"COG0008",16216,14490,6355,13939,16587,14563
"COG0009",5948,6013,2453,6109,5485,5974
"COG0010",11199,6702,3690,8411,8519,6571
"COG0011",20,300,183,399,103,74
"COG0012",7434,9083,3309,3134,2946,3093
"COG0013",16013,21632,7198,22134,14874,20277
"COG0014",5135,8531,3400,8449,4866,8891
"COG0015",8406,11060,4092,11465,8469,11243
"COG0016",7106,8032,3028,8051,6663,8168
"COG0017",3683,2994,1096,2455,5043,2021
"COG0018",11190,14293,4746,14738,10324,13368
"COG0019",9975,13031,5752,12642,7835,14214
"COG0020",4298,5643,2248,5604,4913,5429
"COG0021",8188,14958,5161,5009,3766,4944
"COG0022",13259,10513,5712,9409,8782,8905
"COG0023",769,666,280,550,739,497
"COG0024",5117,6279,2696,6078,5226,6245
"COG0025",1772,2943,2715,2042,2754,1673
"COG0026",4950,5306,2792,5621,2734,6032
"COG0027",1327,2051,1570,1596,198,1388
"COG0028",22176,28423,11846,27664,36667,31734
"COG0029",2873,3701,2143,3429,2686,4023
"COG0030",4773,5657,2405,5955,4920,5697
"COG0031",7868,10681,7375,10313,9621,10124
"COG0033",328,2391,1411,2117,168,1422
"COG0034",11135,11225,4266,11729,9739,12395
"COG0035",1170,1931,1128,1704,1483,1258
"COG0036",4909,5667,2662,5759,5113,5531
"COG0037",10691,10589,5635,10985,9453,10995
"COG0038",2858,3358,1890,2740,5132,2429
"COG0039",6681,6970,2454,7539,6133,8002
"COG0040",3183,3934,1725,3683,3054,4434
"COG0041",3305,3744,1354,3882,3001,3883
"COG0042",8389,8415,4547,8740,6785,8675
"COG0043",1721,3054,2325,2662,7018,813
"COG0044",13584,13973,4658,13436,14220,14948
"COG0045",8823,9712,3475,10553,9192,11004
"COG0046",16747,17578,6421,18745,15993,19324
"COG0047",9645,7558,3245,7995,7990,9518
"COG0048",3398,3025,1277,946,870,1061
"COG0049",4154,3698,1564,3692,3483,3531
"COG0050",11111,9832,4124,9343,8273,10409
"COG0051",919,752,339,2408,1913,2481
"COG0052",6884,5907,2411,5828,4871,6572
"COG0053",544,913,1161,702,3698,615
"COG0054",3293,3093,1170,2995,2292,3175
"COG0055",12683,11884,4694,12091,7549,13170
"COG0056",15289,13141,5333,13327,8602,14303
"COG0057",11106,10958,6065,3602,2674,3778
"COG0058",298,4309,7726,4605,3090,2623
"COG0059",6504,7246,3463,7472,5937,8585
"COG0060",20382,23084,8338,23125,18690,23340
"COG0061",5831,7381,2967,6820,5769,6678
"COG0062",1057,4285,1960,3506,5717,2280
"COG0063",1447,5738,2122,4846,6385,3222
"COG0064",7167,10401,3651,11208,7258,10498
"COG0065",10544,11616,4559,12629,9265,12136
"COG0066",1592,1714,689,5855,4146,4800
"COG0067",20472,20824,10639,23685,17219,29788
"COG0068",27,60,570,29,40,44
"COG0069",32156,30079,13420,33021,25602,38191
"COG0070",6234,6350,3198,22004,13416,28918
"COG0071",2317,4661,34384,6642,3321,5238
"COG0072",14340,17286,6492,17320,11609,17809
"COG0073",4766,4303,2153,13203,11470,15545
"COG0074",6582,7432,2509,7677,8133,7907
"COG0075",4334,6454,3575,2107,4256,1822
"COG0076",3911,3142,4331,2412,4701,1715
"COG0077",5879,6475,2652,6903,4589,7367
"COG0078",4776,6180,2506,5479,5557,6111
"COG0079",8792,11657,7228,10993,10465,10744
"COG0080",2671,3114,1342,3196,2813,3497
"COG0081",4580,5261,2081,5432,4621,5754
"COG0082",6715,8366,3322,9348,6258,8956
"COG0083",1347,2093,1086,1501,1919,1390
"COG0084",5564,5785,3041,5534,4760,5822
"COG0085",30002,29815,16151,29555,24879,33210
"COG0086",35397,34453,18544,33422,23946,35630
"COG0087",5230,5208,2086,5441,4777,5186
"COG0088",4017,4705,1921,4587,3946,4536
"COG0089",2248,2089,823,2026,1718,1860
"COG0090",6464,6570,2612,6565,5114,6761
"COG0091",2821,2808,1046,2763,2292,2975
"COG0092",5557,5829,2215,5641,4088,5620
"COG0093",2882,2843,1057,2739,2487,3019
"COG0094",4500,4486,1735,4223,3759,4546
"COG0095",81,1419,466,907,1398,672
"COG0096",3265,3446,1331,3236,2534,3128
"COG0097",4501,4222,1806,1387,1155,1448
"COG0098",3876,4139,1612,3930,3396,4314
"COG0099",3225,3104,1258,2973,2855,3176
"COG0100",3195,3014,1291,2956,2666,3115
"COG0101",5505,6053,2307,6198,4074,6163
"COG0102",3273,3494,1530,3601,3039,3717
"COG0103",3649,3007,1336,3178,2479,3114
"COG0104",7820,10539,7805,10599,8186,11051
"COG0105",2740,3488,1148,3442,2630,3336
"COG0106",3320,4106,1735,3786,3371,4782
"COG0107",1543,1848,779,5079,3759,6533
"COG0108",5981,7343,3845,8045,5014,8539
"COG0109",6584,7770,3200,2665,2045,2414
"COG0110",2755,2564,2861,2508,2701,2850
"COG0111",17200,18110,10464,18257,19466,18233
"COG0112",8509,10090,5300,10309,8979,10284
"COG0113",6587,6522,2557,7464,4538,7552
"COG0114",7537,11279,3670,11131,6044,10953
"COG0115",16669,14618,5817,16151,14223,15223
"COG0116",2815,2315,1621,2054,1701,1826
"COG0117",5475,5885,2383,6454,4142,6408
"COG0118",1136,1443,627,4042,2980,5133
"COG0119",16019,19266,10132,20157,17348,22022
"COG0120",2173,1977,1063,2391,2185,1772
"COG0121",230,138,445,107,278,100
"COG0122",2676,3975,1772,4238,4338,4115
"COG0123",6641,5073,3578,6286,5245,7422
"COG0124",9276,10653,3764,10591,8155,10286
"COG0125",2590,4371,1724,4667,3950,3746
"COG0126",7279,9491,3375,9827,7306,9423
"COG0127",4043,5909,2276,5579,3686,5428
"COG0128",8648,10028,3759,9446,7412,10535
"COG0129",14797,14528,6275,15346,12777,16232
"COG0130",4449,4481,1789,4468,4499,4406
"COG0131",3073,4407,1535,3588,3169,4613
"COG0132",385,1285,761,1051,1164,798
"COG0133",6653,8223,2815,8030,6344,9095
"COG0134",4069,5115,2093,5009,4394,5426
"COG0135",3514,3566,1592,3696,2726,4000
"COG0136",7556,7816,3633,8700,6472,8612
"COG0137",6090,7729,3192,7559,5825,8939
"COG0138",11140,12724,6618,12380,8236,12437
"COG0139",1777,3071,1250,2934,2118,3236
"COG0140",1637,2004,836,1678,1170,2034
"COG0141",11331,9986,4272,10925,9150,13054
"COG0142",14013,14791,5480,15412,13315,14638
"COG0143",11275,11880,4762,12082,10660,11973
"COG0144",6537,4814,2121,4602,3909,3875
"COG0145",8603,4334,2691,4327,15406,4579
"COG0146",5473,3566,2360,3289,13881,3707
"COG0147",13027,15216,6327,15664,12222,15721
"COG0148",7751,10556,3928,10349,8113,10143
"COG0149",4455,5149,2075,1731,1324,1673
"COG0150",6462,8725,15873,8588,6285,7749
"COG0151",9060,10117,3439,10071,8651,10374
"COG0152",5093,6334,6609,5950,5671,6125
"COG0153",1996,1626,586,1454,2115,1886
"COG0154",18377,22041,8194,22706,28200,24484
"COG0155",2386,5826,3627,4135,4910,2441
"COG0156",6578,6388,2856,1913,1971,1844
"COG0157",3684,5064,1960,4889,3766,4279
"COG0158",1771,692,688,491,859,483
"COG0159",4553,5422,1953,5051,3949,5417
"COG0160",5724,4909,2551,5033,8937,3380
"COG0161",14377,10927,4988,11979,15775,12022
"COG0162",8031,9155,3442,9264,7226,9464
"COG0163",570,886,851,650,1483,245
"COG0164",4225,5058,2032,5083,3892,5029
"COG0165",7006,8949,3725,8931,7336,10077
"COG0166",8029,9195,3831,9349,7119,9637
"COG0167",9276,8193,3978,8251,7950,8182
"COG0168",11789,13820,5564,13823,8622,12804
"COG0169",5052,6783,3058,6555,5481,7129
"COG0170",109,1431,422,1085,734,712
"COG0171",5313,9130,12602,9091,5905,8380
"COG0172",8308,9730,4009,9858,8040,9933
"COG0173",11425,14043,4553,14080,9609,14235
"COG0174",23209,18016,11354,20832,22711,22808
"COG0175",1824,2439,7937,2153,3157,2358
"COG0176",3872,7442,29080,2293,1062,1725
"COG0177",4534,5266,2746,5715,4467,5999
"COG0178",22892,23968,8722,23530,21541,24607
"COG0179",10398,7259,2831,7151,9784,7565
"COG0180",6999,8805,3426,8697,6734,8784
"COG0181",6775,6967,2772,7625,4804,7828
"COG0182",1156,3202,1820,3351,3963,2906
"COG0183",22272,17294,7299,18180,23691,16761
"COG0184",2085,2125,805,2073,2066,1996
"COG0185",2347,2365,854,2411,1856,2226
"COG0186",1934,1814,889,1848,1724,1773
"COG0187",8467,7711,3893,23983,18342,25070
"COG0188",28837,28482,13456,9652,7333,10073
"COG0189",6313,6309,12995,8616,4896,8724
"COG0190",6281,7118,2718,7192,6427,7587
"COG0191",1197,506,395,1790,2709,3147
"COG0192",8145,9890,4587,9683,7814,10456
"COG0193",4099,4700,1681,4356,3053,4803
"COG0194",3974,4141,2276,4169,2595,4480
"COG0195",10276,11110,4247,10899,7564,13170
"COG0196",1876,2354,876,6780,4833,6869
"COG0197",3379,3431,1378,3287,2665,3423
"COG0198",1594,1851,678,1793,1811,1543
"COG0199",2382,1798,965,629,353,723
"COG0200",952,1054,429,3197,2802,3368
"COG0201",10865,10570,4339,10153,8253,10900
"COG0202",8296,7816,4361,7970,6403,8672
"COG0203",2863,2777,1176,2713,2530,3256
"COG0204",11625,11916,5897,12167,10759,11101
"COG0205",4476,4063,1333,4268,4990,4765
"COG0206",8969,10446,4197,10237,9052,10666
"COG0207",5279,2703,20336,3398,2369,3161
"COG0208",8358,8922,67246,11993,3510,9762
"COG0209",25358,27130,192329,34481,22332,28244
"COG0210",16029,19775,98203,21088,17617,20721
"COG0211",2044,2076,780,1954,1417,2113
"COG0212",3325,3271,1287,3289,2692,3771
"COG0213",1391,1521,360,1492,1841,917
"COG0214",219,1431,417,1318,1764,636
"COG0215",9029,11839,3964,11667,9382,10618
"COG0216",6456,8216,3159,8202,6198,8762
"COG0217",4750,4587,2297,4523,3816,5231
"COG0218",3253,1327,660,1759,1885,2040
"COG0219",2455,2519,1475,2812,2151,2806
"COG0220",3874,2534,1238,2447,1878,2694
"COG0221",640,1930,2918,1628,307,1305
"COG0222",2559,2833,1110,2965,1980,2791
"COG0223",7765,8562,8743,8703,6431,9202
"COG0224",6775,7519,2909,7635,5019,7705
"COG0225",5802,7434,2797,7427,5602,8094
"COG0226",938,3700,6011,1200,233,2930
"COG0227",1987,1899,935,716,317,745
"COG0228",3247,2938,1060,2948,1922,3495
"COG0229",4352,4519,2018,5046,4158,5136
"COG0230",600,296,55,333,161,275
"COG0231",3699,4589,2020,4647,3741,4584
"COG0232",4912,5083,2275,5274,3598,5413
"COG0233",3105,3894,1514,3693,2970,4172
"COG0234",2525,2958,12257,3195,2063,3110
"COG0235",4483,3754,2752,1444,1419,1469
"COG0236",1701,1964,972,1910,1581,1935
"COG0237",3632,4507,1673,4520,3932,4284
"COG0238",1859,1731,626,1562,1314,1718
"COG0239",930,613,297,200,166,158
"COG0240",6644,5406,2012,6287,5402,6028
"COG0241",1597,1900,944,1559,2174,2266
"COG0242",4823,6336,12234,6940,3764,6242
"COG0243",7676,7464,5488,6597,14135,7071
"COG0244",3519,4633,1776,4637,3683,4572
"COG0245",2899,5513,2123,5609,2157,5232
"COG0246",3047,1243,1206,1386,731,1575
"COG0247",11153,9489,3959,8694,18827,9695
"COG0248",3658,4385,3099,4260,2157,9702
"COG0249",11771,10131,5123,8610,9531,7961
"COG0250",4009,4601,1766,4596,3748,4676
"COG0251",5743,4781,2066,4881,8402,4462
"COG0252",2603,1108,1265,970,3328,367
"COG0253",5454,6148,2531,6681,3862,6526
"COG0254",2015,1862,739,1775,1270,2162
"COG0255",464,360,180,100,133,97
"COG0256",2078,2639,1079,2523,2507,2753
"COG0257",92,20,34,42,8,157
"COG0258",17414,18121,42042,21347,12866,20104
"COG0259",1210,1119,420,3693,2519,4097
"COG0260",8792,9732,5183,10340,7520,10531
"COG0261",1299,1047,368,3188,2025,3575
"COG0262",2836,1737,1176,1725,1282,1877
"COG0263",4723,7439,3307,7263,4111,7455
"COG0264",5360,5496,2448,5163,4179,6327
"COG0265",10990,16681,9294,15524,17075,16680
"COG0266",4437,6193,3636,6861,4646,5910
"COG0267",1021,684,384,581,553,605
"COG0268",1355,1747,764,1757,987,1715
"COG0269",79,118,4,3,131,25
"COG0270",3977,3971,66955,4783,1611,3193
"COG0271",1413,1576,588,1644,951,1520
"COG0272",11802,16736,11707,17165,10826,14619
"COG0274",1265,2129,2538,2434,2117,1498
"COG0275",5718,7224,2334,6991,4878,7079
"COG0276",2437,2766,1180,8388,3773,7937
"COG0277",17383,18097,9877,16223,24950,16447
"COG0278",1427,2077,831,2061,2052,1957
"COG0279",1672,2113,3136,2047,2142,2031
"COG0280",12306,9804,3892,3454,2184,4158
"COG0281",11797,8401,4052,8560,6756,9868
"COG0282",217,273,661,71,542,169
"COG0283",4050,5076,2018,5261,3328,5538
"COG0284",4374,5769,2227,5543,4701,5634
"COG0285",2417,3110,1073,8822,6364,8678
"COG0286",1110,1814,4558,450,263,275
"COG0287",1710,2134,899,6754,4816,6897
"COG0288",2103,502,984,488,996,976
"COG0289",4379,4927,2162,5075,2716,5953
"COG0290",3081,4333,1503,4419,2764,4376
"COG0291",979,1133,392,1216,483,1119
"COG0292",2959,2684,949,2804,2010,2868
"COG0293",2763,2756,1339,3440,2792,3338
"COG0294",4813,6348,2648,6342,5335,7022
"COG0295",1252,610,587,638,675,537
"COG0296",1568,4752,2463,1132,993,841
"COG0297",2592,3340,1888,2637,2572,2264
"COG0298",2,7,44,4,9,6
"COG0299",3454,4914,11634,4736,3608,4115
"COG0300",3744,1557,873,2206,2092,1886
"COG0301",79,418,467,245,2345,56
"COG0302",4251,5321,5859,5809,3752,5485
"COG0303",6323,4778,2065,5112,8291,3988
"COG0304",13536,12477,5056,12610,10511,14537
"COG0305",12616,15572,199789,21062,9004,17804
"COG0306",4291,2627,1472,3340,5649,1576
"COG0307",3917,4335,1751,4473,3054,4352
"COG0308",21034,14748,7597,10762,19534,11349
"COG0309",9,195,303,73,349,13
"COG0310",0,486,338,688,4,537
"COG0311",52,309,84,784,1234,411
"COG0312",9937,11540,6799,12205,12333,14104
"COG0313",6964,6088,2281,5972,3517,6601
"COG0314",1736,1391,685,1555,2090,1021
"COG0315",1859,1634,753,1882,2456,1261
"COG0316",5123,4961,6910,6167,6126,5860
"COG0317",13545,15897,7351,16076,12365,16444
"COG0318",12349,9348,3769,31483,43801,31203
"COG0319",3087,3051,1028,2900,2136,2643
"COG0320",5714,8939,3218,8956,5131,7759
"COG0321",4077,4848,1982,5195,2865,4568
"COG0322",15182,14513,5301,15778,10396,15087
"COG0323",2139,1191,507,2874,5380,3162
"COG0324",5424,6747,2459,7136,4874,6987
"COG0325",4092,4976,1912,4997,3292,5635
"COG0326",9134,6757,3115,6105,5317,7006
"COG0327",1964,886,739,623,1170,881
"COG0328",2995,3227,2192,3587,2545,3462
"COG0329",9513,11361,4752,11015,12492,11724
"COG0330",13413,12283,4852,12561,12909,14626
"COG0331",4990,6542,2491,6460,4114,7199
"COG0332",8500,6200,2730,5696,6602,5933
"COG0333",727,682,226,731,285,945
"COG0334",8111,5585,3564,5411,6927,4571
"COG0335",3763,3645,1388,3956,2324,4043
"COG0336",4582,6504,2463,6436,3861,6341
"COG0337",2411,2765,1210,8099,5872,8309
"COG0338",443,2982,22322,3199,1073,711
"COG0339",7289,5373,4933,1518,1475,1454
"COG0340",4139,4946,2138,5020,4230,4635
"COG0341",7695,7046,3131,6492,5102,7776
"COG0342",11107,11763,5179,11717,7837,13025
"COG0343",7073,8691,3290,9015,7835,8166
"COG0344",1981,3937,1485,3436,3013,2995
"COG0345",4524,5458,2274,5548,3903,5658
"COG0346",6224,4988,2692,5316,8865,6419
"COG0347",2103,2183,964,2146,1738,2424
"COG0348",267,832,2380,427,1116,302
"COG0349",3392,4383,2125,4342,3535,4405
"COG0350",1928,1953,971,1932,2518,2042
"COG0351",2010,4105,2207,1239,922,1066
"COG0352",2754,3885,2245,3246,2461,3408
"COG0353",3876,4595,1548,4279,3166,4589
"COG0354",3181,5003,2206,5149,3460,4951
"COG0355",3027,2703,1378,2846,1853,2795
"COG0356",8426,7611,2643,7123,4503,6963
"COG0357",3896,4172,1616,4170,2692,4235
"COG0358",12589,13472,41202,14783,10836,14445
"COG0359",2787,3396,1305,3681,2648,3841
"COG0360",2620,2729,1153,2773,2094,2917
"COG0361",1838,2080,1516,2087,1941,1908
"COG0362",1838,3109,1879,2941,1251,2587
"COG0363",3523,2792,2062,2339,3489,2699
"COG0364",2527,2751,2852,2314,1245,2160
"COG0365",24982,29620,10686,29216,26294,30613
"COG0366",3629,8373,8265,6925,4085,7315
