"","X67_SUR_0d2.3","X38_OMZ_0d1.0d2","X152_DCM_0d2.3","X151_SUR_0d2.3","X18_SUR_0d2.1d6","X124_DCM_0d2.0d45"
"COG0001",3,1,11,5,11,12
"COG0002",4,3,7,4,8,10
"COG0003",1,1,0,1,0,0
"COG0004",12,13,16,16,19,12
"COG0005",2,0,6,6,3,9
"COG0006",17,9,17,18,19,24
"COG0007",5,5,1,3,2,1
"COG0008",10,11,20,21,16,14
"COG0009",9,5,5,3,10,6
"COG0010",11,2,12,7,8,13
"COG0011",0,0,0,0,0,2
"COG0012",10,4,9,7,6,9
"COG0013",10,10,15,13,14,14
"COG0014",1,3,8,8,8,7
"COG0015",6,4,9,11,10,13
"COG0016",7,4,11,8,3,10
"COG0017",4,1,4,5,5,3
"COG0018",11,6,12,18,17,14
"COG0019",11,9,13,15,15,7
"COG0020",4,3,10,4,10,11
"COG0021",5,8,15,10,8,9
"COG0022",9,5,18,14,7,14
"COG0023",1,2,0,0,1,0
"COG0024",6,5,6,5,7,4
"COG0025",0,5,1,3,0,3
"COG0026",5,4,6,4,7,4
"COG0027",2,1,1,0,7,0
"COG0028",13,10,23,26,33,37
"COG0029",4,2,2,4,3,1
"COG0030",6,3,8,6,3,6
"COG0031",5,5,11,8,7,13
"COG0033",1,1,2,1,4,0
"COG0034",17,11,10,9,12,9
"COG0035",0,0,2,1,2,0
"COG0036",5,1,5,3,5,3
"COG0037",16,6,16,10,11,11
"COG0038",0,2,2,1,1,2
"COG0039",5,2,8,8,6,10
"COG0040",4,1,8,2,5,1
"COG0041",3,3,6,9,3,7
"COG0042",12,8,9,9,9,6
"COG0043",1,5,3,2,0,12
"COG0044",13,5,14,15,10,10
"COG0045",11,2,14,6,10,6
"COG0046",16,9,20,12,17,16
"COG0047",16,7,14,4,10,9
"COG0048",1,0,2,3,1,2
"COG0049",3,2,4,3,6,4
"COG0050",15,8,9,5,9,6
"COG0051",2,3,5,3,2,3
"COG0052",5,4,5,7,6,5
"COG0053",0,4,2,2,1,0
"COG0054",5,2,4,2,4,5
"COG0055",8,6,10,13,11,13
"COG0056",12,10,9,16,18,16
"COG0057",13,15,11,6,13,11
"COG0058",0,5,5,1,4,1
"COG0059",8,4,5,9,12,9
"COG0060",15,17,20,19,27,16
