"","X34_SUR_0d2.1d6","X124_SUR_0d1.0d2","X70_SUR_0d45.0d8","X152_MES_0d2.3","X123_DCM_0d1.0d2","X34_DCM_0d2.1d6"
"COG0001",3,4,5,15,3,12
"COG0002",7,1,1,5,3,3
"COG0003",1,0,2,0,0,0
"COG0004",21,3,13,6,11,14
"COG0005",5,1,3,10,0,2
"COG0006",29,1,29,28,8,30
"COG0007",1,2,2,1,0,1
"COG0008",21,5,19,14,4,11
"COG0009",5,3,6,9,4,6
"COG0010",9,2,6,3,0,14
"COG0011",0,0,0,0,0,0
"COG0012",11,1,10,15,1,10
"COG0013",21,4,19,19,3,16
"COG0014",8,3,4,2,4,9
"COG0015",12,5,4,4,3,5
"COG0016",9,5,7,10,2,8
"COG0017",4,2,5,3,4,5
"COG0018",21,3,7,13,5,16
"COG0019",8,3,10,10,3,11
"COG0020",6,2,5,10,2,4
"COG0021",16,2,12,11,6,11
"COG0022",9,8,13,12,9,18
"COG0023",0,0,0,1,0,0
"COG0024",7,2,5,6,8,4
"COG0025",3,2,5,3,0,2
"COG0026",6,4,9,1,5,5
"COG0027",1,3,1,1,0,1
"COG0028",32,12,29,52,22,45
"COG0029",5,2,7,2,2,2
"COG0030",4,1,6,5,3,6
"COG0031",7,5,13,11,2,9
"COG0033",0,1,0,0,0,0
"COG0034",9,4,8,15,3,6
"COG0035",1,1,2,0,0,0
"COG0036",6,2,4,3,3,2
"COG0037",11,1,8,12,3,7
"COG0038",3,1,5,3,0,0
"COG0039",8,4,1,3,3,4
"COG0040",5,2,5,5,1,3
"COG0041",3,1,4,5,0,2
"COG0042",8,1,12,1,3,4
"COG0043",7,0,3,5,0,13
"COG0044",14,5,11,21,2,18
"COG0045",10,6,7,10,2,13
"COG0046",20,7,13,21,9,19
"COG0047",6,5,10,7,3,5
"COG0048",3,3,3,3,1,3
"COG0049",1,0,1,5,2,6
"COG0050",9,7,2,3,4,9
"COG0051",2,1,2,1,1,4
"COG0052",8,0,7,9,3,4
"COG0053",1,3,0,5,3,1
"COG0054",3,1,3,1,1,5
"COG0055",8,3,12,7,3,10
"COG0056",15,7,6,4,7,8
"COG0057",10,7,6,11,7,13
"COG0058",7,3,4,1,11,2
"COG0059",5,0,9,9,3,8
"COG0060",18,7,28,22,8,22
"COG0061",5,3,7,9,1,7
"COG0062",6,1,3,1,1,5
"COG0063",4,3,4,12,3,8
"COG0064",12,1,8,9,2,6
"COG0065",11,1,12,7,2,6
"COG0066",3,1,9,5,1,7
"COG0067",31,10,23,16,7,17
"COG0068",0,1,0,0,0,0
"COG0069",26,11,28,24,10,23
"COG0070",41,7,12,13,8,15
"COG0071",6,41,3,2,44,3
"COG0072",17,3,17,8,8,12
"COG0073",17,7,9,9,8,12
"COG0074",8,2,7,8,1,14
"COG0075",4,3,6,10,1,7
"COG0076",1,0,3,3,2,4
"COG0077",9,3,7,4,1,11
"COG0078",8,4,12,6,0,7
"COG0079",8,3,13,8,12,12
"COG0080",5,3,3,3,2,5
"COG0081",6,0,4,4,1,2
"COG0082",9,3,15,4,3,9
"COG0083",2,0,0,0,2,1
"COG0084",5,1,5,2,3,5
"COG0085",30,13,28,25,12,32
"COG0086",38,18,29,22,9,21
"COG0087",8,2,6,3,2,4
"COG0088",6,3,5,5,1,6
"COG0089",1,0,2,2,1,1
"COG0090",8,0,6,12,0,5
"COG0091",3,0,1,3,0,1
"COG0092",5,0,2,4,3,11
"COG0093",2,3,2,2,1,2
"COG0094",5,0,4,4,0,11
"COG0095",0,0,1,3,0,1
"COG0096",3,2,7,1,0,5
"COG0097",5,1,2,3,2,5
"COG0098",6,0,4,7,2,4
"COG0099",5,1,0,4,0,4
"COG0100",3,1,4,8,2,2
"COG0101",4,0,6,2,1,7
"COG0102",3,0,3,3,3,4
"COG0103",2,0,2,2,3,3
"COG0104",7,7,10,5,5,7
"COG0105",0,0,1,5,1,2
"COG0106",5,0,1,2,1,6
"COG0107",1,1,3,2,4,8
"COG0108",11,5,11,8,4,9
"COG0109",5,4,11,9,2,8
"COG0110",2,1,3,9,2,2
"COG0111",19,5,15,13,9,24
"COG0112",12,2,11,8,3,6
"COG0113",7,2,8,4,3,5
"COG0114",6,1,10,8,3,15
"COG0115",17,2,15,14,5,9
"COG0116",2,1,1,0,2,1
"COG0117",3,3,7,1,4,2
"COG0118",5,3,2,5,3,6
"COG0119",26,8,28,18,5,30
"COG0120",1,1,3,1,2,2
"COG0121",0,0,0,0,2,1
"COG0122",3,2,8,10,1,4
"COG0123",7,3,9,2,4,3
"COG0124",11,3,9,10,3,6
"COG0125",3,1,1,3,1,4
"COG0126",7,1,5,13,0,9
"COG0127",5,1,3,7,3,6
"COG0128",11,2,10,7,3,4
"COG0129",16,5,11,8,3,21
"COG0130",3,0,2,6,2,3
"COG0131",2,0,4,3,0,3
"COG0132",0,0,0,2,0,1
"COG0133",6,1,6,5,1,8
"COG0134",8,1,3,6,0,2
"COG0135",3,0,5,1,1,3
"COG0136",6,1,6,6,4,7
"COG0137",7,2,6,7,2,9
"COG0138",17,5,17,11,12,14
"COG0139",3,1,2,0,1,2
"COG0140",0,1,2,0,1,0
"COG0141",15,1,11,10,1,7
"COG0142",16,3,15,18,2,16
"COG0143",9,2,9,7,2,8
"COG0144",9,1,5,0,0,4
"COG0145",6,0,5,9,1,10
"COG0146",6,0,7,9,1,15
"COG0147",13,10,15,5,2,10
"COG0148",9,5,10,12,4,7
"COG0149",7,2,0,2,5,2
"COG0150",7,13,6,6,24,7
"COG0151",13,6,9,7,2,7
"COG0152",5,2,7,3,16,6
"COG0153",1,1,2,3,0,3
"COG0154",14,3,20,38,4,27
"COG0155",3,4,4,10,4,9
"COG0156",5,4,5,8,0,9
"COG0157",9,2,4,3,1,5
"COG0158",1,2,0,0,2,1
"COG0159",9,3,4,0,0,4
"COG0160",2,3,7,9,3,11
"COG0161",14,6,11,9,4,8
"COG0162",6,4,11,4,3,9
"COG0163",1,0,0,1,0,2
"COG0164",4,1,1,0,4,3
"COG0165",8,4,6,6,4,18
"COG0166",14,7,16,10,7,10
"COG0167",6,14,13,1,0,5
"COG0168",6,6,8,10,4,10
"COG0169",6,2,5,8,2,5
"COG0170",1,0,0,0,0,0
"COG0171",8,12,9,7,20,10
"COG0172",8,0,7,8,3,10
"COG0173",12,5,10,5,2,14
"COG0174",29,9,16,25,12,18
"COG0175",2,11,6,2,2,2
"COG0176",6,30,6,5,54,11
"COG0177",8,5,6,4,1,6
"COG0178",23,8,19,23,10,30
"COG0179",9,1,4,10,4,12
"COG0180",7,0,3,8,4,9
"COG0181",3,4,8,5,1,4
"COG0182",4,0,2,7,0,3
"COG0183",23,6,32,16,7,22
"COG0184",1,1,2,1,0,1
"COG0185",0,0,1,4,2,1
"COG0186",0,1,2,3,1,1
"COG0187",31,15,30,19,10,13
"COG0188",14,13,24,23,17,20
"COG0189",6,25,9,10,13,4
"COG0190",6,2,9,5,4,7
"COG0191",2,1,0,0,0,1
"COG0192",5,1,4,14,2,12
"COG0193",6,2,2,4,1,1
"COG0194",5,1,7,1,0,5
"COG0195",15,5,10,13,2,6
"COG0196",4,0,8,1,0,4
"COG0197",2,1,0,2,4,0
"COG0198",3,0,2,2,1,1
"COG0199",3,0,3,1,0,1
"COG0200",3,1,6,0,0,1
"COG0201",22,3,10,14,4,7
"COG0202",6,2,8,11,6,9
"COG0203",1,0,1,3,0,3
"COG0204",10,4,12,13,7,12
"COG0205",1,0,3,5,3,4
"COG0206",8,2,14,13,6,13
"COG0207",1,24,1,2,10,1
"COG0208",10,72,8,4,62,8
"COG0209",22,182,19,26,189,27
"COG0210",13,131,15,17,63,17
"COG0211",0,0,2,0,0,1
"COG0212",3,1,1,4,2,3
"COG0213",2,1,5,6,0,3
"COG0214",2,0,0,2,1,3
"COG0215",11,2,9,18,2,13
"COG0216",11,3,5,8,1,3
"COG0217",1,4,9,2,5,6
"COG0218",0,1,3,1,0,0
"COG0219",3,1,4,2,2,1
"COG0220",0,0,3,2,0,3
"COG0221",0,5,2,0,1,0
"COG0222",2,1,2,2,1,2
"COG0223",3,5,6,3,3,5
"COG0224",11,2,4,4,4,5
"COG0225",7,1,5,2,2,7
"COG0226",5,6,1,1,10,1
"COG0227",1,2,0,0,0,2
"COG0228",2,0,3,4,1,3
"COG0229",3,1,8,5,1,3
"COG0230",0,0,0,0,0,0
"COG0231",8,0,8,5,5,2
"COG0232",4,3,6,2,1,6
"COG0233",2,1,3,4,0,3
"COG0234",2,11,3,3,9,3
"COG0235",7,2,5,3,5,2
"COG0236",0,4,2,3,0,2
"COG0237",3,1,4,1,2,6
"COG0238",1,0,1,2,0,3
"COG0239",2,0,1,0,0,1
"COG0240",6,4,2,5,3,9
"COG0241",1,1,2,2,1,2
"COG0242",2,20,2,1,14,8
"COG0243",6,5,9,22,4,13
"COG0244",5,0,5,5,2,6
"COG0245",7,2,4,2,4,0
"COG0246",2,1,1,0,1,0
"COG0247",9,12,15,15,3,17
"COG0248",3,3,6,0,1,2
"COG0249",5,5,12,8,6,6
"COG0250",0,3,2,3,3,5
"COG0251",5,3,7,7,2,9
"COG0252",0,3,0,4,0,1
"COG0253",9,1,9,5,2,8
"COG0254",0,0,2,0,1,1
"COG0255",0,0,0,0,0,0
"COG0256",2,2,2,3,0,4
"COG0257",0,0,0,0,0,0
"COG0258",29,41,15,12,51,12
"COG0259",1,0,5,6,2,2
"COG0260",15,3,7,6,4,12
"COG0261",2,0,2,2,1,3
"COG0262",0,1,1,3,0,3
"COG0263",13,3,2,4,3,4
"COG0264",3,2,7,7,1,7
"COG0265",8,7,16,11,7,11
"COG0266",11,5,6,3,1,2
"COG0267",2,0,1,1,0,0
"COG0268",1,0,1,3,1,2
"COG0269",0,0,0,0,0,0
"COG0270",4,85,5,2,72,2
"COG0271",1,0,1,1,1,2
"COG0272",15,11,14,8,8,14
"COG0274",1,0,1,2,0,2
"COG0275",8,1,10,6,2,8
"COG0276",6,0,6,2,3,6
"COG0277",24,6,14,20,11,31
"COG0278",3,1,3,0,0,2
"COG0279",0,3,1,3,3,4
"COG0280",11,3,11,9,1,9
"COG0281",8,4,12,5,1,12
"COG0282",0,1,1,1,2,1
"COG0283",5,1,4,5,1,4
"COG0284",8,1,8,7,3,4
"COG0285",5,1,8,2,2,7
"COG0286",1,3,4,1,7,2
"COG0287",5,3,6,7,0,4
"COG0288",0,1,0,2,2,0
"COG0289",4,1,3,2,2,6
"COG0290",1,1,4,2,3,0
"COG0291",0,1,1,1,0,1
"COG0292",2,0,2,2,1,3
"COG0293",1,2,1,3,1,3
"COG0294",3,1,7,1,0,3
"COG0295",0,0,1,0,1,1
"COG0296",4,2,3,2,1,0
"COG0297",2,0,2,1,0,2
"COG0298",0,0,0,0,0,0
"COG0299",3,3,5,1,29,2
"COG0300",2,1,5,4,1,2
"COG0301",0,1,1,2,1,3
"COG0302",5,4,2,2,6,7
"COG0303",6,1,8,7,1,4
"COG0304",8,5,11,5,3,6
"COG0305",17,175,20,8,254,18
"COG0306",1,4,1,8,4,4
"COG0307",4,2,3,5,2,5
"COG0308",11,3,10,8,7,8
"COG0309",0,1,0,0,0,0
"COG0310",0,0,0,0,2,1
"COG0311",2,0,0,1,0,1
"COG0312",16,4,14,10,3,10
"COG0313",8,3,6,2,1,5
"COG0314",1,0,2,3,0,1
"COG0315",3,0,2,6,0,0
"COG0316",6,8,8,7,4,4
"COG0317",20,12,13,5,7,20
"COG0318",35,9,31,45,20,49
"COG0319",2,0,4,2,0,1
"COG0320",7,5,8,6,1,6
"COG0321",8,0,6,3,1,4
"COG0322",13,1,13,10,2,15
"COG0323",4,1,12,6,1,1
"COG0324",9,3,7,1,0,3
"COG0325",1,2,5,2,1,1
"COG0326",7,1,9,3,3,0
"COG0327",2,0,1,2,0,0
"COG0328",1,2,6,0,1,0
"COG0329",9,3,10,8,4,7
"COG0330",9,2,6,15,12,9
"COG0331",5,3,1,8,0,3
"COG0332",1,1,4,5,2,7
"COG0333",0,0,2,0,1,0
"COG0334",6,1,7,9,5,4
"COG0335",8,4,1,4,2,1
"COG0336",5,2,2,3,2,2
"COG0337",9,0,5,6,1,9
"COG0338",6,19,3,1,35,2
"COG0339",2,5,4,3,8,4
"COG0340",3,1,2,4,2,8
"COG0341",3,2,6,2,0,3
"COG0342",12,6,12,9,6,10
"COG0343",11,4,8,9,2,8
"COG0344",4,2,6,5,0,4
"COG0345",4,0,6,6,4,8
"COG0346",4,3,3,6,4,14
"COG0347",5,1,0,2,0,2
"COG0348",0,6,1,0,1,0
"COG0349",4,1,6,2,1,2
"COG0350",1,1,2,3,1,1
"COG0351",2,0,3,1,3,3
"COG0352",6,1,0,3,2,2
"COG0353",6,3,6,0,1,2
"COG0354",4,0,3,2,2,2
"COG0355",0,3,1,0,0,0
"COG0356",4,1,5,8,4,8
"COG0357",3,1,5,4,3,2
"COG0358",13,24,6,10,33,9
"COG0359",5,0,5,1,2,6
"COG0360",3,0,1,5,0,4
"COG0361",1,0,4,2,1,2
"COG0362",0,1,6,0,0,3
"COG0363",1,0,2,3,1,2
"COG0364",8,3,2,0,2,1
"COG0365",34,12,25,31,11,35
"COG0366",6,7,12,3,3,2
"COG0367",16,22,5,10,11,12
"COG0368",0,2,0,1,0,2
"COG0369",3,0,3,3,9,2
"COG0370",2,2,2,4,0,2
"COG0371",3,0,1,2,0,1
"COG0372",11,10,7,10,1,9
"COG0373",4,2,4,9,4,7
"COG0374",0,0,0,0,1,0
"COG0375",0,0,0,0,0,0
"COG0376",6,2,11,4,5,3
"COG0377",1,0,3,1,1,1
"COG0378",3,0,3,2,0,2
"COG0379",5,1,6,4,1,3
"COG0380",1,0,0,3,1,0
"COG0381",2,3,3,2,4,3
"COG0382",9,0,11,7,2,14
"COG0383",0,0,0,1,0,0
"COG0384",0,1,2,3,1,0
"COG0385",6,3,3,2,2,3
"COG0386",4,0,3,3,2,5
"COG0387",1,0,4,1,0,1
"COG0388",6,7,13,12,9,13
"COG0389",8,5,15,11,7,9
"COG0390",1,0,0,3,0,2
"COG0391",4,0,2,3,1,3
"COG0392",1,1,2,2,1,2
"COG0393",1,0,1,1,0,1
"COG0394",2,3,0,1,2,1
"COG0395",15,0,12,12,2,7
"COG0396",9,3,6,2,4,3
"COG0397",11,2,7,1,6,9
"COG0398",3,2,1,1,3,1
"COG0399",13,33,13,26,55,24
"COG0400",4,1,2,1,3,3
"COG0401",0,0,0,0,1,0
"COG0402",9,5,12,11,4,14
"COG0403",13,2,9,6,4,12
"COG0404",58,11,64,41,11,46
"COG0405",12,5,14,16,6,9
"COG0406",2,1,4,4,1,4
"COG0407",11,2,5,8,2,2
"COG0408",5,1,3,2,3,2
"COG0409",0,0,0,0,0,0
"COG0410",7,5,10,3,2,4
"COG0411",14,0,7,14,4,14
"COG0412",6,3,2,8,2,3
"COG0413",9,2,7,5,4,7
"COG0414",5,0,5,0,2,2
"COG0415",21,5,20,2,6,4
"COG0416",6,0,2,1,4,6
"COG0417",16,166,8,5,93,12
"COG0418",4,0,0,3,1,1
"COG0419",7,70,1,7,72,6
"COG0420",3,4,0,2,9,1
"COG0421",3,3,2,3,2,2
"COG0422",2,3,2,2,1,4
"COG0423",4,0,6,7,2,6
"COG0424",2,0,5,2,2,2
"COG0425",2,0,0,0,1,0
"COG0426",4,0,6,0,1,2
"COG0427",0,2,0,0,1,0
"COG0428",1,3,2,0,1,0
"COG0429",1,0,0,2,1,0
"COG0430",0,1,0,0,0,0
"COG0431",3,6,1,2,0,3
"COG0432",7,0,2,4,1,2
"COG0433",2,1,0,4,1,4
"COG0434",0,0,0,2,0,1
"COG0435",2,1,1,1,2,2
"COG0436",28,7,20,30,5,18
"COG0437",4,1,8,6,1,4
"COG0438",41,54,31,39,75,51
"COG0439",15,4,13,16,6,16
"COG0440",2,0,3,0,0,1
"COG0441",15,8,16,18,3,16
"COG0442",10,2,12,6,2,9
"COG0443",14,15,15,15,7,18
"COG0444",8,0,4,6,1,12
"COG0445",9,1,18,13,3,6
"COG0446",19,12,27,17,8,20
"COG0447",2,0,3,1,0,1
"COG0448",2,1,2,0,2,2
"COG0449",8,7,12,7,12,21
"COG0450",2,2,0,1,4,1
"COG0451",56,144,51,34,146,53
"COG0452",9,3,11,5,1,10
"COG0454",6,2,2,6,8,6
"COG0455",2,0,0,2,0,1
"COG0456",2,2,1,1,3,3
"COG0457",42,23,32,56,25,46
"COG0458",16,5,23,27,4,22
"COG0459",16,50,24,22,62,23
"COG0460",6,2,4,6,5,8
"COG0461",1,12,8,2,28,9
"COG0462",9,1,14,8,2,9
"COG0463",25,39,34,33,57,47
"COG0464",4,5,4,9,3,9
"COG0465",26,14,20,9,2,14
"COG0466",19,4,9,12,2,13
"COG0467",1,0,6,0,0,1
"COG0468",14,64,10,10,53,13
"COG0469",2,3,10,8,3,4
"COG0470",6,43,6,13,49,8
"COG0471",7,3,12,15,3,7
"COG0472",4,3,5,12,3,4
"COG0473",10,3,10,10,2,8
"COG0474",4,2,0,4,0,1
"COG0475",3,4,1,13,6,7
"COG0476",3,5,5,6,3,8
"COG0477",56,26,44,61,24,72
"COG0478",0,0,0,0,0,0
"COG0479",4,5,5,6,1,5
"COG0480",17,5,13,17,9,20
"COG0481",21,3,18,8,4,12
"COG0482",0,0,7,14,3,1
"COG0483",8,2,9,10,5,6
"COG0484",10,5,13,13,5,11
"COG0486",15,4,14,8,1,11
"COG0488",9,7,14,11,4,8
"COG0489",8,6,10,10,2,5
"COG0490",0,0,0,0,0,0
"COG0491",15,11,30,31,4,12
"COG0492",14,2,12,7,1,8
"COG0493",10,4,7,7,6,22
"COG0494",13,2,11,9,5,11
"COG0495",24,4,18,14,6,21
