"","X72_DCM_0d2.3","X31_SUR_0d2.1d6","X152_SUR_0d2.3","X137_DCM_0d2.3","X125_SUR_0d2.3","X34_SUR_0d1.0d2"
"COG0001",696,852,837,572,483,152
"COG0002",492,608,488,472,427,188
"COG0003",17,30,21,25,23,74
"COG0004",1641,1852,1745,1683,1639,854
"COG0005",497,555,426,702,484,151
"COG0006",2434,2008,2342,3106,2364,731
"COG0007",148,276,137,538,117,35
"COG0008",1478,1197,1543,918,958,439
"COG0009",612,500,545,524,583,191
"COG0010",848,1064,940,879,898,304
"COG0011",6,21,13,21,29,4
"COG0012",629,610,661,759,935,337
"COG0013",2102,2131,2018,1496,1955,685
"COG0014",855,826,747,590,785,240
"COG0015",1068,1024,1042,824,1151,397
"COG0016",798,818,875,683,818,342
"COG0017",265,187,389,354,326,201
"COG0018",1369,1324,1319,708,915,333
"COG0019",1367,1093,1141,1100,1299,467
"COG0020",544,470,557,429,620,195
"COG0021",1475,1467,1185,1402,1515,442
"COG0022",1038,950,1094,826,1179,1023
"COG0023",28,55,47,58,44,31
"COG0024",632,585,703,501,690,217
"COG0025",193,381,163,344,169,115
"COG0026",463,741,538,154,564,168
"COG0027",59,198,77,25,121,57
"COG0028",2950,2863,2914,2991,2797,2791
"COG0029",235,576,387,323,304,108
"COG0030",561,600,617,490,613,159
"COG0031",931,1165,1071,1010,949,533
"COG0033",46,291,63,68,87,36
"COG0034",1122,1074,1183,995,1160,365
"COG0035",135,237,143,132,165,56
"COG0036",563,571,657,461,621,185
"COG0037",1151,1033,1088,996,1130,388
"COG0038",215,515,245,324,279,71
"COG0039",764,575,775,642,835,218
"COG0040",380,345,363,392,339,144
"COG0041",389,376,354,335,371,127
"COG0042",794,961,905,684,826,274
"COG0043",273,201,340,709,254,84
"COG0044",1480,995,1425,1472,1464,429
"COG0045",1137,826,1126,820,1254,299
"COG0046",1789,1693,1891,1743,1796,532
"COG0047",786,768,978,696,813,273
"COG0048",263,265,320,237,308,119
"COG0049",365,351,386,305,382,155
"COG0050",971,1022,909,1089,991,289
"COG0051",237,209,230,119,140,59
"COG0052",550,621,639,465,587,210
