"","X25_SUR_0.0d2","X149_MES_0d2.3","X34_DCM_0d2.1d6","X124_SUR_0d45.0d8","X100_DCM_0d2.3","X42_SUR_0d2.1d6"
"COG0001",192,1204,1150,898,711,630
"COG0002",375,535,527,440,455,629
"COG0003",7,9,43,27,20,15
"COG0004",564,1182,1226,1363,1622,1725
"COG0005",181,583,531,499,454,514
"COG0006",591,1809,1501,1345,2431,2151
"COG0007",340,325,240,334,201,196
"COG0008",960,1659,1694,1387,1339,1365
"COG0009",201,597,573,478,554,589
"COG0010",464,968,916,674,943,925
"COG0011",0,6,8,119,35,18
"COG0012",282,1179,981,742,833,1015
"COG0013",341,1009,1056,1633,1995,2090
"COG0014",337,516,595,596,767,971
"COG0015",493,891,1130,895,938,1187
"COG0016",226,784,894,641,793,865
"COG0017",51,404,347,309,251,154
"COG0018",438,1150,1299,1241,1248,1574
"COG0019",607,1015,1042,483,719,759
"COG0020",159,516,559,516,547,572
"COG0021",504,1138,1252,1068,1362,1488
"COG0022",574,844,1196,656,519,466
"COG0023",10,97,70,80,64,65
"COG0024",269,595,612,600,590,577
"COG0025",341,277,153,568,286,231
"COG0026",265,279,363,601,529,734
"COG0027",20,18,59,444,153,170
"COG0028",1923,4047,3549,1873,2729,2682
"COG0029",239,128,174,643,334,385
"COG0030",196,587,559,571,543,647
"COG0031",649,1133,971,1282,909,1030
"COG0033",32,12,45,478,158,283
"COG0034",357,1046,995,1008,1192,1105
"COG0035",78,113,106,260,155,239
"COG0036",133,524,649,550,561,605
"COG0037",451,1144,1155,922,1065,1101
"COG0038",353,347,221,619,281,309
"COG0039",236,701,734,383,692,738
"COG0040",146,379,434,344,342,391
"COG0041",123,388,349,337,333,392
"COG0042",457,569,642,1055,862,906
"COG0043",233,881,875,383,384,150
"COG0044",441,862,753,816,1340,1290
"COG0045",348,1026,1030,524,1049,969
"COG0046",539,1697,1591,1577,1826,1799
"COG0047",227,762,662,647,897,876
"COG0048",84,282,273,290,300,300
"COG0049",122,381,354,323,398,322
"COG0050",482,778,733,886,932,859
"COG0051",95,200,199,239,216,228
"COG0052",226,591,572,559,569,592
"COG0053",132,285,121,124,70,86
"COG0054",124,237,281,295,274,349
"COG0055",350,804,845,1037,1137,1201
"COG0056",445,847,899,1142,1232,1329
"COG0057",255,472,486,1189,1068,1125
"COG0058",32,177,252,834,328,475
"COG0059",248,681,632,634,738,757
"COG0060",707,2149,2263,1992,2263,2216
"COG0061",198,759,657,782,660,729
"COG0062",256,690,584,283,203,184
"COG0063",318,760,671,611,442,434
"COG0064",253,827,792,926,961,1072
"COG0065",384,1007,1178,809,1124,1268
"COG0066",131,483,641,357,469,577
"COG0067",699,1530,1721,1571,2034,2700
"COG0068",150,18,6,74,40,0
"COG0069",1301,2391,2439,2266,3136,3575
"COG0070",670,1278,1569,1275,1801,2464
"COG0071",1931,394,489,301,491,815
"COG0072",519,1338,1551,1464,1719,1801
"COG0073",481,1021,1226,1249,1404,1347
"COG0074",222,1027,803,384,759,709
"COG0075",336,1022,700,957,573,765
"COG0076",416,388,310,533,282,338
"COG0077",248,571,561,507,608,653
"COG0078",209,710,646,495,528,538
"COG0079",587,1077,1050,1082,958,1151
"COG0080",101,320,276,327,304,312
"COG0081",211,496,541,497,525,531
"COG0082",260,684,728,735,807,883
"COG0083",21,299,184,332,155,133
"COG0084",223,481,526,568,574,559
"COG0085",1080,2481,2790,2430,2861,2798
"COG0086",1084,2291,2860,3218,3215,3020
"COG0087",190,530,568,484,495,565
"COG0088",117,462,442,401,414,482
"COG0089",38,219,199,190,197,195
"COG0090",173,578,517,545,626,680
"COG0091",78,291,268,256,264,267
"COG0092",145,506,519,510,534,622
"COG0093",63,260,266,237,261,257
"COG0094",128,391,416,383,432,421
"COG0095",50,75,50,240,94,110
"COG0096",97,283,304,271,287,288
"COG0097",102,319,416,351,376,387
