"","X150_DCM_0d2.3","X133_SUR_0d2.3","X37_OMZ_0d2.1d6","X109_SUR_0d2.3","X82_DCM_0d2.3","X93_DCM_0d2.3"
"COG0001",626,699,738,794,882,659
"COG0002",488,578,373,475,475,454
"COG0003",45,22,14,38,40,23
"COG0004",1674,1884,1237,1757,1195,1484
"COG0005",489,298,710,444,340,215
"COG0006",2117,2190,2692,2198,2572,1922
"COG0007",235,174,326,172,220,201
"COG0008",1435,1493,1514,1605,1518,1667
"COG0009",559,643,448,653,584,618
"COG0010",838,798,801,831,1134,868
"COG0011",8,5,34,32,4,4
"COG0012",895,909,801,911,852,728
"COG0013",1979,1891,1505,2066,1775,1539
"COG0014",773,783,424,756,556,624
"COG0015",946,1031,874,1094,874,783
"COG0016",841,725,707,822,767,729
"COG0017",336,219,573,284,385,348
"COG0018",1353,1355,971,1408,1218,1074
"COG0019",1175,1338,865,1137,1035,1183
"COG0020",532,491,518,582,427,374
"COG0021",1321,1307,1516,1336,874,965
"COG0022",1054,845,887,1081,1232,938
"COG0023",72,42,68,54,84,66
"COG0024",590,582,494,206,159,165
"COG0025",234,202,296,201,182,351
"COG0026",501,589,74,522,482,572
"COG0027",120,182,10,195,122,104
"COG0028",2694,2895,2904,2784,2155,2438
"COG0029",384,442,253,310,317,274
"COG0030",549,546,447,563,486,452
"COG0031",1027,939,933,917,782,812
"COG0033",205,102,51,174,39,122
"COG0034",1166,1223,997,1138,1151,967
"COG0035",143,117,84,182,121,146
"COG0036",590,523,417,566,529,483
"COG0037",994,1024,1056,1092,1095,922
"COG0038",321,191,224,248,257,251
"COG0039",222,249,211,751,689,646
"COG0040",379,396,347,379,327,392
"COG0041",399,388,316,367,334,324
"COG0042",940,885,587,932,861,937
"COG0043",275,125,707,128,237,266
"COG0044",1354,1399,1292,1298,1356,1194
"COG0045",990,1061,721,1160,966,884
"COG0046",1706,1839,1815,1796,1742,1538
"COG0047",866,936,683,1060,941,889
"COG0048",291,293,226,277,324,265
"COG0049",377,338,282,364,402,297
"COG0050",1005,971,989,971,1039,924
"COG0051",228,260,184,272,257,202
"COG0052",543,595,544,580,655,502
"COG0053",77,30,311,64,63,84
"COG0054",277,274,182,306,337,255
"COG0055",1154,1137,815,1262,1141,1040
"COG0056",1383,1262,919,1390,1398,1100
"COG0057",1078,1038,878,1022,1143,1171
"COG0058",384,242,308,347,29,243
"COG0059",749,758,437,801,641,689
"COG0060",2170,2221,2055,2309,2047,1810
"COG0061",650,636,510,658,576,501
"COG0062",330,204,712,75,32,49
"COG0063",380,326,751,315,136,220
"COG0064",894,926,675,1019,752,677
"COG0065",1233,1176,813,1182,1139,937
"COG0066",528,549,375,582,569,378
"COG0067",2490,2492,1395,2652,2083,2061
"COG0068",35,12,121,1,4,10
"COG0069",3311,3527,2121,3503,3378,3066
"COG0070",2371,2352,1239,2333,1996,1944
"COG0071",628,626,401,534,176,403
"COG0072",1627,1711,1246,1766,1467,1382
"COG0073",1359,1393,998,1500,1336,1520
"COG0074",718,722,641,824,670,678
"COG0075",580,586,752,721,477,392
"COG0076",91,96,154,318,363,378
"COG0077",690,735,439,724,617,652
"COG0078",546,561,592,481,559,464
"COG0079",988,1016,1292,899,875,799
"COG0080",299,328,329,295,273,256
"COG0081",532,526,454,499,445,429
"COG0082",891,863,499,941,726,661
"COG0083",175,130,122,135,123,181
"COG0084",525,551,533,205,204,189
"COG0085",2987,3233,2416,3015,2802,2510
"COG0086",3452,3496,2628,3473,3264,2775
"COG0087",503,479,428,499,498,400
"COG0088",473,449,363,419,411,371
"COG0089",189,153,163,229,244,165
"COG0090",661,625,538,636,587,480
"COG0091",269,239,233,94,93,70
"COG0092",548,559,440,543,537,387
