"","X145_MES_0d2.3","X64_MES_0d2.3","X76_DCM_0.0d2","X122_SUR_0d1.0d2","X100_SUR_0d2.3","X41_DCM_0.0d2"
"COG0001",630,596,121,169,433,121
"COG0002",275,270,168,83,236,90
"COG0003",7,8,34,19,5,2
"COG0004",530,528,408,276,817,400
"COG0005",300,293,105,73,205,43
"COG0006",1563,1527,426,254,1082,146
"COG0007",155,159,171,119,76,169
"COG0008",891,837,497,321,772,349
"COG0009",269,257,162,119,279,123
"COG0010",453,486,89,90,411,53
"COG0011",3,2,0,13,15,3
"COG0012",519,585,156,114,457,83
"COG0013",910,899,397,264,981,256
"COG0014",173,155,119,117,355,136
"COG0015",466,453,228,148,539,214
"COG0016",382,361,155,108,384,94
"COG0017",314,354,26,70,171,14
"COG0018",557,575,275,171,700,160
"COG0019",300,291,332,201,561,300
"COG0020",278,271,114,72,276,57
"COG0021",530,526,294,170,658,203
"COG0022",427,427,337,361,589,166
"COG0023",49,64,5,22,29,24
"COG0024",293,278,158,106,334,129
"COG0025",120,137,330,80,88,120
"COG0026",158,158,133,93,298,112
"COG0027",14,9,101,78,107,105
"COG0028",1895,1990,1023,404,1390,505
"COG0029",92,48,181,126,138,145
"COG0030",284,301,120,85,307,86
"COG0031",523,543,427,162,326,190
"COG0033",10,15,54,15,53,76
"COG0034",339,369,146,162,615,170
"COG0035",61,61,22,16,73,83
"COG0036",299,278,94,81,320,74
"COG0037",511,533,264,240,580,202
"COG0038",194,195,137,103,134,64
"COG0039",349,345,160,106,367,55
"COG0040",195,172,90,67,203,56
"COG0041",160,172,66,21,115,39
"COG0042",303,233,260,130,280,157
"COG0043",440,422,53,85,24,61
"COG0044",763,810,271,79,431,111
"COG0045",577,501,206,145,532,107
"COG0046",862,827,391,331,936,327
"COG0047",429,365,199,235,507,328
"COG0048",151,138,58,50,136,22
"COG0049",202,165,55,53,176,49
"COG0050",290,233,180,214,485,225
"COG0051",97,99,50,44,113,36
"COG0052",261,307,106,91,325,80
"COG0053",188,145,115,25,20,112
"COG0054",125,110,48,49,162,43
"COG0055",369,384,178,176,618,118
"COG0056",420,404,218,162,761,145
"COG0057",405,432,288,193,524,320
"COG0058",99,107,133,94,143,575
"COG0059",317,363,142,128,381,102
"COG0060",1094,1067,389,250,1234,255
