"","X31_SUR_0.0d2","X137_DCM_0d2.3","X76_SUR_0d2.0d45","X122_MES_0d2.0d45","X112_DCM_0d2.3","X138_SUR_0d2.3"
"COG0001",148,436,330,243,119,117
"COG0002",161,248,332,370,262,280
"COG0003",68,16,5,6,15,9
"COG0004",395,807,956,889,709,889
"COG0005",86,298,245,304,284,294
"COG0006",454,1586,1204,1435,1018,980
"COG0007",255,248,49,242,92,96
"COG0008",566,681,617,845,733,681
"COG0009",148,231,302,309,298,256
"COG0010",76,450,333,492,337,465
"COG0011",1,15,3,1,20,23
"COG0012",181,376,561,764,445,503
"COG0013",363,731,1130,1079,1122,1066
"COG0014",216,273,511,250,441,422
"COG0015",272,437,595,467,608,589
"COG0016",143,337,376,485,425,414
"COG0017",22,200,71,519,141,123
"COG0018",230,523,839,652,700,758
"COG0019",427,529,798,428,650,656
"COG0020",105,212,318,279,261,291
"COG0021",301,705,872,517,734,752
"COG0022",247,402,360,307,498,475
"COG0023",10,31,21,68,29,29
"COG0024",187,272,319,310,303,315
"COG0025",258,177,74,100,140,126
"COG0026",156,97,341,237,263,346
"COG0027",81,16,56,15,88,144
"COG0028",943,1487,1423,1513,1448,1329
"COG0029",191,138,187,75,190,214
"COG0030",100,277,342,295,292,330
"COG0031",321,521,402,587,510,539
"COG0033",113,43,76,18,136,164
"COG0034",199,440,613,636,575,549
"COG0035",62,71,45,68,96,96
"COG0036",96,276,310,341,276,320
"COG0037",340,510,574,633,524,527
"COG0038",235,159,94,136,172,172
"COG0039",152,313,379,360,326,342
"COG0040",99,180,251,229,207,215
"COG0041",75,158,199,217,212,192
"COG0042",108,121,118,264,422,470
"COG0043",146,377,24,533,166,56
"COG0044",329,697,734,255,233,188
"COG0045",192,431,638,612,463,476
"COG0046",434,888,1010,288,320,283
"COG0047",311,362,483,150,111,135
"COG0048",55,114,154,193,156,156
"COG0049",65,148,174,242,163,155
"COG0050",270,534,425,358,516,486
"COG0051",58,90,126,114,117,113
"COG0052",137,272,313,337,288,302
"COG0053",144,216,52,113,52,28
"COG0054",59,108,172,133,150,157
"COG0055",236,499,683,370,580,597
"COG0056",236,469,765,441,664,704
"COG0057",349,413,513,486,568,525
"COG0058",269,115,131,66,235,256
"COG0059",143,293,404,433,343,383
"COG0060",412,935,1223,1237,1162,1130
"COG0061",120,231,307,455,385,360
"COG0062",188,393,104,287,243,197
"COG0063",192,410,163,346,252,259
"COG0064",70,105,191,483,535,573
"COG0065",181,437,667,614,606,609
"COG0066",88,188,256,229,252,254
"COG0067",560,936,1426,791,1014,1328
"COG0068",33,27,3,15,1,10
"COG0069",884,1396,1906,1133,1505,1809
"COG0070",541,903,1348,666,948,1158
"COG0071",740,214,306,332,241,350
"COG0072",354,609,951,775,888,907
"COG0073",481,617,667,531,645,683
"COG0074",143,315,350,556,382,394
"COG0075",120,339,191,468,334,350
"COG0076",139,233,120,180,178,156
"COG0077",137,267,304,316,340,325
"COG0078",141,282,287,394,332,278
"COG0079",384,622,584,682,573,595
"COG0080",62,151,149,183,161,147
"COG0081",102,228,280,316,272,261
"COG0082",142,264,495,365,458,459
"COG0083",5,52,43,91,35,31
"COG0084",173,251,314,277,311,277
"COG0085",676,1197,1757,1560,1518,1426
"COG0086",194,422,571,1179,1703,1689
"COG0087",90,204,276,301,267,276
"COG0088",88,179,241,249,242,257
"COG0089",36,68,119,40,41,31
"COG0090",111,257,313,346,338,316
"COG0091",50,94,185,175,125,137
"COG0092",104,192,238,294,272,329
"COG0093",43,111,168,151,139,143
"COG0094",84,180,204,231,214,221
"COG0095",11,117,32,84,54,58
"COG0096",51,129,169,145,162,122
"COG0097",64,184,198,205,228,204
"COG0098",72,169,187,203,203,204
"COG0099",65,124,175,201,167,162
"COG0100",45,115,148,224,162,162
"COG0101",96,206,315,188,294,302
