"","X78_DCM_0d45.0d8","X122_DCM_0d2.0d45","X65_SUR_0d2.3","X4_SUR_0d2.1d6","X84_SUR_0d2.3","X9_SUR_0d2.1d6"
"COG0001",404,381,303,332,373,311
"COG0002",273,247,267,331,284,278
"COG0003",19,8,7,9,2,2
"COG0004",702,635,852,905,493,837
"COG0005",240,220,245,173,108,194
"COG0006",963,1188,1257,996,1035,923
"COG0007",140,47,57,104,71,88
"COG0008",748,833,755,717,737,764
"COG0009",246,308,294,298,338,329
"COG0010",382,424,416,377,489,325
"COG0011",9,0,5,5,0,1
"COG0012",436,486,503,421,333,431
"COG0013",1015,974,1035,986,762,972
"COG0014",384,370,402,439,279,385
"COG0015",520,534,544,168,149,158
"COG0016",378,386,431,413,351,406
"COG0017",186,138,160,93,141,133
"COG0018",709,664,681,717,494,633
"COG0019",533,669,621,676,537,641
"COG0020",282,283,302,259,235,306
"COG0021",601,747,729,724,401,683
"COG0022",560,549,503,427,602,468
"COG0023",56,15,26,33,49,23
"COG0024",310,345,323,323,272,302
"COG0025",150,78,69,114,110,89
"COG0026",108,45,86,318,270,334
"COG0027",137,29,64,83,83,78
"COG0028",1450,1486,1485,1640,1086,1452
"COG0029",262,85,114,249,96,147
"COG0030",300,301,312,302,267,276
"COG0031",546,437,434,473,432,450
"COG0033",174,16,33,72,6,48
"COG0034",577,519,520,522,519,595
"COG0035",98,69,58,26,17,26
"COG0036",303,288,298,290,243,256
"COG0037",485,613,602,512,540,502
"COG0038",193,66,89,134,132,134
"COG0039",313,400,415,370,301,402
"COG0040",176,179,220,208,145,217
"COG0041",172,199,177,196,186,184
"COG0042",147,142,126,478,435,417
"COG0043",274,176,171,51,56,36
"COG0044",565,750,742,687,726,748
"COG0045",424,557,543,534,410,522
"COG0046",849,874,889,918,782,928
"COG0047",380,488,377,440,409,498
"COG0048",125,162,154,137,166,142
"COG0049",204,167,166,165,183,172
"COG0050",443,537,503,455,500,497
"COG0051",112,100,106,113,121,102
"COG0052",323,329,330,294,322,324
"COG0053",43,40,39,22,16,26
"COG0054",160,136,137,155,132,152
"COG0055",462,584,574,579,536,633
"COG0056",590,607,697,686,648,716
"COG0057",587,437,449,556,598,578
"COG0058",280,92,120,164,7,92
"COG0059",336,374,364,397,342,403
"COG0060",360,386,368,1097,973,1063
"COG0061",397,297,294,353,308,324
"COG0062",274,199,150,136,51,111
"COG0063",287,261,187,172,49,152
"COG0064",444,449,480,517,347,460
"COG0065",537,495,648,610,522,570
"COG0066",280,246,314,268,210,223
"COG0067",1076,1027,1269,1345,947,1371
"COG0068",8,29,4,7,6,4
"COG0069",1385,1418,1633,1828,1551,1804
"COG0070",1028,945,1132,1284,880,1361
"COG0071",194,271,276,254,133,230
"COG0072",764,838,971,877,677,885
"COG0073",621,679,686,707,776,746
"COG0074",274,431,398,126,91,111
"COG0075",439,217,230,329,220,293
"COG0076",192,150,114,114,205,74
"COG0077",310,301,341,362,285,361
"COG0078",301,328,315,294,241,264
"COG0079",573,491,487,543,523,507
"COG0080",153,153,138,152,127,147
"COG0081",275,294,255,247,231,277
"COG0082",403,352,486,409,344,460
"COG0083",132,55,61,83,67,61
"COG0084",262,275,265,312,302,279
"COG0085",1315,1575,1607,1396,1467,1632
"COG0086",1590,1525,1697,1521,1579,1726
"COG0087",272,248,280,228,220,251
"COG0088",266,265,240,230,216,220
"COG0089",100,99,97,107,96,95
"COG0090",312,325,311,313,283,329
"COG0091",148,155,125,139,119,122
"COG0092",272,270,294,267,256,245
"COG0093",120,133,132,134,151,148
"COG0094",210,259,202,216,211,215
"COG0095",80,19,16,42,47,22
"COG0096",152,146,147,150,133,149
"COG0097",57,75,71,209,199,206
"COG0098",191,189,224,200,164,216
"COG0099",154,142,157,164,140,140
"COG0100",145,152,144,140,118,155
"COG0101",264,267,292,272,284,299
"COG0102",172,194,184,164,149,165
"COG0103",160,147,156,136,145,155
"COG0104",501,534,554,525,361,522
"COG0105",163,145,150,148,138,142
"COG0106",187,197,184,216,138,210
"COG0107",257,259,238,294,237,333
"COG0108",364,405,425,412,296,407
"COG0109",396,401,408,356,404,408
"COG0110",118,145,155,118,155,166
"COG0111",944,925,952,1007,836,911
"COG0112",468,485,508,478,403,486
"COG0113",291,290,292,417,297,384
"COG0114",489,536,485,470,420,463
"COG0115",719,671,708,784,756,785
"COG0116",130,46,62,97,186,81
"COG0117",306,325,349,335,276,351
"COG0118",188,239,202,224,195,245
"COG0119",936,941,1107,1007,761,1046
"COG0120",39,21,25,119,128,79
"COG0121",9,12,12,5,15,7
"COG0122",192,235,261,212,111,202
"COG0123",269,294,384,361,318,400
"COG0124",491,585,522,479,501,515
"COG0125",210,232,199,180,138,164
"COG0126",169,156,168,510,364,509
"COG0127",271,233,224,278,163,234
"COG0128",418,489,511,469,460,553
"COG0129",684,602,763,852,713,828
"COG0130",269,204,232,253,204,239
"COG0131",185,160,169,212,137,235
"COG0132",101,23,33,71,5,42
"COG0133",325,373,372,407,329,460
"COG0134",279,236,276,310,212,265
"COG0135",201,171,176,221,178,229
"COG0136",392,342,380,472,433,428
"COG0137",322,343,337,358,307,388
"COG0138",581,666,608,607,602,579
"COG0139",48,47,45,151,99,163
"COG0140",107,74,68,97,101,98
"COG0141",135,138,197,622,552,640
"COG0142",724,737,821,751,698,729
"COG0143",564,626,606,569,543,588
"COG0144",345,198,211,254,326,237
"COG0145",494,269,319,284,493,262
"COG0146",410,274,246,208,297,174
"COG0147",823,602,745,870,567,762
"COG0148",469,487,507,478,352,479
"COG0149",257,246,270,269,216,309
"COG0150",367,420,366,411,281,385
"COG0151",461,467,506,512,452,506
"COG0152",309,346,302,288,272,276
"COG0153",67,104,90,87,45,110
"COG0154",1224,1247,1173,1336,986,1198
"COG0155",312,50,92,162,56,126
"COG0156",380,251,248,286,298,365
"COG0157",260,197,229,231,124,190
"COG0158",47,38,31,14,35,19
"COG0159",259,214,261,277,224,301
"COG0160",239,363,288,144,305,149
"COG0161",542,499,579,697,722,546
"COG0162",489,466,512,501,425,470
"COG0163",59,40,35,13,27,13
"COG0164",79,80,94,214,194,265
"COG0165",414,396,425,534,322,474
"COG0166",445,455,441,548,391,496
"COG0167",470,376,413,372,527,398
"COG0168",566,696,712,644,615,609
"COG0169",335,335,336,351,265,387
"COG0170",25,13,11,35,1,21
"COG0171",468,443,401,396,248,391
"COG0172",473,535,499,481,432,513
"COG0173",611,671,648,668,583,695
"COG0174",854,1017,1095,1062,1133,1095
"COG0175",131,75,72,137,92,149
"COG0176",267,344,280,337,234,267
"COG0177",229,291,262,291,246,270
"COG0178",1118,1258,1160,1165,1033,1222
"COG0179",403,365,347,328,589,385
"COG0180",426,418,452,454,340,400
"COG0181",337,303,340,432,308,423
"COG0182",139,149,200,47,17,43
"COG0183",1002,1140,955,859,1136,810
"COG0184",105,83,102,101,113,99
"COG0185",101,94,115,121,102,115
"COG0186",33,38,22,82,95,78
"COG0187",1071,1246,1311,1147,1187,1279
"COG0188",1440,1485,1547,1425,1332,1434
"COG0189",314,314,399,385,308,410
"COG0190",320,394,364,333,261,367
"COG0191",166,72,94,171,182,168
"COG0192",421,469,474,475,374,505
"COG0193",209,278,190,235,204,240
"COG0194",188,252,207,212,227,212
"COG0195",532,534,529,570,528,569
"COG0196",264,333,352,323,284,364
"COG0197",153,140,147,147,146,171
"COG0198",94,108,75,96,92,80
"COG0199",84,82,120,114,119,102
"COG0200",167,195,163,184,86,182
"COG0201",520,548,541,478,420,510
"COG0202",375,383,406,385,385,394
"COG0203",133,138,151,125,134,165
"COG0204",173,192,201,516,538,550
"COG0205",175,255,244,238,216,262
"COG0206",506,517,546,451,376,506
"COG0207",143,205,162,178,231,203
"COG0208",318,435,578,205,121,151
"COG0209",1061,1468,1752,1470,1436,1310
"COG0210",899,1048,952,848,787,879
"COG0211",87,94,109,107,88,109
"COG0212",111,151,154,71,44,84
"COG0213",74,107,77,18,24,18
"COG0214",97,114,87,19,1,17
"COG0215",548,596,541,521,443,488
"COG0216",362,397,404,400,328,413
"COG0217",194,259,265,241,242,277
"COG0218",84,112,73,136,152,136
"COG0219",131,116,159,132,122,121
"COG0220",149,97,120,167,188,162
"COG0221",93,23,45,60,36,42
"COG0222",132,142,138,128,145,150
"COG0223",407,505,485,495,423,458
"COG0224",344,343,342,392,326,371
"COG0225",350,366,334,401,295,397
"COG0226",349,117,215,572,26,355
"COG0227",103,93,126,102,119,112
"COG0228",124,135,161,153,194,195
"COG0229",71,69,69,241,191,262
"COG0230",13,10,13,13,27,16
"COG0231",242,225,222,200,180,223
"COG0232",206,259,282,91,79,98
"COG0233",183,175,179,196,168,205
"COG0234",103,139,132,136,111,114
"COG0235",213,252,255,249,229,241
"COG0236",100,81,62,93,92,102
"COG0237",234,258,202,228,177,222
"COG0238",73,92,94,87,93,81
"COG0239",27,38,24,26,57,24
"COG0240",214,298,346,330,321,336
"COG0241",80,93,84,114,93,106
"COG0242",265,255,275,299,243,285
"COG0243",583,359,448,365,446,394
"COG0244",225,208,223,201,144,192
"COG0245",199,301,283,258,117,235
"COG0246",46,49,119,96,129,92
"COG0247",581,535,657,431,481,502
"COG0248",273,142,124,278,188,474
"COG0249",661,361,414,455,562,461
"COG0250",236,207,236,212,191,181
"COG0251",88,105,85,267,325,248
"COG0252",89,69,79,30,129,36
"COG0253",269,321,339,341,249,317
"COG0254",73,107,99,46,30,37
"COG0255",9,21,15,14,32,17
"COG0256",124,112,140,115,109,116
"COG0257",4,0,4,4,5,8
