"","X122_SUR_0d2.3","X33_SUR_0d2.1d6","X70_MES_0.0d2","X133_DCM_0d2.3","X124_SUR_0d1.0d2","X123_DCM_0d1.0d2"
"COG0001",397,319,134,326,156,202
"COG0002",221,286,185,226,79,99
"COG0003",20,9,79,20,33,26
"COG0004",811,924,536,907,338,615
"COG0005",259,260,138,151,56,70
"COG0006",1068,1241,615,1103,335,390
"COG0007",83,82,295,62,81,93
"COG0008",700,702,632,723,274,288
"COG0009",313,268,173,293,109,108
"COG0010",421,460,195,397,100,132
"COG0011",21,10,0,4,2,3
"COG0012",494,421,182,410,109,153
"COG0013",1020,1000,436,868,287,273
"COG0014",386,453,201,360,128,122
"COG0015",578,543,339,490,172,154
"COG0016",415,406,183,361,123,127
"COG0017",153,147,22,173,60,64
"COG0018",696,703,323,650,192,218
"COG0019",579,609,551,569,232,309
"COG0020",295,239,124,241,87,94
"COG0021",723,653,333,652,169,226
"COG0022",567,414,259,510,391,324
"COG0023",32,25,8,34,24,14
"COG0024",340,295,127,255,103,104
"COG0025",43,33,87,91,117,151
"COG0026",258,278,192,265,104,95
"COG0027",109,73,70,57,61,41
"COG0028",1360,1334,1001,431,123,196
"COG0029",171,168,148,159,88,59
"COG0030",291,258,132,262,87,95
"COG0031",520,453,233,427,252,306
"COG0033",80,94,50,41,32,39
"COG0034",639,565,265,608,166,169
"COG0035",26,31,24,56,39,43
"COG0036",311,289,109,240,79,85
"COG0037",519,510,388,477,279,257
"COG0038",136,153,230,87,54,64
"COG0039",382,359,162,375,97,99
"COG0040",174,172,106,177,51,61
"COG0041",212,177,83,163,51,57
"COG0042",493,421,389,415,172,162
"COG0043",116,152,163,56,44,32
"COG0044",702,701,339,661,152,193
"COG0045",604,506,203,492,134,159
"COG0046",927,762,526,878,284,265
"COG0047",425,384,416,428,143,126
"COG0048",182,138,89,151,44,57
"COG0049",56,66,11,185,57,76
"COG0050",522,441,256,475,168,179
"COG0051",127,114,52,31,14,14
"COG0052",306,297,142,278,79,84
"COG0053",44,53,132,43,52,50
"COG0054",133,131,105,132,56,55
"COG0055",678,532,233,536,163,160
"COG0056",707,620,265,609,198,180
"COG0057",564,542,470,483,270,342
"COG0058",207,241,64,112,202,744
"COG0059",364,361,180,345,111,127
"COG0060",1155,1142,482,1058,277,330
"COG0061",350,353,145,321,79,100
"COG0062",184,162,153,104,52,85
"COG0063",217,218,228,143,90,97
"COG0064",566,458,236,416,111,116
