"","X93_DCM_0d2.3","X7_DCM_0d2.1d6","X67_SUR_0d2.3","X76_DCM_0.0d2","X152_DCM_0d2.3","X18_SUR_0.0d2"
"COG0001",351,292,279,122,338,143
"COG0002",231,208,250,131,244,151
"COG0003",9,11,10,24,14,19
"COG0004",784,1048,789,391,853,503
"COG0005",119,166,154,113,208,103
"COG0006",1030,1062,1164,442,1230,582
"COG0007",105,175,122,202,85,223
"COG0008",791,651,731,539,769,592
"COG0009",274,238,250,160,296,135
"COG0010",448,405,456,88,429,191
"COG0011",4,3,1,2,8,0
"COG0012",348,362,398,158,477,191
"COG0013",765,873,803,379,1054,423
"COG0014",295,308,292,217,336,222
"COG0015",398,454,438,214,532,248
"COG0016",295,381,320,152,435,181
"COG0017",164,162,149,39,214,98
"COG0018",535,472,608,266,682,294
"COG0019",560,528,488,504,594,476
"COG0020",177,160,238,94,258,139
"COG0021",497,643,480,289,560,306
"COG0022",462,443,571,336,574,359
"COG0023",40,26,36,5,32,19
"COG0024",251,302,276,166,320,197
"COG0025",134,133,114,406,84,290
"COG0026",287,224,264,147,283,152
"COG0027",19,20,17,96,57,90
"COG0028",1127,1388,1255,297,461,194
"COG0029",137,233,156,191,164,175
"COG0030",249,170,239,101,283,105
"COG0031",431,467,434,387,522,414
"COG0033",58,108,10,43,51,25
"COG0034",455,531,510,203,606,273
"COG0035",58,77,79,37,59,53
"COG0036",235,211,268,119,298,104
"COG0037",475,350,523,295,585,329
"COG0038",131,191,145,127,105,267
"COG0039",322,368,298,128,381,174
"COG0040",159,162,201,112,205,125
"COG0041",177,159,155,70,194,75
"COG0042",465,444,399,226,439,332
"COG0043",120,163,89,72,208,167
"COG0044",585,610,565,305,754,292
"COG0045",441,450,468,200,573,192
"COG0046",717,836,759,398,996,415
"COG0047",467,400,376,199,423,307
"COG0048",133,149,153,63,158,68
"COG0049",160,158,171,70,184,77
"COG0050",470,591,479,268,434,314
"COG0051",110,109,121,44,118,52
"COG0052",257,244,302,127,319,146
"COG0053",47,34,82,106,42,140
"COG0054",132,118,138,16,46,23
"COG0055",461,678,557,201,542,230
"COG0056",600,728,605,200,595,251
"COG0057",583,625,573,265,517,467
"COG0058",101,246,51,138,95,47
"COG0059",359,420,308,126,349,193
"COG0060",925,972,944,390,1172,472
"COG0061",231,254,238,104,303,160
"COG0062",104,114,60,160,142,201
"COG0063",41,59,23,184,208,179
"COG0064",298,432,368,187,442,194
"COG0065",469,618,506,221,597,187
"COG0066",208,193,239,124,309,87
"COG0067",1049,1257,1026,654,1116,533
"COG0068",4,44,1,73,1,31
"COG0069",1499,1765,1441,988,1669,828
"COG0070",909,1260,975,641,1018,518
"COG0071",192,420,249,730,230,342
"COG0072",678,631,710,333,820,353
"COG0073",768,613,698,440,711,420
"COG0074",330,355,335,120,425,143
"COG0075",214,345,274,85,302,118
"COG0076",199,160,159,134,98,162
"COG0077",311,268,281,124,340,144
"COG0078",247,235,247,154,285,132
"COG0079",433,389,409,412,467,256
"COG0080",118,135,148,56,162,66
"COG0081",209,298,264,118,257,123
"COG0082",101,111,108,154,427,179
"COG0083",68,80,51,5,68,20
"COG0084",308,250,302,153,294,157
"COG0085",1241,1541,1881,606,1461,694
"COG0086",1326,1825,1821,631,1573,672
"COG0087",69,82,114,109,294,123
"COG0088",206,222,193,78,214,100
"COG0089",87,85,105,21,99,54
"COG0090",249,326,280,127,345,145
"COG0091",139,149,131,36,134,65
"COG0092",213,270,266,93,289,112
"COG0093",86,164,130,41,120,59
"COG0094",171,195,191,63,215,92
"COG0095",15,31,16,9,23,10
"COG0096",36,42,43,32,170,71
"COG0097",163,228,205,71,243,91
"COG0098",137,232,175,63,201,69
"COG0099",124,138,144,58,138,76
"COG0100",117,154,166,45,135,76
"COG0101",278,191,265,104,263,129
"COG0102",137,155,162,62,190,82
"COG0103",119,150,126,76,179,86
"COG0104",437,570,479,309,514,200
"COG0105",132,127,162,59,156,87
"COG0106",192,157,150,82,183,115
"COG0107",208,246,203,38,83,40
"COG0108",306,322,360,165,379,218
"COG0109",322,359,339,130,382,152
"COG0110",70,51,50,119,138,241
"COG0111",852,741,844,580,931,624
"COG0112",132,177,138,222,516,198
"COG0113",318,301,254,142,351,152
"COG0114",375,408,355,199,485,225
"COG0115",591,602,797,398,755,519
"COG0116",160,128,107,93,74,168
"COG0117",267,222,259,116,326,127
"COG0118",187,140,143,87,184,107
"COG0119",854,999,842,476,996,520
"COG0120",84,118,112,49,105,67
"COG0121",30,24,13,44,5,21
"COG0122",199,156,168,121,212,119
"COG0123",362,310,310,197,346,159
"COG0124",417,396,419,203,485,207
"COG0125",124,145,138,66,191,84
"COG0126",135,127,124,187,491,185
"COG0127",193,209,192,78,272,95
"COG0128",399,315,390,199,472,191
"COG0129",786,905,776,580,750,650
"COG0130",202,169,216,143,238,124
"COG0131",185,207,184,109,172,119
"COG0132",47,55,35,48,36,58
"COG0133",331,404,303,196,404,184
"COG0134",218,174,193,41,76,45
"COG0135",179,140,173,35,65,28
"COG0136",378,402,389,170,422,184
"COG0137",317,357,319,168,314,198
"COG0138",512,450,484,91,195,68
"COG0139",124,128,119,58,128,68
"COG0140",81,73,72,36,66,67
"COG0141",517,554,549,213,539,190
"COG0142",624,587,652,101,264,116
"COG0143",489,481,563,251,555,299
"COG0144",281,201,291,93,77,83
"COG0145",283,342,455,347,342,349
"COG0146",194,263,362,305,241,269
"COG0147",627,591,642,381,786,465
"COG0148",381,402,379,205,487,201
"COG0149",219,178,216,116,283,134
"COG0150",267,298,333,208,467,181
"COG0151",419,361,427,183,526,181
"COG0152",260,202,250,143,295,170
"COG0153",120,84,77,14,97,9
"COG0154",891,1053,923,748,1082,720
"COG0155",109,187,184,92,56,82
"COG0156",378,352,444,330,336,322
"COG0157",175,168,169,127,206,263
"COG0158",79,59,63,38,31,56
"COG0159",213,155,207,123,234,132
"COG0160",336,179,295,218,318,323
"COG0161",531,598,594,293,599,534
"COG0162",390,329,408,177,429,215
"COG0163",27,48,21,32,43,59
"COG0164",177,159,256,77,252,104
"COG0165",394,322,343,220,434,191
"COG0166",398,283,371,226,466,239
"COG0167",404,297,355,189,428,222
"COG0168",598,483,542,320,610,396
"COG0169",276,251,289,132,296,133
"COG0170",8,22,18,0,25,0
"COG0171",279,433,344,400,441,269
"COG0172",388,381,438,182,481,220
"COG0173",521,546,539,278,595,277
"COG0174",953,1108,1014,418,1184,745
"COG0175",192,202,151,144,26,98
"COG0176",248,463,183,370,289,328
"COG0177",212,218,210,120,266,123
"COG0178",1077,1068,1026,455,1251,573
"COG0179",432,396,405,250,420,333
"COG0180",365,338,356,155,458,197
"COG0181",330,279,282,106,373,145
"COG0182",122,121,76,38,162,22
"COG0183",919,1027,1109,1238,1006,1914
"COG0184",90,88,100,42,101,57
"COG0185",75,113,98,20,103,36
"COG0186",81,70,84,27,95,46
"COG0187",1164,1106,1570,632,1316,644
"COG0188",1259,1391,1667,720,1600,810
"COG0189",391,422,379,604,325,524
"COG0190",304,336,312,26,124,46
"COG0191",192,153,157,73,149,151
"COG0192",425,531,446,205,504,215
"COG0193",197,163,208,94,224,179
"COG0194",192,162,203,94,194,109
"COG0195",504,516,481,242,518,251
"COG0196",281,181,307,136,354,163
"COG0197",112,167,132,48,180,51
"COG0198",57,85,70,36,84,43
"COG0199",103,69,104,37,99,42
"COG0200",139,132,152,60,144,70
"COG0201",401,511,410,186,542,217
"COG0202",346,420,417,162,371,227
"COG0203",126,121,136,70,146,82
"COG0204",565,498,560,366,622,504
"COG0205",212,193,251,60,224,160
"COG0206",420,531,420,230,523,222
"COG0207",206,230,407,416,215,204
"COG0208",468,944,806,1196,498,699
"COG0209",1181,2668,1996,3958,1454,2217
"COG0210",890,932,939,5899,843,2592
"COG0211",64,99,82,33,83,60
"COG0212",158,103,140,84,186,109
"COG0213",65,62,64,78,75,156
"COG0214",2,53,33,5,91,0
"COG0215",131,145,131,213,523,226
"COG0216",315,334,340,139,406,153
"COG0217",258,216,238,115,233,129
"COG0218",150,78,130,80,105,148
"COG0219",135,121,116,47,120,102
"COG0220",149,111,180,89,143,112
"COG0221",17,70,34,42,11,29
"COG0222",130,120,124,15,39,26
"COG0223",387,314,353,240,454,206
"COG0224",321,326,320,117,341,172
"COG0225",332,242,335,173,351,200
"COG0226",110,772,160,290,367,385
"COG0227",81,62,88,38,107,50
"COG0228",48,48,42,49,135,81
"COG0229",232,186,213,128,267,164
"COG0230",9,6,10,11,17,16
"COG0231",189,211,214,92,207,114
"COG0232",338,198,223,194,250,161
"COG0233",56,57,62,76,163,78
"COG0234",114,115,151,701,130,333
"COG0235",259,209,231,164,219,240
"COG0236",85,91,95,42,94,76
"COG0237",182,128,193,79,247,91
"COG0238",49,51,82,27,74,31
"COG0239",33,35,41,38,32,57
"COG0240",312,245,332,130,340,223
"COG0241",39,29,27,27,114,65
"COG0242",256,300,268,401,277,248
"COG0243",405,583,471,398,406,620
"COG0244",149,219,164,106,245,107
"COG0245",154,164,186,129,231,103
"COG0246",87,110,219,62,72,70
"COG0247",635,611,704,201,607,307
"COG0248",218,297,185,356,203,291
"COG0249",428,461,721,376,497,440
"COG0250",194,196,214,84,254,124
"COG0251",274,240,271,136,291,213
"COG0252",103,71,112,68,98,91
"COG0253",239,246,259,111,297,118
"COG0254",68,86,89,27,76,51
"COG0255",21,12,24,15,14,23
"COG0256",87,112,128,38,139,50
"COG0257",20,22,9,8,7,5
"COG0258",820,905,1061,1096,921,617
"COG0259",187,141,168,94,181,105
"COG0260",184,167,156,377,477,366
"COG0261",160,113,159,87,151,77
"COG0262",117,96,193,79,116,100
"COG0263",336,275,266,243,314,208
"COG0264",258,255,261,132,298,180
"COG0265",673,694,668,608,715,631
"COG0266",230,230,244,160,297,121
"COG0267",36,25,39,30,30,28
"COG0268",61,56,71,38,49,60
"COG0269",5,3,6,5,5,4
"COG0270",164,225,276,1674,174,626
"COG0271",70,69,62,32,74,63
"COG0272",564,602,702,348,721,301
"COG0274",94,80,93,70,87,48
"COG0275",327,213,313,142,301,155
"COG0276",321,289,308,187,392,149
"COG0277",916,946,956,683,767,890
"COG0278",77,65,82,55,103,61
"COG0279",124,76,58,88,95,68
"COG0280",557,545,478,370,591,326
"COG0281",508,521,452,329,512,381
"COG0282",45,51,25,91,7,69
"COG0283",189,178,179,86,237,82
"COG0284",212,156,224,107,310,122
"COG0285",303,284,348,175,430,181
"COG0286",154,152,72,332,70,308
"COG0287",297,242,248,145,327,131
"COG0288",78,68,95,128,29,147
"COG0289",225,198,215,99,241,113
"COG0290",193,155,169,60,198,113
"COG0291",54,58,57,23,50,38
"COG0292",117,132,118,62,119,85
"COG0293",134,103,155,90,170,101
"COG0294",259,227,254,125,307,174
"COG0295",65,37,68,24,35,26
"COG0296",123,184,83,81,117,72
"COG0297",111,140,111,43,91,41
"COG0298",0,6,1,6,0,3
"COG0299",160,143,174,135,236,90
"COG0300",125,78,150,117,139,192
"COG0301",60,17,7,22,30,15
"COG0302",190,286,233,134,244,272
"COG0303",235,222,334,58,92,64
"COG0304",637,721,635,358,497,612
"COG0305",644,1802,1149,1483,215,664
"COG0306",55,42,78,80,263,116
"COG0307",207,151,205,91,221,111
"COG0308",908,754,974,659,652,790
"COG0309",3,27,0,30,1,17
"COG0310",2,28,22,2,23,7
"COG0311",0,32,18,1,44,0
"COG0312",515,700,582,348,627,196
"COG0313",287,177,290,131,285,149
"COG0314",90,72,86,39,90,54
"COG0315",81,84,102,56,113,61
"COG0316",234,262,281,184,293,165
"COG0317",698,727,687,132,209,170
"COG0318",1421,1587,2040,2135,1525,2735
"COG0319",126,66,125,61,123,73
"COG0320",288,323,287,110,371,169
"COG0321",214,175,197,109,253,96
"COG0322",651,520,616,278,746,327
"COG0323",252,196,224,230,212,233
"COG0324",88,79,90,128,325,147
"COG0325",190,142,205,100,230,109
"COG0326",396,278,495,110,335,196
"COG0327",37,14,36,50,48,89
"COG0328",127,142,182,62,204,76
"COG0329",520,431,452,202,529,299
"COG0330",601,697,611,509,628,502
"COG0331",269,246,266,150,272,151
"COG0332",366,339,394,264,374,285
"COG0333",30,40,25,14,33,19
"COG0334",352,321,381,286,300,339
"COG0335",132,132,146,65,157,79
"COG0336",232,238,238,97,308,94
"COG0337",321,252,351,163,371,201
"COG0338",71,249,122,330,89,118
"COG0339",362,352,336,348,239,307
"COG0340",79,54,79,91,250,117
"COG0341",390,333,357,155,360,235
"COG0342",268,177,192,272,561,347
"COG0343",313,369,339,136,424,152
"COG0344",145,100,105,67,150,47
"COG0345",224,172,225,143,224,152
"COG0346",319,325,341,362,339,500
"COG0347",140,140,127,104,115,111
"COG0348",168,109,33,183,22,392
"COG0349",210,167,176,217,193,161
"COG0350",82,78,79,126,88,159
"COG0351",142,126,102,103,135,67
"COG0352",143,129,133,136,137,106
"COG0353",177,159,194,76,218,101
"COG0354",189,165,150,119,228,113
"COG0355",92,93,134,45,139,49
"COG0356",298,323,344,141,322,177
"COG0357",182,141,205,86,194,98
"COG0358",572,506,645,1124,608,406
"COG0359",133,125,179,27,55,35
"COG0360",115,104,140,51,129,83
"COG0361",63,101,109,43,103,59
"COG0362",94,168,143,38,113,40
"COG0363",183,132,161,92,140,103
"COG0364",143,225,195,194,76,161
"COG0365",1311,1311,1187,691,1363,791
"COG0366",499,579,276,387,287,282
"COG0367",432,440,559,446,461,452
"COG0368",14,25,33,59,49,31
"COG0369",121,176,76,43,186,72
"COG0370",123,73,199,93,39,178
"COG0371",12,45,25,0,57,3
"COG0372",438,462,446,286,513,276
"COG0373",246,184,241,70,215,141
"COG0374",2,44,0,44,4,25
"COG0375",0,16,0,3,2,0
"COG0376",498,422,301,337,424,471
