"","X124_DCM_0d2.0d45","X128_DCM_0d2.3","X123_DCM_0d2.3","X123_DCM_0d1.0d2","X133_MES_0d2.3","X142_DCM_0d2.3"
"COG0001",5390,3992,6044,2021,5594,3224
"COG0002",3221,2192,3083,1020,2843,2478
"COG0003",88,272,173,268,84,137
"COG0004",8266,7379,6805,6080,6013,7826
"COG0005",2695,2169,2730,587,3098,2546
"COG0006",11726,10519,12040,3948,14676,11052
"COG0007",937,890,1485,917,1786,607
"COG0008",8308,7226,7926,2983,8385,7787
"COG0009",3220,2959,2675,1154,2850,3032
"COG0010",4407,4115,4535,1257,4773,4156
"COG0011",34,213,130,14,51,55
"COG0012",5802,4310,4680,1388,5915,4884
"COG0013",10554,9639,9257,2842,8896,10018
"COG0014",3830,3478,3400,1285,2268,3759
"COG0015",5892,5087,5322,1603,4528,5492
"COG0016",4694,3878,4168,1275,3830,4408
"COG0017",2861,1875,2846,710,3812,2249
"COG0018",7143,6639,6052,2019,5599,6830
"COG0019",5817,5552,5408,2702,3856,6270
"COG0020",2737,2870,2465,1011,2565,2995
"COG0021",6917,6317,5892,2237,5373,6693
"COG0022",4550,5811,5089,3289,3585,6035
"COG0023",337,301,298,178,604,349
"COG0024",3356,3079,3218,1131,2900,3198
"COG0025",423,1274,1010,534,432,401
"COG0026",2748,2575,1664,912,1611,2791
"COG0027",234,887,310,429,146,713
"COG0028",17057,12290,19621,6480,16582,12900
"COG0029",771,1734,1148,752,923,1667
"COG0030",2916,3028,2773,881,2876,3048
"COG0031",5471,4786,5064,3044,5220,4764
"COG0033",52,793,88,474,134,791
"COG0034",5736,5507,5098,1792,5530,5850
"COG0035",475,692,438,403,732,745
"COG0036",3471,2823,3097,867,2864,3122
"COG0037",6324,5172,5937,2651,5396,5771
"COG0038",595,1509,1170,752,1834,1364
"COG0039",4464,3593,3874,1046,3396,3825
"COG0040",2529,1681,2247,714,1773,1742
"COG0041",1924,1765,1715,556,1759,1881
"COG0042",3915,4316,3666,1786,3099,4082
"COG0043",4265,1404,4276,959,4833,2146
"COG0044",7429,6320,7063,1920,7378,7119
"COG0045",6110,5163,5170,1457,5255,5100
"COG0046",8880,8701,7960,2672,8995,9038
"COG0047",4032,4217,3396,1655,4298,4255
"COG0048",1494,1521,1502,526,1424,1499
"COG0049",2186,1790,1902,651,1981,1808
"COG0050",4382,4459,4194,1861,3815,4303
"COG0051",1234,1201,1192,398,1084,1208
"COG0052",3209,2977,3037,1048,2834,2991
"COG0053",364,461,623,562,1708,517
"COG0054",1534,1420,1462,529,1206,1488
"COG0055",5509,5778,4641,1807,3682,5599
"COG0056",5982,6499,5105,1959,4049,6109
"COG0057",4972,5226,4498,3416,4308,5421
"COG0058",313,1852,436,7611,1177,1475
"COG0059",4062,3487,3439,1200,3189,3454
"COG0060",11909,11174,10812,3169,10577,11373
"COG0061",4091,3303,3460,942,3719,3340
"COG0062",1786,1593,2767,276,1049,664
"COG0063",2427,2138,3387,977,3650,2470
"COG0064",5123,4579,4207,1134,4147,4421
"COG0065",7195,5601,6386,1739,5221,5890
"COG0066",3009,2689,2793,807,2317,2824
"COG0067",11162,10367,9310,3485,7423,11284
"COG0068",40,130,26,274,109,32
"COG0069",14794,14796,12768,5288,11446,14843
"COG0070",10043,9314,8219,3446,5809,10872
"COG0071",2333,2353,2009,22551,2119,1914
"COG0072",9258,7953,7931,2467,6475,8679
"COG0073",6943,6965,5849,2761,5160,7068
"COG0074",4815,3617,4403,1030,4924,3811
"COG0075",3262,2997,3591,935,5114,2901
"COG0076",850,1525,1164,1039,2357,1804
"COG0077",3473,2899,3019,1096,2456,3050
"COG0078",3344,2522,3228,1040,3318,2826
"COG0079",5850,4767,5234,4141,5765,5101
"COG0080",1689,1583,1534,533,1609,1529
"COG0081",2890,2470,2643,857,2527,2659
"COG0082",4635,4330,3953,1148,3285,4353
"COG0083",1168,828,1164,121,435,225
"COG0084",3034,2721,2689,1561,2558,2512
"COG0085",5066,4730,4821,6805,13130,14403
"COG0086",15280,16334,14307,6219,11713,16640
"COG0087",2828,2665,2754,776,2827,2830
"COG0088",2491,2119,2323,719,2258,2489
"COG0089",335,329,297,330,972,959
"COG0090",3424,3175,2994,1007,2941,3242
"COG0091",1538,1429,1298,409,1350,1421
"COG0092",2781,2679,2586,836,2461,2689
"COG0093",1469,1323,1331,436,1272,1346
"COG0094",2313,2053,2131,696,2050,2214
"COG0095",130,508,496,121,776,432
"COG0096",1523,1444,1455,564,1389,1573
"COG0097",2201,1887,1991,665,1790,2163
"COG0098",2196,2074,2027,626,1900,2099
"COG0099",515,542,522,537,1630,1559
"COG0100",1605,1486,1590,498,1511,1466
"COG0101",2596,2868,2363,884,1806,3073
"COG0102",2029,1783,1741,595,1703,1871
"COG0103",1599,1525,1447,489,1354,1599
"COG0104",5313,5178,5013,3583,4421,5321
"COG0105",1690,1563,1510,469,1478,1530
"COG0106",2358,1728,2156,683,1688,1963
"COG0107",3209,2305,2881,1033,2206,2559
"COG0108",1311,1322,1170,1414,2466,3909
"COG0109",4505,3631,3749,1390,3888,3985
"COG0110",2220,1413,1970,1525,2056,1350
"COG0111",9768,8137,10875,4214,8808,8908
"COG0112",5614,4984,4778,1897,4985,4960
"COG0113",3496,3516,2724,1259,2381,2862
"COG0114",4900,5324,4379,1642,2989,5274
"COG0115",8344,7583,7642,770,2464,2426
"COG0116",274,1100,417,814,521,895
"COG0117",2866,3170,2499,981,1791,3304
"COG0118",2537,1790,2195,224,551,663
"COG0119",10942,9009,10401,4232,9452,9706
"COG0120",1034,1114,891,394,1416,1040
"COG0121",66,84,71,337,207,98
"COG0122",3059,2151,2338,842,2736,2169
"COG0123",3217,3608,2539,1515,2461,3214
"COG0124",5742,5037,5132,1471,4420,5377
"COG0125",2260,2064,2230,690,2265,2792
"COG0126",4963,4555,4274,1459,4334,4591
"COG0127",2753,2573,2445,762,2027,2710
"COG0128",5263,4602,4567,1417,4059,4954
"COG0129",7695,6680,7294,2888,6703,6975
"COG0130",2584,2412,2329,739,2610,2288
"COG0131",2025,1510,1907,668,1793,1677
"COG0132",183,152,262,355,982,428
"COG0133",4244,3449,3826,1287,3367,3696
"COG0134",2646,2326,2229,822,2228,2347
"COG0135",538,548,468,675,1209,1728
"COG0136",4442,3708,3569,1426,3602,4054
"COG0137",4053,3138,3694,1235,3584,3370
"COG0138",5661,5887,5067,3311,4008,6192
"COG0139",1453,1254,1453,477,1193,1294
"COG0140",689,756,643,330,472,777
"COG0141",5684,4832,4612,1460,4382,5025
"COG0142",7972,7562,7329,2222,6929,7777
"COG0143",6421,5788,5734,1978,6017,6159
"COG0144",1392,2240,1666,971,1799,2571
"COG0145",4518,2390,8284,551,6770,2919
"COG0146",2947,1775,6336,373,5616,2391
"COG0147",7321,7309,6119,2408,5737,7216
"COG0148",5493,4887,4890,1435,4794,4867
"COG0149",2789,2694,2489,858,2162,2765
"COG0150",3965,3696,3542,10958,3639,3745
"COG0151",4864,4781,4495,1351,5064,5197
"COG0152",3236,2764,3043,7955,3178,3068
"COG0153",789,967,664,339,949,980
"COG0154",13163,10820,15327,3169,13381,10925
"COG0155",1393,1513,2126,1117,3018,1524
"COG0156",2973,3497,3182,1529,3230,3205
"COG0157",2237,2096,2333,853,2168,2358
"COG0158",369,402,464,526,282,352
"COG0159",2836,2317,2425,777,2207,2328
"COG0160",2836,2780,2792,1647,4411,2995
"COG0161",6422,5167,6410,2247,7758,5283
"COG0162",4937,4572,4525,1449,4134,4588
"COG0163",676,355,880,316,1032,473
"COG0164",885,720,799,856,2351,2537
"COG0165",4551,3524,4502,1471,4202,3873
"COG0166",4769,4598,4003,570,1229,1690
"COG0167",4114,4175,3896,1131,4266,4281
"COG0168",6066,6390,5503,2572,4418,6681
"COG0169",3562,3240,3235,1320,2965,3227
"COG0170",232,424,236,29,530,470
"COG0171",4486,4062,4227,9172,3289,4414
"COG0172",5292,4772,4773,1732,4670,5098
"COG0173",5688,5983,5223,1856,4139,6098
"COG0174",11838,9787,11311,6564,12509,9781
"COG0175",1491,1411,1631,3100,2015,908
"COG0176",2762,2734,2462,7143,573,853
"COG0177",3045,2703,2585,811,2589,2846
"COG0178",4065,3930,3675,3737,9000,12209
"COG0179",4296,3223,4718,1590,5266,3761
"COG0180",4550,4142,4253,1337,3995,4426
"COG0181",3746,3851,2737,330,802,985
"COG0182",2479,1259,2441,542,2573,1704
"COG0183",11458,9726,11081,4559,12840,9669
"COG0184",1259,1077,1142,369,1221,1117
"COG0185",1177,1001,1117,347,1080,1112
"COG0186",1015,932,879,108,292,289
"COG0187",4001,3934,3493,5312,8564,11587
"COG0188",12646,14147,11309,5368,9856,14161
"COG0189",3733,3842,2679,7478,3482,3258
"COG0190",3834,3322,3408,1154,3686,3580
"COG0191",798,1044,553,486,899,1290
"COG0192",4908,4793,4509,1976,4441,4815
"COG0193",1997,2111,1831,625,1416,2088
"COG0194",1874,1980,1704,874,1180,1931
"COG0195",5707,5013,4835,1638,3982,5325
"COG0196",3061,3309,2597,1002,2143,3262
"COG0197",1686,1554,1571,524,1574,1610
"COG0198",1017,938,878,261,1007,875
"COG0199",933,926,748,356,515,968
"COG0200",1705,1491,1551,526,1627,1639
"COG0201",5429,5069,5072,1705,4521,5329
"COG0202",4036,3786,3797,1795,3423,3952
"COG0203",1314,1338,1204,461,1105,1375
"COG0204",5365,6801,5009,3027,4631,6262
"COG0205",1906,2339,1737,756,2078,2208
"COG0206",5433,5170,5121,1781,4651,5565
"COG0207",1436,1772,1079,7641,1099,1463
"COG0208",3477,4188,2483,34121,1875,3321
"COG0209",13409,12755,12460,104445,11625,12232
"COG0210",9559,9493,8603,36610,9096,9015
"COG0211",887,991,838,100,228,292
"COG0212",1781,1505,1397,812,1631,1458
"COG0213",759,898,925,253,1267,952
"COG0214",1434,624,1440,190,962,885
"COG0215",1969,1785,1859,1526,5244,5750
"COG0216",3833,3731,3530,1213,2905,3919
"COG0217",2492,2212,2326,986,1736,2448
"COG0218",843,1013,821,458,759,785
"COG0219",1240,1290,1200,618,966,1271
"COG0220",819,1409,1053,458,769,1146
"COG0221",138,705,326,846,132,694
"COG0222",1246,1321,1245,557,942,1294
"COG0223",4493,4147,4668,3418,3148,4254
"COG0224",3231,3494,2799,1183,2421,3488
"COG0225",3143,3679,2665,1238,2538,3355
"COG0226",817,1233,989,4016,437,5695
"COG0227",961,1026,665,333,543,1043
"COG0228",514,490,409,379,827,1525
"COG0229",2307,2410,2017,768,1956,2160
"COG0230",91,103,93,65,79,172
"COG0231",2360,2107,2183,838,2254,2161
"COG0232",2555,2477,2437,1306,1571,2461
"COG0233",1786,1902,1596,605,1347,1782
"COG0234",1262,1338,1267,5396,985,1273
"COG0235",2273,2145,2209,1338,2299,2171
"COG0236",729,959,863,585,710,791
"COG0237",2461,2184,2216,662,2146,2298
