"","X67_SUR_0d45.0d8","X68_SUR_0d2.3","X42_DCM_0d2.1d6","X70_MES_0d2.0d45","X124_DCM_0d2.3","X23_DCM_0d2.1d6"
"COG0001",2943,3986,3011,6561,5379,3571
"COG0002",707,1013,738,2498,2606,2233
"COG0003",100,83,119,591,141,84
"COG0004",6371,7917,7885,4931,7408,11657
"COG0005",1293,2295,2627,2714,2598,1767
"COG0006",10649,10511,12469,9292,11208,10837
"COG0007",1180,1307,769,599,344,278
"COG0008",8202,7248,6908,2823,2551,2288
"COG0009",2998,2653,2716,2911,2699,2339
"COG0010",1314,1515,1549,4769,4075,3639
"COG0011",34,170,88,11,53,87
"COG0012",3823,4410,4355,5902,4743,4654
"COG0013",7917,9583,10096,8503,9493,9898
"COG0014",2318,3921,3443,2552,3275,4310
"COG0015",4909,5030,5264,3392,5247,5198
"COG0016",3558,4036,3834,3811,4284,4005
"COG0017",2233,1438,2177,4741,2687,906
"COG0018",6276,6485,6578,5309,6306,6003
"COG0019",4466,5991,5647,3860,5046,5977
"COG0020",2783,2531,2572,2421,2489,2275
"COG0021",4115,6082,6882,4585,6334,7666
"COG0022",2578,1363,1773,3039,5329,4077
"COG0023",129,170,125,639,302,188
"COG0024",2506,3197,3143,3478,3168,3528
"COG0025",981,1763,1023,1643,747,850
"COG0026",863,964,761,2119,2196,2318
"COG0027",564,1321,360,186,428,598
"COG0028",9720,13839,13362,10106,17615,17233
"COG0029",485,774,414,1622,1190,2005
"COG0030",2879,2903,2777,2602,2622,1996
"COG0031",4302,5410,5281,5017,5077,4778
"COG0033",114,1651,797,311,176,540
"COG0034",5451,5237,4980,4893,5351,6084
"COG0035",790,1032,665,527,594,664
"COG0036",2457,3063,2828,2481,3128,2621
"COG0037",5327,5123,5527,5201,5829,3856
"COG0038",1147,2138,1550,2105,1075,1123
"COG0039",3029,2942,3589,3113,4044,4439
"COG0040",1703,2110,1686,1488,2052,1898
"COG0041",542,609,565,1620,1787,2052
"COG0042",3964,4922,3738,3454,3776,4017
"COG0043",844,2066,1732,4231,4490,1351
"COG0044",5994,6304,6400,5311,6780,6890
"COG0045",4535,4141,4943,1451,1826,1862
"COG0046",8392,8102,7822,8190,8232,9610
"COG0047",4859,3759,3136,3771,3875,4919
"COG0048",1167,1897,1507,1452,1431,1578
"COG0049",1728,2212,1822,1869,1912,1880
"COG0050",4405,4915,4426,3216,4550,5936
"COG0051",1197,1389,1063,987,1193,1380
"COG0052",3051,3564,2843,2464,2934,3151
"COG0053",712,425,683,1437,401,504
"COG0054",1443,1477,1449,1101,1496,1456
"COG0055",4722,6359,5456,2853,5119,7277
"COG0056",5335,7150,5971,1126,1921,2543
"COG0057",5937,5093,4800,4603,4627,6428
"COG0058",256,2823,6208,860,612,1202
"COG0059",3211,3610,3390,2727,3514,4602
"COG0060",10405,10905,11246,10080,10841,10663
"COG0061",3002,3679,3242,3954,3514,2864
"COG0062",554,1935,1880,2423,1784,1328
"COG0063",1005,2297,2254,2586,2307,1957
"COG0064",3784,4573,4827,3708,4632,5382
"COG0065",4397,5544,5872,3860,6614,6837
"COG0066",2316,2711,2908,1458,2993,2211
"COG0067",9199,11504,9875,4493,10111,14327
"COG0068",20,103,11,275,47,50
"COG0069",12517,15232,13771,7575,13602,19884
"COG0070",8520,11142,9581,3801,9581,13743
"COG0071",2346,2069,6932,2223,2200,2603
"COG0072",7272,8446,7795,6488,8275,7561
"COG0073",7704,6965,6334,6549,6622,6840
"COG0074",3087,2954,3603,1315,1410,1442
"COG0075",2388,3961,2381,3912,3601,3176
"COG0076",535,745,466,1463,1252,921
"COG0077",2739,3257,2871,2058,3017,3449
"COG0078",2107,2748,2715,2684,2975,2671
"COG0079",4248,5830,4937,5117,5068,4201
"COG0080",1373,1711,1441,1548,1558,1585
"COG0081",2394,2803,2643,2379,2581,2930
"COG0082",3260,3953,4233,896,1396,1443
"COG0083",625,1128,534,1525,898,496
"COG0084",2990,2779,2582,1092,888,843
"COG0085",17011,16693,14124,12515,14062,16970
"COG0086",16650,20905,15969,10205,14684,18118
"COG0087",2304,2998,2598,2747,2659,2651
"COG0088",2140,2282,2411,2067,2327,2103
"COG0089",967,1247,1052,968,960,772
"COG0090",2656,3692,2896,2799,3214,3646
"COG0091",1245,1570,1437,1300,1353,1408
"COG0092",2582,3095,2738,2067,2669,2861
"COG0093",1233,1675,1244,1270,1406,1557
"COG0094",2103,2556,1974,1782,2176,2116
"COG0095",173,793,157,610,320,273
"COG0096",1324,1822,1460,1348,1475,1500
"COG0097",1963,2358,1978,1557,2056,2158
"COG0098",1658,2266,1870,1747,2037,2383
"COG0099",1490,1824,1402,479,565,520
"COG0100",1211,1695,1338,1432,1524,1717
"COG0101",2934,3137,2897,1723,2417,2524
"COG0102",591,667,545,1652,1784,1600
"COG0103",1396,1852,1479,405,496,469
"COG0104",4326,4660,5411,4042,4944,5482
"COG0105",1448,1767,1564,1525,1557,1442
"COG0106",1501,2048,1403,1287,1981,1938
"COG0107",1702,2516,2230,1859,2772,2783
"COG0108",3211,3999,3471,1983,3668,4133
"COG0109",3219,3805,3835,4216,3938,3602
"COG0110",1728,1160,1154,2456,1880,1621
"COG0111",8525,8264,8586,5992,10578,9820
"COG0112",4653,4782,4748,4537,5093,5602
"COG0113",2697,3484,2771,2476,3109,3744
"COG0114",3725,4789,4679,2064,4569,5099
"COG0115",7929,7185,7667,6424,7876,7531
"COG0116",1532,1320,887,1947,506,606
"COG0117",3031,2841,2943,1563,2850,2869
"COG0118",1512,2152,1736,1298,2154,1977
"COG0119",8544,9009,9593,7542,9865,11444
"COG0120",1121,1408,977,1492,1038,1216
"COG0121",107,147,124,804,104,63
"COG0122",1730,1758,1802,2376,2451,1740
"COG0123",2615,3094,3053,1779,2955,3011
"COG0124",4578,4946,5116,3955,5333,4631
"COG0125",1179,1989,2371,1900,2121,1687
"COG0126",4303,4439,4313,4134,4467,4128
"COG0127",2137,3024,2545,1844,2355,2069
"COG0128",4085,4448,4197,3749,4747,4282
"COG0129",7292,7019,6456,4987,7689,10057
"COG0130",2713,2475,2128,2710,2535,2069
"COG0131",1870,1857,1457,1429,1760,2343
"COG0132",353,800,443,1168,506,355
"COG0133",2754,3849,3092,2555,3795,4417
"COG0134",1921,2730,2135,573,680,691
"COG0135",1746,1917,1497,830,1574,1498
"COG0136",3687,4135,4101,3979,3838,4219
"COG0137",2653,3806,3415,2951,3483,3742
"COG0138",5392,5886,7580,2977,5316,5308
"COG0139",1010,1497,1265,939,1295,1678
"COG0140",821,1026,626,350,597,955
"COG0141",4863,5227,5114,2766,5155,5982
"COG0142",7149,7043,7196,6802,7489,6913
"COG0143",6062,5534,5483,5903,5997,5619
"COG0144",901,950,919,2142,2020,1721
"COG0145",4400,3907,3031,2122,7442,2785
"COG0146",3046,2841,2360,2584,5658,2230
"COG0147",6140,7815,7005,4592,6440,6380
"COG0148",4201,4664,4902,4486,5052,4778
"COG0149",2545,2652,2506,2178,2392,2197
"COG0150",3470,3826,8777,3243,3615,3102
"COG0151",4275,4734,4298,4663,4564,4317
"COG0152",2954,2755,4387,2304,2925,2818
"COG0153",1089,718,896,627,795,787
"COG0154",8310,10122,10049,8224,14739,12715
"COG0155",1612,3454,1122,2985,1509,1601
"COG0156",4822,3355,2588,3792,3240,3478
"COG0157",570,787,706,2372,1988,1659
"COG0158",832,628,327,615,402,353
"COG0159",2021,2655,2064,1444,2253,2384
"COG0160",3419,1933,3129,3017,3109,1492
"COG0161",5436,5709,5472,5212,6421,6861
"COG0162",4479,4503,4303,3824,4485,4156
"COG0163",251,494,350,907,734,346
"COG0164",2381,2283,2433,2068,2363,2040
"COG0165",3247,4617,3999,3412,3881,4129
"COG0166",4347,4874,4027,3976,4308,3564
"COG0167",3888,4093,3930,3589,4012,3361
"COG0168",4947,5929,6492,4151,5570,5285
"COG0169",2965,3187,2957,2462,3220,2971
"COG0170",109,782,708,622,261,179
"COG0171",3487,4333,5971,3305,4092,4230
"COG0172",4464,4661,4365,4282,4802,4769
"COG0173",5896,5990,6158,1185,1875,2059
"COG0174",8608,9663,10092,7690,10870,13538
"COG0175",1549,1624,1095,2264,1438,1453
"COG0176",1838,2942,8825,2162,2387,2102
"COG0177",2328,2684,2447,2276,2902,2603
"COG0178",12185,10592,11408,8063,11889,12064
"COG0179",4474,3149,3209,4571,4382,4271
"COG0180",3665,4234,3784,3853,4063,3817
"COG0181",2967,3702,2971,3107,3364,3557
"COG0182",543,1664,1718,2134,2103,1241
"COG0183",10562,7182,10205,11882,11689,10943
"COG0184",1198,1062,985,1307,1091,1004
"COG0185",909,1283,1080,949,1087,1115
"COG0186",337,309,264,903,883,831
"COG0187",15559,10084,11623,7105,10970,12844
"COG0188",16668,13638,13978,7701,12381,15323
"COG0189",3224,3545,3756,5794,3310,4279
"COG0190",2994,3381,3400,3135,3437,4032
"COG0191",1991,1538,1062,688,970,1462
"COG0192",4290,4576,4500,4061,4625,5311
"COG0193",2090,2041,2019,1108,1877,2055
"COG0194",2280,1931,1980,1044,1892,1818
