"","X93_DCM_0d2.3","X123_SUR_0d2.0d45","X138_SUR_0d2.3","X76_SUR_0d2.0d45","X125_SUR_0d2.3","X132_DCM_0d2.3","X146_SUR_0d2.3","X98_DCM_0d2.3","X112_MES_0d2.3","X39_OMZ_0d2.1d6","X70_SUR_0d45.0d8","X124_SUR_0d45.0d8","X137_MES_0d2.3","X67_SUR_0d45.0d8","X52_DCM_0d2.1d6","X42_DCM_0d2.1d6","X123_DCM_0d1.0d2","X38_OMZ_0d2.1d6","X98_MES_0d2.3","X112_SUR_0d2.3","X132_SUR_0d2.3","X76_SUR_0.0d2","X76_DCM_0d45.0d8","X76_DCM_0d2.3","X111_SUR_0d2.3","X125_DCM_0d2.0d45","X78_DCM_0d2.0d45","X23_DCM_0d2.1d6","X82_DCM_0d2.3","X31_SUR_0d2.1d6","X133_DCM_0d2.3","X18_SUR_0.0d2","X82_SUR_0d2.3","X84_SUR_0d2.3","X125_SUR_0d45.0d8","X141_SUR_0d2.3","X68_SUR_0d2.0d45","X122_DCM_0d2.3","X72_SUR_0d2.3","X78_MES_0d2.3","X102_MES_0d2.3","X125_DCM_0d45.0d8","X58_DCM_0d2.3","X38_SUR_0d2.1d6","X25_DCM_0.0d2","X4_SUR_0d2.1d6","X149_SUR_0d2.3","X110_DCM_0d2.3","X125_DCM_0d1.0d2","X146_MES_0d2.3","X76_DCM_0.0d2","X138_MES_0d2.3","X128_SUR_0d2.3","X132_MES_0d2.3","X66_SUR_0d2.3","X78_SUR_0d2.3","X98_SUR_0d2.3","X25_DCM_0d2.1d6","X149_MES_0d2.3","X96_SUR_0d2.3","X137_SUR_0d2.3","X124_SUR_0d2.0d45","X78_MES_0d45.0d8","X56_SUR_0d2.3","X70_MES_0.0d2","X38_OMZ_0d1.0d2","X142_DCM_0d2.3","X52_SUR_0d2.1d6","X123_SUR_0d2.3","X122_MES_0d2.0d45","X9_DCM_0d2.1d6","X62_SUR_0d2.3","X76_SUR_0d2.3","X70_MES_0d2.0d45","X67_SUR_0d2.0d45","X68_MES_0d45.0d8","X23_SUR_0d2.1d6","X32_SUR_0d2.1d6","X31_SUR_0.0d2","X25_SUR_0.0d2","X85_MES_0d2.3","X68_SUR_0d45.0d8","X150_DCM_0d2.3","X122_SUR_0d2.0d45","X102_DCM_0d2.3","X142_SUR_0d2.3","X100_DCM_0d2.3","X94_SUR_0d2.3","X125_SUR_0d2.0d45","X65_SUR_0d2.3","X68_DCM_0d45.0d8","X148_SUR_0d2.3","X122_SUR_0d45.0d8","X145_MES_0d2.3","X93_SUR_0d2.3","X85_SUR_0d2.3","X34_DCM_0d2.1d6","X124_DCM_0d45.0d8","X39_DCM_0d2.1d6","X25_SUR_0d2.1d6"
"COG0001",8,4,9,4,6,9,8,4,15,11,5,7,9,8,9,10,4,6,12,6,6,3,7,9,8,6,8,5,7,5,7,1,11,8,15,5,9,9,9,15,14,6,4,10,1,5,5,7,4,11,4,6,7,12,7,6,4,4,10,10,9,6,4,4,2,4,6,8,4,14,6,3,7,13,4,13,5,3,2,1,12,5,4,11,6,10,7,6,16,7,3,9,8,11,4,11,10,8,5,7
"COG0002",2,2,5,7,1,6,3,6,2,2,4,0,4,6,4,4,2,8,9,9,8,6,4,6,5,2,7,2,8,10,4,1,1,1,3,8,5,5,8,4,5,4,7,4,3,5,7,4,1,10,5,4,4,3,4,2,8,5,5,7,4,8,3,6,2,4,4,7,6,4,6,7,5,10,8,3,4,13,5,2,5,2,3,7,7,9,4,5,11,6,9,1,5,8,9,10,7,6,5,9
"COG0003",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"COG0004",21,19,16,18,13,15,20,18,14,9,16,15,16,11,15,21,16,17,6,20,22,8,14,16,14,17,8,24,13,21,18,6,13,8,11,11,16,12,18,6,18,9,23,16,18,15,18,11,12,7,6,9,8,8,14,12,17,19,10,13,13,23,8,10,15,8,19,19,12,20,15,23,17,5,18,13,32,14,9,2,8,15,10,21,23,9,16,21,14,22,9,21,19,10,11,9,12,12,10,28
"COG0005",5,7,3,1,3,7,3,3,7,11,3,3,6,1,10,7,0,8,10,2,6,1,5,5,3,3,6,2,3,5,1,3,3,3,2,5,2,4,4,3,6,5,11,4,4,1,1,4,1,5,4,5,3,5,3,4,2,2,6,2,6,6,2,4,1,3,6,5,1,5,4,5,5,7,3,7,2,6,1,1,7,7,5,4,4,3,5,8,3,6,5,1,8,8,2,6,4,4,4,7
"COG0006",20,22,19,22,25,22,33,17,21,29,20,11,23,21,31,35,11,38,28,14,20,7,24,19,16,25,17,20,31,23,20,6,23,21,17,18,33,23,23,31,29,18,30,24,6,11,23,33,6,26,10,27,20,33,28,24,25,16,37,31,22,23,29,21,7,13,32,18,17,28,20,24,21,13,19,32,20,18,12,6,34,21,22,25,29,29,36,22,19,23,18,31,20,28,24,17,29,18,22,16
"COG0007",2,0,2,0,3,1,0,2,4,4,2,5,1,4,2,1,2,3,2,1,3,1,4,3,0,2,1,3,5,4,1,9,1,1,1,1,0,0,2,4,6,2,2,0,5,2,1,2,3,3,2,4,1,5,0,2,1,3,3,3,2,2,4,2,9,5,1,1,1,4,0,0,4,3,2,2,2,4,4,6,4,0,3,2,0,1,1,3,2,2,3,3,0,0,2,0,8,2,1,2
"COG0008",16,16,10,10,11,14,23,11,13,13,16,14,17,16,12,9,8,9,16,8,21,9,10,13,14,13,12,21,21,15,11,15,17,14,10,16,18,17,15,20,19,12,20,19,9,11,18,16,8,24,10,7,14,19,18,8,17,14,17,23,17,27,13,19,12,11,18,12,17,19,16,12,17,20,12,13,19,10,13,7,15,12,15,16,14,17,17,11,18,18,12,18,12,11,18,15,14,10,13,14
"COG0009",11,9,4,4,3,4,7,6,3,3,3,6,3,9,6,6,1,5,3,11,6,4,5,6,8,6,3,6,5,2,6,7,8,8,9,5,2,2,8,4,8,8,4,4,3,6,4,6,1,6,4,2,6,10,7,7,3,3,7,5,3,8,5,7,4,3,3,7,8,6,4,6,3,9,8,3,6,2,2,3,5,5,6,7,4,11,9,5,6,8,4,3,5,5,7,8,8,3,2,3
"COG0010",13,4,7,7,6,7,7,10,14,3,9,4,11,13,8,7,2,13,8,11,11,1,7,3,10,9,6,7,11,9,13,5,10,12,3,8,4,10,11,9,9,10,4,10,2,4,9,8,2,9,3,9,12,11,16,9,6,9,11,8,12,5,5,6,4,5,6,7,15,4,8,15,12,3,9,10,10,6,3,8,6,7,13,7,12,7,6,10,6,9,6,6,16,9,5,8,7,3,7,3
